Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Aave,AAVE,"Feb 17, 2025",$253.77,$278.12,$250.88,$264.00,"$427,301,440","$3,979,381,180"
Aave,AAVE,"Feb 16, 2025",$253.18,$258.69,$250.47,$253.78,"$163,373,683","$3,825,145,418"
Aave,AAVE,"Feb 15, 2025",$262.72,$263.32,$250.27,$253.18,"$168,055,601","$3,816,082,185"
Aave,AAVE,"Feb 14, 2025",$256.35,$269.55,$253.64,$262.72,"$284,599,448","$3,959,707,242"
Aave,AAVE,"Feb 13, 2025",$252.78,$257.69,$247.28,$256.35,"$328,005,966","$3,863,692,418"
Aave,AAVE,"Feb 12, 2025",$243.88,$259.72,$233.66,$252.78,"$326,183,700","$3,809,834,697"
Aave,AAVE,"Feb 11, 2025",$252.03,$262.18,$242.39,$243.88,"$308,337,040","$3,675,498,433"
Aave,AAVE,"Feb 10, 2025",$241.63,$256.47,$235.03,$252.03,"$340,055,198","$3,797,409,137"
Aave,AAVE,"Feb 09, 2025",$239.33,$252.39,$230.52,$241.63,"$297,811,208","$3,640,316,330"
Aave,AAVE,"Feb 08, 2025",$237.81,$241.15,$231.59,$239.34,"$212,008,614","$3,604,906,835"
Aave,AAVE,"Feb 07, 2025",$241.75,$261.51,$231.44,$237.82,"$386,679,904","$3,581,956,404"
Aave,AAVE,"Feb 06, 2025",$259.72,$266.41,$240.01,$241.75,"$352,567,774","$3,641,194,749"
Aave,AAVE,"Feb 05, 2025",$272.68,$282.27,$256.88,$259.72,"$467,865,528","$3,911,673,711"
Aave,AAVE,"Feb 04, 2025",$276.62,$278.02,$249.99,$272.68,"$797,386,364","$4,106,854,925"
Aave,AAVE,"Feb 03, 2025",$258.31,$284.91,$202.43,$276.61,"$1,419,678,376","$4,165,196,464"
Aave,AAVE,"Feb 02, 2025",$297.08,$304.15,$248.12,$258.31,"$610,910,746","$3,888,828,756"
Aave,AAVE,"Feb 01, 2025",$332.50,$332.69,$295.75,$297.16,"$384,359,629","$4,472,476,984"
Aave,AAVE,"Jan 31, 2025",$315.61,$346.07,$312.81,$332.52,"$773,141,780","$5,005,830,132"
Aave,AAVE,"Jan 30, 2025",$290.77,$321.53,$287.58,$315.64,"$461,548,173","$4,751,321,223"
Aave,AAVE,"Jan 29, 2025",$284.57,$300.90,$282.93,$290.76,"$487,586,104","$4,376,859,840"
