Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Aerodrome Finance,AERO,"Feb 18, 2025",$0.816,$0.8186,$0.7369,$0.7532,"$23,568,269","$580,109,802"
Aerodrome Finance,AERO,"Feb 17, 2025",$0.8214,$0.8492,$0.8009,$0.816,"$21,342,922","$628,820,157"
Aerodrome Finance,AERO,"Feb 16, 2025",$0.8404,$0.8409,$0.8213,$0.8214,"$13,359,544","$633,247,438"
Aerodrome Finance,AERO,"Feb 15, 2025",$0.8582,$0.8587,$0.83,$0.8402,"$13,912,806","$647,945,028"
Aerodrome Finance,AERO,"Feb 14, 2025",$0.8042,$0.8778,$0.8016,$0.8582,"$30,376,539","$662,012,171"
Aerodrome Finance,AERO,"Feb 13, 2025",$0.8271,$0.8395,$0.7908,$0.8042,"$25,128,021","$620,315,231"
Aerodrome Finance,AERO,"Feb 12, 2025",$0.7851,$0.8368,$0.7496,$0.8268,"$44,332,016","$629,658,154"
Aerodrome Finance,AERO,"Feb 11, 2025",$0.8191,$0.8575,$0.7814,$0.7851,"$31,640,503","$599,677,558"
Aerodrome Finance,AERO,"Feb 10, 2025",$0.8022,$0.8333,$0.7899,$0.8191,"$23,289,663","$625,730,280"
Aerodrome Finance,AERO,"Feb 09, 2025",$0.838,$0.8587,$0.7819,$0.8022,"$24,778,996","$613,182,256"
Aerodrome Finance,AERO,"Feb 08, 2025",$0.8397,$0.8508,$0.8139,$0.8379,"$30,967,566","$640,621,661"
Aerodrome Finance,AERO,"Feb 07, 2025",$0.892,$0.9364,$0.8224,$0.8398,"$45,838,562","$642,080,803"
Aerodrome Finance,AERO,"Feb 06, 2025",$0.8953,$0.9247,$0.864,$0.892,"$43,712,703","$682,300,446"
Aerodrome Finance,AERO,"Feb 05, 2025",$0.9058,$0.958,$0.8853,$0.8953,"$53,508,845","$674,334,030"
Aerodrome Finance,AERO,"Feb 04, 2025",$1.0095,$1.0099,$0.8759,$0.9058,"$71,228,407","$683,440,413"
Aerodrome Finance,AERO,"Feb 03, 2025",$0.8565,$1.0269,$0.7377,$1.0095,"$190,439,194","$765,208,039"
Aerodrome Finance,AERO,"Feb 02, 2025",$1.0224,$1.0444,$0.8208,$0.8565,"$89,927,675","$649,788,019"
Aerodrome Finance,AERO,"Feb 01, 2025",$1.1463,$1.1776,$1.0076,$1.0225,"$45,681,165","$775,805,218"
Aerodrome Finance,AERO,"Jan 31, 2025",$1.0687,$1.2031,$1.0390,$1.1463,"$85,353,470","$869,742,301"
Aerodrome Finance,AERO,"Jan 30, 2025",$0.9943,$1.1230,$0.9883,$1.0687,"$48,810,715","$810,984,432"
Aerodrome Finance,AERO,"Jan 29, 2025",$0.9959,$1.0330,$0.9467,$0.9943,"$50,815,426","$743,863,275"
Aerodrome Finance,AERO,"Jan 28, 2025",$0.9634,$1.1015,$0.9633,$0.9959,"$71,161,266","$748,781,199"
Aerodrome Finance,AERO,"Jan 27, 2025",$0.9577,$0.9797,$0.8722,$0.9634,"$76,737,831","$726,583,221"
Aerodrome Finance,AERO,"Jan 26, 2025",$1.0049,$1.0271,$0.9574,$0.9577,"$39,208,298","$722,850,876"
Aerodrome Finance,AERO,"Jan 25, 2025",$1.0433,$1.0452,$0.9986,$1.0049,"$32,425,110","$758,466,785"
Aerodrome Finance,AERO,"Jan 24, 2025",$1.0507,$1.1059,$1.0199,$1.0433,"$57,454,060","$787,716,278"
Aerodrome Finance,AERO,"Jan 23, 2025",$1.0431,$1.0644,$0.9895,$1.0507,"$66,473,821","$793,782,546"
Aerodrome Finance,AERO,"Jan 22, 2025",$1.0995,$1.1078,$1.0421,$1.0431,"$37,772,073","$777,428,539"
Aerodrome Finance,AERO,"Jan 21, 2025",$1.1287,$1.1514,$1.0644,$1.0995,"$67,169,186","$820,519,730"
Aerodrome Finance,AERO,"Jan 20, 2025",$1.1453,$1.2422,$1.1074,$1.1287,"$100,906,943","$846,068,795"
Aerodrome Finance,AERO,"Jan 19, 2025",$1.2026,$1.2813,$1.1395,$1.1453,"$125,112,929","$858,640,321"
Aerodrome Finance,AERO,"Jan 18, 2025",$1.3507,$1.3571,$1.1665,$1.2026,"$72,764,274","$901,673,812"
Aerodrome Finance,AERO,"Jan 17, 2025",$1.3171,$1.3705,$1.3162,$1.3508,"$64,530,365","$1,013,303,896"
Aerodrome Finance,AERO,"Jan 16, 2025",$1.2734,$1.3853,$1.2344,$1.3171,"$67,485,869","$988,338,276"
Aerodrome Finance,AERO,"Jan 15, 2025",$1.1749,$1.3111,$1.1442,$1.2734,"$76,007,206","$942,314,558"
Aerodrome Finance,AERO,"Jan 14, 2025",$1.0602,$1.1892,$1.0411,$1.1749,"$64,200,939","$871,010,429"
Aerodrome Finance,AERO,"Jan 13, 2025",$1.0878,$1.1177,$0.8899,$1.0602,"$150,993,922","$786,878,307"
Aerodrome Finance,AERO,"Jan 12, 2025",$1.1269,$1.1352,$1.0741,$1.0878,"$43,343,997","$808,077,319"
Aerodrome Finance,AERO,"Jan 11, 2025",$1.1530,$1.1563,$1.0610,$1.1269,"$62,249,278","$837,347,545"
Aerodrome Finance,AERO,"Jan 10, 2025",$1.1621,$1.2137,$1.1027,$1.1530,"$68,914,412","$857,047,446"
Aerodrome Finance,AERO,"Jan 09, 2025",$1.2998,$1.3029,$1.1377,$1.1621,"$82,985,153","$864,328,450"
Aerodrome Finance,AERO,"Jan 08, 2025",$1.3518,$1.3567,$1.2385,$1.2998,"$59,109,256","$953,089,844"
Aerodrome Finance,AERO,"Jan 07, 2025",$1.4921,$1.4922,$1.3429,$1.3518,"$58,234,400","$992,428,313"
Aerodrome Finance,AERO,"Jan 06, 2025",$1.4855,$1.5173,$1.4609,$1.4921,"$52,355,266","$1,096,483,635"
Aerodrome Finance,AERO,"Jan 05, 2025",$1.5446,$1.5493,$1.4792,$1.4855,"$49,283,539","$1,092,115,362"
Aerodrome Finance,AERO,"Jan 04, 2025",$1.5837,$1.5844,$1.5430,$1.5446,"$66,377,732","$1,136,610,611"
Aerodrome Finance,AERO,"Jan 03, 2025",$1.5026,$1.5945,$1.4876,$1.5837,"$88,104,104","$1,165,376,592"
Aerodrome Finance,AERO,"Jan 02, 2025",$1.3829,$1.5560,$1.3823,$1.5025,"$86,721,669","$1,105,787,619"
Aerodrome Finance,AERO,"Jan 01, 2025",$1.3163,$1.4009,$1.3083,$1.3829,"$74,387,509","$1,003,138,690"
Aerodrome Finance,AERO,"Dec 31, 2024",$1.4151,$1.4311,$1.3162,$1.3163,"$76,694,543","$955,542,927"
Aerodrome Finance,AERO,"Dec 30, 2024",$1.4798,$1.5065,$1.4010,$1.4151,"$67,224,976","$1,027,815,972"
Aerodrome Finance,AERO,"Dec 29, 2024",$1.5522,$1.5540,$1.4722,$1.4798,"$48,341,596","$1,074,710,189"
Aerodrome Finance,AERO,"Dec 28, 2024",$1.5353,$1.5612,$1.5205,$1.5522,"$50,261,298","$1,127,382,664"
Aerodrome Finance,AERO,"Dec 27, 2024",$1.5255,$1.5668,$1.4989,$1.5353,"$66,337,730","$1,115,008,257"
Aerodrome Finance,AERO,"Dec 26, 2024",$1.6328,$1.6366,$1.5113,$1.5255,"$63,625,166","$1,107,989,990"
Aerodrome Finance,AERO,"Dec 25, 2024",$1.6512,$1.6648,$1.6063,$1.6327,"$54,934,183","$1,168,459,102"
Aerodrome Finance,AERO,"Dec 24, 2024",$1.5498,$1.6711,$1.5104,$1.6518,"$73,868,070","$1,181,841,121"
Aerodrome Finance,AERO,"Dec 23, 2024",$1.4745,$1.5625,$1.4400,$1.5498,"$88,590,033","$1,109,646,757"
Aerodrome Finance,AERO,"Dec 22, 2024",$1.5702,$1.5709,$1.4636,$1.4745,"$74,775,036","$1,059,034,564"
Aerodrome Finance,AERO,"Dec 21, 2024",$1.6403,$1.6911,$1.5575,$1.5702,"$85,440,519","$1,128,200,334"
Aerodrome Finance,AERO,"Dec 20, 2024",$1.5597,$1.6402,$1.3105,$1.6402,"$176,856,116","$1,178,637,926"
Aerodrome Finance,AERO,"Dec 19, 2024",$1.6712,$1.6886,$1.4960,$1.5597,"$150,275,497","$1,120,997,233"
Aerodrome Finance,AERO,"Dec 18, 2024",$1.8678,$1.8926,$1.6710,$1.6712,"$103,197,214","$1,182,349,248"
