Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Algorand,ALGO,"Feb 17, 2025",$0.2754,$0.2833,$0.2667,$0.2699,"$90,864,422","$2,280,117,624"
Algorand,ALGO,"Feb 16, 2025",$0.2843,$0.2853,$0.2742,$0.2754,"$66,754,589","$2,324,722,301"
Algorand,ALGO,"Feb 15, 2025",$0.2966,$0.3022,$0.2816,$0.2843,"$77,208,426","$2,399,606,208"
Algorand,ALGO,"Feb 14, 2025",$0.2933,$0.3081,$0.291,$0.2966,"$125,644,536","$2,503,445,557"
Algorand,ALGO,"Feb 13, 2025",$0.3028,$0.3071,$0.286,$0.2933,"$130,520,996","$2,473,711,778"
Algorand,ALGO,"Feb 12, 2025",$0.2861,$0.3052,$0.2785,$0.3028,"$181,776,001","$2,553,932,247"
Algorand,ALGO,"Feb 11, 2025",$0.29,$0.3131,$0.283,$0.2861,"$142,661,294","$2,410,393,316"
Algorand,ALGO,"Feb 10, 2025",$0.2757,$0.2969,$0.2692,$0.29,"$140,253,821","$2,443,481,074"
Algorand,ALGO,"Feb 09, 2025",$0.2761,$0.2869,$0.2593,$0.2757,"$133,202,998","$2,322,384,950"
Algorand,ALGO,"Feb 08, 2025",$0.2696,$0.2776,$0.2647,$0.2761,"$100,253,886","$2,325,657,283"
Algorand,ALGO,"Feb 07, 2025",$0.2668,$0.295,$0.2612,$0.2696,"$179,170,092","$2,271,424,659"
Algorand,ALGO,"Feb 06, 2025",$0.2818,$0.2965,$0.2646,$0.2668,"$153,491,398","$2,247,882,294"
Algorand,ALGO,"Feb 05, 2025",$0.2921,$0.2985,$0.2789,$0.2818,"$149,720,369","$2,371,390,570"
Algorand,ALGO,"Feb 04, 2025",$0.3128,$0.3169,$0.2787,$0.2921,"$234,487,584","$2,458,397,481"
Algorand,ALGO,"Feb 03, 2025",$0.3004,$0.3177,$0.2328,$0.3128,"$560,479,156","$2,632,488,156"
Algorand,ALGO,"Feb 02, 2025",$0.3488,$0.3561,$0.2877,$0.3004,"$274,692,517","$2,526,404,369"
Algorand,ALGO,"Feb 01, 2025",$0.3789,$0.3854,$0.3452,$0.3489,"$120,071,841","$2,934,380,954"
Algorand,ALGO,"Jan 31, 2025",$0.3881,$0.4014,$0.3746,$0.3789,"$147,919,829","$3,186,574,526"
Algorand,ALGO,"Jan 30, 2025",$0.3692,$0.3948,$0.3663,$0.3881,"$147,563,078","$3,263,337,589"
Algorand,ALGO,"Jan 29, 2025",$0.3635,$0.3848,$0.3545,$0.3692,"$156,208,319","$3,102,004,619"
Algorand,ALGO,"Jan 28, 2025",$0.3869,$0.3913,$0.358,$0.3635,"$157,857,868","$3,054,056,524"
Algorand,ALGO,"Jan 27, 2025",$0.3823,$0.3878,$0.3474,$0.3869,"$365,539,080","$3,250,183,585"
Algorand,ALGO,"Jan 26, 2025",$0.4028,$0.4179,$0.3823,$0.3823,"$168,864,398","$3,209,419,952"
Algorand,ALGO,"Jan 25, 2025",$0.4001,$0.4089,$0.3945,$0.4027,"$146,018,042","$3,380,696,757"
Algorand,ALGO,"Jan 24, 2025",$0.41,$0.4258,$0.3925,$0.4001,"$227,687,863","$3,358,756,506"
Algorand,ALGO,"Jan 23, 2025",$0.405,$0.422,$0.3902,$0.41,"$275,650,082","$3,442,160,364"
Algorand,ALGO,"Jan 22, 2025",$0.424,$0.4301,$0.4041,$0.405,"$229,509,181","$3,396,655,302"
Algorand,ALGO,"Jan 21, 2025",$0.4289,$0.4432,$0.4067,$0.424,"$339,673,810","$3,555,633,017"
Algorand,ALGO,"Jan 20, 2025",$0.3962,$0.4766,$0.3857,$0.4289,"$680,190,176","$3,597,031,957"
Algorand,ALGO,"Jan 19, 2025",$0.4456,$0.4574,$0.3914,$0.3963,"$454,305,357","$3,321,447,033"
Algorand,ALGO,"Jan 18, 2025",$0.4695,$0.4742,$0.4351,$0.4456,"$340,690,873","$3,734,524,476"
Algorand,ALGO,"Jan 17, 2025",$0.4638,$0.4949,$0.4634,$0.4695,"$435,214,084","$3,935,067,490"
Algorand,ALGO,"Jan 16, 2025",$0.4455,$0.483,$0.4268,$0.4638,"$637,648,071","$3,886,740,008"
Algorand,ALGO,"Jan 15, 2025",$0.3724,$0.449,$0.3707,$0.4455,"$559,239,188","$3,730,102,460"
Algorand,ALGO,"Jan 14, 2025",$0.3491,$0.3773,$0.3458,$0.3724,"$186,216,659","$3,118,376,990"
Algorand,ALGO,"Jan 13, 2025",$0.3605,$0.3729,$0.3244,$0.3491,"$270,540,549","$2,923,007,848"
Algorand,ALGO,"Jan 12, 2025",$0.3773,$0.3782,$0.354,$0.3605,"$145,409,603","$3,016,562,222"
Algorand,ALGO,"Jan 11, 2025",$0.3733,$0.385,$0.3591,$0.3773,"$184,677,739","$3,156,819,466"
Algorand,ALGO,"Jan 10, 2025",$0.342,$0.3849,$0.3394,$0.3733,"$320,981,441","$3,123,232,922"
Algorand,ALGO,"Jan 09, 2025",$0.3592,$0.3629,$0.3363,$0.342,"$234,679,223","$2,857,773,567"
Algorand,ALGO,"Jan 08, 2025",$0.3736,$0.3814,$0.3418,$0.3592,"$310,456,946","$2,999,533,351"
Algorand,ALGO,"Jan 07, 2025",$0.415,$0.4248,$0.372,$0.3736,"$346,570,360","$3,119,427,904"
Algorand,ALGO,"Jan 06, 2025",$0.4052,$0.431,$0.3974,$0.415,"$277,481,613","$3,461,930,548"
Algorand,ALGO,"Jan 05, 2025",$0.4098,$0.4155,$0.3967,$0.4052,"$220,267,450","$3,384,098,923"
Algorand,ALGO,"Jan 04, 2025",$0.4182,$0.4303,$0.406,$0.4098,"$247,562,926","$3,422,671,184"
Algorand,ALGO,"Jan 03, 2025",$0.3922,$0.4258,$0.3922,$0.4182,"$362,071,902","$3,493,371,595"
Algorand,ALGO,"Jan 02, 2025",$0.3763,$0.4068,$0.3762,$0.3922,"$355,149,024","$3,269,570,335"
Algorand,ALGO,"Jan 01, 2025",$0.3337,$0.3848,$0.3273,$0.3763,"$293,751,245","$3,130,716,561"
Algorand,ALGO,"Dec 31, 2024",$0.3286,$0.3514,$0.3172,$0.3337,"$227,972,429","$2,776,445,700"
Algorand,ALGO,"Dec 30, 2024",$0.3253,$0.349,$0.311,$0.3286,"$241,918,064","$2,738,756,356"
Algorand,ALGO,"Dec 29, 2024",$0.3444,$0.348,$0.3219,$0.3253,"$159,371,149","$2,711,407,218"
Algorand,ALGO,"Dec 28, 2024",$0.3325,$0.35,$0.3284,$0.3444,"$154,893,492","$2,870,452,888"
Algorand,ALGO,"Dec 27, 2024",$0.3464,$0.3688,$0.3295,$0.3325,"$260,720,536","$2,771,720,909"
Algorand,ALGO,"Dec 26, 2024",$0.381,$0.3832,$0.3443,$0.3464,"$196,832,756","$2,887,499,365"
Algorand,ALGO,"Dec 25, 2024",$0.3968,$0.3992,$0.3783,$0.381,"$183,934,875","$3,175,715,876"
Algorand,ALGO,"Dec 24, 2024",$0.375,$0.4126,$0.363,$0.3968,"$381,202,987","$3,306,829,926"
Algorand,ALGO,"Dec 23, 2024",$0.3476,$0.378,$0.3353,$0.375,"$414,983,910","$3,125,757,576"
Algorand,ALGO,"Dec 22, 2024",$0.3285,$0.3558,$0.3178,$0.3476,"$369,728,362","$2,897,066,058"
Algorand,ALGO,"Dec 21, 2024",$0.3476,$0.3746,$0.3246,$0.3285,"$399,136,026","$2,738,204,221"
Algorand,ALGO,"Dec 20, 2024",$0.3335,$0.3547,$0.2836,$0.3476,"$651,060,423","$2,896,920,265"
Algorand,ALGO,"Dec 19, 2024",$0.3674,$0.3823,$0.3225,$0.3335,"$606,760,645","$2,779,607,571"
Algorand,ALGO,"Dec 18, 2024",$0.413,$0.4143,$0.3662,$0.3674,"$464,840,765","$3,057,978,251"
Algorand,ALGO,"Dec 17, 2024",$0.4137,$0.4419,$0.4046,$0.413,"$497,935,824","$3,438,129,969"
Algorand,ALGO,"Dec 16, 2024",$0.4307,$0.4357,$0.402,$0.4137,"$353,781,732","$3,441,197,549"
Algorand,ALGO,"Dec 15, 2024",$0.4211,$0.4342,$0.4074,$0.4307,"$269,172,844","$3,583,137,260"
Algorand,ALGO,"Dec 14, 2024",$0.4379,$0.4379,$0.4076,$0.4211,"$246,870,403","$3,503,083,794"
Algorand,ALGO,"Dec 13, 2024",$0.4282,$0.4547,$0.4168,$0.4379,"$400,353,418","$3,641,031,840"
Algorand,ALGO,"Dec 12, 2024",$0.4544,$0.4764,$0.4237,$0.4282,"$573,451,492","$3,560,863,504"
Algorand,ALGO,"Dec 11, 2024",$0.4252,$0.4634,$0.402,$0.4544,"$537,733,966","$3,776,986,471"
Algorand,ALGO,"Dec 10, 2024",$0.4187,$0.4331,$0.3724,$0.4252,"$944,481,961","$3,532,770,718"
Algorand,ALGO,"Dec 09, 2024",$0.4984,$0.4984,$0.3718,$0.4187,"$785,273,139","$3,479,183,858"
Algorand,ALGO,"Dec 08, 2024",$0.5157,$0.5163,$0.4856,$0.4984,"$495,163,777","$4,138,729,407"
Algorand,ALGO,"Dec 07, 2024",$0.5005,$0.5246,$0.4672,$0.5108,"$923,904,527","$4,242,336,233"
Algorand,ALGO,"Dec 06, 2024",$0.4502,$0.5128,$0.4324,$0.5005,"$857,895,312","$4,156,294,548"
Algorand,ALGO,"Dec 05, 2024",$0.4787,$0.4929,$0.4474,$0.4527,"$892,391,235","$3,756,489,495"
Algorand,ALGO,"Dec 04, 2024",$0.5077,$0.5367,$0.4678,$0.4787,"$1,075,403,191","$3,972,559,742"
Algorand,ALGO,"Dec 03, 2024",$0.5019,$0.6028,$0.5019,$0.5077,"$2,378,210,247","$4,210,786,483"
Algorand,ALGO,"Dec 02, 2024",$0.4876,$0.5494,$0.4581,$0.5019,"$1,874,382,870","$4,162,817,570"
Algorand,ALGO,"Dec 01, 2024",$0.4426,$0.5175,$0.4243,$0.4876,"$1,717,511,873","$4,042,110,635"
Algorand,ALGO,"Nov 30, 2024",$0.4409,$0.4767,$0.3988,$0.4426,"$1,788,860,026","$3,669,460,437"
Algorand,ALGO,"Nov 29, 2024",$0.3241,$0.4667,$0.3196,$0.4409,"$1,932,840,725","$3,654,839,098"
Algorand,ALGO,"Nov 28, 2024",$0.2931,$0.329,$0.2834,$0.3241,"$337,633,464","$2,684,269,927"
Algorand,ALGO,"Nov 27, 2024",$0.2975,$0.3089,$0.2869,$0.2931,"$454,692,848","$2,427,839,767"
Algorand,ALGO,"Nov 26, 2024",$0.2599,$0.2977,$0.2515,$0.2975,"$446,898,300","$2,463,915,936"
Algorand,ALGO,"Nov 25, 2024",$0.2841,$0.293,$0.2572,$0.2599,"$353,136,238","$2,151,815,981"
Algorand,ALGO,"Nov 24, 2024",$0.2938,$0.3262,$0.2568,$0.2841,"$623,351,599","$2,352,078,928"
Algorand,ALGO,"Nov 23, 2024",$0.2592,$0.319,$0.259,$0.2938,"$973,660,409","$2,432,324,766"
Algorand,ALGO,"Nov 22, 2024",$0.2144,$0.2617,$0.2144,$0.2592,"$480,009,137","$2,146,324,814"
Algorand,ALGO,"Nov 21, 2024",$0.2115,$0.2216,$0.2034,$0.2144,"$243,630,613","$1,774,965,621"
Algorand,ALGO,"Nov 20, 2024",$0.224,$0.2277,$0.209,$0.2115,"$228,550,117","$1,750,688,690"
Algorand,ALGO,"Nov 19, 2024",$0.2159,$0.237,$0.2051,$0.224,"$387,641,278","$1,853,900,283"
Algorand,ALGO,"Nov 18, 2024",$0.1837,$0.2301,$0.182,$0.2159,"$587,264,551","$1,786,322,103"
Algorand,ALGO,"Nov 17, 2024",$0.1969,$0.1979,$0.1798,$0.1837,"$178,720,239","$1,519,918,646"
Algorand,ALGO,"Nov 16, 2024",$0.1861,$0.2179,$0.1833,$0.1969,"$558,411,813","$1,629,500,724"
Algorand,ALGO,"Nov 15, 2024",$0.1454,$0.1896,$0.1454,$0.1853,"$525,499,026","$1,533,537,042"
Algorand,ALGO,"Nov 14, 2024",$0.1458,$0.1551,$0.1421,$0.1454,"$112,487,935","$1,203,144,566"
Algorand,ALGO,"Nov 13, 2024",$0.1547,$0.1558,$0.1396,$0.1458,"$131,581,479","$1,205,985,156"
Algorand,ALGO,"Nov 12, 2024",$0.1592,$0.1632,$0.1448,$0.1547,"$177,077,174","$1,279,408,400"
Algorand,ALGO,"Nov 11, 2024",$0.1455,$0.1593,$0.142,$0.1592,"$124,437,834","$1,316,643,552"
Algorand,ALGO,"Nov 10, 2024",$0.1339,$0.1499,$0.1334,$0.1455,"$108,197,816","$1,202,802,135"
Algorand,ALGO,"Nov 09, 2024",$0.1314,$0.1339,$0.1287,$0.1339,"$36,338,557","$1,106,542,360"
Algorand,ALGO,"Nov 08, 2024",$0.1226,$0.1314,$0.1209,$0.1314,"$55,116,961","$1,086,060,470"
Algorand,ALGO,"Nov 07, 2024",$0.1219,$0.1249,$0.1202,$0.1226,"$40,807,149","$1,012,675,616"
Algorand,ALGO,"Nov 06, 2024",$0.1141,$0.1221,$0.1141,$0.1219,"$48,375,225","$1,015,968,411"
Algorand,ALGO,"Nov 05, 2024",$0.1093,$0.1153,$0.1092,$0.1141,"$28,789,257","$951,228,279"
Algorand,ALGO,"Nov 04, 2024",$0.1095,$0.1114,$0.1059,$0.1093,"$32,041,955","$910,807,026"
Algorand,ALGO,"Nov 03, 2024",$0.1137,$0.114,$0.1059,$0.1095,"$34,698,456","$912,689,272"
Algorand,ALGO,"Nov 02, 2024",$0.1146,$0.1171,$0.1133,$0.1137,"$17,818,134","$947,819,469"
Algorand,ALGO,"Nov 01, 2024",$0.1143,$0.1173,$0.1123,$0.1146,"$26,393,605","$955,311,162"
Algorand,ALGO,"Oct 31, 2024",$0.1207,$0.121,$0.1137,$0.1143,"$25,299,244","$952,921,185"
Algorand,ALGO,"Oct 30, 2024",$0.1238,$0.1239,$0.1203,$0.1207,"$22,737,440","$1,006,042,859"
Algorand,ALGO,"Oct 29, 2024",$0.1183,$0.1243,$0.1183,$0.1238,"$26,727,150","$1,031,326,400"
Algorand,ALGO,"Oct 28, 2024",$0.1158,$0.1192,$0.1133,$0.1183,"$25,233,849","$985,619,296"
Algorand,ALGO,"Oct 27, 2024",$0.1145,$0.1168,$0.1139,$0.1158,"$15,831,578","$964,683,325"
Algorand,ALGO,"Oct 26, 2024",$0.1141,$0.1152,$0.1117,$0.1145,"$25,618,056","$953,403,782"
Algorand,ALGO,"Oct 25, 2024",$0.122,$0.1223,$0.1114,$0.1141,"$31,675,190","$950,060,164"
Algorand,ALGO,"Oct 24, 2024",$0.1212,$0.123,$0.1198,$0.122,"$18,918,505","$1,016,315,681"
Algorand,ALGO,"Oct 23, 2024",$0.1241,$0.1244,$0.1181,$0.1208,"$22,500,408","$1,005,805,145"
Algorand,ALGO,"Oct 22, 2024",$0.1257,$0.1282,$0.1226,$0.1241,"$26,290,733","$1,033,487,421"
Algorand,ALGO,"Oct 21, 2024",$0.1303,$0.1314,$0.1249,$0.1257,"$29,361,383","$1,046,125,260"
Algorand,ALGO,"Oct 20, 2024",$0.1233,$0.1306,$0.1218,$0.1303,"$25,319,008","$1,084,650,937"
Algorand,ALGO,"Oct 19, 2024",$0.1232,$0.1264,$0.1219,$0.1233,"$18,384,365","$1,026,352,769"
