Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Arbitrum,ARB,"Feb 17, 2025",$0.4742,$0.5124,$0.4695,$0.4955,"$206,581,885","$2,189,966,826"
Arbitrum,ARB,"Feb 16, 2025",$0.477,$0.4891,$0.4721,$0.4742,"$116,855,106","$2,060,020,323"
Arbitrum,ARB,"Feb 15, 2025",$0.4979,$0.4986,$0.4721,$0.4769,"$95,496,885","$2,071,628,299"
Arbitrum,ARB,"Feb 14, 2025",$0.4875,$0.5105,$0.4843,$0.4979,"$183,806,258","$2,162,921,055"
Arbitrum,ARB,"Feb 13, 2025",$0.4933,$0.503,$0.477,$0.4875,"$179,286,648","$2,117,724,948"
Arbitrum,ARB,"Feb 12, 2025",$0.4631,$0.5063,$0.4531,$0.4933,"$272,876,627","$2,142,949,563"
Arbitrum,ARB,"Feb 11, 2025",$0.4719,$0.4933,$0.459,$0.4631,"$176,074,983","$2,011,445,492"
Arbitrum,ARB,"Feb 10, 2025",$0.45,$0.4801,$0.4365,$0.4719,"$183,140,799","$2,049,770,100"
Arbitrum,ARB,"Feb 09, 2025",$0.4507,$0.4667,$0.4292,$0.45,"$145,450,875","$1,954,549,460"
Arbitrum,ARB,"Feb 08, 2025",$0.4325,$0.4527,$0.4292,$0.4507,"$132,346,342","$1,957,650,249"
Arbitrum,ARB,"Feb 07, 2025",$0.4458,$0.4667,$0.4214,$0.4325,"$263,357,456","$1,878,688,593"
Arbitrum,ARB,"Feb 06, 2025",$0.4708,$0.4825,$0.4436,$0.4458,"$294,816,225","$1,936,651,944"
Arbitrum,ARB,"Feb 05, 2025",$0.4784,$0.4973,$0.4662,$0.4708,"$265,400,873","$2,045,059,518"
Arbitrum,ARB,"Feb 04, 2025",$0.5103,$0.5127,$0.453,$0.4784,"$483,060,438","$2,077,898,198"
Arbitrum,ARB,"Feb 03, 2025",$0.4933,$0.5148,$0.3721,$0.5103,"$984,250,778","$2,216,768,309"
Arbitrum,ARB,"Feb 02, 2025",$0.5791,$0.5901,$0.4721,$0.4933,"$506,308,283","$2,142,891,239"
Arbitrum,ARB,"Feb 01, 2025",$0.6411,$0.6519,$0.5734,$0.5791,"$387,234,225","$2,515,539,421"
Arbitrum,ARB,"Jan 31, 2025",$0.6305,$0.6732,$0.6156,$0.6411,"$313,864,308","$2,784,682,448"
Arbitrum,ARB,"Jan 30, 2025",$0.6051,$0.6422,$0.6007,$0.6305,"$210,996,523","$2,738,790,068"
Arbitrum,ARB,"Jan 29, 2025",$0.5934,$0.625,$0.5918,$0.6051,"$255,054,552","$2,628,496,717"
Arbitrum,ARB,"Jan 28, 2025",$0.6422,$0.6521,$0.5865,$0.5934,"$238,150,105","$2,577,682,034"
Arbitrum,ARB,"Jan 27, 2025",$0.6768,$0.6769,$0.6071,$0.6422,"$438,755,135","$2,789,567,366"
Arbitrum,ARB,"Jan 26, 2025",$0.7012,$0.7162,$0.6768,$0.6768,"$156,736,166","$2,940,050,046"
Arbitrum,ARB,"Jan 25, 2025",$0.6984,$0.7112,$0.6877,$0.7012,"$166,183,657","$3,045,950,126"
Arbitrum,ARB,"Jan 24, 2025",$0.7199,$0.7404,$0.6967,$0.6984,"$281,944,432","$3,033,641,450"
Arbitrum,ARB,"Jan 23, 2025",$0.7003,$0.7228,$0.6836,$0.7199,"$357,434,534","$3,127,264,498"
Arbitrum,ARB,"Jan 22, 2025",$0.7221,$0.7366,$0.6982,$0.7003,"$266,467,188","$3,042,021,985"
Arbitrum,ARB,"Jan 21, 2025",$0.6975,$0.7469,$0.6716,$0.7221,"$403,092,627","$3,136,780,457"
Arbitrum,ARB,"Jan 20, 2025",$0.6968,$0.7564,$0.6672,$0.6975,"$841,256,344","$3,029,678,432"
Arbitrum,ARB,"Jan 19, 2025",$0.7674,$0.7926,$0.6911,$0.6968,"$906,697,229","$3,026,915,052"
Arbitrum,ARB,"Jan 18, 2025",$0.8165,$0.8326,$0.7508,$0.7674,"$398,293,186","$3,333,681,857"
Arbitrum,ARB,"Jan 17, 2025",$0.7572,$0.8283,$0.7572,$0.8166,"$336,814,189","$3,546,979,327"
Arbitrum,ARB,"Jan 16, 2025",$0.7926,$0.7946,$0.7494,$0.7572,"$382,174,486","$3,187,964,457"
Arbitrum,ARB,"Jan 15, 2025",$0.7384,$0.7964,$0.719,$0.7925,"$353,731,817","$3,336,774,159"
Arbitrum,ARB,"Jan 14, 2025",$0.7031,$0.7438,$0.6992,$0.7384,"$248,547,164","$3,108,818,278"
Arbitrum,ARB,"Jan 13, 2025",$0.7304,$0.7476,$0.6567,$0.7031,"$428,352,736","$2,960,223,846"
Arbitrum,ARB,"Jan 12, 2025",$0.7436,$0.7493,$0.7206,$0.7304,"$208,459,345","$3,075,000,597"
Arbitrum,ARB,"Jan 11, 2025",$0.7484,$0.7593,$0.7255,$0.7436,"$234,257,404","$3,130,437,937"
Arbitrum,ARB,"Jan 10, 2025",$0.7431,$0.7735,$0.7355,$0.7484,"$405,524,465","$3,151,020,718"
Arbitrum,ARB,"Jan 09, 2025",$0.7889,$0.7975,$0.7334,$0.7431,"$411,400,244","$3,128,691,081"
Arbitrum,ARB,"Jan 08, 2025",$0.8212,$0.8293,$0.7564,$0.7889,"$551,380,006","$3,321,388,892"
Arbitrum,ARB,"Jan 07, 2025",$0.9192,$0.9204,$0.8193,$0.8212,"$504,377,813","$3,457,161,822"
Arbitrum,ARB,"Jan 06, 2025",$0.9165,$0.9531,$0.9041,$0.9192,"$594,261,402","$3,869,750,401"
Arbitrum,ARB,"Jan 05, 2025",$0.8958,$0.9205,$0.8786,$0.9165,"$483,745,164","$3,858,462,395"
Arbitrum,ARB,"Jan 04, 2025",$0.8331,$0.9059,$0.8256,$0.8958,"$561,243,001","$3,771,357,706"
Arbitrum,ARB,"Jan 03, 2025",$0.7747,$0.8358,$0.7624,$0.8331,"$348,839,237","$3,507,621,416"
Arbitrum,ARB,"Jan 02, 2025",$0.7447,$0.7831,$0.7446,$0.7747,"$310,899,828","$3,261,391,078"
Arbitrum,ARB,"Jan 01, 2025",$0.7213,$0.7481,$0.7047,$0.7447,"$195,924,020","$3,135,238,029"
Arbitrum,ARB,"Dec 31, 2024",$0.7321,$0.7554,$0.7145,$0.7213,"$232,583,952","$3,036,598,476"
Arbitrum,ARB,"Dec 30, 2024",$0.7419,$0.7691,$0.7195,$0.7321,"$370,545,834","$3,082,268,666"
Arbitrum,ARB,"Dec 29, 2024",$0.7748,$0.7804,$0.7345,$0.7419,"$217,039,067","$3,123,503,408"
Arbitrum,ARB,"Dec 28, 2024",$0.759,$0.7786,$0.7483,$0.7748,"$195,561,897","$3,261,930,038"
Arbitrum,ARB,"Dec 27, 2024",$0.7523,$0.7931,$0.7492,$0.759,"$374,766,344","$3,195,409,072"
Arbitrum,ARB,"Dec 26, 2024",$0.805,$0.8088,$0.7397,$0.7523,"$320,021,376","$3,167,147,040"
