Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Artificial Superintelligence Alliance,FET,"Feb 17, 2025",$0.7792,$0.8103,$0.7402,$0.7573,"$124,960,867","$1,809,725,641"
Artificial Superintelligence Alliance,FET,"Feb 16, 2025",$0.771,$0.811,$0.7582,$0.7792,"$88,480,713","$1,861,905,484"
Artificial Superintelligence Alliance,FET,"Feb 15, 2025",$0.8095,$0.8127,$0.7612,$0.771,"$88,089,105","$1,842,521,104"
Artificial Superintelligence Alliance,FET,"Feb 14, 2025",$0.7774,$0.8384,$0.771,$0.8095,"$122,513,346","$1,934,450,446"
Artificial Superintelligence Alliance,FET,"Feb 13, 2025",$0.8207,$0.8314,$0.7637,$0.7774,"$125,008,137","$1,857,591,840"
Artificial Superintelligence Alliance,FET,"Feb 12, 2025",$0.7588,$0.8363,$0.7186,$0.8207,"$182,686,862","$1,961,379,223"
Artificial Superintelligence Alliance,FET,"Feb 11, 2025",$0.7678,$0.8268,$0.7526,$0.7588,"$148,008,408","$1,813,420,256"
Artificial Superintelligence Alliance,FET,"Feb 10, 2025",$0.7697,$0.8035,$0.7417,$0.7678,"$149,457,548","$1,835,242,027"
Artificial Superintelligence Alliance,FET,"Feb 09, 2025",$0.7351,$0.7784,$0.7233,$0.7697,"$132,581,510","$1,839,766,588"
Artificial Superintelligence Alliance,FET,"Feb 08, 2025",$0.7304,$0.7398,$0.6899,$0.7351,"$110,928,779","$1,757,026,461"
Artificial Superintelligence Alliance,FET,"Feb 07, 2025",$0.7135,$0.7908,$0.7008,$0.7304,"$155,065,746","$1,745,906,372"
Artificial Superintelligence Alliance,FET,"Feb 06, 2025",$0.7619,$0.7796,$0.7089,$0.7135,"$130,607,960","$1,705,483,165"
Artificial Superintelligence Alliance,FET,"Feb 05, 2025",$0.7899,$0.804,$0.7471,$0.7619,"$131,886,989","$1,821,132,417"
Artificial Superintelligence Alliance,FET,"Feb 04, 2025",$0.863,$0.8657,$0.7591,$0.7899,"$242,083,010","$1,888,143,358"
Artificial Superintelligence Alliance,FET,"Feb 03, 2025",$0.8222,$0.8823,$0.6208,$0.863,"$865,278,945","$2,101,147,302"
Artificial Superintelligence Alliance,FET,"Feb 02, 2025",$0.9354,$0.9558,$0.7862,$0.8222,"$290,837,639","$2,001,569,363"
Artificial Superintelligence Alliance,FET,"Feb 01, 2025",$1.0269,$1.0454,$0.9352,$0.9354,"$122,047,262","$2,277,336,019"
Artificial Superintelligence Alliance,FET,"Jan 31, 2025",$1.0463,$1.0842,$1.0220,$1.0269,"$152,031,143","$2,500,169,578"
Artificial Superintelligence Alliance,FET,"Jan 30, 2025",$0.9915,$1.0643,$0.9801,$1.0463,"$161,681,649","$2,547,338,455"
Artificial Superintelligence Alliance,FET,"Jan 29, 2025",$0.9808,$1.0330,$0.953,$0.9915,"$231,036,359","$2,413,647,828"
Artificial Superintelligence Alliance,FET,"Jan 28, 2025",$1.1160,$1.1256,$0.9612,$0.9809,"$196,949,673","$2,387,793,517"
Artificial Superintelligence Alliance,FET,"Jan 27, 2025",$1.1810,$1.1842,$1.0575,$1.1160,"$247,476,613","$2,716,658,264"
Artificial Superintelligence Alliance,FET,"Jan 26, 2025",$1.2071,$1.2319,$1.1805,$1.1810,"$121,359,652","$2,874,996,643"
Artificial Superintelligence Alliance,FET,"Jan 25, 2025",$1.2241,$1.2298,$1.1811,$1.2071,"$111,634,378","$2,938,123,978"
Artificial Superintelligence Alliance,FET,"Jan 24, 2025",$1.2425,$1.2627,$1.1982,$1.2241,"$169,592,480","$2,979,447,146"
Artificial Superintelligence Alliance,FET,"Jan 23, 2025",$1.2793,$1.2793,$1.1944,$1.2425,"$270,198,335","$3,024,140,369"
Artificial Superintelligence Alliance,FET,"Jan 22, 2025",$1.3063,$1.3391,$1.2716,$1.2793,"$206,781,940","$3,114,160,918"
Artificial Superintelligence Alliance,FET,"Jan 21, 2025",$1.1860,$1.3247,$1.1294,$1.3063,"$268,098,586","$3,179,944,231"
Artificial Superintelligence Alliance,FET,"Jan 20, 2025",$1.1705,$1.3109,$1.1250,$1.1860,"$405,324,432","$2,887,125,942"
Artificial Superintelligence Alliance,FET,"Jan 19, 2025",$1.3086,$1.3254,$1.1591,$1.1705,"$357,861,867","$2,849,448,469"
Artificial Superintelligence Alliance,FET,"Jan 18, 2025",$1.4074,$1.4348,$1.2820,$1.3086,"$228,116,983","$3,185,646,590"
Artificial Superintelligence Alliance,FET,"Jan 17, 2025",$1.3343,$1.4254,$1.3335,$1.4074,"$227,769,518","$3,426,187,626"
