Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Bitget Token new,BGB,"Feb 17, 2025",$4.9156,$5.2311,$4.8757,$5.0489,"$419,975,379","$6,058,728,810"
Bitget Token new,BGB,"Feb 16, 2025",$5.1536,$5.2160,$4.8247,$4.9156,"$221,710,823","$5,898,665,302"
Bitget Token new,BGB,"Feb 15, 2025",$5.5259,$5.5259,$5.0026,$5.1536,"$215,797,102","$6,184,370,465"
Bitget Token new,BGB,"Feb 14, 2025",$5.4896,$5.6787,$5.4507,$5.5259,"$270,270,449","$6,631,133,231"
Bitget Token new,BGB,"Feb 13, 2025",$6.0226,$6.0872,$5.2169,$5.4896,"$430,429,364","$6,587,551,433"
Bitget Token new,BGB,"Feb 12, 2025",$6.3440,$6.3519,$5.7297,$6.0226,"$395,432,126","$7,227,099,639"
Bitget Token new,BGB,"Feb 11, 2025",$6.4507,$6.5064,$6.3295,$6.3440,"$216,567,877","$7,612,858,144"
Bitget Token new,BGB,"Feb 10, 2025",$6.3827,$6.5100,$6.3187,$6.4507,"$243,353,858","$7,740,865,852"
Bitget Token new,BGB,"Feb 09, 2025",$6.4068,$6.5097,$6.3048,$6.3827,"$218,858,480","$7,659,232,028"
Bitget Token new,BGB,"Feb 08, 2025",$6.6271,$6.6283,$6.3000,$6.4068,"$324,169,338","$7,688,164,755"
Bitget Token new,BGB,"Feb 07, 2025",$6.7408,$6.8008,$6.5738,$6.6271,"$431,829,755","$7,952,553,807"
Bitget Token new,BGB,"Feb 06, 2025",$6.5480,$6.8930,$6.5246,$6.7408,"$385,008,285","$8,088,998,868"
Bitget Token new,BGB,"Feb 05, 2025",$6.4992,$6.6536,$6.4621,$6.5480,"$298,716,099","$7,857,613,998"
Bitget Token new,BGB,"Feb 04, 2025",$6.6767,$6.6767,$6.3348,$6.4992,"$364,369,538","$7,799,006,211"
Bitget Token new,BGB,"Feb 03, 2025",$6.1705,$6.6814,$4.8477,$6.6767,"$562,033,198","$8,012,004,663"
Bitget Token new,BGB,"Feb 02, 2025",$6.7790,$6.8384,$5.9758,$6.1705,"$514,254,249","$7,404,580,831"
Bitget Token new,BGB,"Feb 01, 2025",$6.9666,$6.9879,$6.7505,$6.7790,"$241,345,965","$8,134,838,710"
Bitget Token new,BGB,"Jan 31, 2025",$6.9204,$7.1099,$6.8142,$6.9666,"$259,836,701","$8,359,962,395"
Bitget Token new,BGB,"Jan 30, 2025",$6.8224,$7.0196,$6.8201,$6.9204,"$213,581,803","$8,304,448,924"
Bitget Token new,BGB,"Jan 29, 2025",$6.9297,$7.0170,$6.6571,$6.8224,"$333,792,479","$8,186,864,968"
Bitget Token new,BGB,"Jan 28, 2025",$6.8989,$7.1506,$6.8361,$6.9297,"$541,037,370","$8,315,610,653"
Bitget Token new,BGB,"Jan 27, 2025",$7.2002,$7.2002,$6.5645,$6.8989,"$532,287,724","$8,278,644,703"
Bitget Token new,BGB,"Jan 26, 2025",$7.5814,$7.8585,$7.1596,$7.2002,"$356,095,249","$8,640,236,391"
Bitget Token new,BGB,"Jan 25, 2025",$7.4017,$7.8099,$7.3104,$7.5814,"$680,420,251","$9,097,692,071"
Bitget Token new,BGB,"Jan 24, 2025",$7.2013,$7.4926,$7.0987,$7.4017,"$394,861,201","$8,882,046,584"
Bitget Token new,BGB,"Jan 23, 2025",$7.0772,$7.2446,$7.0053,$7.2013,"$276,791,777","$8,641,500,523"
Bitget Token new,BGB,"Jan 22, 2025",$7.2240,$7.3345,$7.0508,$7.0772,"$120,728,973","$8,492,641,455"
Bitget Token new,BGB,"Jan 21, 2025",$7.0442,$7.2836,$6.9678,$7.2240,"$135,554,489","$8,668,765,181"
Bitget Token new,BGB,"Jan 20, 2025",$6.6560,$7.2268,$6.5957,$7.0442,"$293,222,276","$8,452,988,700"
Bitget Token new,BGB,"Jan 19, 2025",$6.8144,$7.0880,$6.5913,$6.6560,"$446,391,675","$7,987,196,634"
Bitget Token new,BGB,"Jan 18, 2025",$7.0105,$7.1608,$6.7071,$6.8144,"$172,904,400","$8,177,243,846"
Bitget Token new,BGB,"Jan 17, 2025",$6.6439,$7.1029,$6.6418,$7.0105,"$171,488,718","$8,412,559,592"
Bitget Token new,BGB,"Jan 16, 2025",$6.6290,$6.8017,$6.5275,$6.6439,"$85,698,689","$7,972,657,628"
Bitget Token new,BGB,"Jan 15, 2025",$6.5347,$6.6290,$6.3746,$6.6290,"$302,628,509","$7,954,859,340"
Bitget Token new,BGB,"Jan 14, 2025",$6.5673,$6.6950,$6.3222,$6.5347,"$541,953,824","$7,841,682,250"
Bitget Token new,BGB,"Jan 13, 2025",$7.1508,$7.1776,$6.1282,$6.5673,"$876,050,377","$7,880,702,649"
Bitget Token new,BGB,"Jan 12, 2025",$7.1063,$7.4756,$6.9979,$7.1508,"$368,772,679","$8,580,996,234"
Bitget Token new,BGB,"Jan 11, 2025",$6.7760,$7.3483,$6.7429,$7.1063,"$625,135,759","$8,527,561,324"
Bitget Token new,BGB,"Jan 10, 2025",$6.3391,$6.8564,$6.3391,$6.7760,"$569,718,490","$8,131,169,041"
Bitget Token new,BGB,"Jan 09, 2025",$6.3249,$6.4325,$6.2190,$6.3391,"$350,360,822","$7,606,883,090"
Bitget Token new,BGB,"Jan 08, 2025",$6.5603,$6.6167,$6.2176,$6.3249,"$354,703,331","$7,589,839,574"
Bitget Token new,BGB,"Jan 07, 2025",$6.2016,$6.6465,$6.1756,$6.5603,"$644,762,325","$7,872,323,445"
Bitget Token new,BGB,"Jan 06, 2025",$6.0094,$6.2784,$5.9693,$6.2016,"$308,893,890","$7,441,953,606"
Bitget Token new,BGB,"Jan 05, 2025",$6.0123,$6.1113,$5.9611,$6.0094,"$113,832,532","$7,211,286,591"
Bitget Token new,BGB,"Jan 04, 2025",$6.2692,$6.3160,$5.9591,$6.0123,"$227,389,988","$7,214,723,513"
Bitget Token new,BGB,"Jan 03, 2025",$6.3121,$6.4238,$6.0635,$6.2692,"$325,417,176","$7,522,983,347"
Bitget Token new,BGB,"Jan 02, 2025",$5.9141,$6.4533,$5.8494,$6.3121,"$491,339,271","$7,574,558,898"
Bitget Token new,BGB,"Jan 01, 2025",$5.9630,$6.2358,$5.7476,$5.9141,"$510,371,837","$11,828,218,488"
Bitget Token new,BGB,"Dec 31, 2024",$6.3859,$6.3859,$5.5394,$5.9630,"$795,013,204","$11,926,089,971"
Bitget Token new,BGB,"Dec 30, 2024",$6.3153,$7.1193,$6.0153,$6.3859,"$1,307,229,438","$8,940,297,966"
Bitget Token new,BGB,"Dec 29, 2024",$7.4869,$7.8352,$5.9996,$6.3153,"$1,157,556,497","$8,841,437,935"
Bitget Token new,BGB,"Dec 28, 2024",$8.1040,$8.4204,$7.2154,$7.4869,"$1,014,229,882","$10,481,690,308"
Bitget Token new,BGB,"Dec 27, 2024",$7.2923,$8.4851,$6.9002,$8.1040,"$1,243,209,557","$11,345,530,229"
Bitget Token new,BGB,"Dec 26, 2024",$5.8086,$7.8723,$5.7144,$7.2923,"$1,468,638,859","$10,209,263,755"
Bitget Token new,BGB,"Dec 25, 2024",$4.9198,$5.8859,$4.8705,$5.8086,"$685,771,248","$8,132,094,897"
Bitget Token new,BGB,"Dec 24, 2024",$4.2677,$5.0315,$4.1307,$4.9198,"$332,439,437","$6,887,732,548"
Bitget Token new,BGB,"Dec 23, 2024",$4.1298,$4.3377,$3.9505,$4.2677,"$142,869,052","$5,974,750,403"
Bitget Token new,BGB,"Dec 22, 2024",$4.1406,$4.2866,$4.0800,$4.1298,"$199,008,724","$5,781,744,025"
Bitget Token new,BGB,"Dec 21, 2024",$4.3120,$4.6980,$4.0640,$4.1406,"$291,818,942","$5,796,780,722"
Bitget Token new,BGB,"Dec 20, 2024",$4.5263,$4.5279,$3.5512,$4.3120,"$455,884,676","$6,036,851,695"
Bitget Token new,BGB,"Dec 19, 2024",$4.1538,$4.8799,$3.8614,$4.5263,"$577,396,477","$6,336,757,662"
Bitget Token new,BGB,"Dec 18, 2024",$3.8977,$4.4520,$3.8807,$4.1538,"$432,314,115","$5,815,276,117"
Bitget Token new,BGB,"Dec 17, 2024",$3.4410,$3.9646,$3.4278,$3.8977,"$240,688,095","$5,456,729,197"
Bitget Token new,BGB,"Dec 16, 2024",$3.0980,$3.4966,$3.0794,$3.4410,"$271,183,651","$4,817,398,291"
Bitget Token new,BGB,"Dec 15, 2024",$3.0847,$3.1357,$2.8995,$3.0980,"$159,613,984","$4,337,235,228"
Bitget Token new,BGB,"Dec 14, 2024",$3.2400,$3.3367,$2.9483,$3.0847,"$191,015,569","$4,318,555,852"
Bitget Token new,BGB,"Dec 13, 2024",$3.1482,$3.2840,$3.0998,$3.2156,"$158,549,030","$4,501,853,001"
Bitget Token new,BGB,"Dec 12, 2024",$3.1683,$3.4982,$3.0704,$3.1482,"$336,349,621","$4,407,494,292"
Bitget Token new,BGB,"Dec 11, 2024",$2.7620,$3.2972,$2.7044,$3.1683,"$424,299,718","$4,435,688,535"
Bitget Token new,BGB,"Dec 10, 2024",$2.5132,$2.8524,$2.4084,$2.7620,"$317,855,279","$3,866,785,848"
Bitget Token new,BGB,"Dec 09, 2024",$2.6600,$2.7087,$2.4042,$2.5132,"$238,514,902","$3,518,450,002"
Bitget Token new,BGB,"Dec 08, 2024",$2.6968,$2.8494,$2.5540,$2.6587,"$191,437,347","$3,722,170,943"
Bitget Token new,BGB,"Dec 07, 2024",$2.3705,$2.9519,$2.2975,$2.7224,"$314,347,410","$3,811,368,912"
Bitget Token new,BGB,"Dec 06, 2024",$1.9362,$2.4235,$1.9142,$2.3705,"$287,540,695","$3,318,670,077"
Bitget Token new,BGB,"Dec 05, 2024",$1.7928,$1.9650,$1.7336,$1.9417,"$129,220,777","$2,718,325,104"
Bitget Token new,BGB,"Dec 04, 2024",$1.6058,$1.7932,$1.6058,$1.7928,"$79,416,760","$2,509,927,723"
Bitget Token new,BGB,"Dec 03, 2024",$1.5847,$1.6241,$1.5091,$1.6058,"$48,258,200","$2,248,159,912"
Bitget Token new,BGB,"Dec 02, 2024",$1.6048,$1.6423,$1.5559,$1.5847,"$89,514,617","$2,218,543,648"
Bitget Token new,BGB,"Dec 01, 2024",$1.6124,$1.6268,$1.5848,$1.6118,"$80,915,750","$2,256,578,762"
Bitget Token new,BGB,"Nov 30, 2024",$1.6324,$1.6793,$1.5943,$1.6124,"$71,334,041","$2,257,353,471"
Bitget Token new,BGB,"Nov 29, 2024",$1.6238,$1.6405,$1.5946,$1.6324,"$70,906,171","$2,285,310,829"
Bitget Token new,BGB,"Nov 28, 2024",$1.6218,$1.6276,$1.5852,$1.6238,"$82,920,145","$2,273,263,995"
Bitget Token new,BGB,"Nov 27, 2024",$1.5617,$1.6353,$1.5367,$1.6218,"$103,118,506","$2,270,498,512"
Bitget Token new,BGB,"Nov 26, 2024",$1.5960,$1.6259,$1.5231,$1.5617,"$122,755,755","$2,186,448,016"
Bitget Token new,BGB,"Nov 25, 2024",$1.5955,$1.7039,$1.5780,$1.5960,"$120,277,398","$2,234,425,670"
Bitget Token new,BGB,"Nov 24, 2024",$1.5562,$1.6295,$1.5498,$1.5955,"$69,621,059","$2,233,735,221"
Bitget Token new,BGB,"Nov 23, 2024",$1.4999,$1.5975,$1.4855,$1.5562,"$56,156,563","$2,178,710,624"
Bitget Token new,BGB,"Nov 22, 2024",$1.4383,$1.5123,$1.4192,$1.4999,"$67,207,798","$2,099,865,523"
Bitget Token new,BGB,"Nov 21, 2024",$1.3405,$1.4399,$1.3309,$1.4383,"$60,945,533","$2,013,553,939"
Bitget Token new,BGB,"Nov 20, 2024",$1.3524,$1.3681,$1.3326,$1.3405,"$46,666,683","$1,876,686,785"
Bitget Token new,BGB,"Nov 19, 2024",$1.3680,$1.3680,$1.3291,$1.3524,"$85,161,556","$1,893,336,507"
Bitget Token new,BGB,"Nov 18, 2024",$1.3747,$1.3899,$1.3460,$1.3680,"$63,842,821","$1,915,217,566"
Bitget Token new,BGB,"Nov 17, 2024",$1.3901,$1.3985,$1.3447,$1.3747,"$41,760,735","$1,924,528,787"
Bitget Token new,BGB,"Nov 16, 2024",$1.3679,$1.4154,$1.3668,$1.3901,"$76,520,792","$1,946,073,099"
Bitget Token new,BGB,"Nov 15, 2024",$1.3721,$1.3772,$1.3145,$1.3719,"$79,460,374","$1,920,689,029"
Bitget Token new,BGB,"Nov 14, 2024",$1.4438,$1.4792,$1.3686,$1.3721,"$72,138,642","$1,920,915,088"
Bitget Token new,BGB,"Nov 13, 2024",$1.4203,$1.4746,$1.3906,$1.4438,"$64,141,260","$2,021,314,165"
Bitget Token new,BGB,"Nov 12, 2024",$1.3631,$1.4270,$1.3322,$1.4203,"$93,745,403","$1,988,352,317"
Bitget Token new,BGB,"Nov 11, 2024",$1.2937,$1.3634,$1.2678,$1.3631,"$81,941,414","$1,908,324,620"
Bitget Token new,BGB,"Nov 10, 2024",$1.2699,$1.3174,$1.2598,$1.2937,"$41,354,969","$1,811,230,376"
Bitget Token new,BGB,"Nov 09, 2024",$1.2271,$1.2731,$1.2271,$1.2699,"$69,428,776","$1,777,866,077"
Bitget Token new,BGB,"Nov 08, 2024",$1.2416,$1.2417,$1.2145,$1.2271,"$52,995,386","$1,717,919,491"
Bitget Token new,BGB,"Nov 07, 2024",$1.1909,$1.2704,$1.1849,$1.2306,"$40,727,662","$1,722,837,455"
Bitget Token new,BGB,"Nov 06, 2024",$1.1546,$1.1914,$1.1538,$1.1910,"$41,451,564","$1,667,463,753"
Bitget Token new,BGB,"Nov 05, 2024",$1.1043,$1.1591,$1.1033,$1.1546,"$63,953,087","$1,616,483,086"
Bitget Token new,BGB,"Nov 04, 2024",$1.1177,$1.1222,$1.1011,$1.1043,"$56,076,089","$1,545,965,044"
Bitget Token new,BGB,"Nov 03, 2024",$1.1214,$1.1255,$1.1007,$1.1177,"$32,466,247","$1,564,840,778"
Bitget Token new,BGB,"Nov 02, 2024",$1.1325,$1.1415,$1.1161,$1.1214,"$37,557,056","$1,569,995,946"
Bitget Token new,BGB,"Nov 01, 2024",$1.1371,$1.1439,$1.1130,$1.1325,"$73,802,833","$1,585,514,299"
Bitget Token new,BGB,"Oct 31, 2024",$1.1610,$1.1611,$1.1232,$1.1371,"$51,554,841","$1,591,908,217"
Bitget Token new,BGB,"Oct 30, 2024",$1.1783,$1.1796,$1.1588,$1.1610,"$37,796,932","$1,625,465,863"
Bitget Token new,BGB,"Oct 29, 2024",$1.1725,$1.1922,$1.1700,$1.1783,"$40,201,698","$1,649,669,931"
Bitget Token new,BGB,"Oct 28, 2024",$1.1752,$1.1761,$1.1511,$1.1725,"$60,689,718","$1,641,454,784"
Bitget Token new,BGB,"Oct 27, 2024",$1.1737,$1.1902,$1.1651,$1.1752,"$59,789,084","$1,645,302,567"
Bitget Token new,BGB,"Oct 26, 2024",$1.1495,$1.1741,$1.1476,$1.1737,"$57,114,341","$1,643,244,890"
Bitget Token new,BGB,"Oct 25, 2024",$1.1952,$1.1952,$1.1401,$1.1495,"$35,597,316","$1,609,290,135"
Bitget Token new,BGB,"Oct 24, 2024",$1.1733,$1.2079,$1.1730,$1.2027,"$60,272,917","$1,683,808,239"
Bitget Token new,BGB,"Oct 23, 2024",$1.1598,$1.1724,$1.1477,$1.1724,"$39,524,014","$1,641,422,341"
Bitget Token new,BGB,"Oct 22, 2024",$1.1571,$1.1631,$1.1465,$1.1598,"$44,151,597","$1,623,720,896"
Bitget Token new,BGB,"Oct 21, 2024",$1.1511,$1.1587,$1.1403,$1.1571,"$35,373,905","$1,619,972,255"
Bitget Token new,BGB,"Oct 20, 2024",$1.1401,$1.1497,$1.1354,$1.1497,"$40,802,445","$1,609,641,453"
Bitget Token new,BGB,"Oct 19, 2024",$1.1347,$1.1452,$1.1252,$1.1401,"$31,076,919","$1,596,171,263"
Bitget Token new,BGB,"Oct 18, 2024",$1.0984,$1.1353,$1.0945,$1.1347,"$64,593,876","$1,588,645,667"
Bitget Token new,BGB,"Oct 17, 2024",$1.1158,$1.1174,$1.0914,$1.0984,"$41,687,455","$1,537,719,669"
Bitget Token new,BGB,"Oct 16, 2024",$1.1112,$1.1198,$1.1098,$1.1158,"$26,763,416","$1,562,159,131"
Bitget Token new,BGB,"Oct 15, 2024",$1.1041,$1.1260,$1.0903,$1.1112,"$32,354,517","$1,555,663,452"
Bitget Token new,BGB,"Oct 14, 2024",$1.0846,$1.1189,$1.0840,$1.1041,"$31,787,153","$1,545,687,593"
Bitget Token new,BGB,"Oct 13, 2024",$1.0814,$1.0847,$1.0776,$1.0846,"$23,692,081","$1,518,508,236"
Bitget Token new,BGB,"Oct 12, 2024",$1.0827,$1.0890,$1.0752,$1.0814,"$27,337,335","$1,513,951,327"
