Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
DeXe,DEXE,"Feb 17, 2025",$17.43,$18.19,$17.35,$18.01,"$6,601,669","$1,508,071,182"
DeXe,DEXE,"Feb 16, 2025",$17.83,$17.83,$17.03,$17.43,"$6,702,885","$1,459,272,291"
DeXe,DEXE,"Feb 15, 2025",$18.12,$18.44,$17.65,$17.83,"$6,957,154","$1,492,675,489"
DeXe,DEXE,"Feb 14, 2025",$17.66,$18.47,$17.62,$18.12,"$8,634,113","$1,516,891,728"
DeXe,DEXE,"Feb 13, 2025",$18.63,$18.68,$17.36,$17.66,"$10,349,382","$1,478,807,994"
DeXe,DEXE,"Feb 12, 2025",$19.10,$19.11,$17.75,$18.63,"$14,217,962","$1,559,971,795"
DeXe,DEXE,"Feb 11, 2025",$19.39,$19.64,$18.78,$19.10,"$15,322,139","$1,598,938,063"
DeXe,DEXE,"Feb 10, 2025",$19.56,$19.82,$18.84,$19.39,"$12,249,536","$1,623,831,717"
DeXe,DEXE,"Feb 09, 2025",$20.07,$22.75,$18.83,$19.56,"$28,503,908","$1,638,014,412"
DeXe,DEXE,"Feb 08, 2025",$20.60,$20.94,$19.72,$20.07,"$8,725,477","$1,680,830,604"
DeXe,DEXE,"Feb 07, 2025",$20.19,$21.04,$19.62,$20.60,"$13,732,315","$1,724,869,025"
DeXe,DEXE,"Feb 06, 2025",$20.76,$21.49,$19.89,$20.19,"$14,751,140","$1,690,303,290"
DeXe,DEXE,"Feb 05, 2025",$21.04,$22.06,$20.52,$20.76,"$18,998,738","$1,738,602,464"
DeXe,DEXE,"Feb 04, 2025",$24.01,$24.03,$20.78,$21.04,"$24,232,070","$1,761,463,848"
DeXe,DEXE,"Feb 03, 2025",$20.24,$24.09,$19.55,$24.01,"$52,797,905","$2,010,636,786"
DeXe,DEXE,"Feb 02, 2025",$21.02,$21.70,$19.67,$20.24,"$26,061,873","$1,695,167,588"
DeXe,DEXE,"Feb 01, 2025",$21.57,$22.20,$20.69,$21.02,"$26,008,005","$1,760,175,202"
DeXe,DEXE,"Jan 31, 2025",$21.03,$21.79,$20.34,$21.57,"$53,398,861","$1,806,367,531"
DeXe,DEXE,"Jan 30, 2025",$16.18,$21.21,$15.73,$21.03,"$80,012,429","$1,761,313,504"
DeXe,DEXE,"Jan 29, 2025",$19.43,$19.89,$13.60,$16.18,"$94,107,582","$1,354,742,820"
DeXe,DEXE,"Jan 28, 2025",$21.40,$21.78,$19.03,$19.43,"$26,168,102","$1,627,112,748"
DeXe,DEXE,"Jan 27, 2025",$19.64,$21.68,$19.24,$21.40,"$37,126,619","$1,791,959,518"
DeXe,DEXE,"Jan 26, 2025",$19.54,$20.55,$19.41,$19.64,"$23,032,064","$1,644,627,955"
DeXe,DEXE,"Jan 25, 2025",$18.59,$20.04,$18.48,$19.54,"$24,078,559","$1,636,219,197"
DeXe,DEXE,"Jan 24, 2025",$19.39,$20.09,$18.48,$18.59,"$27,334,624","$1,556,633,757"
DeXe,DEXE,"Jan 23, 2025",$19.57,$19.67,$18.57,$19.39,"$26,784,639","$1,623,227,606"
DeXe,DEXE,"Jan 22, 2025",$19.60,$21.34,$19.18,$19.57,"$29,500,537","$1,638,542,995"
DeXe,DEXE,"Jan 21, 2025",$18.74,$20.38,$18.14,$19.60,"$27,647,162","$1,641,033,781"
DeXe,DEXE,"Jan 20, 2025",$17.56,$19.68,$17.39,$18.74,"$39,315,628","$1,569,407,268"
DeXe,DEXE,"Jan 19, 2025",$17.44,$18.51,$16.51,$17.56,"$24,197,751","$1,470,446,747"
