Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Decentraland,MANA,"Feb 18, 2025",$0.3292,$0.3309,$0.305,$0.3135,"$52,962,985","$608,898,760"
Decentraland,MANA,"Feb 17, 2025",$0.3291,$0.3425,$0.324,$0.3292,"$54,737,795","$639,390,484"
Decentraland,MANA,"Feb 16, 2025",$0.3287,$0.3396,$0.3251,$0.3291,"$41,137,790","$639,171,749"
Decentraland,MANA,"Feb 15, 2025",$0.3392,$0.3423,$0.3249,$0.3286,"$39,903,658","$638,336,039"
Decentraland,MANA,"Feb 14, 2025",$0.3293,$0.3478,$0.3291,$0.3392,"$48,314,518","$658,779,753"
Decentraland,MANA,"Feb 13, 2025",$0.3396,$0.3415,$0.3236,$0.3293,"$54,510,814","$639,629,353"
Decentraland,MANA,"Feb 12, 2025",$0.3247,$0.345,$0.3138,$0.3396,"$64,770,654","$659,607,281"
Decentraland,MANA,"Feb 11, 2025",$0.3318,$0.3504,$0.321,$0.3247,"$68,816,685","$630,656,737"
Decentraland,MANA,"Feb 10, 2025",$0.3168,$0.3329,$0.3054,$0.3318,"$67,908,169","$644,510,294"
Decentraland,MANA,"Feb 09, 2025",$0.3239,$0.3321,$0.3031,$0.3168,"$47,827,383","$615,317,289"
Decentraland,MANA,"Feb 08, 2025",$0.3139,$0.3253,$0.3087,$0.3239,"$47,146,929","$629,190,181"
Decentraland,MANA,"Feb 07, 2025",$0.3092,$0.3342,$0.3051,$0.3139,"$66,030,906","$609,598,981"
Decentraland,MANA,"Feb 06, 2025",$0.327,$0.3335,$0.3063,$0.3092,"$66,138,900","$600,624,395"
Decentraland,MANA,"Feb 05, 2025",$0.3292,$0.3426,$0.3243,$0.327,"$71,210,280","$635,099,926"
Decentraland,MANA,"Feb 04, 2025",$0.3517,$0.3569,$0.3147,$0.3292,"$94,400,243","$639,451,737"
Decentraland,MANA,"Feb 03, 2025",$0.3556,$0.356,$0.2723,$0.3517,"$195,933,911","$683,053,055"
Decentraland,MANA,"Feb 02, 2025",$0.4129,$0.4216,$0.3416,$0.3556,"$123,307,465","$690,605,210"
Decentraland,MANA,"Feb 01, 2025",$0.4477,$0.4533,$0.4099,$0.413,"$77,326,880","$802,205,042"
Decentraland,MANA,"Jan 31, 2025",$0.4484,$0.4654,$0.4389,$0.4477,"$72,473,110","$869,514,308"
Decentraland,MANA,"Jan 30, 2025",$0.428,$0.4543,$0.4257,$0.4484,"$77,810,071","$870,840,951"
Decentraland,MANA,"Jan 29, 2025",$0.4171,$0.4425,$0.4155,$0.428,"$80,018,362","$831,252,737"
Decentraland,MANA,"Jan 28, 2025",$0.4488,$0.4534,$0.4137,$0.4171,"$67,842,010","$810,110,879"
Decentraland,MANA,"Jan 27, 2025",$0.456,$0.4564,$0.4147,$0.4488,"$110,260,839","$871,748,901"
Decentraland,MANA,"Jan 26, 2025",$0.4738,$0.4827,$0.4556,$0.456,"$55,230,745","$885,661,184"
Decentraland,MANA,"Jan 25, 2025",$0.4713,$0.4794,$0.4651,$0.4738,"$54,834,329","$920,287,614"
Decentraland,MANA,"Jan 24, 2025",$0.4797,$0.4923,$0.4643,$0.4713,"$75,726,736","$915,363,065"
Decentraland,MANA,"Jan 23, 2025",$0.477,$0.489,$0.4636,$0.4797,"$90,170,416","$931,701,810"
Decentraland,MANA,"Jan 22, 2025",$0.496,$0.4981,$0.4766,$0.477,"$75,325,925","$926,499,546"
Decentraland,MANA,"Jan 21, 2025",$0.481,$0.5118,$0.4602,$0.496,"$111,946,977","$963,453,681"
Decentraland,MANA,"Jan 20, 2025",$0.4619,$0.5136,$0.4473,$0.481,"$183,407,379","$934,215,267"
Decentraland,MANA,"Jan 19, 2025",$0.5209,$0.5388,$0.457,$0.4619,"$163,401,134","$897,185,487"
Decentraland,MANA,"Jan 18, 2025",$0.5618,$0.5677,$0.5098,$0.5209,"$110,884,533","$1,011,788,018"
Decentraland,MANA,"Jan 17, 2025",$0.5194,$0.5708,$0.5194,$0.5654,"$125,170,505","$1,098,070,480"
Decentraland,MANA,"Jan 16, 2025",$0.5341,$0.5352,$0.5112,$0.5183,"$93,311,907","$1,006,692,465"
Decentraland,MANA,"Jan 15, 2025",$0.4967,$0.5352,$0.4896,$0.5341,"$101,287,044","$1,037,349,756"
Decentraland,MANA,"Jan 14, 2025",$0.4753,$0.4989,$0.4732,$0.4967,"$72,177,409","$964,718,333"
Decentraland,MANA,"Jan 13, 2025",$0.4807,$0.4955,$0.4422,$0.4753,"$103,906,282","$923,210,507"
Decentraland,MANA,"Jan 12, 2025",$0.4977,$0.5009,$0.4737,$0.4807,"$61,535,112","$933,563,253"
Decentraland,MANA,"Jan 11, 2025",$0.5039,$0.5078,$0.4858,$0.4977,"$72,961,760","$966,622,655"
Decentraland,MANA,"Jan 10, 2025",$0.4935,$0.5074,$0.4876,$0.5039,"$113,320,861","$978,620,314"
Decentraland,MANA,"Jan 09, 2025",$0.4895,$0.5056,$0.48,$0.4935,"$114,985,538","$958,552,249"
Decentraland,MANA,"Jan 08, 2025",$0.5134,$0.5197,$0.468,$0.4895,"$113,273,195","$950,670,746"
Decentraland,MANA,"Jan 07, 2025",$0.5757,$0.5761,$0.5131,$0.5134,"$116,511,625","$997,148,727"
Decentraland,MANA,"Jan 06, 2025",$0.5474,$0.5985,$0.5434,$0.5757,"$182,518,146","$1,118,067,408"
Decentraland,MANA,"Jan 05, 2025",$0.5501,$0.552,$0.535,$0.5474,"$83,642,450","$1,063,228,203"
Decentraland,MANA,"Jan 04, 2025",$0.555,$0.5649,$0.5419,$0.5501,"$106,155,337","$1,068,426,436"
Decentraland,MANA,"Jan 03, 2025",$0.5079,$0.5602,$0.5015,$0.555,"$144,145,968","$1,077,904,196"
Decentraland,MANA,"Jan 02, 2025",$0.496,$0.5114,$0.4959,$0.5079,"$110,671,001","$986,386,595"
Decentraland,MANA,"Jan 01, 2025",$0.466,$0.5019,$0.4561,$0.496,"$80,271,832","$963,364,701"
Decentraland,MANA,"Dec 31, 2024",$0.478,$0.4891,$0.462,$0.466,"$80,651,580","$905,014,686"
Decentraland,MANA,"Dec 30, 2024",$0.4826,$0.4989,$0.4594,$0.478,"$93,081,982","$928,411,261"
Decentraland,MANA,"Dec 29, 2024",$0.5034,$0.5203,$0.4778,$0.4827,"$105,579,725","$937,371,669"
