Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Dogecoin,DOGE,"Feb 17, 2025",$0.2658,$0.2685,$0.2545,$0.2581,"$1,369,340,298","$38,228,957,853"
Dogecoin,DOGE,"Feb 16, 2025",$0.2717,$0.2738,$0.2642,$0.2657,"$969,472,255","$39,352,272,441"
Dogecoin,DOGE,"Feb 15, 2025",$0.2719,$0.2827,$0.2689,$0.2717,"$1,624,562,147","$40,232,327,443"
Dogecoin,DOGE,"Feb 14, 2025",$0.2625,$0.2853,$0.2612,$0.2719,"$2,320,487,584","$40,259,052,969"
Dogecoin,DOGE,"Feb 13, 2025",$0.2641,$0.2669,$0.2541,$0.2625,"$1,492,303,517","$38,857,726,682"
Dogecoin,DOGE,"Feb 12, 2025",$0.2531,$0.267,$0.2489,$0.2641,"$1,949,247,514","$39,096,724,987"
Dogecoin,DOGE,"Feb 11, 2025",$0.2553,$0.2692,$0.249,$0.2531,"$1,721,245,015","$37,463,977,837"
Dogecoin,DOGE,"Feb 10, 2025",$0.2493,$0.2559,$0.2421,$0.2553,"$1,342,589,439","$37,777,516,902"
Dogecoin,DOGE,"Feb 09, 2025",$0.2533,$0.2598,$0.2403,$0.2493,"$1,242,077,795","$36,889,844,250"
Dogecoin,DOGE,"Feb 08, 2025",$0.2466,$0.254,$0.245,$0.2533,"$989,182,891","$37,474,703,855"
Dogecoin,DOGE,"Feb 07, 2025",$0.2481,$0.2612,$0.2395,$0.2466,"$2,042,225,149","$36,487,092,009"
Dogecoin,DOGE,"Feb 06, 2025",$0.2562,$0.2657,$0.2439,$0.2481,"$1,892,595,490","$36,700,671,758"
Dogecoin,DOGE,"Feb 05, 2025",$0.2641,$0.269,$0.2544,$0.2562,"$1,818,131,454","$37,903,370,941"
Dogecoin,DOGE,"Feb 04, 2025",$0.285,$0.2885,$0.2563,$0.2641,"$4,306,969,827","$39,067,743,383"
Dogecoin,DOGE,"Feb 03, 2025",$0.2675,$0.2925,$0.2117,$0.285,"$11,007,373,557","$42,153,422,686"
Dogecoin,DOGE,"Feb 02, 2025",$0.3084,$0.3146,$0.2546,$0.2675,"$5,607,210,222","$39,560,494,140"
Dogecoin,DOGE,"Feb 01, 2025",$0.3287,$0.3319,$0.3043,$0.3084,"$1,577,548,524","$45,600,041,038"
Dogecoin,DOGE,"Jan 31, 2025",$0.3315,$0.3407,$0.3243,$0.3287,"$1,796,042,122","$48,604,920,116"
Dogecoin,DOGE,"Jan 30, 2025",$0.3239,$0.3381,$0.3229,$0.3315,"$1,365,524,939","$49,011,484,835"
Dogecoin,DOGE,"Jan 29, 2025",$0.3191,$0.3335,$0.3179,$0.3239,"$1,981,300,959","$47,877,872,269"
Dogecoin,DOGE,"Jan 28, 2025",$0.3338,$0.3386,$0.3158,$0.3191,"$2,019,292,120","$47,164,372,620"
Dogecoin,DOGE,"Jan 27, 2025",$0.3363,$0.3367,$0.3078,$0.3338,"$4,453,314,117","$49,339,281,344"
Dogecoin,DOGE,"Jan 26, 2025",$0.3538,$0.357,$0.3363,$0.3363,"$1,263,299,832","$49,705,392,370"
Dogecoin,DOGE,"Jan 25, 2025",$0.3507,$0.3596,$0.346,$0.3538,"$1,500,843,148","$52,279,468,760"
Dogecoin,DOGE,"Jan 24, 2025",$0.3523,$0.3639,$0.3433,$0.3507,"$2,122,786,422","$51,826,077,225"
Dogecoin,DOGE,"Jan 23, 2025",$0.363,$0.3641,$0.343,$0.3524,"$3,093,003,294","$52,052,080,272"
Dogecoin,DOGE,"Jan 22, 2025",$0.3716,$0.3733,$0.356,$0.3631,"$2,940,097,446","$53,624,854,700"
Dogecoin,DOGE,"Jan 21, 2025",$0.3546,$0.4002,$0.3359,$0.3716,"$9,507,969,594","$54,891,473,215"
Dogecoin,DOGE,"Jan 20, 2025",$0.3577,$0.385,$0.3472,$0.3546,"$8,850,825,869","$52,373,181,227"
Dogecoin,DOGE,"Jan 19, 2025",$0.3961,$0.409,$0.3521,$0.3578,"$9,531,626,101","$52,835,886,583"
Dogecoin,DOGE,"Jan 18, 2025",$0.4159,$0.4335,$0.3872,$0.3961,"$7,331,618,418","$58,493,944,241"
Dogecoin,DOGE,"Jan 17, 2025",$0.3767,$0.4205,$0.376,$0.4159,"$6,276,540,245","$61,416,506,087"
Dogecoin,DOGE,"Jan 16, 2025",$0.3857,$0.3893,$0.3685,$0.3767,"$4,097,841,421","$55,621,882,141"
Dogecoin,DOGE,"Jan 15, 2025",$0.3561,$0.3874,$0.3487,$0.3857,"$4,079,184,871","$56,946,477,236"
Dogecoin,DOGE,"Jan 14, 2025",$0.3383,$0.3611,$0.3361,$0.3561,"$3,143,614,167","$52,571,803,436"
Dogecoin,DOGE,"Jan 13, 2025",$0.336,$0.3452,$0.3114,$0.3383,"$3,713,750,868","$49,936,839,121"
Dogecoin,DOGE,"Jan 12, 2025",$0.3409,$0.343,$0.3323,$0.336,"$1,436,724,129","$49,586,661,355"
Dogecoin,DOGE,"Jan 11, 2025",$0.334,$0.3478,$0.3301,$0.341,"$1,461,005,907","$50,319,105,166"
Dogecoin,DOGE,"Jan 10, 2025",$0.3209,$0.3385,$0.3209,$0.334,"$3,222,794,655","$49,285,846,669"
Dogecoin,DOGE,"Jan 09, 2025",$0.3422,$0.3463,$0.3151,$0.3209,"$3,614,560,190","$47,352,558,197"
Dogecoin,DOGE,"Jan 08, 2025",$0.3484,$0.3551,$0.3268,$0.3422,"$4,416,730,765","$50,496,534,704"
Dogecoin,DOGE,"Jan 07, 2025",$0.388,$0.3978,$0.3484,$0.3484,"$5,280,516,863","$51,404,997,922"
Dogecoin,DOGE,"Jan 06, 2025",$0.3825,$0.3937,$0.3766,$0.388,"$2,937,148,475","$57,229,553,335"
Dogecoin,DOGE,"Jan 05, 2025",$0.3947,$0.3973,$0.3763,$0.3826,"$2,594,267,525","$56,419,107,067"
Dogecoin,DOGE,"Jan 04, 2025",$0.3793,$0.398,$0.378,$0.3947,"$4,431,717,187","$58,221,039,450"
Dogecoin,DOGE,"Jan 03, 2025",$0.3386,$0.3878,$0.3359,$0.3793,"$4,823,481,336","$55,935,146,784"
Dogecoin,DOGE,"Jan 02, 2025",$0.3243,$0.3442,$0.3243,$0.3386,"$3,205,163,576","$49,932,241,384"
Dogecoin,DOGE,"Jan 01, 2025",$0.3157,$0.3265,$0.3117,$0.3243,"$1,532,271,286","$47,818,409,945"
Dogecoin,DOGE,"Dec 31, 2024",$0.3135,$0.3279,$0.3094,$0.3157,"$2,204,579,838","$46,542,609,213"
Dogecoin,DOGE,"Dec 30, 2024",$0.3143,$0.3225,$0.3065,$0.3135,"$2,526,977,895","$46,219,241,116"
Dogecoin,DOGE,"Dec 29, 2024",$0.3239,$0.3289,$0.3117,$0.3143,"$1,654,780,626","$46,333,185,745"
Dogecoin,DOGE,"Dec 28, 2024",$0.3111,$0.3259,$0.3111,$0.3239,"$1,410,132,054","$47,743,531,518"
Dogecoin,DOGE,"Dec 27, 2024",$0.3123,$0.3238,$0.3098,$0.311,"$2,157,162,506","$45,843,670,039"
Dogecoin,DOGE,"Dec 26, 2024",$0.3343,$0.3374,$0.309,$0.3123,"$2,514,756,816","$46,016,139,787"
Dogecoin,DOGE,"Dec 25, 2024",$0.3369,$0.3414,$0.3269,$0.3343,"$2,538,802,504","$49,260,756,490"
Dogecoin,DOGE,"Dec 24, 2024",$0.3242,$0.3394,$0.3164,$0.3369,"$3,138,423,654","$49,642,503,828"
Dogecoin,DOGE,"Dec 23, 2024",$0.3122,$0.3279,$0.3033,$0.3242,"$4,390,431,993","$47,765,755,832"
Dogecoin,DOGE,"Dec 22, 2024",$0.3209,$0.324,$0.3057,$0.3122,"$4,115,525,341","$45,990,706,197"
Dogecoin,DOGE,"Dec 21, 2024",$0.3177,$0.3494,$0.3152,$0.321,"$6,875,286,934","$47,268,777,400"
Dogecoin,DOGE,"Dec 20, 2024",$0.3151,$0.3281,$0.2644,$0.3177,"$11,414,899,319","$46,795,201,021"
Dogecoin,DOGE,"Dec 19, 2024",$0.358,$0.367,$0.3028,$0.3151,"$9,565,836,573","$46,398,400,054"
Dogecoin,DOGE,"Dec 18, 2024",$0.3943,$0.3962,$0.3565,$0.358,"$5,749,656,033","$52,725,144,246"
Dogecoin,DOGE,"Dec 17, 2024",$0.4019,$0.4099,$0.3916,$0.3943,"$3,618,256,203","$58,064,433,819"
Dogecoin,DOGE,"Dec 16, 2024",$0.4063,$0.4136,$0.3927,$0.4019,"$3,891,164,219","$59,177,017,572"
Dogecoin,DOGE,"Dec 15, 2024",$0.398,$0.4098,$0.3929,$0.4063,"$2,654,366,167","$59,813,372,429"
Dogecoin,DOGE,"Dec 14, 2024",$0.4091,$0.4128,$0.3881,$0.398,"$3,165,759,137","$58,582,672,703"
Dogecoin,DOGE,"Dec 13, 2024",$0.4065,$0.4117,$0.3999,$0.4091,"$3,815,608,761","$60,212,330,995"
Dogecoin,DOGE,"Dec 12, 2024",$0.4145,$0.4234,$0.4017,$0.4065,"$5,601,004,925","$59,833,964,401"
Dogecoin,DOGE,"Dec 11, 2024",$0.3945,$0.4188,$0.3766,$0.4145,"$6,670,843,571","$60,997,758,821"
Dogecoin,DOGE,"Dec 10, 2024",$0.4147,$0.4224,$0.3668,$0.3945,"$11,257,345,383","$58,051,776,512"
Dogecoin,DOGE,"Dec 09, 2024",$0.4673,$0.4673,$0.3847,$0.4147,"$11,830,538,830","$61,019,955,868"
Dogecoin,DOGE,"Dec 08, 2024",$0.4539,$0.4835,$0.4482,$0.4673,"$8,171,222,257","$68,749,479,090"
Dogecoin,DOGE,"Dec 07, 2024",$0.4357,$0.466,$0.4321,$0.4539,"$8,127,914,572","$66,770,660,266"
Dogecoin,DOGE,"Dec 06, 2024",$0.4279,$0.4418,$0.4213,$0.4357,"$6,668,459,793","$64,090,448,967"
Dogecoin,DOGE,"Dec 05, 2024",$0.4319,$0.4634,$0.409,$0.4306,"$15,284,058,219","$63,349,844,443"
Dogecoin,DOGE,"Dec 04, 2024",$0.4079,$0.4356,$0.402,$0.432,"$8,065,078,709","$63,518,354,509"
Dogecoin,DOGE,"Dec 03, 2024",$0.4247,$0.428,$0.3915,$0.4079,"$9,362,620,939","$59,975,735,857"
Dogecoin,DOGE,"Dec 02, 2024",$0.44,$0.4602,$0.4051,$0.4247,"$13,072,433,718","$62,443,589,224"
Dogecoin,DOGE,"Dec 01, 2024",$0.422,$0.4493,$0.4177,$0.44,"$8,333,397,829","$64,698,618,882"
Dogecoin,DOGE,"Nov 30, 2024",$0.4258,$0.4347,$0.4154,$0.422,"$5,601,447,294","$62,034,515,039"
Dogecoin,DOGE,"Nov 29, 2024",$0.402,$0.4371,$0.4,$0.4258,"$6,768,739,922","$62,597,723,123"
Dogecoin,DOGE,"Nov 28, 2024",$0.4015,$0.4273,$0.3923,$0.402,"$5,955,119,388","$59,090,817,701"
Dogecoin,DOGE,"Nov 27, 2024",$0.3876,$0.4081,$0.3817,$0.4015,"$6,388,400,976","$59,011,252,889"
Dogecoin,DOGE,"Nov 26, 2024",$0.3933,$0.4084,$0.3673,$0.3876,"$8,847,260,920","$56,962,955,960"
Dogecoin,DOGE,"Nov 25, 2024",$0.4299,$0.437,$0.3815,$0.3933,"$9,773,285,006","$57,799,004,054"
Dogecoin,DOGE,"Nov 24, 2024",$0.43,$0.4524,$0.401,$0.4299,"$12,213,185,937","$63,146,170,898"
Dogecoin,DOGE,"Nov 23, 2024",$0.4129,$0.4775,$0.4056,$0.43,"$20,873,625,275","$63,176,121,938"
Dogecoin,DOGE,"Nov 22, 2024",$0.3876,$0.4192,$0.3815,$0.4129,"$13,591,947,495","$60,659,679,248"
Dogecoin,DOGE,"Nov 21, 2024",$0.3775,$0.3949,$0.37,$0.3876,"$8,052,510,566","$56,937,373,887"
Dogecoin,DOGE,"Nov 20, 2024",$0.3913,$0.3956,$0.3666,$0.3775,"$8,029,529,786","$55,445,049,324"
Dogecoin,DOGE,"Nov 19, 2024",$0.3717,$0.4183,$0.368,$0.3914,"$12,889,618,537","$57,473,060,707"
Dogecoin,DOGE,"Nov 18, 2024",$0.3666,$0.3799,$0.3592,$0.3717,"$8,396,330,143","$54,589,039,219"
Dogecoin,DOGE,"Nov 17, 2024",$0.3638,$0.3736,$0.3417,$0.3666,"$7,832,273,719","$53,825,173,247"
Dogecoin,DOGE,"Nov 16, 2024",$0.3792,$0.3899,$0.3613,$0.3637,"$7,524,229,950","$53,406,199,457"
Dogecoin,DOGE,"Nov 15, 2024",$0.3617,$0.3842,$0.3545,$0.3792,"$11,623,194,182","$55,668,933,161"
Dogecoin,DOGE,"Nov 14, 2024",$0.3995,$0.4147,$0.3558,$0.3616,"$15,564,516,841","$53,100,324,485"
Dogecoin,DOGE,"Nov 13, 2024",$0.3822,$0.4316,$0.3566,$0.3995,"$28,286,313,456","$58,641,958,301"
Dogecoin,DOGE,"Nov 12, 2024",$0.3495,$0.4359,$0.3334,$0.3822,"$39,936,467,957","$56,096,685,598"
Dogecoin,DOGE,"Nov 11, 2024",$0.2791,$0.3496,$0.2761,$0.3495,"$19,590,715,363","$51,293,134,957"
Dogecoin,DOGE,"Nov 10, 2024",$0.2188,$0.2966,$0.2173,$0.2791,"$14,901,681,717","$40,954,692,258"
Dogecoin,DOGE,"Nov 09, 2024",$0.2021,$0.2197,$0.1978,$0.2188,"$4,290,391,407","$32,097,744,228"
Dogecoin,DOGE,"Nov 08, 2024",$0.1932,$0.2066,$0.1913,$0.2021,"$4,089,504,352","$29,655,026,626"
Dogecoin,DOGE,"Nov 07, 2024",$0.1967,$0.2035,$0.1863,$0.1932,"$4,338,342,915","$28,340,541,783"
Dogecoin,DOGE,"Nov 06, 2024",$0.1702,$0.2133,$0.1697,$0.1967,"$12,194,137,333","$28,846,871,041"
Dogecoin,DOGE,"Nov 05, 2024",$0.1583,$0.1788,$0.1582,$0.1702,"$4,095,671,194","$24,961,627,563"
Dogecoin,DOGE,"Nov 04, 2024",$0.1515,$0.1599,$0.1486,$0.1583,"$2,541,759,238","$23,224,612,751"
Dogecoin,DOGE,"Nov 03, 2024",$0.1593,$0.1596,$0.1428,$0.1515,"$2,214,868,458","$22,209,728,525"
Dogecoin,DOGE,"Nov 02, 2024",$0.1592,$0.1633,$0.156,$0.1593,"$1,342,216,649","$23,360,406,035"
Dogecoin,DOGE,"Nov 01, 2024",$0.1614,$0.1682,$0.1544,$0.1592,"$2,406,203,136","$23,339,038,999"
Dogecoin,DOGE,"Oct 31, 2024",$0.1681,$0.173,$0.1565,$0.1614,"$2,213,630,995","$23,657,511,071"
Dogecoin,DOGE,"Oct 30, 2024",$0.1758,$0.1775,$0.1653,$0.1681,"$2,319,205,433","$24,648,305,482"
Dogecoin,DOGE,"Oct 29, 2024",$0.1612,$0.1792,$0.1608,$0.1758,"$3,785,378,330","$25,773,524,594"
Dogecoin,DOGE,"Oct 28, 2024",$0.1443,$0.162,$0.1412,$0.1612,"$3,078,140,199","$23,618,356,781"
Dogecoin,DOGE,"Oct 27, 2024",$0.1374,$0.1459,$0.1361,$0.1443,"$1,129,296,560","$21,148,427,033"
Dogecoin,DOGE,"Oct 26, 2024",$0.131,$0.1378,$0.1308,$0.1374,"$947,921,669","$20,127,138,178"
