Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
EOS,EOS,"Feb 18, 2025",$0.6363,$0.639,$0.5936,$0.6135,"$95,772,726","$949,325,664"
EOS,EOS,"Feb 17, 2025",$0.63,$0.6524,$0.6223,$0.6363,"$85,491,965","$984,570,820"
EOS,EOS,"Feb 16, 2025",$0.6459,$0.6497,$0.6256,$0.63,"$57,834,380","$974,619,310"
EOS,EOS,"Feb 15, 2025",$0.6661,$0.6746,$0.6416,$0.6459,"$72,670,573","$999,088,601"
EOS,EOS,"Feb 14, 2025",$0.6445,$0.6816,$0.6379,$0.6661,"$103,822,097","$1,030,241,304"
EOS,EOS,"Feb 13, 2025",$0.6609,$0.6615,$0.6357,$0.6445,"$112,331,784","$996,594,175"
EOS,EOS,"Feb 12, 2025",$0.624,$0.669,$0.6148,$0.6609,"$145,720,087","$1,021,816,272"
EOS,EOS,"Feb 11, 2025",$0.6388,$0.6662,$0.6099,$0.624,"$115,077,445","$964,695,664"
EOS,EOS,"Feb 10, 2025",$0.6027,$0.6488,$0.5867,$0.6387,"$108,983,026","$987,351,404"
EOS,EOS,"Feb 09, 2025",$0.6059,$0.6187,$0.5776,$0.6027,"$88,829,356","$931,555,754"
EOS,EOS,"Feb 08, 2025",$0.5839,$0.6078,$0.577,$0.6059,"$108,393,044","$936,381,827"
EOS,EOS,"Feb 07, 2025",$0.5767,$0.616,$0.5668,$0.5839,"$130,865,692","$902,275,562"
EOS,EOS,"Feb 06, 2025",$0.5999,$0.6157,$0.5712,$0.5767,"$127,664,570","$891,011,694"
EOS,EOS,"Feb 05, 2025",$0.6152,$0.6288,$0.5908,$0.5999,"$124,212,420","$926,627,800"
EOS,EOS,"Feb 04, 2025",$0.6456,$0.6559,$0.5754,$0.6152,"$188,969,873","$950,140,662"
EOS,EOS,"Feb 03, 2025",$0.6401,$0.6542,$0.5014,$0.6456,"$336,196,940","$996,987,140"
EOS,EOS,"Feb 02, 2025",$0.7395,$0.7575,$0.6159,$0.6401,"$214,984,182","$988,440,886"
EOS,EOS,"Feb 01, 2025",$0.7867,$0.8166,$0.735,$0.7396,"$175,279,444","$1,141,917,136"
