Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Ethereum Classic,ETC,"Feb 17, 2025",$20.44,$21.55,$20.25,$20.88,"$151,510,675","$3,149,059,711"
Ethereum Classic,ETC,"Feb 16, 2025",$20.81,$20.88,$20.32,$20.44,"$93,523,813","$3,082,057,414"
Ethereum Classic,ETC,"Feb 15, 2025",$21.40,$21.49,$20.67,$20.81,"$102,638,301","$3,137,220,867"
Ethereum Classic,ETC,"Feb 14, 2025",$21.15,$21.90,$21.04,$21.40,"$133,966,281","$3,226,576,041"
Ethereum Classic,ETC,"Feb 13, 2025",$21.37,$21.56,$20.85,$21.15,"$135,490,415","$3,188,577,362"
Ethereum Classic,ETC,"Feb 12, 2025",$20.25,$21.64,$19.93,$21.37,"$177,782,135","$3,221,300,166"
Ethereum Classic,ETC,"Feb 11, 2025",$20.66,$21.33,$19.90,$20.25,"$139,691,623","$3,052,163,978"
Ethereum Classic,ETC,"Feb 10, 2025",$20.19,$20.79,$19.70,$20.66,"$130,576,632","$3,113,858,423"
Ethereum Classic,ETC,"Feb 09, 2025",$20.14,$20.48,$19.40,$20.19,"$122,337,323","$3,042,618,636"
Ethereum Classic,ETC,"Feb 08, 2025",$19.80,$20.23,$19.65,$20.14,"$109,769,834","$3,034,757,028"
Ethereum Classic,ETC,"Feb 07, 2025",$19.70,$20.84,$19.32,$19.80,"$166,797,142","$2,983,755,003"
Ethereum Classic,ETC,"Feb 06, 2025",$20.70,$21.24,$19.59,$19.70,"$158,855,133","$2,967,437,673"
Ethereum Classic,ETC,"Feb 05, 2025",$20.70,$21.42,$20.48,$20.70,"$154,089,684","$3,118,818,163"
Ethereum Classic,ETC,"Feb 04, 2025",$22.05,$22.25,$20.09,$20.70,"$264,580,202","$3,117,237,993"
Ethereum Classic,ETC,"Feb 03, 2025",$22.48,$22.49,$17.51,$22.05,"$703,596,951","$3,321,663,481"
Ethereum Classic,ETC,"Feb 02, 2025",$24.99,$25.32,$21.83,$22.48,"$304,506,574","$3,385,860,718"
Ethereum Classic,ETC,"Feb 01, 2025",$26.82,$27.34,$24.84,$24.99,"$164,935,199","$3,763,093,169"
