Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Ethereum Name Service,ENS,"Feb 18, 2025",$27.23,$27.29,$25.17,$26.24,"$101,611,190","$932,781,473"
Ethereum Name Service,ENS,"Feb 17, 2025",$26.01,$28.64,$25.73,$27.23,"$157,112,321","$968,152,739"
Ethereum Name Service,ENS,"Feb 16, 2025",$26.54,$26.89,$25.96,$26.01,"$54,413,229","$924,492,860"
Ethereum Name Service,ENS,"Feb 15, 2025",$27.37,$27.61,$26.41,$26.54,"$55,647,950","$943,440,201"
Ethereum Name Service,ENS,"Feb 14, 2025",$26.76,$27.80,$26.50,$27.37,"$85,049,056","$972,877,508"
Ethereum Name Service,ENS,"Feb 13, 2025",$27.41,$28.23,$26.44,$26.76,"$100,330,454","$951,321,589"
Ethereum Name Service,ENS,"Feb 12, 2025",$25.26,$28.12,$24.90,$27.41,"$135,319,149","$974,235,231"
Ethereum Name Service,ENS,"Feb 11, 2025",$25.72,$26.82,$24.88,$25.26,"$75,766,223","$898,073,378"
Ethereum Name Service,ENS,"Feb 10, 2025",$24.92,$26.09,$24.06,$25.72,"$78,752,079","$914,445,283"
Ethereum Name Service,ENS,"Feb 09, 2025",$25.17,$25.90,$23.84,$24.92,"$77,107,014","$884,443,964"
Ethereum Name Service,ENS,"Feb 08, 2025",$25.10,$25.47,$24.58,$25.17,"$71,224,786","$893,446,736"
Ethereum Name Service,ENS,"Feb 07, 2025",$25.77,$27.36,$24.38,$25.10,"$116,629,789","$890,931,650"
Ethereum Name Service,ENS,"Feb 06, 2025",$27.46,$28.34,$25.49,$25.77,"$125,167,142","$914,726,645"
Ethereum Name Service,ENS,"Feb 05, 2025",$26.72,$28.38,$26.42,$27.46,"$134,441,818","$974,875,592"
Ethereum Name Service,ENS,"Feb 04, 2025",$29.15,$29.33,$26.02,$26.72,"$169,585,440","$948,299,240"
Ethereum Name Service,ENS,"Feb 03, 2025",$28.23,$30.17,$21.62,$29.15,"$366,845,024","$1,032,336,956"
Ethereum Name Service,ENS,"Feb 02, 2025",$31.36,$31.82,$27.04,$28.23,"$177,181,717","$999,809,067"
Ethereum Name Service,ENS,"Feb 01, 2025",$34.02,$35.10,$31.03,$31.36,"$118,707,484","$1,110,463,043"
Ethereum Name Service,ENS,"Jan 31, 2025",$33.06,$35.89,$32.65,$34.02,"$188,427,390","$1,204,856,426"
Ethereum Name Service,ENS,"Jan 30, 2025",$31.52,$33.83,$31.26,$33.06,"$104,040,104","$1,170,673,338"
Ethereum Name Service,ENS,"Jan 29, 2025",$30.87,$32.39,$30.73,$31.52,"$82,835,022","$1,116,288,124"
Ethereum Name Service,ENS,"Jan 28, 2025",$31.90,$32.67,$30.39,$30.87,"$87,190,544","$1,093,264,161"
Ethereum Name Service,ENS,"Jan 27, 2025",$32.83,$32.95,$30.13,$31.90,"$146,359,437","$1,129,615,441"
Ethereum Name Service,ENS,"Jan 26, 2025",$34.01,$34.84,$32.83,$32.83,"$76,945,771","$1,162,637,165"
Ethereum Name Service,ENS,"Jan 25, 2025",$34.13,$34.66,$33.60,$34.01,"$83,784,428","$1,203,324,469"
Ethereum Name Service,ENS,"Jan 24, 2025",$35.73,$36.89,$33.96,$34.13,"$234,527,003","$1,207,651,695"
Ethereum Name Service,ENS,"Jan 23, 2025",$34.07,$36.00,$32.70,$35.73,"$173,085,243","$1,263,620,846"
Ethereum Name Service,ENS,"Jan 22, 2025",$34.94,$35.92,$33.99,$34.07,"$124,150,600","$1,204,792,634"
Ethereum Name Service,ENS,"Jan 21, 2025",$34.14,$36.01,$32.72,$34.94,"$189,369,154","$1,235,648,539"
Ethereum Name Service,ENS,"Jan 20, 2025",$33.28,$37.10,$32.19,$34.14,"$559,787,986","$1,207,475,248"
Ethereum Name Service,ENS,"Jan 19, 2025",$33.88,$37.61,$31.33,$33.28,"$628,404,046","$1,176,823,794"
Ethereum Name Service,ENS,"Jan 18, 2025",$36.13,$36.83,$33.09,$33.88,"$174,407,352","$1,198,068,176"
Ethereum Name Service,ENS,"Jan 17, 2025",$33.12,$36.38,$33.09,$36.13,"$194,689,781","$1,277,669,554"
Ethereum Name Service,ENS,"Jan 16, 2025",$34.29,$35.42,$32.69,$33.12,"$177,928,585","$1,171,209,984"
Ethereum Name Service,ENS,"Jan 15, 2025",$31.71,$34.36,$30.86,$34.29,"$138,114,792","$1,212,541,463"
Ethereum Name Service,ENS,"Jan 14, 2025",$30.84,$32.15,$30.55,$31.71,"$94,129,261","$1,121,426,406"
Ethereum Name Service,ENS,"Jan 13, 2025",$31.70,$32.51,$28.18,$30.84,"$166,774,582","$1,090,634,450"
Ethereum Name Service,ENS,"Jan 12, 2025",$32.15,$32.36,$31.34,$31.70,"$86,361,264","$1,120,741,570"
Ethereum Name Service,ENS,"Jan 11, 2025",$32.16,$33.17,$31.48,$32.15,"$102,791,894","$1,136,957,093"
Ethereum Name Service,ENS,"Jan 10, 2025",$30.89,$32.69,$30.87,$32.16,"$223,631,226","$1,137,287,177"
Ethereum Name Service,ENS,"Jan 09, 2025",$32.39,$32.97,$30.40,$30.89,"$164,082,328","$1,092,319,185"
Ethereum Name Service,ENS,"Jan 08, 2025",$33.37,$33.82,$31.13,$32.39,"$203,363,315","$1,145,401,842"
Ethereum Name Service,ENS,"Jan 07, 2025",$37.20,$37.41,$33.24,$33.37,"$216,776,925","$1,179,888,252"
Ethereum Name Service,ENS,"Jan 06, 2025",$36.75,$38.04,$35.91,$37.20,"$174,878,290","$1,309,998,299"
Ethereum Name Service,ENS,"Jan 05, 2025",$37.76,$37.98,$36.18,$36.75,"$137,847,227","$1,294,011,130"
Ethereum Name Service,ENS,"Jan 04, 2025",$37.79,$38.43,$36.91,$37.76,"$194,327,507","$1,329,601,795"
Ethereum Name Service,ENS,"Jan 03, 2025",$35.70,$38.33,$35.12,$37.79,"$221,858,191","$1,330,254,123"
Ethereum Name Service,ENS,"Jan 02, 2025",$34.66,$36.01,$34.53,$35.70,"$206,091,614","$1,256,531,050"
Ethereum Name Service,ENS,"Jan 01, 2025",$32.96,$34.68,$32.27,$34.66,"$130,075,872","$1,220,080,585"
Ethereum Name Service,ENS,"Dec 31, 2024",$33.19,$34.34,$32.16,$32.96,"$162,500,773","$1,159,939,986"
Ethereum Name Service,ENS,"Dec 30, 2024",$33.06,$34.34,$32.26,$33.19,"$241,951,120","$1,167,970,441"
Ethereum Name Service,ENS,"Dec 29, 2024",$34.47,$34.49,$32.63,$33.06,"$155,733,797","$1,163,501,873"
Ethereum Name Service,ENS,"Dec 28, 2024",$33.63,$34.82,$33.22,$34.47,"$141,415,406","$1,213,095,792"
Ethereum Name Service,ENS,"Dec 27, 2024",$32.95,$35.57,$32.69,$33.63,"$372,404,732","$1,183,454,337"
Ethereum Name Service,ENS,"Dec 26, 2024",$35.71,$35.96,$32.64,$33.16,"$208,951,273","$1,166,766,654"
Ethereum Name Service,ENS,"Dec 25, 2024",$37.53,$37.77,$35.28,$35.71,"$229,946,082","$1,256,541,872"
Ethereum Name Service,ENS,"Dec 24, 2024",$37.15,$38.10,$35.84,$37.53,"$271,798,066","$1,320,662,456"
Ethereum Name Service,ENS,"Dec 23, 2024",$33.98,$38.00,$32.89,$37.15,"$347,001,508","$1,307,113,527"
Ethereum Name Service,ENS,"Dec 22, 2024",$34.92,$35.52,$33.21,$33.98,"$258,772,733","$1,195,773,227"
Ethereum Name Service,ENS,"Dec 21, 2024",$37.58,$39.24,$34.48,$34.92,"$407,652,120","$1,228,529,989"
Ethereum Name Service,ENS,"Dec 20, 2024",$36.02,$38.00,$31.81,$37.58,"$685,733,422","$1,322,141,747"
Ethereum Name Service,ENS,"Dec 19, 2024",$39.48,$40.59,$34.87,$36.02,"$663,066,802","$1,267,488,481"
Ethereum Name Service,ENS,"Dec 18, 2024",$42.14,$43.18,$38.98,$39.48,"$622,565,277","$1,387,782,614"
Ethereum Name Service,ENS,"Dec 17, 2024",$45.34,$45.83,$41.55,$42.14,"$560,009,109","$1,481,245,137"
Ethereum Name Service,ENS,"Dec 16, 2024",$47.58,$50.23,$44.58,$45.34,"$1,194,807,630","$1,593,481,330"
Ethereum Name Service,ENS,"Dec 15, 2024",$41.90,$44.96,$41.53,$43.88,"$563,131,168","$1,541,966,025"
Ethereum Name Service,ENS,"Dec 14, 2024",$43.13,$43.75,$40.50,$41.44,"$405,036,389","$1,456,223,827"
Ethereum Name Service,ENS,"Dec 13, 2024",$40.78,$44.39,$40.35,$42.92,"$801,498,819","$1,508,382,141"
Ethereum Name Service,ENS,"Dec 12, 2024",$39.29,$42.58,$39.05,$40.78,"$655,968,231","$1,402,921,271"
Ethereum Name Service,ENS,"Dec 11, 2024",$35.14,$40.06,$33.65,$39.29,"$521,494,845","$1,350,406,197"
Ethereum Name Service,ENS,"Dec 10, 2024",$34.79,$37.45,$32.77,$35.14,"$620,617,344","$1,207,404,906"
Ethereum Name Service,ENS,"Dec 09, 2024",$41.55,$41.55,$32.25,$34.79,"$493,168,642","$1,195,230,609"
Ethereum Name Service,ENS,"Dec 08, 2024",$41.48,$41.62,$39.93,$41.51,"$236,761,806","$1,426,202,598"
Ethereum Name Service,ENS,"Dec 07, 2024",$42.29,$43.17,$40.87,$41.63,"$314,770,801","$1,430,318,283"
Ethereum Name Service,ENS,"Dec 06, 2024",$41.15,$43.33,$38.94,$42.29,"$707,776,079","$1,452,952,722"
Ethereum Name Service,ENS,"Dec 05, 2024",$42.58,$43.47,$40.21,$40.98,"$742,265,653","$1,407,943,947"
Ethereum Name Service,ENS,"Dec 04, 2024",$39.56,$45.50,$39.48,$42.58,"$1,638,898,480","$1,462,888,107"
Ethereum Name Service,ENS,"Dec 03, 2024",$41.66,$41.99,$38.12,$39.98,"$959,543,903","$1,373,105,467"
Ethereum Name Service,ENS,"Dec 02, 2024",$41.12,$46.20,$38.91,$40.97,"$1,767,938,096","$1,406,261,721"
Ethereum Name Service,ENS,"Dec 01, 2024",$40.39,$42.80,$39.39,$41.47,"$1,485,081,465","$1,420,349,968"
Ethereum Name Service,ENS,"Nov 30, 2024",$33.00,$46.76,$32.28,$40.39,"$3,889,716,856","$1,383,366,306"
Ethereum Name Service,ENS,"Nov 29, 2024",$34.60,$34.97,$32.88,$33.31,"$757,227,147","$1,138,576,185"
Ethereum Name Service,ENS,"Nov 28, 2024",$34.01,$38.79,$32.49,$34.60,"$2,807,051,290","$1,181,317,635"
Ethereum Name Service,ENS,"Nov 27, 2024",$22.51,$32.68,$21.96,$32.67,"$1,154,663,341","$1,115,402,081"
Ethereum Name Service,ENS,"Nov 26, 2024",$23.85,$24.07,$21.59,$22.52,"$421,048,228","$768,809,974"
Ethereum Name Service,ENS,"Nov 25, 2024",$20.27,$25.84,$19.66,$24.76,"$987,069,465","$845,233,448"
Ethereum Name Service,ENS,"Nov 24, 2024",$20.63,$21.54,$19.05,$20.27,"$267,616,316","$692,259,948"
Ethereum Name Service,ENS,"Nov 23, 2024",$19.75,$21.34,$19.39,$20.63,"$351,547,939","$704,350,399"
Ethereum Name Service,ENS,"Nov 22, 2024",$19.05,$19.95,$18.58,$19.75,"$257,858,480","$674,236,023"
Ethereum Name Service,ENS,"Nov 21, 2024",$17.35,$19.56,$16.83,$19.05,"$311,734,534","$650,401,623"
Ethereum Name Service,ENS,"Nov 20, 2024",$18.30,$18.38,$17.00,$17.35,"$138,298,265","$592,186,366"
Ethereum Name Service,ENS,"Nov 19, 2024",$19.01,$19.31,$17.81,$18.30,"$164,132,723","$624,665,083"
Ethereum Name Service,ENS,"Nov 18, 2024",$17.68,$19.20,$17.63,$19.01,"$178,940,213","$648,776,413"
Ethereum Name Service,ENS,"Nov 17, 2024",$18.39,$19.15,$17.40,$17.68,"$213,667,668","$603,202,758"
Ethereum Name Service,ENS,"Nov 16, 2024",$17.02,$18.80,$16.98,$18.39,"$222,083,270","$627,660,493"
Ethereum Name Service,ENS,"Nov 15, 2024",$16.32,$17.18,$15.96,$17.13,"$125,246,792","$584,556,460"
Ethereum Name Service,ENS,"Nov 14, 2024",$17.05,$17.69,$16.13,$16.32,"$175,803,154","$556,811,064"
Ethereum Name Service,ENS,"Nov 13, 2024",$18.18,$18.25,$16.55,$17.05,"$216,892,832","$581,866,635"
Ethereum Name Service,ENS,"Nov 12, 2024",$20.38,$20.46,$17.56,$18.38,"$362,314,000","$627,368,988"
Ethereum Name Service,ENS,"Nov 11, 2024",$19.17,$21.81,$19.09,$20.17,"$421,597,514","$688,452,639"
Ethereum Name Service,ENS,"Nov 10, 2024",$19.19,$20.56,$18.20,$19.17,"$279,592,735","$654,163,195"
Ethereum Name Service,ENS,"Nov 09, 2024",$18.25,$19.78,$17.84,$19.19,"$199,979,033","$654,628,026"
Ethereum Name Service,ENS,"Nov 08, 2024",$18.91,$19.33,$17.77,$18.17,"$130,428,882","$619,913,221"
Ethereum Name Service,ENS,"Nov 07, 2024",$17.86,$19.99,$17.61,$18.67,"$206,126,803","$636,977,205"
Ethereum Name Service,ENS,"Nov 06, 2024",$15.54,$18.06,$15.54,$18.06,"$113,101,757","$616,107,021"
Ethereum Name Service,ENS,"Nov 05, 2024",$14.84,$15.79,$14.84,$15.54,"$52,433,361","$521,690,733"
Ethereum Name Service,ENS,"Nov 04, 2024",$15.88,$16.18,$14.59,$14.84,"$66,812,231","$498,053,198"
Ethereum Name Service,ENS,"Nov 03, 2024",$16.45,$16.53,$15.46,$15.93,"$54,880,026","$528,420,971"
Ethereum Name Service,ENS,"Nov 02, 2024",$16.64,$16.75,$16.28,$16.45,"$34,233,796","$545,688,722"
Ethereum Name Service,ENS,"Nov 01, 2024",$16.79,$17.16,$16.34,$16.64,"$50,666,500","$552,028,164"
Ethereum Name Service,ENS,"Oct 31, 2024",$17.99,$17.99,$16.64,$16.79,"$64,355,929","$557,032,930"
Ethereum Name Service,ENS,"Oct 30, 2024",$17.44,$18.88,$17.21,$17.99,"$141,308,012","$596,742,734"
Ethereum Name Service,ENS,"Oct 29, 2024",$16.57,$17.73,$16.57,$17.41,"$57,427,061","$577,295,795"
Ethereum Name Service,ENS,"Oct 28, 2024",$16.34,$16.80,$15.86,$16.57,"$55,163,548","$549,472,047"
