Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Filecoin,FIL,"Feb 17, 2025",$3.4005,$3.5090,$3.3217,$3.4306,"$138,346,876","$2,173,664,106"
Filecoin,FIL,"Feb 16, 2025",$3.4169,$3.4799,$3.3647,$3.4005,"$94,099,428","$2,152,970,585"
Filecoin,FIL,"Feb 15, 2025",$3.5317,$3.5660,$3.3887,$3.4169,"$92,375,769","$2,161,455,429"
Filecoin,FIL,"Feb 14, 2025",$3.4030,$3.6231,$3.3909,$3.5317,"$135,708,983","$2,231,528,841"
Filecoin,FIL,"Feb 13, 2025",$3.4768,$3.5044,$3.3525,$3.4030,"$127,447,207","$2,159,261,264"
Filecoin,FIL,"Feb 12, 2025",$3.3379,$3.5215,$3.1944,$3.4769,"$207,510,863","$2,188,071,014"
Filecoin,FIL,"Feb 11, 2025",$3.4256,$3.5319,$3.2739,$3.3378,"$131,896,009","$2,099,460,221"
Filecoin,FIL,"Feb 10, 2025",$3.3164,$3.4591,$3.1985,$3.4256,"$162,605,158","$2,154,467,874"
Filecoin,FIL,"Feb 09, 2025",$3.3097,$3.3775,$3.1654,$3.3164,"$123,478,667","$2,084,226,372"
Filecoin,FIL,"Feb 08, 2025",$3.1856,$3.3244,$3.1578,$3.3097,"$121,476,628","$2,079,698,508"
Filecoin,FIL,"Feb 07, 2025",$3.1204,$3.3792,$3.0839,$3.1856,"$178,775,691","$2,001,278,750"
Filecoin,FIL,"Feb 06, 2025",$3.2415,$3.3518,$3.0980,$3.1204,"$178,484,440","$1,960,027,625"
Filecoin,FIL,"Feb 05, 2025",$3.3443,$3.3823,$3.2088,$3.2415,"$160,837,992","$2,035,627,154"
Filecoin,FIL,"Feb 04, 2025",$3.5091,$3.5200,$3.1260,$3.3443,"$280,139,040","$2,099,437,398"
Filecoin,FIL,"Feb 03, 2025",$3.6000,$3.6007,$2.7402,$3.5091,"$771,405,046","$2,202,053,497"
Filecoin,FIL,"Feb 02, 2025",$4.3833,$4.4612,$3.3862,$3.6000,"$397,032,178","$2,259,063,761"
Filecoin,FIL,"Feb 01, 2025",$4.8075,$4.8674,$4.3347,$4.3833,"$140,238,460","$2,750,262,164"
Filecoin,FIL,"Jan 31, 2025",$4.8085,$4.9497,$4.6849,$4.8074,"$176,703,733","$3,014,268,354"
Filecoin,FIL,"Jan 30, 2025",$4.5117,$4.8838,$4.4848,$4.8085,"$153,090,258","$3,010,670,930"
Filecoin,FIL,"Jan 29, 2025",$4.3919,$4.6406,$4.3808,$4.5116,"$154,128,218","$2,823,294,407"
