Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
IOTA,IOTA,"Feb 18, 2025",$0.2264,$0.2282,$0.2084,$0.2172,"$27,035,626","$788,868,314"
IOTA,IOTA,"Feb 17, 2025",$0.2294,$0.2393,$0.223,$0.2264,"$30,388,141","$822,275,860"
IOTA,IOTA,"Feb 16, 2025",$0.2353,$0.2365,$0.2269,$0.2294,"$27,491,530","$832,919,000"
IOTA,IOTA,"Feb 15, 2025",$0.2456,$0.2495,$0.232,$0.2353,"$27,019,178","$854,541,558"
IOTA,IOTA,"Feb 14, 2025",$0.2374,$0.252,$0.2349,$0.2456,"$40,520,365","$891,859,560"
IOTA,IOTA,"Feb 13, 2025",$0.2473,$0.2484,$0.2319,$0.2374,"$32,920,179","$862,046,831"
IOTA,IOTA,"Feb 12, 2025",$0.2335,$0.2534,$0.2228,$0.2473,"$55,775,316","$898,201,924"
IOTA,IOTA,"Feb 11, 2025",$0.23,$0.2505,$0.23,$0.2335,"$50,953,963","$847,881,018"
IOTA,IOTA,"Feb 10, 2025",$0.2219,$0.2382,$0.2136,$0.23,"$40,542,879","$835,231,811"
IOTA,IOTA,"Feb 09, 2025",$0.226,$0.2308,$0.2099,$0.2219,"$29,173,600","$805,937,633"
IOTA,IOTA,"Feb 08, 2025",$0.2169,$0.2274,$0.2124,$0.226,"$29,026,204","$820,771,995"
IOTA,IOTA,"Feb 07, 2025",$0.2095,$0.2345,$0.2092,$0.2169,"$55,131,605","$787,622,855"
IOTA,IOTA,"Feb 06, 2025",$0.2229,$0.2293,$0.2078,$0.2095,"$44,550,663","$760,664,216"
IOTA,IOTA,"Feb 05, 2025",$0.2298,$0.2355,$0.2209,$0.2229,"$38,080,919","$809,293,178"
IOTA,IOTA,"Feb 04, 2025",$0.2447,$0.2489,$0.2162,$0.2298,"$74,155,566","$830,040,759"
IOTA,IOTA,"Feb 03, 2025",$0.2386,$0.25,$0.1847,$0.2447,"$157,158,352","$883,874,363"
