Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Jupiter-ag,JUP,"Feb 17, 2025",$0.8771,$0.8943,$0.7985,$0.8148,"$250,325,846","$2,148,998,397"
Jupiter-ag,JUP,"Feb 16, 2025",$0.9317,$0.9589,$0.8635,$0.8771,"$202,237,945","$2,313,273,318"
Jupiter-ag,JUP,"Feb 15, 2025",$0.9553,$0.9635,$0.9152,$0.9316,"$153,266,492","$2,456,921,313"
Jupiter-ag,JUP,"Feb 14, 2025",$0.8503,$1.0038,$0.8501,$0.9552,"$442,274,751","$2,519,380,631"
Jupiter-ag,JUP,"Feb 13, 2025",$0.8583,$0.8659,$0.8088,$0.8503,"$191,639,963","$2,242,534,664"
Jupiter-ag,JUP,"Feb 12, 2025",$0.8247,$0.8716,$0.7981,$0.8583,"$160,990,384","$2,263,725,261"
Jupiter-ag,JUP,"Feb 11, 2025",$0.8331,$0.8752,$0.8107,$0.8247,"$194,711,064","$2,175,189,600"
Jupiter-ag,JUP,"Feb 10, 2025",$0.8322,$0.8619,$0.8016,$0.8331,"$122,439,428","$2,197,163,286"
Jupiter-ag,JUP,"Feb 09, 2025",$0.8418,$0.8816,$0.7951,$0.8322,"$149,171,851","$2,194,991,776"
Jupiter-ag,JUP,"Feb 08, 2025",$0.8004,$0.8456,$0.784,$0.8418,"$115,315,414","$2,220,165,839"
Jupiter-ag,JUP,"Feb 07, 2025",$0.8275,$0.8766,$0.7798,$0.8004,"$185,547,543","$2,110,881,779"
Jupiter-ag,JUP,"Feb 06, 2025",$0.8829,$0.9071,$0.8211,$0.8275,"$173,317,552","$2,182,459,482"
Jupiter-ag,JUP,"Feb 05, 2025",$0.9611,$0.9749,$0.8827,$0.8828,"$211,784,182","$2,328,407,140"
Jupiter-ag,JUP,"Feb 04, 2025",$1.0063,$1.0660,$0.9199,$0.9611,"$524,017,266","$2,534,742,683"
Jupiter-ag,JUP,"Feb 03, 2025",$0.9112,$1.0254,$0.7707,$1.0063,"$919,314,856","$2,654,116,581"
Jupiter-ag,JUP,"Feb 02, 2025",$0.9276,$0.9838,$0.8698,$0.9112,"$482,750,872","$2,660,371,762"
Jupiter-ag,JUP,"Feb 01, 2025",$1.0348,$1.0473,$0.9212,$0.9276,"$231,777,188","$2,708,269,578"
Jupiter-ag,JUP,"Jan 31, 2025",$1.0991,$1.0991,$1.0208,$1.0348,"$275,087,822","$1,745,124,630"
Jupiter-ag,JUP,"Jan 30, 2025",$1.0877,$1.1517,$1.0689,$1.0990,"$383,174,286","$1,853,460,749"
Jupiter-ag,JUP,"Jan 29, 2025",$1.1209,$1.1579,$1.0494,$1.0877,"$511,435,795","$1,834,294,557"
Jupiter-ag,JUP,"Jan 28, 2025",$1.1269,$1.2510,$1.1005,$1.1209,"$893,276,440","$1,890,351,751"
Jupiter-ag,JUP,"Jan 27, 2025",$1.0582,$1.1487,$0.9424,$1.1269,"$1,197,766,577","$1,900,417,889"
Jupiter-ag,JUP,"Jan 26, 2025",$0.9686,$1.2629,$0.8991,$1.0582,"$1,427,303,829","$1,784,559,379"
Jupiter-ag,JUP,"Jan 25, 2025",$0.842,$1.0160,$0.8208,$0.9686,"$719,558,748","$1,633,455,888"
Jupiter-ag,JUP,"Jan 24, 2025",$0.7966,$0.8871,$0.7959,$0.842,"$354,236,271","$1,420,065,922"
Jupiter-ag,JUP,"Jan 23, 2025",$0.7968,$0.8051,$0.7622,$0.7966,"$302,001,739","$1,343,346,932"
Jupiter-ag,JUP,"Jan 22, 2025",$0.8821,$0.9027,$0.7845,$0.7968,"$555,804,894","$1,343,727,131"
Jupiter-ag,JUP,"Jan 21, 2025",$0.9385,$0.9386,$0.8513,$0.8821,"$244,756,517","$1,487,645,914"
Jupiter-ag,JUP,"Jan 20, 2025",$0.9629,$1.0455,$0.8939,$0.9385,"$498,876,921","$1,582,719,728"
Jupiter-ag,JUP,"Jan 19, 2025",$1.1479,$1.2088,$0.9467,$0.9629,"$1,050,765,968","$1,299,937,368"
Jupiter-ag,JUP,"Jan 18, 2025",$0.8398,$1.1577,$0.829,$1.1479,"$1,153,924,925","$1,549,648,782"
Jupiter-ag,JUP,"Jan 17, 2025",$0.7883,$0.8441,$0.7878,$0.8398,"$97,715,285","$1,133,707,450"
Jupiter-ag,JUP,"Jan 16, 2025",$0.8367,$0.8378,$0.7814,$0.7883,"$109,676,264","$1,064,215,669"
Jupiter-ag,JUP,"Jan 15, 2025",$0.7999,$0.8377,$0.779,$0.8367,"$97,373,020","$1,129,559,435"
Jupiter-ag,JUP,"Jan 14, 2025",$0.7721,$0.8107,$0.7687,$0.7999,"$56,580,626","$1,079,907,406"
Jupiter-ag,JUP,"Jan 13, 2025",$0.8,$0.823,$0.7149,$0.7721,"$102,789,880","$1,042,326,619"
Jupiter-ag,JUP,"Jan 12, 2025",$0.8156,$0.8194,$0.7895,$0.8,"$44,245,762","$1,079,964,692"
Jupiter-ag,JUP,"Jan 11, 2025",$0.8017,$0.8303,$0.7865,$0.8156,"$65,870,848","$1,101,028,107"
Jupiter-ag,JUP,"Jan 10, 2025",$0.7917,$0.8193,$0.7792,$0.8018,"$72,862,324","$1,082,424,998"
Jupiter-ag,JUP,"Jan 09, 2025",$0.829,$0.8413,$0.78,$0.7917,"$77,844,275","$1,068,735,903"
Jupiter-ag,JUP,"Jan 08, 2025",$0.8607,$0.8651,$0.7865,$0.829,"$94,515,729","$1,119,182,406"
Jupiter-ag,JUP,"Jan 07, 2025",$0.9561,$0.9604,$0.8588,$0.8607,"$106,870,846","$1,161,980,846"
Jupiter-ag,JUP,"Jan 06, 2025",$0.9458,$0.9804,$0.9295,$0.9561,"$80,835,187","$1,290,761,053"
Jupiter-ag,JUP,"Jan 05, 2025",$0.9533,$0.9657,$0.9365,$0.9458,"$69,553,166","$1,276,871,073"
Jupiter-ag,JUP,"Jan 04, 2025",$0.9608,$0.9654,$0.9378,$0.9533,"$72,911,834","$1,286,956,430"
Jupiter-ag,JUP,"Jan 03, 2025",$0.9218,$0.9707,$0.9053,$0.9608,"$129,686,272","$1,297,085,817"
Jupiter-ag,JUP,"Jan 02, 2025",$0.8482,$0.9264,$0.8472,$0.9218,"$119,373,444","$1,244,386,296"
Jupiter-ag,JUP,"Jan 01, 2025",$0.8164,$0.8526,$0.8066,$0.8482,"$58,839,547","$1,145,136,853"
Jupiter-ag,JUP,"Dec 31, 2024",$0.8111,$0.8524,$0.7948,$0.8164,"$74,851,786","$1,102,113,735"
Jupiter-ag,JUP,"Dec 30, 2024",$0.803,$0.8337,$0.7869,$0.8111,"$90,912,824","$1,095,013,606"
Jupiter-ag,JUP,"Dec 29, 2024",$0.8417,$0.8422,$0.7961,$0.8029,"$55,845,280","$1,083,999,465"
Jupiter-ag,JUP,"Dec 28, 2024",$0.8109,$0.8455,$0.8008,$0.8417,"$62,929,491","$1,136,258,422"
Jupiter-ag,JUP,"Dec 27, 2024",$0.8347,$0.8619,$0.8049,$0.8109,"$94,648,009","$1,094,674,152"
Jupiter-ag,JUP,"Dec 26, 2024",$0.899,$0.9087,$0.8262,$0.8347,"$78,220,615","$1,126,864,492"
Jupiter-ag,JUP,"Dec 25, 2024",$0.896,$0.9154,$0.8864,$0.899,"$83,207,881","$1,213,639,020"
Jupiter-ag,JUP,"Dec 24, 2024",$0.8693,$0.9062,$0.8445,$0.8962,"$91,261,581","$1,209,826,516"
Jupiter-ag,JUP,"Dec 23, 2024",$0.8116,$0.8824,$0.7948,$0.8693,"$103,258,138","$1,173,605,673"
Jupiter-ag,JUP,"Dec 22, 2024",$0.8196,$0.8471,$0.7906,$0.8116,"$103,668,551","$1,095,677,526"
Jupiter-ag,JUP,"Dec 21, 2024",$0.8782,$0.9337,$0.8085,$0.8196,"$133,991,952","$1,106,407,506"
Jupiter-ag,JUP,"Dec 20, 2024",$0.8548,$0.8856,$0.7469,$0.8782,"$229,715,558","$1,185,582,946"
Jupiter-ag,JUP,"Dec 19, 2024",$0.926,$0.9431,$0.818,$0.8548,"$226,822,250","$1,153,921,112"
Jupiter-ag,JUP,"Dec 18, 2024",$1.0292,$1.0409,$0.9235,$0.926,"$171,659,547","$1,250,098,015"
Jupiter-ag,JUP,"Dec 17, 2024",$1.0646,$1.0960,$1.0203,$1.0292,"$144,849,600","$1,389,367,343"
Jupiter-ag,JUP,"Dec 16, 2024",$1.1103,$1.1303,$1.0453,$1.0646,"$131,718,803","$1,437,153,152"
Jupiter-ag,JUP,"Dec 15, 2024",$1.0845,$1.1153,$1.0470,$1.1103,"$101,553,968","$1,498,863,528"
Jupiter-ag,JUP,"Dec 14, 2024",$1.1262,$1.1466,$1.0548,$1.0845,"$111,754,929","$1,464,060,716"
Jupiter-ag,JUP,"Dec 13, 2024",$1.1406,$1.1552,$1.1001,$1.1108,"$127,507,762","$1,499,522,888"
Jupiter-ag,JUP,"Dec 12, 2024",$1.1303,$1.2204,$1.1247,$1.1406,"$209,226,839","$1,539,795,009"
Jupiter-ag,JUP,"Dec 11, 2024",$1.0522,$1.1533,$1.0154,$1.1303,"$207,447,398","$1,525,891,520"
Jupiter-ag,JUP,"Dec 10, 2024",$1.0929,$1.0976,$0.9747,$1.0521,"$338,087,966","$1,420,490,323"
Jupiter-ag,JUP,"Dec 09, 2024",$1.3417,$1.3417,$0.9785,$1.0929,"$410,962,128","$1,475,403,904"
Jupiter-ag,JUP,"Dec 08, 2024",$1.3786,$1.3866,$1.3031,$1.3363,"$153,077,364","$1,804,064,302"
Jupiter-ag,JUP,"Dec 07, 2024",$1.3403,$1.4032,$1.3274,$1.3746,"$213,054,161","$1,855,661,089"
Jupiter-ag,JUP,"Dec 06, 2024",$1.3533,$1.4085,$1.3042,$1.3403,"$295,250,401","$1,809,466,106"
Jupiter-ag,JUP,"Dec 05, 2024",$1.2895,$1.4331,$1.2461,$1.3369,"$544,859,042","$1,804,817,676"
Jupiter-ag,JUP,"Dec 04, 2024",$1.2456,$1.3383,$1.2441,$1.2895,"$486,473,712","$1,740,814,448"
Jupiter-ag,JUP,"Dec 03, 2024",$1.2026,$1.2946,$1.1055,$1.2456,"$413,848,707","$1,681,626,890"
Jupiter-ag,JUP,"Dec 02, 2024",$1.2498,$1.2638,$1.1248,$1.2026,"$296,351,749","$1,623,525,550"
Jupiter-ag,JUP,"Dec 01, 2024",$1.1597,$1.2659,$1.1248,$1.2480,"$251,556,828","$1,684,771,465"
Jupiter-ag,JUP,"Nov 30, 2024",$1.1595,$1.1879,$1.1383,$1.1597,"$175,658,073","$1,565,657,995"
Jupiter-ag,JUP,"Nov 29, 2024",$1.1316,$1.1947,$1.1216,$1.1595,"$215,734,997","$1,565,388,746"
Jupiter-ag,JUP,"Nov 28, 2024",$1.1205,$1.1475,$1.0805,$1.1316,"$191,210,477","$1,527,628,690"
Jupiter-ag,JUP,"Nov 27, 2024",$1.0344,$1.1292,$1.0187,$1.1205,"$185,145,121","$1,512,644,929"
Jupiter-ag,JUP,"Nov 26, 2024",$1.0678,$1.0991,$0.985,$1.0344,"$210,128,675","$1,396,407,890"
