Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Litecoin,LTC,"Feb 17, 2025",$125.55,$128.57,$120.53,$122.31,"$1,088,409,484","$9,239,605,216"
Litecoin,LTC,"Feb 16, 2025",$133.85,$137.17,$125.27,$125.55,"$1,226,603,117","$9,484,363,481"
Litecoin,LTC,"Feb 15, 2025",$125.12,$134.51,$124.57,$133.84,"$1,346,292,179","$10,110,364,180"
Litecoin,LTC,"Feb 14, 2025",$126.32,$133.58,$124.80,$125.13,"$1,541,689,997","$9,450,980,235"
Litecoin,LTC,"Feb 13, 2025",$122.04,$129.00,$119.34,$126.32,"$1,368,690,456","$9,540,923,961"
Litecoin,LTC,"Feb 12, 2025",$119.70,$124.48,$112.32,$122.04,"$1,392,547,068","$9,217,475,053"
Litecoin,LTC,"Feb 11, 2025",$120.09,$131.64,$118.29,$119.70,"$1,985,970,457","$9,039,737,609"
Litecoin,LTC,"Feb 10, 2025",$107.46,$121.71,$107.29,$120.08,"$1,528,523,943","$9,068,916,370"
Litecoin,LTC,"Feb 09, 2025",$104.68,$109.00,$102.52,$107.46,"$623,178,747","$8,114,790,681"
Litecoin,LTC,"Feb 08, 2025",$103.22,$105.11,$102.03,$104.69,"$501,350,634","$7,904,843,727"
Litecoin,LTC,"Feb 07, 2025",$101.68,$107.81,$100.80,$103.22,"$811,277,196","$7,793,740,696"
Litecoin,LTC,"Feb 06, 2025",$103.39,$109.29,$99.83,$101.69,"$881,265,474","$7,677,575,813"
Litecoin,LTC,"Feb 05, 2025",$101.45,$108.83,$100.73,$103.39,"$771,171,988","$7,805,813,447"
Litecoin,LTC,"Feb 04, 2025",$106.95,$108.57,$98.80,$101.45,"$985,577,467","$7,659,155,402"
Litecoin,LTC,"Feb 03, 2025",$109.48,$109.49,$85.31,$106.95,"$2,397,646,501","$8,074,217,944"
Litecoin,LTC,"Feb 02, 2025",$118.91,$121.24,$105.12,$109.48,"$1,287,044,634","$8,264,741,844"
Litecoin,LTC,"Feb 01, 2025",$128.01,$131.09,$118.05,$118.92,"$983,459,679","$8,976,407,176"
Litecoin,LTC,"Jan 31, 2025",$129.91,$134.54,$125.60,$128.01,"$1,048,380,061","$9,662,801,449"
Litecoin,LTC,"Jan 30, 2025",$115.69,$133.63,$114.47,$129.91,"$1,621,653,177","$9,805,460,686"
Litecoin,LTC,"Jan 29, 2025",$110.22,$118.95,$110.00,$115.69,"$738,092,056","$8,731,735,952"
Litecoin,LTC,"Jan 28, 2025",$114.90,$116.88,$109.40,$110.22,"$652,725,828","$8,318,574,112"
Litecoin,LTC,"Jan 27, 2025",$117.20,$117.71,$106.56,$114.90,"$1,063,367,632","$8,671,552,453"
Litecoin,LTC,"Jan 26, 2025",$123.99,$124.85,$117.21,$117.21,"$626,299,165","$8,844,945,761"
Litecoin,LTC,"Jan 25, 2025",$118.70,$129.05,$118.55,$123.98,"$1,228,083,983","$9,355,818,091"
Litecoin,LTC,"Jan 24, 2025",$116.51,$122.68,$113.21,$118.70,"$1,030,649,407","$8,956,508,048"
Litecoin,LTC,"Jan 23, 2025",$115.25,$116.92,$111.44,$116.51,"$692,580,468","$8,790,675,503"
Litecoin,LTC,"Jan 22, 2025",$118.91,$120.09,$114.50,$115.25,"$602,604,724","$8,694,987,667"
Litecoin,LTC,"Jan 21, 2025",$118.43,$124.49,$113.78,$118.90,"$961,440,834","$8,970,797,826"
Litecoin,LTC,"Jan 20, 2025",$115.32,$125.78,$113.35,$118.42,"$1,624,807,420","$8,934,324,882"
Litecoin,LTC,"Jan 19, 2025",$125.41,$128.33,$112.29,$115.33,"$1,622,033,651","$8,699,811,082"
Litecoin,LTC,"Jan 18, 2025",$136.99,$138.97,$123.35,$125.41,"$1,424,136,216","$9,459,869,287"
Litecoin,LTC,"Jan 17, 2025",$124.30,$140.62,$124.30,$136.99,"$2,079,115,778","$10,333,163,507"
Litecoin,LTC,"Jan 16, 2025",$117.22,$129.69,$114.63,$124.30,"$2,349,272,554","$9,375,351,890"
Litecoin,LTC,"Jan 15, 2025",$102.41,$118.31,$100.90,$117.21,"$1,150,190,542","$8,841,292,427"
Litecoin,LTC,"Jan 14, 2025",$98.46,$102.45,$97.69,$102.41,"$438,225,096","$7,723,997,125"
Litecoin,LTC,"Jan 13, 2025",$102.35,$104.21,$93.15,$98.46,"$679,177,204","$7,425,513,749"
Litecoin,LTC,"Jan 12, 2025",$104.37,$105.13,$101.48,$102.35,"$355,892,863","$7,718,437,085"
Litecoin,LTC,"Jan 11, 2025",$104.02,$104.84,$102.19,$104.37,"$372,059,719","$7,870,570,925"
Litecoin,LTC,"Jan 10, 2025",$102.27,$106.16,$102.20,$104.02,"$569,619,939","$7,843,383,524"
Litecoin,LTC,"Jan 09, 2025",$101.50,$105.69,$100.38,$102.27,"$663,913,513","$7,710,945,385"
Litecoin,LTC,"Jan 08, 2025",$102.84,$104.86,$97.75,$101.50,"$697,152,698","$7,652,769,098"
Litecoin,LTC,"Jan 07, 2025",$114.01,$114.75,$102.33,$102.84,"$858,089,236","$7,753,351,856"
Litecoin,LTC,"Jan 06, 2025",$115.47,$116.91,$111.76,$114.01,"$715,869,331","$8,595,386,549"
Litecoin,LTC,"Jan 05, 2025",$111.17,$116.05,$110.70,$115.47,"$481,946,519","$8,704,668,972"
Litecoin,LTC,"Jan 04, 2025",$112.69,$112.73,$110.32,$111.17,"$435,541,346","$8,380,176,699"
Litecoin,LTC,"Jan 03, 2025",$105.09,$114.67,$104.19,$112.69,"$638,586,297","$8,494,346,552"
Litecoin,LTC,"Jan 02, 2025",$104.81,$107.70,$104.62,$105.09,"$628,792,957","$7,921,320,258"
Litecoin,LTC,"Jan 01, 2025",$103.07,$107.73,$102.09,$104.81,"$532,072,625","$7,899,947,975"
Litecoin,LTC,"Dec 31, 2024",$99.31,$104.50,$97.81,$103.07,"$493,712,848","$7,768,193,337"
Litecoin,LTC,"Dec 30, 2024",$98.28,$102.72,$97.57,$99.31,"$594,835,260","$7,484,856,653"
Litecoin,LTC,"Dec 29, 2024",$100.58,$101.38,$96.84,$98.28,"$400,071,703","$7,406,187,943"
Litecoin,LTC,"Dec 28, 2024",$100.32,$101.44,$98.68,$100.58,"$379,869,204","$7,579,833,011"
Litecoin,LTC,"Dec 27, 2024",$102.14,$106.14,$99.75,$100.31,"$538,853,959","$7,559,372,709"
Litecoin,LTC,"Dec 26, 2024",$109.58,$110.13,$101.16,$102.14,"$571,420,833","$7,696,436,560"
Litecoin,LTC,"Dec 25, 2024",$108.32,$110.30,$107.16,$109.58,"$486,255,392","$8,256,336,988"
