Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Monero,XMR,"Feb 17, 2025",$229.68,$238.83,$229.27,$238.59,"$65,454,058","$4,401,167,044"
Monero,XMR,"Feb 16, 2025",$230.35,$235.34,$227.73,$229.68,"$53,609,102","$4,236,915,636"
Monero,XMR,"Feb 15, 2025",$229.35,$237.47,$228.81,$230.35,"$60,068,433","$4,249,115,849"
Monero,XMR,"Feb 14, 2025",$224.56,$231.88,$224.54,$229.35,"$49,737,752","$4,230,682,252"
Monero,XMR,"Feb 13, 2025",$227.05,$228.32,$222.12,$224.56,"$57,976,243","$4,142,406,290"
Monero,XMR,"Feb 12, 2025",$222.72,$227.82,$219.54,$227.05,"$59,709,667","$4,188,423,274"
Monero,XMR,"Feb 11, 2025",$221.55,$227.39,$219.01,$222.66,"$63,772,029","$4,108,480,253"
Monero,XMR,"Feb 10, 2025",$220.12,$225.77,$219.16,$221.55,"$72,270,485","$4,086,905,142"
Monero,XMR,"Feb 09, 2025",$213.94,$222.97,$213.66,$220.12,"$53,452,820","$4,060,412,466"
Monero,XMR,"Feb 08, 2025",$205.21,$219.50,$204.82,$213.94,"$54,420,253","$3,946,438,797"
Monero,XMR,"Feb 07, 2025",$222.46,$228.28,$195.42,$205.21,"$75,256,147","$3,785,498,293"
Monero,XMR,"Feb 06, 2025",$227.06,$239.02,$220.81,$222.46,"$74,923,577","$4,103,578,475"
Monero,XMR,"Feb 05, 2025",$220.14,$229.21,$217.63,$227.07,"$61,807,266","$4,188,619,260"
Monero,XMR,"Feb 04, 2025",$225.93,$235.05,$216.40,$220.14,"$85,714,999","$4,060,916,660"
Monero,XMR,"Feb 03, 2025",$221.24,$227.03,$194.74,$225.93,"$111,469,714","$4,167,627,008"
Monero,XMR,"Feb 02, 2025",$234.28,$239.64,$216.77,$221.23,"$72,052,472","$4,081,056,321"
Monero,XMR,"Feb 01, 2025",$238.59,$242.04,$232.30,$234.28,"$74,660,857","$4,321,632,425"
Monero,XMR,"Jan 31, 2025",$232.68,$239.88,$231.50,$238.59,"$73,322,287","$4,401,127,883"
Monero,XMR,"Jan 30, 2025",$221.93,$243.03,$221.83,$232.68,"$90,814,602","$4,292,120,823"
Monero,XMR,"Jan 29, 2025",$218.09,$225.42,$216.37,$221.93,"$67,894,805","$4,093,806,398"
Monero,XMR,"Jan 28, 2025",$213.98,$225.28,$212.29,$218.09,"$58,201,544","$4,023,038,493"
Monero,XMR,"Jan 27, 2025",$218.84,$223.69,$209.25,$213.98,"$75,109,031","$3,947,235,522"
Monero,XMR,"Jan 26, 2025",$221.17,$225.85,$218.48,$218.84,"$45,838,398","$4,036,822,984"
Monero,XMR,"Jan 25, 2025",$220.68,$222.99,$217.25,$221.17,"$50,182,820","$4,079,873,676"
Monero,XMR,"Jan 24, 2025",$221.48,$222.55,$213.16,$220.65,"$62,999,080","$4,070,354,039"
Monero,XMR,"Jan 23, 2025",$222.82,$226.86,$213.25,$221.48,"$72,354,006","$4,084,927,551"
Monero,XMR,"Jan 22, 2025",$214.56,$223.54,$212.27,$222.83,"$81,559,304","$4,110,387,421"
Monero,XMR,"Jan 21, 2025",$207.61,$219.60,$202.58,$214.56,"$64,423,524","$3,957,972,897"
Monero,XMR,"Jan 20, 2025",$203.90,$213.83,$195.86,$207.62,"$84,011,604","$3,829,713,904"
Monero,XMR,"Jan 19, 2025",$217.56,$223.50,$199.54,$203.90,"$81,762,961","$3,761,373,797"
Monero,XMR,"Jan 18, 2025",$230.69,$232.04,$212.36,$217.56,"$81,507,630","$4,013,192,099"
Monero,XMR,"Jan 17, 2025",$221.90,$235.33,$217.99,$230.69,"$92,536,298","$4,255,550,749"
Monero,XMR,"Jan 16, 2025",$208.31,$221.93,$206.35,$221.90,"$89,590,210","$4,093,352,582"
Monero,XMR,"Jan 15, 2025",$205.61,$210.28,$203.60,$208.29,"$78,894,719","$3,842,553,867"
Monero,XMR,"Jan 14, 2025",$202.52,$209.85,$202.10,$205.61,"$76,659,310","$3,792,882,851"
Monero,XMR,"Jan 13, 2025",$199.91,$204.23,$190.57,$202.52,"$74,706,768","$3,735,788,530"
Monero,XMR,"Jan 12, 2025",$198.30,$207.96,$195.15,$199.91,"$61,420,445","$3,687,709,496"
Monero,XMR,"Jan 11, 2025",$199.27,$199.67,$193.74,$198.30,"$41,204,011","$3,657,969,507"
Monero,XMR,"Jan 10, 2025",$190.72,$200.24,$189.46,$199.29,"$58,084,576","$3,676,165,756"
Monero,XMR,"Jan 09, 2025",$201.07,$201.08,$189.10,$190.72,"$56,296,337","$3,518,084,599"
Monero,XMR,"Jan 08, 2025",$194.04,$201.34,$183.69,$201.07,"$88,323,181","$3,709,139,097"
Monero,XMR,"Jan 07, 2025",$203.78,$205.64,$193.06,$194.04,"$54,050,573","$3,579,467,120"
Monero,XMR,"Jan 06, 2025",$196.71,$206.22,$196.55,$203.78,"$60,821,238","$3,759,034,036"
Monero,XMR,"Jan 05, 2025",$194.45,$198.59,$188.17,$196.71,"$58,068,274","$3,628,655,897"
Monero,XMR,"Jan 04, 2025",$200.87,$202.05,$193.43,$194.45,"$51,217,889","$3,586,927,140"
Monero,XMR,"Jan 03, 2025",$197.06,$205.92,$196.05,$200.87,"$53,438,837","$3,705,428,329"
Monero,XMR,"Jan 02, 2025",$195.40,$197.21,$191.80,$197.07,"$38,042,818","$3,635,216,884"
Monero,XMR,"Jan 01, 2025",$193.40,$196.64,$191.88,$195.40,"$26,839,219","$3,604,489,245"
Monero,XMR,"Dec 31, 2024",$190.67,$197.23,$186.08,$193.40,"$47,457,662","$3,567,587,241"
Monero,XMR,"Dec 30, 2024",$192.70,$196.82,$183.41,$190.67,"$53,871,785","$3,517,167,371"
Monero,XMR,"Dec 29, 2024",$196.92,$197.29,$189.27,$192.61,"$42,715,590","$3,554,773,017"
Monero,XMR,"Dec 28, 2024",$192.69,$200.07,$192.69,$196.92,"$45,318,865","$3,632,536,902"
Monero,XMR,"Dec 27, 2024",$188.94,$195.62,$187.21,$192.69,"$55,406,164","$3,554,414,522"
Monero,XMR,"Dec 26, 2024",$190.77,$194.12,$187.39,$188.95,"$60,333,568","$3,485,448,865"
Monero,XMR,"Dec 25, 2024",$190.19,$199.70,$189.30,$190.77,"$72,531,967","$3,519,144,010"
Monero,XMR,"Dec 24, 2024",$190.85,$193.40,$184.51,$190.19,"$66,075,547","$3,508,356,120"
Monero,XMR,"Dec 23, 2024",$189.79,$193.62,$185.34,$190.85,"$80,149,381","$3,520,605,559"
