Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Neo,NEO,"Feb 18, 2025",$10.88,$10.92,$10.14,$10.46,"$28,488,585","$738,009,243"
Neo,NEO,"Feb 17, 2025",$10.88,$11.29,$10.67,$10.88,"$26,453,163","$767,241,160"
Neo,NEO,"Feb 16, 2025",$10.99,$11.31,$10.83,$10.88,"$19,985,698","$767,668,279"
Neo,NEO,"Feb 15, 2025",$11.44,$11.53,$10.92,$10.99,"$21,221,408","$775,555,905"
Neo,NEO,"Feb 14, 2025",$11.33,$11.75,$11.24,$11.44,"$30,442,379","$807,090,898"
Neo,NEO,"Feb 13, 2025",$11.63,$11.71,$11.18,$11.33,"$29,460,362","$798,857,521"
Neo,NEO,"Feb 12, 2025",$10.89,$11.79,$10.65,$11.63,"$46,109,340","$820,023,348"
Neo,NEO,"Feb 11, 2025",$11.05,$11.60,$10.83,$10.89,"$43,122,034","$768,064,761"
Neo,NEO,"Feb 10, 2025",$10.51,$11.08,$10.25,$11.05,"$33,455,043","$779,312,439"
Neo,NEO,"Feb 09, 2025",$10.80,$11.04,$10.05,$10.51,"$30,823,490","$741,254,055"
Neo,NEO,"Feb 08, 2025",$10.41,$10.82,$10.26,$10.80,"$25,357,447","$761,568,708"
Neo,NEO,"Feb 07, 2025",$10.40,$11.01,$10.06,$10.41,"$45,042,579","$734,630,208"
Neo,NEO,"Feb 06, 2025",$10.77,$11.10,$10.31,$10.40,"$40,778,628","$733,842,467"
Neo,NEO,"Feb 05, 2025",$11.08,$11.33,$10.69,$10.77,"$37,021,267","$759,917,579"
Neo,NEO,"Feb 04, 2025",$11.65,$11.96,$10.67,$11.08,"$84,395,013","$781,714,548"
Neo,NEO,"Feb 03, 2025",$11.45,$11.79,$9.0545,$11.65,"$136,674,055","$821,618,661"
Neo,NEO,"Feb 02, 2025",$13.52,$13.71,$10.93,$11.45,"$86,327,445","$807,710,655"
Neo,NEO,"Feb 01, 2025",$14.33,$15.38,$13.39,$13.52,"$163,782,038","$953,491,800"
Neo,NEO,"Jan 31, 2025",$13.82,$15.04,$13.52,$14.33,"$97,117,396","$1,010,892,499"
Neo,NEO,"Jan 30, 2025",$13.07,$14.17,$12.97,$13.82,"$30,178,426","$974,665,288"
Neo,NEO,"Jan 29, 2025",$12.68,$13.50,$12.65,$13.07,"$30,945,765","$922,082,606"
Neo,NEO,"Jan 28, 2025",$13.60,$13.74,$12.60,$12.68,"$29,156,646","$894,734,721"
Neo,NEO,"Jan 27, 2025",$13.68,$13.75,$12.55,$13.60,"$49,067,490","$959,338,340"
Neo,NEO,"Jan 26, 2025",$13.97,$14.43,$13.67,$13.68,"$24,804,244","$964,912,007"
Neo,NEO,"Jan 25, 2025",$13.75,$14.10,$13.60,$13.97,"$21,018,225","$985,695,116"
Neo,NEO,"Jan 24, 2025",$14.13,$14.48,$13.68,$13.75,"$32,345,730","$970,085,896"
Neo,NEO,"Jan 23, 2025",$14.18,$14.35,$13.68,$14.13,"$37,914,255","$996,507,701"
Neo,NEO,"Jan 22, 2025",$14.59,$14.81,$14.14,$14.18,"$29,500,801","$1,000,113,012"
Neo,NEO,"Jan 21, 2025",$14.42,$15.14,$13.83,$14.59,"$54,241,077","$1,029,401,179"
Neo,NEO,"Jan 20, 2025",$14.13,$15.67,$13.76,$14.42,"$80,996,798","$1,016,960,552"
Neo,NEO,"Jan 19, 2025",$15.78,$16.05,$14.06,$14.13,"$75,979,901","$996,366,648"
Neo,NEO,"Jan 18, 2025",$16.98,$17.05,$15.46,$15.78,"$50,502,043","$1,113,381,279"
Neo,NEO,"Jan 17, 2025",$16.16,$17.22,$16.14,$16.98,"$61,683,796","$1,197,937,820"
Neo,NEO,"Jan 16, 2025",$16.15,$16.71,$15.84,$16.16,"$59,454,151","$1,139,742,226"
Neo,NEO,"Jan 15, 2025",$14.88,$16.27,$14.73,$16.15,"$52,175,475","$1,139,090,175"
Neo,NEO,"Jan 14, 2025",$14.38,$15.03,$14.22,$14.88,"$44,643,103","$1,049,605,353"
Neo,NEO,"Jan 13, 2025",$14.81,$15.85,$13.38,$14.38,"$87,277,436","$1,014,264,331"
Neo,NEO,"Jan 12, 2025",$15.29,$15.39,$14.53,$14.81,"$28,152,348","$1,044,756,839"
Neo,NEO,"Jan 11, 2025",$15.18,$15.86,$14.75,$15.29,"$42,346,373","$1,078,549,065"
Neo,NEO,"Jan 10, 2025",$14.84,$15.47,$14.46,$15.18,"$57,927,863","$1,070,441,159"
