Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
OKB,OKB,"Feb 17, 2025",$51.59,$51.60,$50.37,$50.52,"$3,372,879","$3,030,418,234"
OKB,OKB,"Feb 16, 2025",$52.05,$52.39,$51.48,$51.60,"$1,864,513","$3,096,056,336"
OKB,OKB,"Feb 15, 2025",$51.79,$52.24,$51.34,$52.05,"$2,096,037","$3,122,828,306"
OKB,OKB,"Feb 14, 2025",$51.38,$52.68,$51.28,$51.79,"$3,899,085","$3,107,570,234"
OKB,OKB,"Feb 13, 2025",$51.87,$52.90,$50.32,$51.38,"$5,957,200","$3,082,689,059"
OKB,OKB,"Feb 12, 2025",$50.65,$52.37,$49.63,$51.87,"$6,061,723","$3,112,344,392"
OKB,OKB,"Feb 11, 2025",$48.83,$51.83,$48.73,$50.65,"$8,205,369","$3,039,077,217"
OKB,OKB,"Feb 10, 2025",$47.50,$48.90,$46.64,$48.83,"$4,147,126","$2,930,074,288"
OKB,OKB,"Feb 09, 2025",$47.86,$49.39,$46.38,$47.50,"$6,693,629","$2,850,055,220"
OKB,OKB,"Feb 08, 2025",$46.27,$48.09,$45.80,$47.86,"$4,151,218","$2,871,333,965"
OKB,OKB,"Feb 07, 2025",$44.81,$47.42,$44.75,$46.27,"$4,698,379","$2,776,326,500"
OKB,OKB,"Feb 06, 2025",$46.99,$47.94,$44.77,$44.81,"$4,197,634","$2,688,661,874"
OKB,OKB,"Feb 05, 2025",$47.03,$47.76,$46.33,$46.99,"$3,588,332","$2,819,679,680"
OKB,OKB,"Feb 04, 2025",$49.77,$49.86,$46.45,$47.03,"$6,833,323","$2,821,599,953"
OKB,OKB,"Feb 03, 2025",$48.58,$49.87,$44.75,$49.77,"$14,954,357","$2,986,466,776"
OKB,OKB,"Feb 02, 2025",$51.12,$51.85,$48.04,$48.58,"$7,968,761","$2,914,556,844"
OKB,OKB,"Feb 01, 2025",$52.83,$53.45,$51.11,$51.12,"$4,105,729","$3,067,260,534"
OKB,OKB,"Jan 31, 2025",$56.21,$56.28,$52.73,$52.84,"$4,671,282","$3,170,077,737"
OKB,OKB,"Jan 30, 2025",$54.52,$56.71,$54.51,$56.21,"$4,427,285","$3,372,545,149"
OKB,OKB,"Jan 29, 2025",$53.20,$55.42,$53.17,$54.51,"$5,636,756","$3,270,720,120"
OKB,OKB,"Jan 28, 2025",$53.67,$54.19,$52.52,$53.20,"$4,154,197","$3,192,295,748"
OKB,OKB,"Jan 27, 2025",$54.07,$54.11,$49.55,$53.67,"$10,495,096","$3,220,383,124"
OKB,OKB,"Jan 26, 2025",$55.34,$55.39,$54.07,$54.07,"$3,047,684","$3,244,315,786"
OKB,OKB,"Jan 25, 2025",$55.28,$55.82,$53.96,$55.34,"$6,366,404","$3,320,588,312"
OKB,OKB,"Jan 24, 2025",$53.96,$56.85,$53.95,$55.28,"$9,345,442","$3,316,797,096"
OKB,OKB,"Jan 23, 2025",$55.48,$57.24,$52.73,$53.96,"$20,360,890","$3,237,824,634"
OKB,OKB,"Jan 22, 2025",$58.41,$58.97,$55.43,$55.48,"$12,018,787","$3,329,091,952"
OKB,OKB,"Jan 21, 2025",$58.13,$60.26,$57.55,$58.41,"$11,464,036","$3,504,562,414"
OKB,OKB,"Jan 20, 2025",$56.25,$61.83,$55.92,$58.13,"$37,924,011","$3,487,824,878"
OKB,OKB,"Jan 19, 2025",$57.72,$59.44,$55.20,$56.25,"$22,717,364","$3,375,095,640"
OKB,OKB,"Jan 18, 2025",$58.74,$58.74,$54.26,$57.72,"$18,764,283","$3,463,285,893"
OKB,OKB,"Jan 17, 2025",$49.39,$61.29,$49.35,$58.74,"$59,853,082","$3,524,279,944"
OKB,OKB,"Jan 16, 2025",$51.26,$51.34,$48.37,$49.39,"$5,556,754","$2,963,263,415"
