Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Pudgy Penguins,PENGU,"Feb 18, 2025",$0.00923,$0.00931,$0.007829,$0.008235,"$90,905,328","$517,679,695"
Pudgy Penguins,PENGU,"Feb 17, 2025",$0.009671,$0.01,$0.009093,$0.00923,"$80,879,755","$580,226,339"
Pudgy Penguins,PENGU,"Feb 16, 2025",$0.01013,$0.01017,$0.009594,$0.009669,"$57,549,223","$607,828,510"
Pudgy Penguins,PENGU,"Feb 15, 2025",$0.01079,$0.01107,$0.00988,$0.01013,"$77,941,234","$637,049,150"
Pudgy Penguins,PENGU,"Feb 14, 2025",$0.01015,$0.01151,$0.01009,$0.01079,"$170,062,177","$678,193,733"
Pudgy Penguins,PENGU,"Feb 13, 2025",$0.01053,$0.01134,$0.009444,$0.01015,"$218,270,196","$638,175,728"
Pudgy Penguins,PENGU,"Feb 12, 2025",$0.01001,$0.01053,$0.009325,$0.01053,"$132,592,420","$661,793,064"
Pudgy Penguins,PENGU,"Feb 11, 2025",$0.01002,$0.01108,$0.009794,$0.01001,"$96,948,832","$629,183,065"
Pudgy Penguins,PENGU,"Feb 10, 2025",$0.01005,$0.01073,$0.009558,$0.01002,"$98,600,663","$629,758,611"
Pudgy Penguins,PENGU,"Feb 09, 2025",$0.01057,$0.01087,$0.009311,$0.01005,"$109,372,386","$631,818,232"
Pudgy Penguins,PENGU,"Feb 08, 2025",$0.01015,$0.01083,$0.01008,$0.01057,"$89,640,946","$664,519,163"
Pudgy Penguins,PENGU,"Feb 07, 2025",$0.01068,$0.01173,$0.009745,$0.01015,"$177,699,570","$638,245,619"
Pudgy Penguins,PENGU,"Feb 06, 2025",$0.01164,$0.01205,$0.01061,$0.01068,"$136,765,318","$671,555,073"
Pudgy Penguins,PENGU,"Feb 05, 2025",$0.01309,$0.01399,$0.01154,$0.01164,"$174,835,366","$731,767,013"
Pudgy Penguins,PENGU,"Feb 04, 2025",$0.01363,$0.01374,$0.01206,$0.01309,"$185,809,448","$823,149,135"
Pudgy Penguins,PENGU,"Feb 03, 2025",$0.01298,$0.01392,$0.01015,$0.01363,"$342,502,251","$857,070,099"
Pudgy Penguins,PENGU,"Feb 02, 2025",$0.01356,$0.01442,$0.01211,$0.01298,"$236,723,448","$815,997,317"
Pudgy Penguins,PENGU,"Feb 01, 2025",$0.01474,$0.01693,$0.0133,$0.01356,"$394,350,580","$852,679,341"
Pudgy Penguins,PENGU,"Jan 31, 2025",$0.01471,$0.01561,$0.01385,$0.01473,"$301,093,688","$926,233,674"
Pudgy Penguins,PENGU,"Jan 30, 2025",$0.01509,$0.01584,$0.01451,$0.01471,"$276,335,544","$924,675,194"
Pudgy Penguins,PENGU,"Jan 29, 2025",$0.01555,$0.01672,$0.015,$0.01509,"$304,824,202","$948,735,432"
Pudgy Penguins,PENGU,"Jan 28, 2025",$0.02124,$0.02164,$0.01539,$0.01555,"$526,456,126","$977,675,450"
Pudgy Penguins,PENGU,"Jan 27, 2025",$0.02474,$0.025,$0.02074,$0.02124,"$324,060,010","$1,335,338,136"
Pudgy Penguins,PENGU,"Jan 26, 2025",$0.023,$0.02732,$0.02298,$0.02474,"$353,669,144","$1,554,897,719"
Pudgy Penguins,PENGU,"Jan 25, 2025",$0.02273,$0.0233,$0.0218,$0.023,"$149,012,390","$1,445,900,970"
Pudgy Penguins,PENGU,"Jan 24, 2025",$0.02395,$0.02567,$0.02271,$0.02273,"$185,088,099","$1,428,902,651"
Pudgy Penguins,PENGU,"Jan 23, 2025",$0.02422,$0.02595,$0.02319,$0.02395,"$305,398,199","$1,505,501,847"
Pudgy Penguins,PENGU,"Jan 22, 2025",$0.02361,$0.02647,$0.02301,$0.02422,"$325,991,180","$1,522,758,747"
Pudgy Penguins,PENGU,"Jan 21, 2025",$0.02466,$0.02493,$0.02241,$0.02361,"$298,488,603","$1,483,945,912"
Pudgy Penguins,PENGU,"Jan 20, 2025",$0.02536,$0.02719,$0.02267,$0.02466,"$474,304,315","$1,550,429,619"
Pudgy Penguins,PENGU,"Jan 19, 2025",$0.02958,$0.02985,$0.02533,$0.02536,"$618,427,950","$1,594,368,455"
Pudgy Penguins,PENGU,"Jan 18, 2025",$0.03244,$0.03304,$0.02671,$0.02958,"$591,998,153","$1,859,678,628"
Pudgy Penguins,PENGU,"Jan 17, 2025",$0.03272,$0.03399,$0.03156,$0.03244,"$283,108,770","$2,039,349,588"
Pudgy Penguins,PENGU,"Jan 16, 2025",$0.03555,$0.03556,$0.03204,$0.03272,"$294,924,684","$2,057,035,772"
Pudgy Penguins,PENGU,"Jan 15, 2025",$0.03197,$0.03601,$0.03026,$0.03556,"$424,040,799","$2,234,694,836"
Pudgy Penguins,PENGU,"Jan 14, 2025",$0.03134,$0.03346,$0.03105,$0.03197,"$354,533,719","$2,009,424,484"
Pudgy Penguins,PENGU,"Jan 13, 2025",$0.03253,$0.03414,$0.02812,$0.03134,"$461,623,196","$1,969,921,322"
Pudgy Penguins,PENGU,"Jan 12, 2025",$0.03293,$0.03398,$0.03152,$0.03253,"$227,682,555","$2,044,851,777"
Pudgy Penguins,PENGU,"Jan 11, 2025",$0.0335,$0.03374,$0.03169,$0.03293,"$234,722,518","$2,069,816,593"
Pudgy Penguins,PENGU,"Jan 10, 2025",$0.03335,$0.03578,$0.03237,$0.0335,"$402,403,393","$2,105,771,431"
Pudgy Penguins,PENGU,"Jan 09, 2025",$0.03591,$0.03724,$0.03152,$0.03335,"$539,991,331","$2,096,132,235"
Pudgy Penguins,PENGU,"Jan 08, 2025",$0.03727,$0.03795,$0.03288,$0.03591,"$502,617,157","$2,257,299,870"
Pudgy Penguins,PENGU,"Jan 07, 2025",$0.04292,$0.04373,$0.03725,$0.03727,"$531,156,833","$2,342,946,746"
Pudgy Penguins,PENGU,"Jan 06, 2025",$0.0401,$0.04627,$0.03957,$0.04291,"$793,226,957","$2,697,616,175"
Pudgy Penguins,PENGU,"Jan 05, 2025",$0.0406,$0.0442,$0.03989,$0.0401,"$770,570,820","$2,520,508,443"
Pudgy Penguins,PENGU,"Jan 04, 2025",$0.03732,$0.04207,$0.03574,$0.0406,"$672,355,702","$2,552,093,302"
Pudgy Penguins,PENGU,"Jan 03, 2025",$0.03715,$0.03748,$0.03427,$0.03732,"$429,656,952","$2,346,216,616"
Pudgy Penguins,PENGU,"Jan 02, 2025",$0.03925,$0.0407,$0.03691,$0.03715,"$933,021,328","$2,335,557,993"
Pudgy Penguins,PENGU,"Jan 01, 2025",$0.03334,$0.03989,$0.03294,$0.03925,"$1,091,664,293","$2,449,917,829"
Pudgy Penguins,PENGU,"Dec 31, 2024",$0.03095,$0.03409,$0.02962,$0.03334,"$594,727,740","$2,080,790,796"
Pudgy Penguins,PENGU,"Dec 30, 2024",$0.03189,$0.03298,$0.03015,$0.03095,"$364,907,760","$1,932,039,913"
Pudgy Penguins,PENGU,"Dec 29, 2024",$0.03596,$0.03624,$0.03152,$0.03189,"$362,653,394","$1,990,650,565"
Pudgy Penguins,PENGU,"Dec 28, 2024",$0.03392,$0.03676,$0.0332,$0.03596,"$497,596,926","$2,244,655,239"
Pudgy Penguins,PENGU,"Dec 27, 2024",$0.03818,$0.03818,$0.03328,$0.03392,"$570,998,547","$2,117,436,377"
Pudgy Penguins,PENGU,"Dec 26, 2024",$0.03784,$0.0431,$0.0364,$0.03818,"$1,199,177,406","$2,383,196,057"
Pudgy Penguins,PENGU,"Dec 25, 2024",$0.03588,$0.03929,$0.03457,$0.03784,"$1,039,009,893","$2,361,868,899"
Pudgy Penguins,PENGU,"Dec 24, 2024",$0.03025,$0.03737,$0.02805,$0.03588,"$1,337,460,548","$2,239,377,043"
Pudgy Penguins,PENGU,"Dec 23, 2024",$0.02594,$0.03077,$0.02526,$0.03025,"$501,221,598","$1,888,279,736"
Pudgy Penguins,PENGU,"Dec 22, 2024",$0.02859,$0.0286,$0.02547,$0.02594,"$378,816,532","$1,618,974,509"
Pudgy Penguins,PENGU,"Dec 21, 2024",$0.02782,$0.03218,$0.02738,$0.02859,"$676,853,173","$1,784,459,389"
Pudgy Penguins,PENGU,"Dec 20, 2024",$0.0287,$0.02978,$0.02302,$0.02782,"$999,531,416","$1,736,724,659"
Pudgy Penguins,PENGU,"Dec 19, 2024",$0.03564,$0.03679,$0.02694,$0.0287,"$1,574,541,491","$1,791,237,884"
Pudgy Penguins,PENGU,"Dec 18, 2024",$0.02846,$0.05738,$0.02686,$0.03564,"$2,221,286,109","$2,224,412,945"
