Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Raydium,RAY,"Feb 17, 2025",$4.9396,$5.0467,$4.5681,$4.6786,"$97,297,334","$1,360,843,257"
Raydium,RAY,"Feb 16, 2025",$5.2803,$5.3521,$4.9316,$4.9391,"$70,633,718","$1,436,630,465"
Raydium,RAY,"Feb 15, 2025",$5.7420,$5.7420,$5.2470,$5.2803,"$64,247,353","$1,535,851,073"
Raydium,RAY,"Feb 14, 2025",$5.1997,$5.8852,$5.1704,$5.7423,"$158,550,519","$1,670,233,354"
Raydium,RAY,"Feb 13, 2025",$5.2999,$5.3542,$4.8385,$5.1997,"$106,381,446","$1,512,433,239"
Raydium,RAY,"Feb 12, 2025",$5.3123,$5.3702,$4.8262,$5.2995,"$149,489,461","$1,541,443,928"
Raydium,RAY,"Feb 11, 2025",$5.2369,$5.7588,$5.1680,$5.3123,"$166,147,126","$1,545,177,200"
Raydium,RAY,"Feb 10, 2025",$4.7210,$5.2396,$4.4949,$5.2366,"$123,742,122","$1,523,154,200"
Raydium,RAY,"Feb 09, 2025",$5.0391,$5.2848,$4.5113,$4.7211,"$87,576,802","$1,373,198,520"
Raydium,RAY,"Feb 08, 2025",$4.9427,$5.0873,$4.8371,$5.0400,"$59,166,868","$1,465,697,550"
Raydium,RAY,"Feb 07, 2025",$5.1929,$5.6984,$4.8131,$4.9427,"$140,825,709","$1,437,678,583"
Raydium,RAY,"Feb 06, 2025",$5.3355,$5.6255,$4.9305,$5.1929,"$133,859,916","$1,510,446,001"
Raydium,RAY,"Feb 05, 2025",$6.2207,$6.2209,$5.2861,$5.3354,"$164,238,431","$1,551,904,836"
Raydium,RAY,"Feb 04, 2025",$6.3249,$6.5969,$5.7880,$6.2208,"$225,987,156","$1,809,402,444"
Raydium,RAY,"Feb 03, 2025",$5.6084,$6.4851,$4.3994,$6.3249,"$346,309,004","$1,839,717,178"
Raydium,RAY,"Feb 02, 2025",$6.2727,$6.4158,$5.3594,$5.6084,"$168,120,562","$1,631,298,088"
Raydium,RAY,"Feb 01, 2025",$7.0694,$7.2303,$6.1874,$6.2727,"$104,921,059","$1,824,521,701"
