Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Sei,SEI,"Feb 17, 2025",$0.2332,$0.2407,$0.2277,$0.2307,"$77,167,743","$1,074,663,360"
Sei,SEI,"Feb 16, 2025",$0.2375,$0.2413,$0.2318,$0.2332,"$45,756,436","$1,086,126,993"
Sei,SEI,"Feb 15, 2025",$0.2429,$0.2449,$0.2363,$0.2375,"$44,115,404","$1,106,106,695"
Sei,SEI,"Feb 14, 2025",$0.233,$0.2495,$0.233,$0.2429,"$74,031,690","$1,076,520,181"
Sei,SEI,"Feb 13, 2025",$0.2411,$0.2452,$0.2288,$0.233,"$72,676,073","$1,032,754,975"
Sei,SEI,"Feb 12, 2025",$0.2277,$0.2449,$0.2177,$0.2411,"$98,459,835","$1,068,581,388"
Sei,SEI,"Feb 11, 2025",$0.2331,$0.2459,$0.225,$0.2277,"$83,446,777","$1,009,378,524"
Sei,SEI,"Feb 10, 2025",$0.2252,$0.237,$0.2167,$0.2331,"$78,206,037","$1,033,440,391"
Sei,SEI,"Feb 09, 2025",$0.2283,$0.2325,$0.2145,$0.2252,"$72,276,770","$998,436,832"
Sei,SEI,"Feb 08, 2025",$0.2172,$0.2294,$0.2146,$0.2283,"$53,726,447","$1,011,925,810"
Sei,SEI,"Feb 07, 2025",$0.2188,$0.2371,$0.2108,$0.2172,"$100,651,141","$962,936,159"
Sei,SEI,"Feb 06, 2025",$0.2319,$0.2423,$0.2163,$0.2188,"$94,533,110","$969,846,262"
Sei,SEI,"Feb 05, 2025",$0.2427,$0.2469,$0.2301,$0.2319,"$86,992,250","$1,028,022,236"
Sei,SEI,"Feb 04, 2025",$0.2564,$0.2592,$0.2304,$0.2427,"$151,296,319","$1,075,778,364"
Sei,SEI,"Feb 03, 2025",$0.2552,$0.2587,$0.1977,$0.2564,"$389,188,586","$1,136,522,964"
Sei,SEI,"Feb 02, 2025",$0.2997,$0.3051,$0.2462,$0.2552,"$181,508,841","$1,131,129,909"
Sei,SEI,"Feb 01, 2025",$0.3328,$0.3351,$0.2973,$0.2997,"$74,056,011","$1,328,671,319"
Sei,SEI,"Jan 31, 2025",$0.3297,$0.3468,$0.3243,$0.3328,"$122,862,347","$1,475,334,131"
Sei,SEI,"Jan 30, 2025",$0.3053,$0.3361,$0.3035,$0.3297,"$97,470,941","$1,461,223,941"
Sei,SEI,"Jan 29, 2025",$0.2951,$0.3162,$0.2922,$0.3053,"$123,801,917","$1,353,462,985"
Sei,SEI,"Jan 28, 2025",$0.3176,$0.3209,$0.2917,$0.2951,"$87,311,414","$1,307,879,909"
Sei,SEI,"Jan 27, 2025",$0.3382,$0.3382,$0.2988,$0.3176,"$245,904,560","$1,407,973,969"
Sei,SEI,"Jan 26, 2025",$0.3447,$0.3604,$0.3381,$0.3382,"$89,568,834","$1,498,957,765"
Sei,SEI,"Jan 25, 2025",$0.3404,$0.3507,$0.3344,$0.3447,"$94,793,334","$1,528,136,168"
Sei,SEI,"Jan 24, 2025",$0.3425,$0.3594,$0.329,$0.3404,"$194,290,769","$1,509,026,539"
Sei,SEI,"Jan 23, 2025",$0.347,$0.3523,$0.3322,$0.3425,"$269,468,606","$1,518,073,969"
Sei,SEI,"Jan 22, 2025",$0.3601,$0.3616,$0.3468,$0.3471,"$146,442,007","$1,538,214,230"
Sei,SEI,"Jan 21, 2025",$0.3505,$0.3717,$0.3348,$0.3601,"$144,151,728","$1,596,167,616"
Sei,SEI,"Jan 20, 2025",$0.3464,$0.3831,$0.3337,$0.3505,"$351,529,576","$1,553,842,747"
Sei,SEI,"Jan 19, 2025",$0.3934,$0.4026,$0.3429,$0.3464,"$277,317,855","$1,535,356,275"
Sei,SEI,"Jan 18, 2025",$0.4244,$0.4333,$0.3843,$0.3934,"$176,284,119","$1,743,623,224"
Sei,SEI,"Jan 17, 2025",$0.4044,$0.428,$0.4037,$0.4244,"$161,949,999","$1,881,054,834"
Sei,SEI,"Jan 16, 2025",$0.4056,$0.4174,$0.3915,$0.403,"$178,696,977","$1,786,173,278"
Sei,SEI,"Jan 15, 2025",$0.3768,$0.4069,$0.3675,$0.4056,"$154,016,834","$1,798,020,397"
Sei,SEI,"Jan 14, 2025",$0.3646,$0.3817,$0.3625,$0.3768,"$99,772,661","$1,585,642,005"
Sei,SEI,"Jan 13, 2025",$0.3827,$0.3917,$0.3389,$0.3646,"$217,927,327","$1,534,333,758"
Sei,SEI,"Jan 12, 2025",$0.3884,$0.393,$0.376,$0.3827,"$104,616,376","$1,610,363,280"
Sei,SEI,"Jan 11, 2025",$0.389,$0.3954,$0.3806,$0.3884,"$108,995,746","$1,634,368,060"
Sei,SEI,"Jan 10, 2025",$0.3742,$0.3936,$0.3737,$0.389,"$201,650,027","$1,636,950,928"
Sei,SEI,"Jan 09, 2025",$0.3955,$0.3999,$0.367,$0.3742,"$208,149,108","$1,574,726,097"
Sei,SEI,"Jan 08, 2025",$0.4142,$0.4187,$0.3743,$0.3955,"$259,958,448","$1,663,987,124"
Sei,SEI,"Jan 07, 2025",$0.4646,$0.4665,$0.4141,$0.4142,"$252,068,659","$1,743,001,396"
Sei,SEI,"Jan 06, 2025",$0.4582,$0.4786,$0.4475,$0.4646,"$230,925,355","$1,954,908,452"
Sei,SEI,"Jan 05, 2025",$0.4718,$0.4719,$0.4502,$0.4582,"$160,299,332","$1,928,141,367"
Sei,SEI,"Jan 04, 2025",$0.457,$0.4798,$0.4491,$0.4719,"$211,336,153","$1,985,478,901"
