Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Starknet-token,STRK,"Feb 18, 2025",$0.2305,$0.231,$0.2087,$0.2205,"$45,502,243","$569,419,519"
Starknet-token,STRK,"Feb 17, 2025",$0.23,$0.2411,$0.2223,$0.2305,"$45,248,032","$595,066,271"
Starknet-token,STRK,"Feb 16, 2025",$0.2289,$0.2341,$0.2257,$0.23,"$30,544,881","$593,753,925"
Starknet-token,STRK,"Feb 15, 2025",$0.2393,$0.2422,$0.2272,$0.2289,"$25,124,279","$590,983,451"
Starknet-token,STRK,"Feb 14, 2025",$0.2338,$0.2454,$0.2318,$0.2393,"$44,107,474","$617,808,493"
Starknet-token,STRK,"Feb 13, 2025",$0.2458,$0.2492,$0.2283,$0.2338,"$50,910,286","$603,772,603"
Starknet-token,STRK,"Feb 12, 2025",$0.2353,$0.2492,$0.2275,$0.2458,"$67,521,233","$634,671,691"
Starknet-token,STRK,"Feb 11, 2025",$0.2457,$0.2575,$0.2324,$0.2353,"$56,061,234","$607,651,698"
Starknet-token,STRK,"Feb 10, 2025",$0.2383,$0.2501,$0.2282,$0.2458,"$56,357,057","$634,572,828"
Starknet-token,STRK,"Feb 09, 2025",$0.2421,$0.2461,$0.2247,$0.2383,"$35,403,936","$615,242,301"
Starknet-token,STRK,"Feb 08, 2025",$0.2271,$0.2423,$0.2252,$0.2421,"$30,505,015","$625,096,622"
Starknet-token,STRK,"Feb 07, 2025",$0.2306,$0.2479,$0.2179,$0.2271,"$50,310,035","$586,422,543"
Starknet-token,STRK,"Feb 06, 2025",$0.2511,$0.2564,$0.229,$0.2306,"$55,236,861","$595,419,670"
Starknet-token,STRK,"Feb 05, 2025",$0.2563,$0.2619,$0.2463,$0.2511,"$42,986,030","$648,467,904"
Starknet-token,STRK,"Feb 04, 2025",$0.2717,$0.2731,$0.246,$0.2563,"$86,437,242","$661,864,229"
Starknet-token,STRK,"Feb 03, 2025",$0.261,$0.2762,$0.1929,$0.2717,"$252,599,847","$701,603,794"
Starknet-token,STRK,"Feb 02, 2025",$0.3208,$0.3263,$0.2526,$0.261,"$150,172,591","$673,858,685"
Starknet-token,STRK,"Feb 01, 2025",$0.3543,$0.3598,$0.318,$0.3208,"$51,977,034","$828,392,344"
Starknet-token,STRK,"Jan 31, 2025",$0.3533,$0.3707,$0.3458,$0.3543,"$74,337,992","$857,185,219"
Starknet-token,STRK,"Jan 30, 2025",$0.3397,$0.3583,$0.3366,$0.3533,"$41,251,903","$854,683,423"
Starknet-token,STRK,"Jan 29, 2025",$0.3251,$0.3512,$0.3238,$0.3397,"$59,884,903","$821,760,312"
Starknet-token,STRK,"Jan 28, 2025",$0.3591,$0.3631,$0.3217,$0.3251,"$50,128,516","$786,478,325"
Starknet-token,STRK,"Jan 27, 2025",$0.3649,$0.365,$0.3299,$0.3591,"$91,160,177","$868,620,789"
Starknet-token,STRK,"Jan 26, 2025",$0.3705,$0.383,$0.3649,$0.3649,"$44,872,487","$882,770,901"
Starknet-token,STRK,"Jan 25, 2025",$0.3659,$0.3755,$0.3541,$0.3705,"$59,780,030","$896,299,845"
Starknet-token,STRK,"Jan 24, 2025",$0.3763,$0.3878,$0.3632,$0.3659,"$71,059,039","$885,180,938"
Starknet-token,STRK,"Jan 23, 2025",$0.373,$0.3804,$0.3639,$0.3763,"$71,449,705","$910,330,540"
Starknet-token,STRK,"Jan 22, 2025",$0.3964,$0.4004,$0.3721,$0.373,"$93,827,616","$902,347,498"
Starknet-token,STRK,"Jan 21, 2025",$0.3806,$0.4013,$0.3609,$0.3964,"$84,929,920","$958,910,498"
Starknet-token,STRK,"Jan 20, 2025",$0.3848,$0.4107,$0.3662,$0.3806,"$177,252,909","$920,672,612"
Starknet-token,STRK,"Jan 19, 2025",$0.4195,$0.4403,$0.3823,$0.3848,"$152,551,664","$930,993,239"
Starknet-token,STRK,"Jan 18, 2025",$0.4543,$0.4628,$0.4066,$0.4195,"$84,237,662","$1,014,756,282"
Starknet-token,STRK,"Jan 17, 2025",$0.4237,$0.4599,$0.4233,$0.4543,"$66,330,894","$1,098,892,454"
Starknet-token,STRK,"Jan 16, 2025",$0.447,$0.4482,$0.4205,$0.4237,"$57,109,036","$1,025,015,052"
Starknet-token,STRK,"Jan 15, 2025",$0.429,$0.4495,$0.4129,$0.447,"$63,702,318","$1,081,456,954"
