Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
The Sandbox,SAND,"Feb 18, 2025",$0.3921,$0.3951,$0.3496,$0.3592,"$117,508,523","$885,292,569"
The Sandbox,SAND,"Feb 17, 2025",$0.3914,$0.4109,$0.3833,$0.3921,"$94,394,177","$966,320,846"
The Sandbox,SAND,"Feb 16, 2025",$0.396,$0.4034,$0.3892,$0.3914,"$66,669,587","$964,538,381"
The Sandbox,SAND,"Feb 15, 2025",$0.4064,$0.4117,$0.3941,$0.396,"$61,385,778","$975,945,645"
The Sandbox,SAND,"Feb 14, 2025",$0.3944,$0.4155,$0.3935,$0.4064,"$89,158,384","$1,001,457,366"
The Sandbox,SAND,"Feb 13, 2025",$0.4044,$0.4064,$0.3871,$0.3944,"$92,772,749","$971,871,903"
The Sandbox,SAND,"Feb 12, 2025",$0.3909,$0.4101,$0.3726,$0.4044,"$133,371,954","$989,074,656"
The Sandbox,SAND,"Feb 11, 2025",$0.3942,$0.4165,$0.385,$0.3909,"$91,858,037","$956,127,849"
The Sandbox,SAND,"Feb 10, 2025",$0.3765,$0.3991,$0.3627,$0.3942,"$98,230,831","$964,074,231"
The Sandbox,SAND,"Feb 09, 2025",$0.3883,$0.3974,$0.3611,$0.3765,"$77,627,728","$920,912,112"
The Sandbox,SAND,"Feb 08, 2025",$0.3712,$0.3904,$0.3669,$0.3883,"$69,607,068","$949,753,262"
The Sandbox,SAND,"Feb 07, 2025",$0.3705,$0.4016,$0.3597,$0.3712,"$123,313,182","$908,014,732"
The Sandbox,SAND,"Feb 06, 2025",$0.3883,$0.4002,$0.3681,$0.3705,"$122,818,751","$906,171,860"
The Sandbox,SAND,"Feb 05, 2025",$0.4018,$0.4146,$0.386,$0.3883,"$129,027,805","$949,722,990"
The Sandbox,SAND,"Feb 04, 2025",$0.432,$0.4382,$0.3858,$0.4018,"$186,356,888","$982,831,862"
The Sandbox,SAND,"Feb 03, 2025",$0.4094,$0.4385,$0.3195,$0.432,"$426,678,955","$1,056,499,736"
The Sandbox,SAND,"Feb 02, 2025",$0.4869,$0.4941,$0.3957,$0.4094,"$254,935,620","$1,001,271,761"
The Sandbox,SAND,"Feb 01, 2025",$0.526,$0.5321,$0.4829,$0.4869,"$97,073,897","$1,190,835,092"
The Sandbox,SAND,"Jan 31, 2025",$0.5336,$0.5522,$0.5206,$0.5261,"$117,859,886","$1,286,632,344"
The Sandbox,SAND,"Jan 30, 2025",$0.5127,$0.5467,$0.509,$0.5336,"$118,487,054","$1,305,230,797"
The Sandbox,SAND,"Jan 29, 2025",$0.4912,$0.5294,$0.4891,$0.5127,"$148,221,600","$1,253,981,907"
The Sandbox,SAND,"Jan 28, 2025",$0.5204,$0.5339,$0.4875,$0.4912,"$113,884,650","$1,201,309,661"
The Sandbox,SAND,"Jan 27, 2025",$0.535,$0.535,$0.4878,$0.5204,"$207,112,747","$1,272,749,103"
The Sandbox,SAND,"Jan 26, 2025",$0.5555,$0.5667,$0.5349,$0.535,"$86,283,679","$1,308,503,266"
The Sandbox,SAND,"Jan 25, 2025",$0.5521,$0.5634,$0.5448,$0.5555,"$88,659,976","$1,358,617,261"
The Sandbox,SAND,"Jan 24, 2025",$0.5573,$0.5784,$0.5401,$0.5521,"$137,784,799","$1,350,465,308"
The Sandbox,SAND,"Jan 23, 2025",$0.5599,$0.5681,$0.5411,$0.5572,"$160,205,898","$1,362,995,654"
The Sandbox,SAND,"Jan 22, 2025",$0.5815,$0.5842,$0.5586,$0.5599,"$106,535,502","$1,369,350,641"
The Sandbox,SAND,"Jan 21, 2025",$0.568,$0.5936,$0.544,$0.5815,"$197,483,660","$1,422,351,573"
The Sandbox,SAND,"Jan 20, 2025",$0.5552,$0.6154,$0.5352,$0.568,"$419,998,478","$1,389,142,763"
The Sandbox,SAND,"Jan 19, 2025",$0.6252,$0.6501,$0.5501,$0.5552,"$445,089,868","$1,357,921,075"
The Sandbox,SAND,"Jan 18, 2025",$0.6694,$0.6858,$0.6112,$0.6253,"$278,230,698","$1,529,238,792"
The Sandbox,SAND,"Jan 17, 2025",$0.6157,$0.6798,$0.6156,$0.6694,"$374,873,688","$1,637,333,226"
The Sandbox,SAND,"Jan 16, 2025",$0.621,$0.6356,$0.5991,$0.6157,"$236,054,310","$1,505,924,871"
The Sandbox,SAND,"Jan 15, 2025",$0.5741,$0.6223,$0.5569,$0.621,"$220,785,235","$1,518,852,633"
The Sandbox,SAND,"Jan 14, 2025",$0.553,$0.5783,$0.55,$0.5741,"$133,223,022","$1,404,146,287"
The Sandbox,SAND,"Jan 13, 2025",$0.5831,$0.5959,$0.5184,$0.553,"$253,321,609","$1,352,679,272"
The Sandbox,SAND,"Jan 12, 2025",$0.6033,$0.6072,$0.5763,$0.5831,"$136,811,378","$1,426,060,191"
The Sandbox,SAND,"Jan 11, 2025",$0.597,$0.6231,$0.5788,$0.6033,"$147,191,961","$1,475,568,241"
The Sandbox,SAND,"Jan 10, 2025",$0.5786,$0.6005,$0.5702,$0.597,"$234,058,328","$1,460,212,723"
The Sandbox,SAND,"Jan 09, 2025",$0.5895,$0.6069,$0.5685,$0.5786,"$301,653,224","$1,415,123,220"
The Sandbox,SAND,"Jan 08, 2025",$0.6181,$0.6319,$0.5582,$0.5895,"$353,215,574","$1,441,752,917"
The Sandbox,SAND,"Jan 07, 2025",$0.6992,$0.704,$0.618,$0.6181,"$419,444,051","$1,511,754,673"
The Sandbox,SAND,"Jan 06, 2025",$0.6407,$0.7393,$0.6374,$0.6992,"$782,480,447","$1,710,225,720"
The Sandbox,SAND,"Jan 05, 2025",$0.652,$0.6525,$0.6277,$0.6407,"$191,284,992","$1,557,484,787"
The Sandbox,SAND,"Jan 04, 2025",$0.6476,$0.6785,$0.6343,$0.652,"$349,609,544","$1,584,966,023"
The Sandbox,SAND,"Jan 03, 2025",$0.5859,$0.6539,$0.577,$0.6476,"$443,447,377","$1,574,199,886"
The Sandbox,SAND,"Jan 02, 2025",$0.5734,$0.5953,$0.5733,$0.5859,"$205,984,207","$1,424,245,650"
The Sandbox,SAND,"Jan 01, 2025",$0.5451,$0.5755,$0.5331,$0.5734,"$182,948,560","$1,393,885,298"
The Sandbox,SAND,"Dec 31, 2024",$0.5445,$0.5728,$0.5265,$0.5451,"$175,115,394","$1,325,082,785"
The Sandbox,SAND,"Dec 30, 2024",$0.5478,$0.5686,$0.5254,$0.5445,"$197,593,379","$1,323,582,870"
The Sandbox,SAND,"Dec 29, 2024",$0.5761,$0.5804,$0.5437,$0.5478,"$153,036,035","$1,331,673,041"
The Sandbox,SAND,"Dec 28, 2024",$0.55,$0.5807,$0.5465,$0.5761,"$165,241,309","$1,400,449,630"
The Sandbox,SAND,"Dec 27, 2024",$0.5545,$0.5811,$0.5464,$0.55,"$220,120,320","$1,336,929,727"
The Sandbox,SAND,"Dec 26, 2024",$0.5996,$0.606,$0.549,$0.5545,"$233,037,450","$1,348,017,724"
The Sandbox,SAND,"Dec 25, 2024",$0.6397,$0.6491,$0.594,$0.5996,"$304,431,535","$1,457,631,965"
The Sandbox,SAND,"Dec 24, 2024",$0.5923,$0.6456,$0.5737,$0.6397,"$349,663,149","$1,554,973,740"
The Sandbox,SAND,"Dec 23, 2024",$0.5616,$0.6075,$0.545,$0.5923,"$358,365,926","$1,439,809,475"
The Sandbox,SAND,"Dec 22, 2024",$0.5653,$0.5798,$0.5451,$0.5616,"$438,969,254","$1,365,109,971"
The Sandbox,SAND,"Dec 21, 2024",$0.6142,$0.6347,$0.5542,$0.5653,"$661,344,584","$1,374,145,050"
The Sandbox,SAND,"Dec 20, 2024",$0.5502,$0.6163,$0.4748,$0.6142,"$827,992,874","$1,492,928,713"
