Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Theta Network,THETA,"Feb 18, 2025",$1.3275,$1.3326,$1.2169,$1.2542,"$21,402,595","$1,254,220,682"
Theta Network,THETA,"Feb 17, 2025",$1.3373,$1.3823,$1.2979,$1.3275,"$20,148,846","$1,327,485,804"
Theta Network,THETA,"Feb 16, 2025",$1.3605,$1.3851,$1.3247,$1.3373,"$13,414,684","$1,337,332,994"
Theta Network,THETA,"Feb 15, 2025",$1.4198,$1.4351,$1.3451,$1.3605,"$14,752,102","$1,360,454,825"
Theta Network,THETA,"Feb 14, 2025",$1.3772,$1.4634,$1.3714,$1.4198,"$19,167,885","$1,419,833,339"
Theta Network,THETA,"Feb 13, 2025",$1.4373,$1.4471,$1.3570,$1.3772,"$21,530,168","$1,377,232,146"
Theta Network,THETA,"Feb 12, 2025",$1.3634,$1.4547,$1.2970,$1.4373,"$31,829,318","$1,437,265,891"
Theta Network,THETA,"Feb 11, 2025",$1.3749,$1.4616,$1.3489,$1.3634,"$26,914,933","$1,363,430,189"
Theta Network,THETA,"Feb 10, 2025",$1.2804,$1.4007,$1.2420,$1.3749,"$55,470,194","$1,374,885,108"
Theta Network,THETA,"Feb 09, 2025",$1.3353,$1.3614,$1.2180,$1.2804,"$21,463,726","$1,280,415,500"
Theta Network,THETA,"Feb 08, 2025",$1.3196,$1.3430,$1.2808,$1.3353,"$19,114,261","$1,335,341,836"
Theta Network,THETA,"Feb 07, 2025",$1.3021,$1.4111,$1.2735,$1.3196,"$26,579,257","$1,319,630,939"
Theta Network,THETA,"Feb 06, 2025",$1.3699,$1.4159,$1.2943,$1.3021,"$22,341,945","$1,302,098,335"
Theta Network,THETA,"Feb 05, 2025",$1.4414,$1.4722,$1.3590,$1.3699,"$26,299,889","$1,369,920,031"
Theta Network,THETA,"Feb 04, 2025",$1.5675,$1.5870,$1.3788,$1.4414,"$48,150,010","$1,441,350,928"
Theta Network,THETA,"Feb 03, 2025",$1.5437,$1.5781,$1.2388,$1.5675,"$107,045,298","$1,567,499,204"
Theta Network,THETA,"Feb 02, 2025",$1.7750,$1.7987,$1.4873,$1.5437,"$69,439,022","$1,543,699,315"
Theta Network,THETA,"Feb 01, 2025",$1.9335,$2.0657,$1.7542,$1.7750,"$61,426,741","$1,775,044,310"
Theta Network,THETA,"Jan 31, 2025",$1.9525,$2.1614,$1.9006,$1.9336,"$78,322,096","$1,933,574,938"
Theta Network,THETA,"Jan 30, 2025",$1.8908,$2.0299,$1.8873,$1.9525,"$21,482,982","$1,952,522,628"
Theta Network,THETA,"Jan 29, 2025",$1.7987,$1.9615,$1.7966,$1.8908,"$27,234,318","$1,890,804,302"
Theta Network,THETA,"Jan 28, 2025",$1.9028,$1.9489,$1.7792,$1.7987,"$23,829,646","$1,798,693,994"
Theta Network,THETA,"Jan 27, 2025",$1.9424,$1.9467,$1.7462,$1.9028,"$43,826,225","$1,903,003,048"
Theta Network,THETA,"Jan 26, 2025",$2.0008,$2.0436,$1.9423,$1.9424,"$16,440,204","$1,942,386,315"
Theta Network,THETA,"Jan 25, 2025",$1.9768,$2.0184,$1.9589,$2.0008,"$15,392,970","$2,000,795,224"
Theta Network,THETA,"Jan 24, 2025",$2.0359,$2.0835,$1.9674,$1.9768,"$23,654,297","$1,976,814,534"
Theta Network,THETA,"Jan 23, 2025",$2.0445,$2.0842,$1.9770,$2.0358,"$30,836,131","$2,035,918,608"
Theta Network,THETA,"Jan 22, 2025",$2.1131,$2.1620,$2.0346,$2.0446,"$27,650,317","$2,044,518,078"
Theta Network,THETA,"Jan 21, 2025",$2.0109,$2.1752,$1.9340,$2.1131,"$49,912,576","$2,113,132,311"
Theta Network,THETA,"Jan 20, 2025",$2.0010,$2.1988,$1.9248,$2.0109,"$88,316,787","$2,010,869,555"
Theta Network,THETA,"Jan 19, 2025",$2.2899,$2.3514,$1.9743,$2.0010,"$114,699,858","$2,000,996,142"
Theta Network,THETA,"Jan 18, 2025",$2.5148,$2.5275,$2.2301,$2.2899,"$48,258,041","$2,289,870,417"
Theta Network,THETA,"Jan 17, 2025",$2.4037,$2.5220,$2.4033,$2.5055,"$49,022,049","$2,504,669,949"
Theta Network,THETA,"Jan 16, 2025",$2.3918,$2.4787,$2.3268,$2.3998,"$52,757,445","$2,399,841,164"
Theta Network,THETA,"Jan 15, 2025",$2.1687,$2.4007,$2.1404,$2.3917,"$49,702,959","$2,391,760,762"
Theta Network,THETA,"Jan 14, 2025",$2.0616,$2.1922,$2.0420,$2.1687,"$33,636,598","$2,168,666,450"
Theta Network,THETA,"Jan 13, 2025",$2.1145,$2.1709,$1.8975,$2.0616,"$47,996,968","$2,061,592,979"
Theta Network,THETA,"Jan 12, 2025",$2.1544,$2.2410,$2.0877,$2.1145,"$95,954,563","$2,114,506,447"
Theta Network,THETA,"Jan 11, 2025",$2.1738,$2.1994,$2.1081,$2.1544,"$22,973,099","$2,154,360,503"
Theta Network,THETA,"Jan 10, 2025",$2.1134,$2.2065,$2.0890,$2.1738,"$37,316,141","$2,173,846,729"
Theta Network,THETA,"Jan 09, 2025",$2.1520,$2.2003,$2.0729,$2.1134,"$47,767,632","$2,113,445,125"
Theta Network,THETA,"Jan 08, 2025",$2.2873,$2.3195,$2.0613,$2.1520,"$52,067,949","$2,151,952,882"
Theta Network,THETA,"Jan 07, 2025",$2.5667,$2.5775,$2.2853,$2.2873,"$60,227,407","$2,287,338,239"
Theta Network,THETA,"Jan 06, 2025",$2.4524,$2.6275,$2.4076,$2.5665,"$47,154,276","$2,566,503,763"
Theta Network,THETA,"Jan 05, 2025",$2.4665,$2.5001,$2.4066,$2.4524,"$25,007,754","$2,452,389,365"
Theta Network,THETA,"Jan 04, 2025",$2.4961,$2.5350,$2.4507,$2.4665,"$32,228,750","$2,466,533,523"
Theta Network,THETA,"Jan 03, 2025",$2.4102,$2.5240,$2.3862,$2.4961,"$50,546,207","$2,496,059,781"
Theta Network,THETA,"Jan 02, 2025",$2.3531,$2.4660,$2.3522,$2.4102,"$53,464,121","$2,410,237,768"
Theta Network,THETA,"Jan 01, 2025",$2.2145,$2.3632,$2.1410,$2.3531,"$48,362,896","$2,353,084,572"
Theta Network,THETA,"Dec 31, 2024",$2.3284,$2.3921,$2.1863,$2.2145,"$47,378,452","$2,214,532,269"
Theta Network,THETA,"Dec 30, 2024",$2.3030,$2.4279,$2.2258,$2.3284,"$64,047,791","$2,328,441,899"
Theta Network,THETA,"Dec 29, 2024",$2.3789,$2.4447,$2.2928,$2.3030,"$55,939,231","$2,302,973,832"
Theta Network,THETA,"Dec 28, 2024",$2.1687,$2.4041,$2.1580,$2.3789,"$44,043,233","$2,378,853,182"
Theta Network,THETA,"Dec 27, 2024",$2.1439,$2.3279,$2.1302,$2.1687,"$55,281,126","$2,168,653,466"
Theta Network,THETA,"Dec 26, 2024",$2.3661,$2.3854,$2.1212,$2.1439,"$42,216,458","$2,143,858,149"
Theta Network,THETA,"Dec 25, 2024",$2.3699,$2.4423,$2.3254,$2.3661,"$45,389,331","$2,366,111,529"
Theta Network,THETA,"Dec 24, 2024",$2.3174,$2.4451,$2.2305,$2.3699,"$51,155,920","$2,369,867,420"
Theta Network,THETA,"Dec 23, 2024",$2.1399,$2.3709,$2.0773,$2.3174,"$70,538,629","$2,317,360,992"
