Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
UNUS SED LEO,LEO,"Feb 17, 2025",$9.7072,$9.8478,$9.6293,$9.7855,"$493,049","$9,042,949,798"
UNUS SED LEO,LEO,"Feb 16, 2025",$9.8001,$9.8237,$9.7055,$9.7072,"$357,950","$8,970,639,648"
UNUS SED LEO,LEO,"Feb 15, 2025",$9.8329,$9.8455,$9.7590,$9.8001,"$468,187","$9,056,550,533"
UNUS SED LEO,LEO,"Feb 14, 2025",$9.7610,$9.8568,$9.7177,$9.8329,"$743,715","$9,086,839,260"
UNUS SED LEO,LEO,"Feb 13, 2025",$9.8300,$9.8449,$9.7090,$9.7610,"$684,212","$9,020,455,995"
UNUS SED LEO,LEO,"Feb 12, 2025",$9.8140,$9.8694,$9.6905,$9.8300,"$962,743","$9,084,229,044"
UNUS SED LEO,LEO,"Feb 11, 2025",$9.8694,$9.9076,$9.7305,$9.8140,"$749,155","$9,069,572,400"
UNUS SED LEO,LEO,"Feb 10, 2025",$9.8853,$9.8990,$9.7863,$9.8694,"$481,390","$9,120,791,771"
UNUS SED LEO,LEO,"Feb 09, 2025",$9.8311,$9.9342,$9.7742,$9.8853,"$616,415","$9,135,519,833"
UNUS SED LEO,LEO,"Feb 08, 2025",$9.7851,$9.8576,$9.7532,$9.8311,"$593,814","$9,085,468,995"
UNUS SED LEO,LEO,"Feb 07, 2025",$9.7776,$9.8447,$9.7389,$9.7851,"$696,046","$9,043,008,991"
UNUS SED LEO,LEO,"Feb 06, 2025",$9.8531,$9.8723,$9.7167,$9.7776,"$744,650","$9,036,122,120"
UNUS SED LEO,LEO,"Feb 05, 2025",$9.7862,$9.8690,$9.6644,$9.8531,"$754,835","$9,105,885,780"
UNUS SED LEO,LEO,"Feb 04, 2025",$9.7924,$9.9302,$9.6740,$9.7862,"$1,345,850","$9,044,108,666"
UNUS SED LEO,LEO,"Feb 03, 2025",$9.6754,$9.8565,$9.5033,$9.7924,"$2,281,247","$9,049,911,906"
UNUS SED LEO,LEO,"Feb 02, 2025",$9.6767,$9.7760,$9.5804,$9.6754,"$1,217,136","$8,942,025,677"
UNUS SED LEO,LEO,"Feb 01, 2025",$9.7618,$9.7943,$9.6543,$9.6767,"$678,758","$8,943,277,436"
UNUS SED LEO,LEO,"Jan 31, 2025",$9.7767,$9.8148,$9.6198,$9.7618,"$745,493","$9,022,000,115"
UNUS SED LEO,LEO,"Jan 30, 2025",$9.7722,$9.8150,$9.6054,$9.7767,"$556,009","$9,035,770,492"
UNUS SED LEO,LEO,"Jan 29, 2025",$9.7182,$9.8157,$9.5835,$9.7721,"$583,943","$9,031,642,951"
UNUS SED LEO,LEO,"Jan 28, 2025",$9.6627,$9.7876,$9.5795,$9.7182,"$708,991","$8,981,810,334"
UNUS SED LEO,LEO,"Jan 27, 2025",$9.7545,$9.8020,$9.5733,$9.6627,"$980,207","$8,930,617,705"
UNUS SED LEO,LEO,"Jan 26, 2025",$9.7782,$9.8247,$9.7341,$9.7545,"$482,188","$9,015,515,351"
UNUS SED LEO,LEO,"Jan 25, 2025",$9.7033,$9.8169,$9.6411,$9.7781,"$483,152","$9,037,370,290"
UNUS SED LEO,LEO,"Jan 24, 2025",$9.7194,$9.7666,$9.6196,$9.7033,"$686,701","$8,968,228,941"
UNUS SED LEO,LEO,"Jan 23, 2025",$9.6434,$9.7557,$9.5980,$9.7194,"$984,271","$8,983,149,721"
UNUS SED LEO,LEO,"Jan 22, 2025",$9.6764,$9.7256,$9.5567,$9.6435,"$777,485","$8,913,066,066"
UNUS SED LEO,LEO,"Jan 21, 2025",$9.6722,$9.7626,$9.5245,$9.6764,"$1,194,449","$8,943,528,170"
UNUS SED LEO,LEO,"Jan 20, 2025",$9.6379,$9.8030,$9.5629,$9.6722,"$2,237,386","$8,939,749,658"
UNUS SED LEO,LEO,"Jan 19, 2025",$9.5062,$9.6906,$9.4947,$9.6379,"$2,461,685","$8,908,269,532"
UNUS SED LEO,LEO,"Jan 18, 2025",$9.7616,$9.7717,$9.3945,$9.5062,"$1,539,647","$8,786,579,074"
UNUS SED LEO,LEO,"Jan 17, 2025",$9.6819,$9.7887,$9.6057,$9.7616,"$10,824,929","$9,022,714,514"
UNUS SED LEO,LEO,"Jan 16, 2025",$9.6504,$9.7061,$9.5860,$9.6819,"$1,501,395","$8,949,170,338"
UNUS SED LEO,LEO,"Jan 15, 2025",$9.2808,$9.7172,$9.1370,$9.6503,"$3,304,895","$8,920,085,833"
UNUS SED LEO,LEO,"Jan 14, 2025",$9.2030,$9.3409,$9.1765,$9.2808,"$720,030","$8,578,535,091"
UNUS SED LEO,LEO,"Jan 13, 2025",$9.2097,$9.4018,$9.1276,$9.2030,"$1,177,997","$8,506,714,653"
UNUS SED LEO,LEO,"Jan 12, 2025",$9.3869,$9.4188,$9.1488,$9.2097,"$628,553","$8,512,956,611"
UNUS SED LEO,LEO,"Jan 11, 2025",$9.3149,$9.4277,$9.3066,$9.3869,"$594,030","$8,676,750,522"
UNUS SED LEO,LEO,"Jan 10, 2025",$9.0189,$9.3894,$9.0011,$9.3149,"$821,596","$8,610,266,658"
UNUS SED LEO,LEO,"Jan 09, 2025",$9.0225,$9.1286,$9.0084,$9.0189,"$658,145","$8,336,683,773"
UNUS SED LEO,LEO,"Jan 08, 2025",$9.0079,$9.1185,$8.4276,$9.0225,"$5,103,529","$8,340,095,291"
UNUS SED LEO,LEO,"Jan 07, 2025",$9.0784,$9.1056,$9.0005,$9.0079,"$873,455","$8,326,648,789"
UNUS SED LEO,LEO,"Jan 06, 2025",$9.0522,$9.1557,$9.0522,$9.0784,"$753,462","$8,391,861,711"
UNUS SED LEO,LEO,"Jan 05, 2025",$9.1431,$9.1691,$9.0389,$9.0522,"$585,084","$8,367,743,347"
UNUS SED LEO,LEO,"Jan 04, 2025",$9.1102,$9.1932,$8.7475,$9.1431,"$2,051,367","$8,451,747,465"
UNUS SED LEO,LEO,"Jan 03, 2025",$9.0286,$9.1815,$8.9696,$9.1102,"$1,161,786","$8,421,376,649"
UNUS SED LEO,LEO,"Jan 02, 2025",$9.0756,$9.1101,$8.3067,$9.0281,"$4,556,435","$8,345,552,142"
UNUS SED LEO,LEO,"Jan 01, 2025",$9.0514,$9.1060,$8.6369,$9.0756,"$3,568,646","$8,389,494,137"
UNUS SED LEO,LEO,"Dec 31, 2024",$9.0668,$9.1456,$8.5881,$9.0514,"$3,529,719","$8,367,161,751"
UNUS SED LEO,LEO,"Dec 30, 2024",$9.0307,$9.1472,$8.9401,$9.0668,"$1,130,381","$8,381,434,319"
UNUS SED LEO,LEO,"Dec 29, 2024",$9.2732,$9.2854,$8.9372,$9.0307,"$951,128","$8,348,183,341"
UNUS SED LEO,LEO,"Dec 28, 2024",$9.1878,$9.3239,$9.1833,$9.2732,"$857,838","$8,572,316,670"
UNUS SED LEO,LEO,"Dec 27, 2024",$9.1354,$9.2368,$9.0837,$9.1878,"$617,942","$8,493,365,471"
UNUS SED LEO,LEO,"Dec 26, 2024",$9.5351,$9.5808,$9.0538,$9.1060,"$1,391,403","$8,417,875,571"
UNUS SED LEO,LEO,"Dec 25, 2024",$9.4851,$9.5914,$9.4630,$9.5351,"$772,113","$8,814,531,618"
UNUS SED LEO,LEO,"Dec 24, 2024",$9.3415,$9.5406,$9.3167,$9.4851,"$772,255","$8,768,363,920"
UNUS SED LEO,LEO,"Dec 23, 2024",$9.3085,$9.4913,$9.2428,$9.3415,"$1,695,671","$8,635,717,668"
UNUS SED LEO,LEO,"Dec 22, 2024",$9.3555,$9.4033,$9.2730,$9.3085,"$854,466","$8,605,248,473"
UNUS SED LEO,LEO,"Dec 21, 2024",$9.3485,$9.4921,$9.1907,$9.3555,"$2,457,067","$8,648,724,459"
UNUS SED LEO,LEO,"Dec 20, 2024",$9.0771,$9.3971,$8.9926,$9.3485,"$1,530,880","$8,642,277,586"
UNUS SED LEO,LEO,"Dec 19, 2024",$9.1049,$9.2827,$8.9958,$9.0771,"$1,668,044","$8,391,589,001"
UNUS SED LEO,LEO,"Dec 18, 2024",$9.4837,$9.6921,$9.0695,$9.1049,"$1,038,696","$8,417,357,280"
UNUS SED LEO,LEO,"Dec 17, 2024",$9.5599,$9.7010,$9.4473,$9.4837,"$346,770","$8,767,618,973"
UNUS SED LEO,LEO,"Dec 16, 2024",$9.3899,$9.6729,$9.3698,$9.5599,"$1,280,546","$8,838,163,537"
UNUS SED LEO,LEO,"Dec 15, 2024",$9.3932,$9.4508,$9.2741,$9.3899,"$424,914","$8,681,096,415"
UNUS SED LEO,LEO,"Dec 14, 2024",$9.3861,$9.4892,$9.3584,$9.3932,"$345,542","$8,684,252,648"
UNUS SED LEO,LEO,"Dec 13, 2024",$9.4707,$9.5790,$9.1291,$9.3861,"$1,799,439","$8,677,696,451"
UNUS SED LEO,LEO,"Dec 12, 2024",$9.5042,$9.6117,$9.4492,$9.4707,"$478,268","$8,755,962,469"
UNUS SED LEO,LEO,"Dec 11, 2024",$9.4890,$9.5459,$8.9297,$9.5042,"$2,838,447","$8,787,054,459"
UNUS SED LEO,LEO,"Dec 10, 2024",$9.4308,$9.5784,$9.1879,$9.4890,"$2,184,566","$8,773,021,900"
UNUS SED LEO,LEO,"Dec 09, 2024",$9.1930,$9.5443,$9.1608,$9.4111,"$1,318,814","$8,719,410,590"
UNUS SED LEO,LEO,"Dec 08, 2024",$9.4838,$9.5542,$8.9757,$9.1930,"$2,735,088","$8,499,645,476"
UNUS SED LEO,LEO,"Dec 07, 2024",$9.4559,$9.5525,$9.2058,$9.4833,"$1,835,276","$8,768,046,809"
UNUS SED LEO,LEO,"Dec 06, 2024",$9.4160,$9.4716,$9.1608,$9.4559,"$1,752,253","$8,742,815,174"
UNUS SED LEO,LEO,"Dec 05, 2024",$9.5614,$9.6184,$9.0169,$9.4016,"$2,590,232","$8,693,158,487"
UNUS SED LEO,LEO,"Dec 04, 2024",$8.9336,$9.7711,$8.8548,$9.5614,"$2,232,032","$8,840,698,215"
UNUS SED LEO,LEO,"Dec 03, 2024",$8.8079,$8.9467,$8.7407,$8.9336,"$707,703","$8,260,351,952"
UNUS SED LEO,LEO,"Dec 02, 2024",$8.6336,$8.8629,$8.5661,$8.8079,"$1,262,186","$8,144,232,993"
