Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Uniswap,UNI,"Feb 17, 2025",$9.5913,$10.21,$9.5267,$9.9113,"$186,239,857","$5,951,885,503"
Uniswap,UNI,"Feb 16, 2025",$9.8105,$9.9370,$9.5834,$9.5915,"$121,313,945","$5,759,771,518"
Uniswap,UNI,"Feb 15, 2025",$10.06,$10.14,$9.7375,$9.8103,"$129,237,826","$5,891,357,970"
Uniswap,UNI,"Feb 14, 2025",$9.8685,$10.33,$9.8179,$10.06,"$185,880,410","$6,040,956,051"
Uniswap,UNI,"Feb 13, 2025",$9.9444,$10.07,$9.5031,$9.8685,"$180,947,011","$5,926,235,158"
Uniswap,UNI,"Feb 12, 2025",$9.3696,$10.11,$9.1571,$9.9444,"$249,572,291","$5,971,811,397"
Uniswap,UNI,"Feb 11, 2025",$9.4597,$10.03,$9.2597,$9.3695,"$261,164,941","$5,626,617,390"
Uniswap,UNI,"Feb 10, 2025",$9.1411,$9.5759,$8.8454,$9.4597,"$222,634,178","$5,680,732,087"
Uniswap,UNI,"Feb 09, 2025",$9.1403,$9.2999,$8.7305,$9.1411,"$189,856,019","$5,489,417,628"
Uniswap,UNI,"Feb 08, 2025",$9.0106,$9.1643,$8.7432,$9.1403,"$162,007,104","$5,488,885,551"
Uniswap,UNI,"Feb 07, 2025",$8.9732,$9.4845,$8.7760,$9.0106,"$266,765,412","$5,411,013,298"
Uniswap,UNI,"Feb 06, 2025",$9.2749,$9.4432,$8.9200,$8.9732,"$223,773,937","$5,388,550,630"
Uniswap,UNI,"Feb 05, 2025",$9.0877,$9.5037,$9.0278,$9.2754,"$224,044,296","$5,569,722,661"
Uniswap,UNI,"Feb 04, 2025",$9.9720,$9.9730,$8.8024,$9.0877,"$378,585,548","$5,457,305,349"
Uniswap,UNI,"Feb 03, 2025",$9.1714,$10.20,$7.3368,$9.9720,"$984,512,583","$5,988,389,449"
Uniswap,UNI,"Feb 02, 2025",$10.88,$11.10,$8.7932,$9.1715,"$415,634,666","$5,507,621,401"
Uniswap,UNI,"Feb 01, 2025",$11.76,$11.91,$10.80,$10.88,"$211,716,541","$6,535,370,469"
Uniswap,UNI,"Jan 31, 2025",$11.97,$12.77,$11.69,$11.76,"$330,080,892","$7,064,492,583"
Uniswap,UNI,"Jan 30, 2025",$11.73,$12.27,$11.66,$11.97,"$304,639,322","$7,188,961,487"
Uniswap,UNI,"Jan 29, 2025",$11.17,$12.06,$11.12,$11.73,"$431,584,101","$7,043,243,998"
Uniswap,UNI,"Jan 28, 2025",$10.98,$11.34,$10.82,$11.16,"$253,706,224","$6,704,945,117"
Uniswap,UNI,"Jan 27, 2025",$11.45,$11.50,$10.36,$10.98,"$384,651,774","$6,594,876,191"
Uniswap,UNI,"Jan 26, 2025",$12.09,$12.37,$11.44,$11.45,"$236,604,648","$6,873,092,260"
Uniswap,UNI,"Jan 25, 2025",$12.47,$12.47,$12.06,$12.09,"$176,596,685","$7,257,308,569"
Uniswap,UNI,"Jan 24, 2025",$12.81,$13.12,$12.43,$12.47,"$242,722,878","$7,485,707,140"
Uniswap,UNI,"Jan 23, 2025",$12.88,$13.00,$12.40,$12.81,"$288,149,436","$7,690,686,323"
Uniswap,UNI,"Jan 22, 2025",$13.49,$13.60,$12.85,$12.88,"$255,466,495","$7,731,707,235"
Uniswap,UNI,"Jan 21, 2025",$13.52,$13.84,$13.01,$13.49,"$372,731,374","$8,102,403,468"
Uniswap,UNI,"Jan 20, 2025",$13.27,$14.49,$12.97,$13.52,"$622,563,303","$8,116,888,442"
Uniswap,UNI,"Jan 19, 2025",$14.19,$14.56,$13.12,$13.27,"$581,602,290","$7,969,345,500"
Uniswap,UNI,"Jan 18, 2025",$15.00,$15.23,$13.93,$14.19,"$414,164,573","$8,518,881,871"
Uniswap,UNI,"Jan 17, 2025",$14.12,$15.15,$14.10,$15.00,"$347,523,771","$9,007,224,802"
Uniswap,UNI,"Jan 16, 2025",$14.55,$14.58,$14.00,$14.12,"$299,097,360","$8,476,419,417"
Uniswap,UNI,"Jan 15, 2025",$13.30,$14.65,$12.98,$14.55,"$346,103,167","$8,734,936,361"
Uniswap,UNI,"Jan 14, 2025",$12.90,$13.40,$12.84,$13.30,"$184,256,408","$7,988,166,613"
Uniswap,UNI,"Jan 13, 2025",$13.64,$13.92,$12.16,$12.90,"$342,100,482","$7,743,919,672"
Uniswap,UNI,"Jan 12, 2025",$13.64,$13.86,$13.53,$13.64,"$187,305,434","$8,188,436,478"
Uniswap,UNI,"Jan 11, 2025",$13.95,$14.00,$13.47,$13.64,"$187,025,009","$8,189,553,102"
Uniswap,UNI,"Jan 10, 2025",$12.88,$14.07,$12.88,$13.95,"$436,329,568","$8,374,161,931"
Uniswap,UNI,"Jan 09, 2025",$13.11,$13.33,$12.42,$12.88,"$320,741,981","$7,733,039,083"
Uniswap,UNI,"Jan 08, 2025",$13.55,$13.82,$12.56,$13.11,"$399,721,831","$7,871,250,559"
Uniswap,UNI,"Jan 07, 2025",$15.07,$15.12,$13.54,$13.55,"$331,309,011","$8,135,108,607"
Uniswap,UNI,"Jan 06, 2025",$15.15,$15.63,$14.84,$15.07,"$577,985,165","$9,048,520,491"
Uniswap,UNI,"Jan 05, 2025",$15.29,$15.34,$14.84,$15.15,"$247,754,592","$9,099,642,194"
Uniswap,UNI,"Jan 04, 2025",$15.18,$15.38,$14.77,$15.29,"$383,326,700","$9,179,746,564"
Uniswap,UNI,"Jan 03, 2025",$14.35,$15.23,$14.07,$15.18,"$376,040,232","$9,117,591,549"
Uniswap,UNI,"Jan 02, 2025",$13.60,$14.48,$13.60,$14.35,"$394,525,875","$8,615,677,188"
Uniswap,UNI,"Jan 01, 2025",$13.21,$13.65,$13.05,$13.60,"$255,532,421","$8,167,077,007"
Uniswap,UNI,"Dec 31, 2024",$13.32,$13.85,$13.13,$13.21,"$366,016,358","$7,935,342,783"
Uniswap,UNI,"Dec 30, 2024",$13.00,$13.60,$12.75,$13.32,"$386,467,160","$7,996,863,113"
Uniswap,UNI,"Dec 29, 2024",$13.56,$13.56,$12.84,$13.00,"$192,805,251","$7,806,626,409"
Uniswap,UNI,"Dec 28, 2024",$13.32,$13.73,$13.04,$13.56,"$238,476,540","$8,144,667,116"
Uniswap,UNI,"Dec 27, 2024",$13.23,$14.22,$13.17,$13.32,"$487,695,353","$7,996,413,059"
Uniswap,UNI,"Dec 26, 2024",$13.89,$14.05,$12.86,$13.23,"$365,353,450","$7,946,408,392"
Uniswap,UNI,"Dec 25, 2024",$14.59,$14.59,$13.69,$13.89,"$341,078,191","$8,339,042,842"
Uniswap,UNI,"Dec 24, 2024",$14.27,$14.72,$13.76,$14.59,"$443,983,084","$8,763,004,475"
Uniswap,UNI,"Dec 23, 2024",$13.86,$14.58,$13.27,$14.27,"$655,416,130","$8,566,852,885"
Uniswap,UNI,"Dec 22, 2024",$13.39,$14.22,$13.30,$13.86,"$664,901,309","$8,322,793,287"
Uniswap,UNI,"Dec 21, 2024",$13.69,$14.72,$13.09,$13.39,"$678,398,732","$8,043,323,600"
Uniswap,UNI,"Dec 20, 2024",$12.78,$13.80,$11.25,$13.69,"$1,357,480,291","$8,221,036,726"
