Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
dogwifhat,WIF,"Feb 18, 2025",$0.6305,$0.637,$0.5781,$0.6152,"$281,743,425","$614,502,760"
dogwifhat,WIF,"Feb 17, 2025",$0.6587,$0.6994,$0.6199,$0.6305,"$311,832,305","$629,765,292"
dogwifhat,WIF,"Feb 16, 2025",$0.6888,$0.7025,$0.6474,$0.6587,"$218,841,688","$657,907,682"
dogwifhat,WIF,"Feb 15, 2025",$0.7279,$0.7279,$0.6771,$0.6888,"$312,004,294","$688,019,916"
dogwifhat,WIF,"Feb 14, 2025",$0.5902,$0.788,$0.5857,$0.7279,"$836,427,609","$727,074,563"
dogwifhat,WIF,"Feb 13, 2025",$0.6046,$0.6261,$0.5734,$0.5902,"$297,449,945","$589,543,662"
dogwifhat,WIF,"Feb 12, 2025",$0.6268,$0.6305,$0.5574,$0.6046,"$530,556,403","$603,936,041"
dogwifhat,WIF,"Feb 11, 2025",$0.6563,$0.6953,$0.6155,$0.6268,"$362,524,059","$626,067,477"
dogwifhat,WIF,"Feb 10, 2025",$0.6444,$0.6855,$0.6198,$0.6563,"$305,823,836","$655,521,946"
dogwifhat,WIF,"Feb 09, 2025",$0.7189,$0.7339,$0.613,$0.6444,"$262,601,516","$643,688,600"
dogwifhat,WIF,"Feb 08, 2025",$0.6781,$0.7332,$0.6617,$0.7189,"$267,873,996","$718,037,906"
dogwifhat,WIF,"Feb 07, 2025",$0.7123,$0.781,$0.65,$0.6781,"$394,935,396","$677,302,235"
dogwifhat,WIF,"Feb 06, 2025",$0.7944,$0.8169,$0.7047,$0.7123,"$384,710,235","$711,497,701"
dogwifhat,WIF,"Feb 05, 2025",$0.8045,$0.8505,$0.7741,$0.7944,"$393,949,728","$793,495,230"
dogwifhat,WIF,"Feb 04, 2025",$0.862,$0.8882,$0.7486,$0.8045,"$496,927,050","$803,535,788"
dogwifhat,WIF,"Feb 03, 2025",$0.9487,$0.9492,$0.6817,$0.862,"$1,380,654,950","$861,025,186"
dogwifhat,WIF,"Feb 02, 2025",$1.0125,$1.0589,$0.8931,$0.9487,"$705,754,292","$947,557,436"
dogwifhat,WIF,"Feb 01, 2025",$1.1386,$1.1739,$0.997,$1.0125,"$348,479,795","$1,011,372,828"
dogwifhat,WIF,"Jan 31, 2025",$1.1566,$1.3065,$1.1211,$1.1386,"$601,293,753","$1,137,303,345"
dogwifhat,WIF,"Jan 30, 2025",$1.1829,$1.2559,$1.1566,$1.1566,"$382,245,381","$1,155,296,246"
dogwifhat,WIF,"Jan 29, 2025",$1.0666,$1.3721,$1.0572,$1.1828,"$1,342,216,336","$1,181,457,557"
dogwifhat,WIF,"Jan 28, 2025",$1.1810,$1.2036,$0.9783,$1.0668,"$504,550,598","$1,065,315,657"
dogwifhat,WIF,"Jan 27, 2025",$1.2125,$1.2125,$1.0825,$1.1810,"$346,830,621","$1,179,587,419"
dogwifhat,WIF,"Jan 26, 2025",$1.2782,$1.3025,$1.2105,$1.2125,"$141,245,290","$1,211,092,260"
dogwifhat,WIF,"Jan 25, 2025",$1.2808,$1.3269,$1.2274,$1.2782,"$249,904,679","$1,276,682,351"
dogwifhat,WIF,"Jan 24, 2025",$1.4186,$1.4716,$1.2646,$1.2808,"$224,783,781","$1,279,310,708"
dogwifhat,WIF,"Jan 23, 2025",$1.4172,$1.4509,$1.3505,$1.4186,"$302,318,677","$1,416,937,594"
dogwifhat,WIF,"Jan 22, 2025",$1.4536,$1.4838,$1.3992,$1.4172,"$232,324,904","$1,415,525,946"
dogwifhat,WIF,"Jan 21, 2025",$1.3921,$1.5230,$1.3161,$1.4536,"$395,352,806","$1,451,891,441"
dogwifhat,WIF,"Jan 20, 2025",$1.5373,$1.5937,$1.3701,$1.3921,"$830,585,438","$1,390,531,271"
dogwifhat,WIF,"Jan 19, 2025",$1.7719,$1.8102,$1.5080,$1.5374,"$856,194,448","$1,535,589,961"
dogwifhat,WIF,"Jan 18, 2025",$1.8751,$1.9828,$1.7427,$1.7719,"$639,979,588","$1,769,851,368"
dogwifhat,WIF,"Jan 17, 2025",$1.7645,$1.9119,$1.7538,$1.8751,"$364,538,206","$1,872,953,509"
dogwifhat,WIF,"Jan 16, 2025",$1.7706,$1.8457,$1.7090,$1.7645,"$378,029,526","$1,762,471,275"
dogwifhat,WIF,"Jan 15, 2025",$1.5487,$1.7787,$1.5045,$1.7702,"$366,745,941","$1,768,546,493"
dogwifhat,WIF,"Jan 14, 2025",$1.4906,$1.5725,$1.4738,$1.5487,"$218,395,500","$1,546,861,008"
dogwifhat,WIF,"Jan 13, 2025",$1.5466,$1.5897,$1.3609,$1.4906,"$461,439,310","$1,488,837,870"
dogwifhat,WIF,"Jan 12, 2025",$1.5763,$1.5852,$1.5255,$1.5466,"$195,714,731","$1,544,783,204"
dogwifhat,WIF,"Jan 11, 2025",$1.5569,$1.6339,$1.5293,$1.5763,"$235,880,885","$1,574,519,853"
