Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
worldcoin-org,WLD,"Feb 18, 2025",$1.2033,$1.2121,$1.0794,$1.1355,"$221,193,038","$1,173,242,829"
worldcoin-org,WLD,"Feb 17, 2025",$1.2208,$1.2749,$1.1758,$1.2033,"$172,647,928","$1,239,352,205"
worldcoin-org,WLD,"Feb 16, 2025",$1.2338,$1.2550,$1.2019,$1.2208,"$113,674,682","$1,249,591,380"
worldcoin-org,WLD,"Feb 15, 2025",$1.2963,$1.3047,$1.2204,$1.2339,"$119,313,587","$1,259,160,442"
worldcoin-org,WLD,"Feb 14, 2025",$1.2256,$1.3351,$1.2154,$1.2963,"$192,561,760","$1,319,226,418"
worldcoin-org,WLD,"Feb 13, 2025",$1.2835,$1.2916,$1.2106,$1.2256,"$160,453,839","$1,242,966,146"
worldcoin-org,WLD,"Feb 12, 2025",$1.2437,$1.3011,$1.1839,$1.2835,"$225,230,706","$1,298,465,395"
worldcoin-org,WLD,"Feb 11, 2025",$1.2555,$1.3444,$1.2260,$1.2437,"$209,548,884","$1,254,064,125"
worldcoin-org,WLD,"Feb 10, 2025",$1.2241,$1.3228,$1.1747,$1.2555,"$300,523,954","$1,262,386,646"
worldcoin-org,WLD,"Feb 09, 2025",$1.2485,$1.2836,$1.1526,$1.2241,"$158,750,471","$1,227,179,838"
worldcoin-org,WLD,"Feb 08, 2025",$1.2050,$1.2622,$1.2004,$1.2485,"$155,702,022","$1,248,214,050"
worldcoin-org,WLD,"Feb 07, 2025",$1.2016,$1.3100,$1.1551,$1.2050,"$234,208,424","$1,201,164,326"
worldcoin-org,WLD,"Feb 06, 2025",$1.2898,$1.3299,$1.1905,$1.2016,"$191,000,644","$1,194,161,967"
worldcoin-org,WLD,"Feb 05, 2025",$1.3176,$1.3653,$1.2653,$1.2898,"$195,692,792","$1,277,908,306"
worldcoin-org,WLD,"Feb 04, 2025",$1.4201,$1.4305,$1.2507,$1.3176,"$317,962,599","$1,301,519,487"
worldcoin-org,WLD,"Feb 03, 2025",$1.3902,$1.4459,$1.0432,$1.4201,"$861,216,487","$1,398,584,592"
worldcoin-org,WLD,"Feb 02, 2025",$1.6168,$1.6372,$1.3193,$1.3902,"$437,102,133","$1,364,567,852"
worldcoin-org,WLD,"Feb 01, 2025",$1.7700,$1.8074,$1.6005,$1.6168,"$196,538,474","$1,582,828,295"
worldcoin-org,WLD,"Jan 31, 2025",$1.7674,$1.8693,$1.7397,$1.7701,"$261,240,380","$1,726,977,294"
worldcoin-org,WLD,"Jan 30, 2025",$1.7218,$1.8523,$1.7106,$1.7674,"$280,756,305","$1,719,027,877"
worldcoin-org,WLD,"Jan 29, 2025",$1.6374,$1.8208,$1.6162,$1.7217,"$343,047,042","$1,669,037,649"
worldcoin-org,WLD,"Jan 28, 2025",$1.9034,$1.9294,$1.6254,$1.6374,"$325,822,700","$1,579,857,681"
worldcoin-org,WLD,"Jan 27, 2025",$1.9949,$1.9962,$1.8182,$1.9034,"$388,399,738","$1,825,952,070"
worldcoin-org,WLD,"Jan 26, 2025",$2.0993,$2.1165,$1.9936,$1.9949,"$192,244,588","$1,901,009,449"
worldcoin-org,WLD,"Jan 25, 2025",$2.1298,$2.1771,$2.0803,$2.0992,"$222,926,648","$1,993,307,888"
worldcoin-org,WLD,"Jan 24, 2025",$2.2660,$2.3227,$2.1260,$2.1298,"$353,965,657","$2,015,220,762"
worldcoin-org,WLD,"Jan 23, 2025",$2.3129,$2.3361,$2.1060,$2.2661,"$645,117,666","$2,131,312,162"
worldcoin-org,WLD,"Jan 22, 2025",$2.1283,$2.4350,$2.0558,$2.3129,"$819,404,881","$2,167,285,790"
worldcoin-org,WLD,"Jan 21, 2025",$1.8934,$2.2950,$1.7999,$2.1283,"$636,610,920","$1,982,438,115"
worldcoin-org,WLD,"Jan 20, 2025",$1.8998,$2.1481,$1.8411,$1.8934,"$608,007,427","$1,754,922,060"
worldcoin-org,WLD,"Jan 19, 2025",$2.1439,$2.2313,$1.8804,$1.8998,"$518,749,963","$1,747,581,591"
worldcoin-org,WLD,"Jan 18, 2025",$2.2982,$2.3759,$2.0970,$2.1439,"$315,280,923","$1,964,463,520"
worldcoin-org,WLD,"Jan 17, 2025",$2.1495,$2.3203,$2.1489,$2.2982,"$293,482,720","$2,097,378,475"
worldcoin-org,WLD,"Jan 16, 2025",$2.2112,$2.2440,$2.1241,$2.1495,"$255,927,707","$1,950,397,213"
worldcoin-org,WLD,"Jan 15, 2025",$2.0371,$2.2161,$1.9656,$2.2112,"$283,770,169","$1,991,696,754"
worldcoin-org,WLD,"Jan 14, 2025",$1.9610,$2.0559,$1.9474,$2.0371,"$243,403,358","$1,827,398,073"
worldcoin-org,WLD,"Jan 13, 2025",$2.1426,$2.2000,$1.8499,$1.9610,"$478,971,724","$1,751,538,054"
worldcoin-org,WLD,"Jan 12, 2025",$2.1899,$2.2023,$2.1014,$2.1426,"$171,694,270","$1,902,812,039"
worldcoin-org,WLD,"Jan 11, 2025",$2.1645,$2.2301,$2.1248,$2.1899,"$222,651,253","$1,933,232,186"
worldcoin-org,WLD,"Jan 10, 2025",$2.1197,$2.1991,$2.0622,$2.1646,"$348,052,526","$1,903,302,789"
worldcoin-org,WLD,"Jan 09, 2025",$2.2001,$2.2349,$2.0813,$2.1197,"$339,969,014","$1,856,352,988"
worldcoin-org,WLD,"Jan 08, 2025",$2.3305,$2.3612,$2.0852,$2.2001,"$482,638,141","$1,915,287,504"
worldcoin-org,WLD,"Jan 07, 2025",$2.6223,$2.6651,$2.3139,$2.3305,"$653,076,892","$2,018,026,392"
worldcoin-org,WLD,"Jan 06, 2025",$2.4125,$2.7930,$2.3476,$2.6223,"$714,124,425","$2,259,085,696"
worldcoin-org,WLD,"Jan 05, 2025",$2.3798,$2.4237,$2.3125,$2.4125,"$201,909,827","$2,068,156,080"
worldcoin-org,WLD,"Jan 04, 2025",$2.4055,$2.4371,$2.3444,$2.3798,"$234,862,565","$2,027,799,696"
worldcoin-org,WLD,"Jan 03, 2025",$2.2906,$2.4189,$2.2101,$2.4055,"$317,217,430","$2,041,798,981"
worldcoin-org,WLD,"Jan 02, 2025",$2.2235,$2.3520,$2.2097,$2.2908,"$290,899,495","$1,937,070,162"
worldcoin-org,WLD,"Jan 01, 2025",$2.0873,$2.2243,$2.0803,$2.2235,"$201,840,602","$1,872,218,266"
worldcoin-org,WLD,"Dec 31, 2024",$2.0754,$2.1699,$2.0208,$2.0873,"$199,850,796","$1,750,456,549"
worldcoin-org,WLD,"Dec 30, 2024",$2.1055,$2.1896,$2.0191,$2.0754,"$281,602,125","$1,732,555,460"
worldcoin-org,WLD,"Dec 29, 2024",$2.2274,$2.2310,$2.0878,$2.1056,"$163,467,659","$1,736,920,607"
worldcoin-org,WLD,"Dec 28, 2024",$2.1801,$2.2436,$2.1333,$2.2274,"$180,830,458","$1,840,834,063"
worldcoin-org,WLD,"Dec 27, 2024",$2.1831,$2.3051,$2.1645,$2.1801,"$291,899,550","$1,791,814,966"
worldcoin-org,WLD,"Dec 26, 2024",$2.3003,$2.3203,$2.1514,$2.1831,"$225,955,097","$1,787,319,835"
worldcoin-org,WLD,"Dec 25, 2024",$2.3588,$2.3843,$2.2695,$2.3003,"$237,937,991","$1,874,440,925"
worldcoin-org,WLD,"Dec 24, 2024",$2.3175,$2.4134,$2.2511,$2.3588,"$306,503,876","$1,909,680,508"
worldcoin-org,WLD,"Dec 23, 2024",$2.2139,$2.3571,$2.1192,$2.3175,"$364,536,108","$1,868,569,150"
worldcoin-org,WLD,"Dec 22, 2024",$2.1834,$2.2999,$2.1450,$2.2139,"$306,722,750","$1,774,917,389"
worldcoin-org,WLD,"Dec 21, 2024",$2.3659,$2.5021,$2.1518,$2.1834,"$406,262,715","$1,742,934,826"
worldcoin-org,WLD,"Dec 20, 2024",$2.1947,$2.3951,$1.9539,$2.3659,"$669,678,949","$1,879,918,161"
worldcoin-org,WLD,"Dec 19, 2024",$2.4193,$2.4626,$2.1247,$2.1947,"$668,018,419","$1,738,731,190"
worldcoin-org,WLD,"Dec 18, 2024",$2.7070,$2.7262,$2.4164,$2.4193,"$556,464,458","$1,904,238,950"
worldcoin-org,WLD,"Dec 17, 2024",$2.8626,$2.9063,$2.6935,$2.7071,"$402,953,303","$2,120,427,271"
worldcoin-org,WLD,"Dec 16, 2024",$3.0470,$3.1498,$2.8497,$2.8626,"$457,117,607","$2,230,594,906"
worldcoin-org,WLD,"Dec 15, 2024",$2.9219,$3.0910,$2.8724,$3.0470,"$376,322,395","$2,362,598,440"
worldcoin-org,WLD,"Dec 14, 2024",$3.0901,$3.1081,$2.8446,$2.9219,"$344,438,979","$2,254,393,567"
worldcoin-org,WLD,"Dec 13, 2024",$3.0760,$3.1242,$2.9977,$3.0283,"$444,063,555","$2,325,370,722"
worldcoin-org,WLD,"Dec 12, 2024",$3.1349,$3.3443,$3.0167,$3.0760,"$631,258,436","$2,350,742,343"
worldcoin-org,WLD,"Dec 11, 2024",$2.8404,$3.1538,$2.7194,$3.1349,"$654,271,459","$2,382,096,281"
worldcoin-org,WLD,"Dec 10, 2024",$2.9397,$3.0366,$2.5916,$2.8404,"$1,049,457,307","$2,145,766,071"
worldcoin-org,WLD,"Dec 09, 2024",$3.8153,$3.8158,$2.6371,$2.9397,"$1,192,168,194","$2,208,206,116"
worldcoin-org,WLD,"Dec 08, 2024",$3.8046,$3.8213,$3.6591,$3.7656,"$378,930,040","$2,781,504,463"
worldcoin-org,WLD,"Dec 07, 2024",$3.9238,$3.9346,$3.7526,$3.7733,"$498,677,052","$2,805,327,103"
worldcoin-org,WLD,"Dec 06, 2024",$3.7226,$4.1701,$3.6531,$3.9238,"$1,300,278,623","$2,902,734,681"
worldcoin-org,WLD,"Dec 05, 2024",$3.2949,$4.0759,$3.1390,$3.7491,"$1,739,982,969","$2,758,616,329"
worldcoin-org,WLD,"Dec 04, 2024",$3.3150,$3.4733,$3.2015,$3.2949,"$932,842,420","$2,403,784,694"
worldcoin-org,WLD,"Dec 03, 2024",$3.2882,$3.4741,$3.0240,$3.3150,"$1,221,532,075","$2,406,103,471"
worldcoin-org,WLD,"Dec 02, 2024",$3.3872,$3.4040,$3.0939,$3.2882,"$871,488,521","$2,374,400,939"
worldcoin-org,WLD,"Dec 01, 2024",$3.6491,$3.6491,$3.2658,$3.4357,"$985,194,089","$2,462,885,241"
worldcoin-org,WLD,"Nov 30, 2024",$2.9225,$3.7148,$2.8738,$3.6491,"$1,542,691,991","$2,603,795,429"
worldcoin-org,WLD,"Nov 29, 2024",$2.9348,$2.9534,$2.7963,$2.9225,"$821,750,722","$2,074,916,668"
worldcoin-org,WLD,"Nov 28, 2024",$2.5481,$3.0528,$2.4720,$2.9348,"$1,298,333,976","$2,071,754,252"
worldcoin-org,WLD,"Nov 27, 2024",$2.3551,$2.5822,$2.3018,$2.5479,"$480,563,183","$1,828,869,242"
worldcoin-org,WLD,"Nov 26, 2024",$2.4371,$2.5471,$2.2523,$2.3551,"$577,998,494","$1,639,708,439"
worldcoin-org,WLD,"Nov 25, 2024",$2.5469,$2.7789,$2.3739,$2.4371,"$1,056,927,907","$1,685,115,669"
worldcoin-org,WLD,"Nov 24, 2024",$2.4390,$2.6814,$2.3302,$2.5469,"$956,801,231","$1,749,598,998"
worldcoin-org,WLD,"Nov 23, 2024",$2.2530,$2.4948,$2.2410,$2.4390,"$812,281,973","$1,666,852,691"
worldcoin-org,WLD,"Nov 22, 2024",$2.2437,$2.2952,$2.1221,$2.2530,"$476,465,622","$1,531,417,967"
worldcoin-org,WLD,"Nov 21, 2024",$2.1134,$2.3251,$2.0324,$2.2437,"$517,521,887","$1,517,085,390"
worldcoin-org,WLD,"Nov 20, 2024",$2.2922,$2.2924,$2.0681,$2.1134,"$453,751,802","$1,421,818,583"
worldcoin-org,WLD,"Nov 19, 2024",$2.3962,$2.3982,$2.2350,$2.2922,"$392,229,055","$1,525,876,623"
worldcoin-org,WLD,"Nov 18, 2024",$2.2321,$2.4183,$2.2204,$2.3962,"$489,964,338","$1,585,614,966"
worldcoin-org,WLD,"Nov 17, 2024",$2.3650,$2.4049,$2.1867,$2.2321,"$513,261,459","$1,471,776,870"
worldcoin-org,WLD,"Nov 16, 2024",$2.3029,$2.4148,$2.2574,$2.3650,"$524,957,836","$1,548,783,743"
worldcoin-org,WLD,"Nov 15, 2024",$2.1785,$2.3274,$2.1267,$2.3262,"$513,304,786","$1,509,173,429"
worldcoin-org,WLD,"Nov 14, 2024",$2.2996,$2.4784,$2.1467,$2.1785,"$781,102,812","$1,405,758,218"
worldcoin-org,WLD,"Nov 13, 2024",$2.4713,$2.4836,$2.1405,$2.2996,"$1,025,444,386","$1,474,019,601"
worldcoin-org,WLD,"Nov 12, 2024",$2.4901,$2.8316,$2.3157,$2.5360,"$1,640,909,187","$1,612,690,141"
worldcoin-org,WLD,"Nov 11, 2024",$2.1175,$2.3895,$2.1009,$2.3599,"$939,449,422","$1,492,872,939"
worldcoin-org,WLD,"Nov 10, 2024",$2.0677,$2.2603,$2.0102,$2.1175,"$614,680,079","$1,328,471,155"
worldcoin-org,WLD,"Nov 09, 2024",$1.9238,$2.1191,$1.8852,$2.0677,"$300,278,449","$1,290,632,102"
worldcoin-org,WLD,"Nov 08, 2024",$1.9929,$2.0186,$1.8530,$1.9293,"$235,264,067","$1,198,000,633"
worldcoin-org,WLD,"Nov 07, 2024",$1.9747,$2.0566,$1.9266,$1.9798,"$258,779,560","$1,222,819,550"
worldcoin-org,WLD,"Nov 06, 2024",$1.7713,$2.0117,$1.7713,$2.0085,"$401,367,573","$1,233,865,902"
worldcoin-org,WLD,"Nov 05, 2024",$1.6536,$1.8350,$1.6536,$1.7713,"$195,421,491","$1,078,254,854"
worldcoin-org,WLD,"Nov 04, 2024",$1.7300,$1.7572,$1.5931,$1.6536,"$153,395,672","$1,000,643,850"
worldcoin-org,WLD,"Nov 03, 2024",$1.8071,$1.8133,$1.6311,$1.7338,"$185,328,226","$1,043,951,178"
worldcoin-org,WLD,"Nov 02, 2024",$1.8802,$1.8979,$1.7832,$1.8071,"$121,659,039","$1,081,795,522"
worldcoin-org,WLD,"Nov 01, 2024",$1.9205,$1.9852,$1.8327,$1.8802,"$182,475,604","$1,118,986,426"
worldcoin-org,WLD,"Oct 31, 2024",$2.0044,$2.0109,$1.8876,$1.9205,"$153,341,082","$1,136,922,015"
worldcoin-org,WLD,"Oct 30, 2024",$2.0963,$2.1005,$1.9858,$2.0044,"$175,420,852","$1,177,600,726"
worldcoin-org,WLD,"Oct 29, 2024",$2.0515,$2.1354,$2.0350,$2.0820,"$236,129,190","$1,218,471,061"
worldcoin-org,WLD,"Oct 28, 2024",$2.0412,$2.0912,$1.8993,$2.0515,"$234,184,399","$1,193,840,547"
worldcoin-org,WLD,"Oct 27, 2024",$2.0100,$2.0724,$1.9711,$2.0412,"$121,852,744","$1,177,297,873"
worldcoin-org,WLD,"Oct 26, 2024",$1.9205,$2.0414,$1.8977,$2.0100,"$189,728,964","$1,152,769,260"
worldcoin-org,WLD,"Oct 25, 2024",$2.2013,$2.2159,$1.8398,$1.9205,"$290,585,409","$1,095,527,715"
worldcoin-org,WLD,"Oct 24, 2024",$2.2465,$2.3117,$2.1778,$2.1929,"$210,463,178","$1,242,355,804"
worldcoin-org,WLD,"Oct 23, 2024",$2.3017,$2.3154,$2.1592,$2.2071,"$199,682,715","$1,242,939,359"
worldcoin-org,WLD,"Oct 22, 2024",$2.2725,$2.3199,$2.1933,$2.3016,"$207,725,329","$1,288,944,675"
worldcoin-org,WLD,"Oct 21, 2024",$2.4228,$2.4768,$2.2675,$2.2725,"$245,602,564","$1,262,947,676"
worldcoin-org,WLD,"Oct 20, 2024",$2.4578,$2.4732,$2.3486,$2.4352,"$246,480,714","$1,346,255,242"
worldcoin-org,WLD,"Oct 19, 2024",$2.3692,$2.5168,$2.3426,$2.4578,"$334,988,355","$1,350,913,299"
worldcoin-org,WLD,"Oct 18, 2024",$2.1204,$2.4588,$2.1109,$2.3692,"$372,066,539","$1,294,053,659"
worldcoin-org,WLD,"Oct 17, 2024",$2.2404,$2.3159,$2.0888,$2.1204,"$334,116,344","$1,152,116,437"
worldcoin-org,WLD,"Oct 16, 2024",$2.3880,$2.4140,$2.1815,$2.2404,"$341,968,088","$1,207,810,199"
worldcoin-org,WLD,"Oct 15, 2024",$2.4144,$2.6453,$2.2943,$2.3438,"$664,468,073","$1,255,689,425"
worldcoin-org,WLD,"Oct 14, 2024",$2.0779,$2.4227,$2.0748,$2.4144,"$505,019,267","$1,286,017,811"
worldcoin-org,WLD,"Oct 13, 2024",$2.0833,$2.0894,$1.9365,$2.0779,"$216,821,511","$1,100,119,640"
worldcoin-org,WLD,"Oct 12, 2024",$1.9284,$2.1171,$1.8827,$2.0833,"$247,314,601","$1,096,241,799"
worldcoin-org,WLD,"Oct 11, 2024",$1.7010,$1.9579,$1.6867,$1.9284,"$224,158,326","$1,009,305,318"
worldcoin-org,WLD,"Oct 10, 2024",$1.7367,$1.7668,$1.6430,$1.7010,"$164,144,092","$885,378,970"
worldcoin-org,WLD,"Oct 09, 2024",$1.8498,$1.8823,$1.7217,$1.7340,"$179,861,718","$894,001,070"
worldcoin-org,WLD,"Oct 08, 2024",$1.9339,$2.0082,$1.8510,$1.8567,"$213,524,077","$951,140,343"
