Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Axie Infinity,AXS,"Feb 18, 2025",$4.4599,$4.4747,$4.0445,$4.1796,"$47,009,506","$663,413,731"
Axie Infinity,AXS,"Feb 17, 2025",$4.3691,$4.5594,$4.3009,$4.4599,"$44,849,719","$707,848,727"
Axie Infinity,AXS,"Feb 16, 2025",$4.3951,$4.4992,$4.3248,$4.3692,"$25,897,646","$693,300,572"
Axie Infinity,AXS,"Feb 15, 2025",$4.5490,$4.5731,$4.3662,$4.3951,"$26,045,802","$697,267,643"
Axie Infinity,AXS,"Feb 14, 2025",$4.3802,$4.6370,$4.3591,$4.5490,"$36,252,831","$721,588,838"
Axie Infinity,AXS,"Feb 13, 2025",$4.4479,$4.4889,$4.2860,$4.3802,"$41,743,438","$694,723,063"
Axie Infinity,AXS,"Feb 12, 2025",$4.2582,$4.4954,$4.2260,$4.4473,"$44,844,000","$705,186,034"
Axie Infinity,AXS,"Feb 11, 2025",$4.3220,$4.5361,$4.1886,$4.2582,"$43,080,075","$675,091,373"
Axie Infinity,AXS,"Feb 10, 2025",$4.1900,$4.3590,$4.0638,$4.3220,"$30,873,507","$685,072,208"
Axie Infinity,AXS,"Feb 09, 2025",$4.1821,$4.3051,$3.9997,$4.1900,"$29,201,331","$664,008,645"
Axie Infinity,AXS,"Feb 08, 2025",$4.0075,$4.1996,$3.9762,$4.1821,"$25,698,217","$662,684,937"
Axie Infinity,AXS,"Feb 07, 2025",$3.9216,$4.2426,$3.8920,$4.0075,"$35,394,669","$634,892,277"
Axie Infinity,AXS,"Feb 06, 2025",$4.1037,$4.2036,$3.8957,$3.9216,"$35,459,404","$621,232,442"
Axie Infinity,AXS,"Feb 05, 2025",$4.1178,$4.2920,$4.0596,$4.1037,"$36,793,624","$649,927,135"
Axie Infinity,AXS,"Feb 04, 2025",$4.4336,$4.5029,$3.9811,$4.1178,"$55,805,439","$652,021,123"
Axie Infinity,AXS,"Feb 03, 2025",$4.3308,$4.4753,$3.4361,$4.4336,"$133,508,741","$701,869,324"
Axie Infinity,AXS,"Feb 02, 2025",$5.0108,$5.1028,$4.1609,$4.3307,"$72,121,851","$685,410,201"
Axie Infinity,AXS,"Feb 01, 2025",$5.4176,$5.4764,$4.9739,$5.0109,"$30,917,574","$792,919,597"
Axie Infinity,AXS,"Jan 31, 2025",$5.4557,$5.6725,$5.3623,$5.4175,"$35,704,477","$857,118,400"
Axie Infinity,AXS,"Jan 30, 2025",$5.1551,$5.5189,$5.1141,$5.4558,"$62,032,106","$863,062,317"
Axie Infinity,AXS,"Jan 29, 2025",$5.0508,$5.3019,$4.9928,$5.1546,"$36,094,806","$815,262,652"
Axie Infinity,AXS,"Jan 28, 2025",$5.4540,$5.5034,$5.0115,$5.0508,"$36,962,505","$798,738,304"
Axie Infinity,AXS,"Jan 27, 2025",$5.5550,$5.5576,$5.0685,$5.4538,"$52,622,765","$862,269,971"
Axie Infinity,AXS,"Jan 26, 2025",$5.7146,$5.8287,$5.5548,$5.5550,"$29,792,389","$877,869,077"
Axie Infinity,AXS,"Jan 25, 2025",$5.7263,$5.7981,$5.6441,$5.7145,"$31,357,006","$902,935,875"
Axie Infinity,AXS,"Jan 24, 2025",$5.8940,$6.0317,$5.7072,$5.7263,"$78,138,612","$904,701,599"
Axie Infinity,AXS,"Jan 23, 2025",$5.9201,$5.9808,$5.7287,$5.8942,"$63,495,958","$931,052,062"
Axie Infinity,AXS,"Jan 22, 2025",$6.1074,$6.1430,$5.9197,$5.9203,"$38,247,211","$934,843,993"
Axie Infinity,AXS,"Jan 21, 2025",$5.9447,$6.2391,$5.7010,$6.1074,"$64,235,204","$964,287,225"
Axie Infinity,AXS,"Jan 20, 2025",$5.7891,$6.3192,$5.6237,$5.9447,"$108,261,630","$938,370,909"
Axie Infinity,AXS,"Jan 19, 2025",$6.2879,$6.4691,$5.7227,$5.7889,"$101,178,985","$913,582,788"
Axie Infinity,AXS,"Jan 18, 2025",$6.7403,$6.8003,$6.1718,$6.2879,"$54,804,388","$992,196,126"
Axie Infinity,AXS,"Jan 17, 2025",$6.4096,$6.7869,$6.4088,$6.7403,"$60,729,068","$1,063,464,121"
Axie Infinity,AXS,"Jan 16, 2025",$6.5619,$6.6045,$6.3014,$6.4096,"$54,141,131","$1,011,084,536"
Axie Infinity,AXS,"Jan 15, 2025",$6.2496,$6.5694,$6.1205,$6.5618,"$53,495,831","$1,034,843,818"
Axie Infinity,AXS,"Jan 14, 2025",$6.0446,$6.2939,$6.0091,$6.2496,"$57,385,091","$985,412,906"
Axie Infinity,AXS,"Jan 13, 2025",$6.1495,$6.3067,$5.6138,$6.0446,"$70,896,287","$952,807,005"
Axie Infinity,AXS,"Jan 12, 2025",$6.2759,$6.3276,$6.0661,$6.1494,"$107,060,768","$968,956,597"
Axie Infinity,AXS,"Jan 11, 2025",$6.3420,$6.3971,$6.1733,$6.2759,"$50,847,887","$988,745,894"
Axie Infinity,AXS,"Jan 10, 2025",$6.1777,$6.3936,$6.0869,$6.3417,"$69,508,660","$998,999,239"
Axie Infinity,AXS,"Jan 09, 2025",$6.1921,$6.3361,$5.9962,$6.1777,"$78,989,332","$973,001,353"
Axie Infinity,AXS,"Jan 08, 2025",$6.4739,$6.5281,$5.8914,$6.1921,"$233,270,335","$975,135,987"
Axie Infinity,AXS,"Jan 07, 2025",$7.2892,$7.3114,$6.4636,$6.4739,"$151,274,829","$1,019,172,297"
Axie Infinity,AXS,"Jan 06, 2025",$7.0337,$7.4547,$6.9353,$7.3198,"$88,261,795","$1,152,170,050"
Axie Infinity,AXS,"Jan 05, 2025",$7.0185,$7.0576,$6.8515,$7.0337,"$60,723,354","$1,106,887,894"
Axie Infinity,AXS,"Jan 04, 2025",$7.0577,$7.1522,$6.9399,$7.0185,"$80,299,187","$1,104,313,296"
Axie Infinity,AXS,"Jan 03, 2025",$6.7299,$7.1323,$6.6310,$7.0577,"$85,570,956","$1,110,158,187"
Axie Infinity,AXS,"Jan 02, 2025",$6.4092,$6.7455,$6.4061,$6.7301,"$183,392,251","$1,058,300,918"
Axie Infinity,AXS,"Jan 01, 2025",$6.2057,$6.4878,$6.0479,$6.4092,"$216,137,408","$1,007,644,111"
Axie Infinity,AXS,"Dec 31, 2024",$6.2407,$6.3944,$6.0800,$6.2057,"$46,636,082","$975,400,652"
Axie Infinity,AXS,"Dec 30, 2024",$6.2859,$6.4869,$6.0265,$6.2412,"$55,817,446","$980,766,415"
Axie Infinity,AXS,"Dec 29, 2024",$6.6000,$6.6328,$6.2320,$6.2858,"$52,757,627","$987,131,789"
Axie Infinity,AXS,"Dec 28, 2024",$6.3604,$6.6639,$6.3039,$6.6000,"$109,710,688","$1,036,282,608"
Axie Infinity,AXS,"Dec 27, 2024",$6.2933,$6.6837,$6.2443,$6.3605,"$70,795,226","$998,547,004"
Axie Infinity,AXS,"Dec 26, 2024",$6.7263,$6.7802,$6.1991,$6.2933,"$61,268,290","$987,848,311"
Axie Infinity,AXS,"Dec 25, 2024",$6.8860,$6.9310,$6.6444,$6.7262,"$62,737,844","$1,055,702,264"
