Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Polkadot new,DOT,"Feb 17, 2025",$4.8808,$5.0640,$4.8056,$4.8884,"$190,334,706","$7,575,966,034"
Polkadot new,DOT,"Feb 16, 2025",$5.0240,$5.0380,$4.8364,$4.8808,"$129,697,267","$7,562,546,441"
Polkadot new,DOT,"Feb 15, 2025",$5.1872,$5.2164,$4.9866,$5.0240,"$146,405,481","$7,782,896,323"
Polkadot new,DOT,"Feb 14, 2025",$5.1322,$5.3660,$5.1081,$5.1872,"$215,723,868","$8,034,126,509"
Polkadot new,DOT,"Feb 13, 2025",$5.2287,$5.2711,$5.0755,$5.1322,"$213,266,580","$7,947,670,117"
Polkadot new,DOT,"Feb 12, 2025",$4.8085,$5.3214,$4.7840,$5.2287,"$410,877,108","$8,094,783,470"
Polkadot new,DOT,"Feb 11, 2025",$4.8411,$5.2034,$4.7619,$4.8084,"$266,391,361","$7,442,647,727"
Polkadot new,DOT,"Feb 10, 2025",$4.7723,$4.9083,$4.6174,$4.8411,"$204,227,048","$7,491,551,456"
Polkadot new,DOT,"Feb 09, 2025",$4.7446,$4.8710,$4.5205,$4.7723,"$210,431,570","$7,383,452,062"
Polkadot new,DOT,"Feb 08, 2025",$4.5902,$4.7604,$4.5099,$4.7452,"$163,493,250","$7,339,152,546"
Polkadot new,DOT,"Feb 07, 2025",$4.4928,$4.9341,$4.4681,$4.5902,"$312,014,325","$7,098,837,222"
Polkadot new,DOT,"Feb 06, 2025",$4.6926,$4.8313,$4.4655,$4.4928,"$194,634,715","$6,946,681,879"
Polkadot new,DOT,"Feb 05, 2025",$4.7502,$4.8559,$4.6451,$4.6926,"$205,438,832","$7,254,115,636"
Polkadot new,DOT,"Feb 04, 2025",$5.1859,$5.2275,$4.5911,$4.7502,"$445,306,523","$7,341,617,777"
Polkadot new,DOT,"Feb 03, 2025",$5.1483,$5.2759,$4.0106,$5.1859,"$1,137,490,117","$8,013,203,937"
Polkadot new,DOT,"Feb 02, 2025",$5.9216,$6.0347,$4.9419,$5.1483,"$513,053,386","$7,953,548,267"
Polkadot new,DOT,"Feb 01, 2025",$6.3184,$6.4765,$5.8675,$5.9217,"$247,497,057","$9,146,177,002"
Polkadot new,DOT,"Jan 31, 2025",$6.1268,$6.4877,$6.0356,$6.3184,"$314,381,911","$9,757,908,078"
Polkadot new,DOT,"Jan 30, 2025",$5.7637,$6.2472,$5.7335,$6.1269,"$198,393,555","$9,459,811,356"
Polkadot new,DOT,"Jan 29, 2025",$5.6556,$5.8692,$5.5591,$5.7635,"$216,166,779","$8,897,824,109"
Polkadot new,DOT,"Jan 28, 2025",$5.9433,$6.0282,$5.6068,$5.6556,"$194,297,100","$8,728,516,187"
Polkadot new,DOT,"Jan 27, 2025",$6.1842,$6.2038,$5.5197,$5.9431,"$421,359,851","$9,170,651,290"
Polkadot new,DOT,"Jan 26, 2025",$6.3224,$6.4629,$6.1833,$6.1842,"$155,157,041","$9,540,423,178"
Polkadot new,DOT,"Jan 25, 2025",$6.3153,$6.4015,$6.2533,$6.3224,"$141,149,093","$9,751,895,069"
Polkadot new,DOT,"Jan 24, 2025",$6.3540,$6.5271,$6.2103,$6.3153,"$194,127,903","$9,738,566,027"
Polkadot new,DOT,"Jan 23, 2025",$6.4400,$6.4908,$6.2125,$6.3540,"$251,938,168","$9,795,364,940"
