Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Fartcoin,FARTCOIN,"Feb 18, 2025",$0.3597,$0.3719,$0.2817,$0.3213,"$114,948,142","$321,340,160"
Fartcoin,FARTCOIN,"Feb 17, 2025",$0.4211,$0.4658,$0.3558,$0.3597,"$112,503,631","$359,700,177"
Fartcoin,FARTCOIN,"Feb 16, 2025",$0.4369,$0.4628,$0.4055,$0.421,"$76,888,812","$420,972,473"
Fartcoin,FARTCOIN,"Feb 15, 2025",$0.491,$0.491,$0.4239,$0.4369,"$89,096,766","$436,882,178"
Fartcoin,FARTCOIN,"Feb 14, 2025",$0.477,$0.5837,$0.4621,$0.491,"$162,609,957","$491,026,264"
Fartcoin,FARTCOIN,"Feb 13, 2025",$0.5752,$0.5968,$0.4547,$0.477,"$116,329,085","$477,016,532"
Fartcoin,FARTCOIN,"Feb 12, 2025",$0.5641,$0.608,$0.4844,$0.5752,"$206,837,263","$575,216,740"
Fartcoin,FARTCOIN,"Feb 11, 2025",$0.564,$0.7139,$0.5492,$0.5641,"$189,138,576","$564,091,886"
Fartcoin,FARTCOIN,"Feb 10, 2025",$0.4835,$0.6757,$0.4834,$0.564,"$231,449,044","$564,012,868"
Fartcoin,FARTCOIN,"Feb 09, 2025",$0.5449,$0.6181,$0.4579,$0.4835,"$167,924,392","$483,492,579"
Fartcoin,FARTCOIN,"Feb 08, 2025",$0.4215,$0.5627,$0.4144,$0.5449,"$180,581,783","$544,867,622"
Fartcoin,FARTCOIN,"Feb 07, 2025",$0.4234,$0.5817,$0.4108,$0.4215,"$239,116,824","$421,511,849"
Fartcoin,FARTCOIN,"Feb 06, 2025",$0.4947,$0.5353,$0.4126,$0.4234,"$224,417,434","$423,360,213"
Fartcoin,FARTCOIN,"Feb 05, 2025",$0.6441,$0.7047,$0.4793,$0.4944,"$235,678,774","$494,426,322"
Fartcoin,FARTCOIN,"Feb 04, 2025",$0.8105,$0.8268,$0.6373,$0.644,"$305,127,632","$644,007,828"
Fartcoin,FARTCOIN,"Feb 03, 2025",$0.7118,$0.8788,$0.5663,$0.8105,"$775,161,342","$810,508,370"
Fartcoin,FARTCOIN,"Feb 02, 2025",$0.6422,$0.7136,$0.5406,$0.7119,"$492,681,647","$711,872,396"
Fartcoin,FARTCOIN,"Feb 01, 2025",$0.8948,$0.9644,$0.6261,$0.6422,"$295,599,027","$642,220,268"
Fartcoin,FARTCOIN,"Jan 31, 2025",$1.1392,$1.1474,$0.8656,$0.8948,"$259,609,345","$894,750,837"
Fartcoin,FARTCOIN,"Jan 30, 2025",$1.0049,$1.2875,$0.9554,$1.1392,"$291,251,478","$1,139,171,056"
Fartcoin,FARTCOIN,"Jan 29, 2025",$0.8049,$1.1402,$0.7984,$1.0049,"$413,391,982","$1,004,923,328"
Fartcoin,FARTCOIN,"Jan 28, 2025",$1.0031,$1.0868,$0.7762,$0.8049,"$232,314,210","$804,893,112"
Fartcoin,FARTCOIN,"Jan 27, 2025",$1.1049,$1.1281,$0.8389,$1.0031,"$483,979,803","$1,003,194,886"
Fartcoin,FARTCOIN,"Jan 26, 2025",$1.3253,$1.4191,$1.1048,$1.1049,"$188,801,084","$1,104,889,520"
Fartcoin,FARTCOIN,"Jan 25, 2025",$1.2410,$1.4767,$1.1259,$1.3253,"$224,462,458","$1,325,267,968"
Fartcoin,FARTCOIN,"Jan 24, 2025",$1.3815,$1.5507,$1.2205,$1.2410,"$252,565,685","$1,241,003,933"
Fartcoin,FARTCOIN,"Jan 23, 2025",$1.5294,$1.6372,$1.3311,$1.3815,"$623,320,708","$1,381,506,076"
Fartcoin,FARTCOIN,"Jan 22, 2025",$1.6659,$1.9824,$1.5266,$1.5290,"$422,877,392","$1,529,385,473"
Fartcoin,FARTCOIN,"Jan 21, 2025",$1.7867,$1.9698,$1.5086,$1.6659,"$534,276,509","$1,665,938,253"
Fartcoin,FARTCOIN,"Jan 20, 2025",$2.0962,$2.4507,$1.6813,$1.7867,"$597,853,297","$1,786,745,975"
Fartcoin,FARTCOIN,"Jan 19, 2025",$1.7275,$2.6057,$1.5981,$2.0975,"$581,181,129","$2,096,241,546"
Fartcoin,FARTCOIN,"Jan 18, 2025",$1.4081,$1.8454,$1.0827,$1.7275,"$547,111,983","$1,727,546,457"
Fartcoin,FARTCOIN,"Jan 17, 2025",$1.3203,$1.5578,$1.3177,$1.4081,"$146,044,041","$1,408,101,839"
Fartcoin,FARTCOIN,"Jan 16, 2025",$1.2824,$1.4281,$1.1971,$1.3445,"$120,270,971","$1,344,466,953"
Fartcoin,FARTCOIN,"Jan 15, 2025",$1.0219,$1.3458,$0.958,$1.2825,"$132,177,602","$1,282,413,121"
