Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Hyperliquid,HYPE,"Feb 17, 2025",$26.82,$26.97,$24.88,$25.39,"$134,352,590","$8,478,276,707"
Hyperliquid,HYPE,"Feb 16, 2025",$25.64,$26.94,$25.59,$26.82,"$77,604,233","$8,957,064,080"
Hyperliquid,HYPE,"Feb 15, 2025",$26.26,$26.88,$25.32,$25.64,"$112,783,391","$8,562,973,150"
Hyperliquid,HYPE,"Feb 14, 2025",$26.26,$28.40,$25.79,$26.26,"$213,153,763","$8,768,331,887"
Hyperliquid,HYPE,"Feb 13, 2025",$25.83,$26.26,$24.63,$26.26,"$145,981,381","$8,768,336,334"
Hyperliquid,HYPE,"Feb 12, 2025",$23.50,$25.83,$22.75,$25.83,"$167,263,610","$8,626,950,039"
Hyperliquid,HYPE,"Feb 11, 2025",$23.31,$24.88,$22.91,$23.50,"$132,764,068","$7,845,937,475"
Hyperliquid,HYPE,"Feb 10, 2025",$23.03,$24.10,$22.31,$23.31,"$110,368,064","$7,783,739,631"
Hyperliquid,HYPE,"Feb 09, 2025",$23.43,$24.00,$22.12,$23.03,"$84,868,831","$7,691,091,124"
Hyperliquid,HYPE,"Feb 08, 2025",$22.84,$23.81,$22.23,$23.43,"$98,836,459","$7,823,525,076"
Hyperliquid,HYPE,"Feb 07, 2025",$23.86,$25.08,$22.08,$22.84,"$217,187,845","$7,625,613,187"
Hyperliquid,HYPE,"Feb 06, 2025",$24.76,$26.22,$23.66,$23.86,"$201,759,037","$7,965,874,732"
Hyperliquid,HYPE,"Feb 05, 2025",$25.12,$27.38,$24.18,$24.76,"$235,754,823","$8,268,876,401"
Hyperliquid,HYPE,"Feb 04, 2025",$25.19,$26.81,$23.95,$25.12,"$307,786,443","$8,388,378,117"
Hyperliquid,HYPE,"Feb 03, 2025",$22.38,$26.01,$20.05,$25.19,"$578,330,205","$8,410,043,836"
Hyperliquid,HYPE,"Feb 02, 2025",$23.11,$24.24,$20.61,$22.38,"$342,081,919","$7,473,834,333"
Hyperliquid,HYPE,"Feb 01, 2025",$26.90,$27.72,$22.96,$23.11,"$263,074,725","$7,718,351,804"
Hyperliquid,HYPE,"Jan 31, 2025",$27.42,$28.30,$25.74,$26.90,"$230,657,425","$8,984,223,827"
Hyperliquid,HYPE,"Jan 30, 2025",$23.75,$27.88,$23.44,$27.42,"$280,310,955","$9,157,828,369"
Hyperliquid,HYPE,"Jan 29, 2025",$22.30,$24.27,$22.00,$23.75,"$148,197,759","$7,929,580,939"
Hyperliquid,HYPE,"Jan 28, 2025",$23.23,$24.45,$21.52,$22.30,"$180,788,011","$7,447,448,821"
Hyperliquid,HYPE,"Jan 27, 2025",$22.22,$23.58,$20.16,$23.23,"$281,724,196","$7,757,878,866"
Hyperliquid,HYPE,"Jan 26, 2025",$23.10,$24.89,$22.17,$22.22,"$117,534,265","$7,419,342,279"
