Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Jasmy,JASMY,"Feb 18, 2025",$0.02199,$0.0221,$0.02004,$0.02102,"$53,214,118","$1,039,331,936"
Jasmy,JASMY,"Feb 17, 2025",$0.02189,$0.0233,$0.02165,$0.02199,"$47,395,100","$1,087,299,860"
Jasmy,JASMY,"Feb 16, 2025",$0.02244,$0.02255,$0.02179,$0.02189,"$31,107,134","$1,082,526,421"
Jasmy,JASMY,"Feb 15, 2025",$0.02323,$0.0238,$0.02211,$0.02244,"$45,473,733","$1,109,665,114"
Jasmy,JASMY,"Feb 14, 2025",$0.02197,$0.02359,$0.02197,$0.02323,"$65,539,449","$1,148,782,508"
Jasmy,JASMY,"Feb 13, 2025",$0.02294,$0.02304,$0.02167,$0.02197,"$56,707,421","$1,086,545,009"
Jasmy,JASMY,"Feb 12, 2025",$0.02192,$0.02327,$0.02115,$0.02294,"$81,150,175","$1,134,229,260"
Jasmy,JASMY,"Feb 11, 2025",$0.02286,$0.02491,$0.0219,$0.02192,"$78,046,560","$1,083,624,157"
Jasmy,JASMY,"Feb 10, 2025",$0.02278,$0.02347,$0.0218,$0.02286,"$74,452,923","$1,130,370,214"
Jasmy,JASMY,"Feb 09, 2025",$0.02224,$0.02296,$0.0212,$0.02278,"$61,463,441","$1,126,248,118"
Jasmy,JASMY,"Feb 08, 2025",$0.022,$0.02242,$0.02132,$0.02224,"$45,328,462","$1,099,418,025"
Jasmy,JASMY,"Feb 07, 2025",$0.02142,$0.02475,$0.0213,$0.022,"$92,511,887","$1,087,679,955"
Jasmy,JASMY,"Feb 06, 2025",$0.02273,$0.02342,$0.02126,$0.02142,"$71,218,995","$1,059,165,145"
Jasmy,JASMY,"Feb 05, 2025",$0.02362,$0.02448,$0.02252,$0.02273,"$77,290,359","$1,123,790,085"
Jasmy,JASMY,"Feb 04, 2025",$0.02671,$0.02674,$0.02279,$0.02362,"$142,926,931","$1,168,132,333"
Jasmy,JASMY,"Feb 03, 2025",$0.02542,$0.02702,$0.01943,$0.02671,"$341,294,093","$1,320,815,768"
Jasmy,JASMY,"Feb 02, 2025",$0.02901,$0.03005,$0.02456,$0.02542,"$171,425,276","$1,257,096,140"
Jasmy,JASMY,"Feb 01, 2025",$0.03197,$0.03459,$0.02888,$0.02901,"$203,140,476","$1,434,578,990"
Jasmy,JASMY,"Jan 31, 2025",$0.03175,$0.03417,$0.03073,$0.03197,"$344,955,877","$1,580,785,420"
Jasmy,JASMY,"Jan 30, 2025",$0.02479,$0.03392,$0.02442,$0.03175,"$450,970,101","$1,569,935,172"
Jasmy,JASMY,"Jan 29, 2025",$0.02351,$0.02582,$0.0232,$0.02479,"$92,227,390","$1,225,586,408"
Jasmy,JASMY,"Jan 28, 2025",$0.02583,$0.02609,$0.02315,$0.02351,"$68,844,268","$1,162,298,740"
