Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Melania Meme,MELANIA,"Feb 18, 2025",$1.2763,$1.2924,$1.2118,$1.2447,"$51,194,334","$668,814,146"
Melania Meme,MELANIA,"Feb 17, 2025",$1.3008,$1.3102,$1.2564,$1.2763,"$55,416,739","$621,942,929"
Melania Meme,MELANIA,"Feb 16, 2025",$1.3321,$1.3475,$1.2908,$1.3008,"$39,707,404","$633,884,140"
Melania Meme,MELANIA,"Feb 15, 2025",$1.4480,$1.4500,$1.3156,$1.3321,"$62,749,339","$649,127,550"
Melania Meme,MELANIA,"Feb 14, 2025",$1.3986,$1.5977,$1.3978,$1.4480,"$125,788,407","$705,649,974"
Melania Meme,MELANIA,"Feb 13, 2025",$1.4312,$1.4655,$1.3801,$1.3986,"$54,116,287","$675,953,730"
Melania Meme,MELANIA,"Feb 12, 2025",$1.4036,$1.4471,$1.3795,$1.4313,"$54,141,720","$691,742,192"
Melania Meme,MELANIA,"Feb 11, 2025",$1.4322,$1.4950,$1.3939,$1.4036,"$47,506,809","$678,394,238"
Melania Meme,MELANIA,"Feb 10, 2025",$1.4580,$1.4971,$1.4299,$1.4322,"$49,092,993","$692,207,155"
Melania Meme,MELANIA,"Feb 09, 2025",$1.4915,$1.5239,$1.4059,$1.4580,"$50,275,288","$704,669,301"
Melania Meme,MELANIA,"Feb 08, 2025",$1.4839,$1.5095,$1.4525,$1.4915,"$50,388,797","$720,865,681"
Melania Meme,MELANIA,"Feb 07, 2025",$1.4741,$1.5541,$1.4468,$1.4839,"$75,445,792","$717,177,337"
Melania Meme,MELANIA,"Feb 06, 2025",$1.6214,$1.6263,$1.4599,$1.4741,"$85,152,798","$712,443,594"
Melania Meme,MELANIA,"Feb 05, 2025",$1.6375,$1.7802,$1.5862,$1.6214,"$130,442,703","$783,643,235"
Melania Meme,MELANIA,"Feb 04, 2025",$1.4929,$1.7590,$1.3944,$1.6375,"$197,444,411","$791,428,025"
Melania Meme,MELANIA,"Feb 03, 2025",$1.5673,$1.5791,$1.3492,$1.4929,"$153,615,235","$721,545,146"
Melania Meme,MELANIA,"Feb 02, 2025",$1.5784,$1.7224,$1.5020,$1.5672,"$158,262,967","$757,435,413"
Melania Meme,MELANIA,"Feb 01, 2025",$1.9332,$1.9631,$1.5727,$1.5784,"$135,381,932","$747,085,866"
Melania Meme,MELANIA,"Jan 31, 2025",$2.1145,$2.1321,$1.9189,$1.9332,"$74,263,663","$915,006,271"
Melania Meme,MELANIA,"Jan 30, 2025",$2.2374,$2.3060,$2.1142,$2.1145,"$87,803,285","$366,465,187"
Melania Meme,MELANIA,"Jan 29, 2025",$2.3057,$2.3729,$2.2109,$2.2373,"$80,431,747","$387,762,030"
Melania Meme,MELANIA,"Jan 28, 2025",$2.5764,$2.7140,$2.2727,$2.3055,"$104,837,196","$398,051,393"
Melania Meme,MELANIA,"Jan 27, 2025",$2.3947,$2.6471,$2.3082,$2.5764,"$137,775,324","$444,915,246"
Melania Meme,MELANIA,"Jan 26, 2025",$2.7374,$2.8699,$2.3904,$2.3947,"$113,156,569","$413,461,660"
Melania Meme,MELANIA,"Jan 25, 2025",$2.4668,$2.9952,$2.2815,$2.7374,"$172,535,500","$472,617,797"
Melania Meme,MELANIA,"Jan 24, 2025",$2.7510,$2.7944,$2.4383,$2.4668,"$126,647,680","$425,894,204"
Melania Meme,MELANIA,"Jan 23, 2025",$3.4602,$3.4787,$2.5723,$2.7509,"$348,599,836","$471,072,981"
Melania Meme,MELANIA,"Jan 22, 2025",$4.1967,$4.2226,$3.4129,$3.4602,"$303,446,161","$665,097,455"
Melania Meme,MELANIA,"Jan 21, 2025",$3.7946,$5.0912,$3.3745,$4.1967,"$1,078,486,721","$806,660,168"
Melania Meme,MELANIA,"Jan 20, 2025",$8.4856,$13.73,$3.7731,$3.7946,"$5,630,010,285","$729,378,471"
