Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Onyxcoin,XCN,"Feb 18, 2025",$0.02154,$0.02276,$0.01988,$0.02101,"$88,844,349","$684,721,505"
Onyxcoin,XCN,"Feb 17, 2025",$0.02237,$0.02286,$0.02125,$0.02154,"$68,677,575","$701,968,899"
Onyxcoin,XCN,"Feb 16, 2025",$0.02307,$0.02483,$0.02207,$0.02237,"$113,281,413","$729,125,463"
Onyxcoin,XCN,"Feb 15, 2025",$0.02229,$0.02588,$0.02113,$0.02307,"$166,285,423","$751,966,431"
Onyxcoin,XCN,"Feb 14, 2025",$0.02285,$0.02342,$0.02197,$0.0223,"$133,210,986","$726,613,224"
Onyxcoin,XCN,"Feb 13, 2025",$0.0237,$0.02764,$0.02281,$0.02285,"$206,475,426","$744,815,431"
Onyxcoin,XCN,"Feb 12, 2025",$0.02016,$0.02493,$0.01887,$0.0237,"$277,605,088","$772,317,164"
Onyxcoin,XCN,"Feb 11, 2025",$0.0236,$0.02441,$0.02005,$0.02016,"$142,400,324","$656,931,606"
Onyxcoin,XCN,"Feb 10, 2025",$0.02484,$0.0257,$0.02292,$0.0236,"$115,769,700","$726,524,023"
Onyxcoin,XCN,"Feb 09, 2025",$0.02727,$0.02771,$0.02348,$0.02486,"$118,670,210","$764,875,961"
Onyxcoin,XCN,"Feb 08, 2025",$0.02785,$0.02919,$0.02699,$0.02729,"$90,030,861","$839,679,173"
Onyxcoin,XCN,"Feb 07, 2025",$0.02685,$0.0305,$0.02572,$0.02784,"$169,938,869","$857,596,183"
Onyxcoin,XCN,"Feb 06, 2025",$0.02984,$0.03124,$0.02634,$0.02685,"$128,655,864","$826,847,068"
Onyxcoin,XCN,"Feb 05, 2025",$0.03097,$0.03169,$0.0291,$0.02984,"$145,333,983","$918,866,329"
Onyxcoin,XCN,"Feb 04, 2025",$0.03024,$0.03372,$0.0287,$0.03101,"$367,440,230","$953,514,791"
Onyxcoin,XCN,"Feb 03, 2025",$0.02631,$0.03388,$0.01926,$0.03019,"$620,385,443","$930,953,962"
Onyxcoin,XCN,"Feb 02, 2025",$0.02982,$0.03178,$0.02409,$0.02631,"$302,460,822","$810,091,203"
Onyxcoin,XCN,"Feb 01, 2025",$0.03346,$0.03656,$0.02909,$0.02986,"$342,800,288","$918,270,759"
Onyxcoin,XCN,"Jan 31, 2025",$0.03505,$0.03612,$0.03075,$0.03349,"$351,306,362","$1,031,276,538"
Onyxcoin,XCN,"Jan 30, 2025",$0.0339,$0.03998,$0.03323,$0.03454,"$539,357,791","$1,063,494,923"
Onyxcoin,XCN,"Jan 29, 2025",$0.02712,$0.03837,$0.02668,$0.03389,"$652,410,693","$1,042,684,852"
Onyxcoin,XCN,"Jan 28, 2025",$0.03257,$0.03319,$0.02594,$0.02711,"$527,859,197","$834,953,910"
Onyxcoin,XCN,"Jan 27, 2025",$0.03593,$0.04183,$0.02244,$0.03257,"$1,084,956,513","$1,002,733,328"
Onyxcoin,XCN,"Jan 26, 2025",$0.03412,$0.04967,$0.03132,$0.03593,"$1,599,346,462","$1,106,236,032"
Onyxcoin,XCN,"Jan 25, 2025",$0.02419,$0.03412,$0.02266,$0.03412,"$779,989,846","$1,050,624,480"
Onyxcoin,XCN,"Jan 24, 2025",$0.02364,$0.02973,$0.0174,$0.02431,"$1,328,736,907","$748,504,666"
Onyxcoin,XCN,"Jan 23, 2025",$0.01223,$0.02403,$0.01166,$0.02364,"$695,018,111","$727,755,518"
Onyxcoin,XCN,"Jan 22, 2025",$0.01207,$0.01271,$0.0112,$0.01223,"$83,295,147","$376,436,748"
Onyxcoin,XCN,"Jan 21, 2025",$0.01293,$0.01332,$0.01089,$0.01207,"$133,933,160","$371,568,195"
Onyxcoin,XCN,"Jan 20, 2025",$0.01027,$0.01451,$0.009655,$0.01294,"$338,486,042","$398,083,548"
Onyxcoin,XCN,"Jan 19, 2025",$0.01143,$0.01238,$0.008519,$0.01028,"$293,991,631","$316,156,434"
Onyxcoin,XCN,"Jan 18, 2025",$0.009648,$0.01403,$0.008916,$0.01141,"$548,825,790","$352,031,235"
Onyxcoin,XCN,"Jan 17, 2025",$0.004226,$0.01526,$0.004165,$0.009648,"$746,946,756","$297,062,484"
Onyxcoin,XCN,"Jan 16, 2025",$0.002997,$0.004731,$0.002838,$0.004224,"$82,477,978","$130,123,674"
Onyxcoin,XCN,"Jan 15, 2025",$0.002735,$0.003005,$0.002721,$0.002993,"$7,780,700","$92,165,159"
Onyxcoin,XCN,"Jan 14, 2025",$0.002596,$0.002773,$0.002553,$0.002735,"$3,135,619","$84,204,086"
Onyxcoin,XCN,"Jan 13, 2025",$0.002599,$0.002645,$0.002419,$0.002595,"$3,222,328","$79,917,187"
Onyxcoin,XCN,"Jan 12, 2025",$0.002717,$0.002744,$0.002588,$0.002599,"$2,512,426","$80,013,541"
Onyxcoin,XCN,"Jan 11, 2025",$0.002715,$0.002749,$0.002607,$0.002717,"$2,961,509","$83,659,449"
Onyxcoin,XCN,"Jan 10, 2025",$0.002581,$0.002746,$0.002567,$0.002715,"$3,493,094","$83,588,611"
