Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Quant,QNT,"Feb 17, 2025",$94.56,$97.59,$93.71,$97.16,"$26,478,498","$1,172,942,151"
Quant,QNT,"Feb 16, 2025",$94.69,$96.56,$92.85,$94.56,"$20,782,573","$1,141,639,922"
Quant,QNT,"Feb 15, 2025",$94.99,$97.97,$93.36,$94.69,"$18,705,595","$1,143,121,226"
Quant,QNT,"Feb 14, 2025",$91.32,$96.23,$90.86,$94.99,"$28,317,270","$1,146,767,789"
Quant,QNT,"Feb 13, 2025",$92.68,$97.82,$90.93,$91.32,"$37,096,007","$1,102,432,043"
Quant,QNT,"Feb 12, 2025",$88.70,$93.76,$84.82,$92.66,"$37,597,028","$1,118,687,616"
Quant,QNT,"Feb 11, 2025",$88.38,$92.81,$87.40,$88.70,"$30,927,647","$1,070,805,814"
Quant,QNT,"Feb 10, 2025",$87.09,$90.59,$84.60,$88.38,"$29,335,770","$1,067,029,823"
Quant,QNT,"Feb 09, 2025",$86.46,$88.87,$83.91,$87.09,"$26,236,894","$1,051,406,525"
Quant,QNT,"Feb 08, 2025",$87.43,$87.88,$83.94,$86.46,"$23,784,292","$1,043,766,200"
Quant,QNT,"Feb 07, 2025",$84.01,$91.74,$84.00,$87.43,"$35,010,878","$1,055,554,756"
Quant,QNT,"Feb 06, 2025",$88.88,$90.47,$83.59,$84.01,"$29,700,604","$1,014,187,321"
Quant,QNT,"Feb 05, 2025",$91.64,$93.37,$88.05,$88.88,"$32,941,345","$1,073,004,151"
Quant,QNT,"Feb 04, 2025",$96.40,$97.99,$88.02,$91.64,"$56,426,447","$1,106,400,507"
Quant,QNT,"Feb 03, 2025",$89.16,$96.69,$75.65,$96.40,"$111,974,257","$1,163,849,527"
Quant,QNT,"Feb 02, 2025",$103.71,$105.99,$87.43,$89.16,"$67,003,611","$1,076,448,573"
Quant,QNT,"Feb 01, 2025",$111.86,$114.28,$103.69,$103.71,"$34,296,773","$1,252,040,505"
Quant,QNT,"Jan 31, 2025",$110.61,$115.32,$109.42,$111.86,"$44,059,595","$1,350,438,997"
Quant,QNT,"Jan 30, 2025",$101.53,$113.73,$101.23,$110.61,"$41,131,523","$1,335,322,903"
Quant,QNT,"Jan 29, 2025",$97.16,$102.34,$96.52,$101.53,"$34,277,832","$1,225,717,328"
Quant,QNT,"Jan 28, 2025",$100.96,$103.88,$95.93,$97.16,"$31,203,107","$1,172,963,382"
Quant,QNT,"Jan 27, 2025",$105.15,$106.73,$98.43,$100.96,"$42,538,863","$1,218,901,697"
Quant,QNT,"Jan 26, 2025",$107.09,$108.12,$105.03,$105.15,"$28,719,081","$1,269,493,696"
Quant,QNT,"Jan 25, 2025",$106.59,$110.92,$105.57,$107.09,"$28,912,332","$1,292,892,219"
Quant,QNT,"Jan 24, 2025",$108.17,$114.74,$104.76,$106.59,"$30,084,512","$1,286,817,284"
Quant,QNT,"Jan 23, 2025",$112.81,$112.91,$106.23,$108.16,"$34,012,052","$1,305,908,817"
Quant,QNT,"Jan 22, 2025",$115.78,$118.76,$112.58,$112.81,"$34,124,160","$1,361,900,892"
Quant,QNT,"Jan 21, 2025",$105.25,$116.93,$102.25,$115.78,"$43,135,161","$1,397,780,378"
Quant,QNT,"Jan 20, 2025",$103.74,$116.68,$102.34,$105.25,"$54,234,098","$1,270,674,940"
Quant,QNT,"Jan 19, 2025",$115.31,$117.40,$102.77,$103.74,"$50,439,909","$1,252,418,292"
Quant,QNT,"Jan 18, 2025",$121.59,$122.04,$112.92,$115.32,"$34,017,028","$1,392,086,689"
Quant,QNT,"Jan 17, 2025",$119.05,$123.52,$117.79,$121.59,"$36,301,598","$1,467,872,341"
Quant,QNT,"Jan 16, 2025",$120.69,$121.53,$115.31,$119.05,"$42,279,805","$1,437,304,386"
Quant,QNT,"Jan 15, 2025",$104.79,$120.76,$104.79,$120.69,"$53,252,950","$1,457,102,232"
Quant,QNT,"Jan 14, 2025",$101.73,$105.53,$100.56,$104.79,"$27,413,774","$1,265,091,059"
Quant,QNT,"Jan 13, 2025",$104.46,$106.52,$96.44,$101.73,"$35,627,596","$1,228,126,821"
Quant,QNT,"Jan 12, 2025",$107.58,$109.24,$103.54,$104.46,"$19,759,579","$1,261,169,746"
Quant,QNT,"Jan 11, 2025",$103.78,$109.72,$103.14,$107.58,"$24,187,791","$1,298,761,506"
Quant,QNT,"Jan 10, 2025",$102.55,$105.34,$100.18,$103.78,"$29,979,093","$1,252,907,976"
Quant,QNT,"Jan 09, 2025",$105.84,$106.41,$100.67,$102.55,"$27,871,301","$1,238,007,112"
Quant,QNT,"Jan 08, 2025",$108.24,$109.54,$101.33,$105.84,"$30,916,815","$1,277,784,106"
Quant,QNT,"Jan 07, 2025",$116.54,$118.20,$107.27,$108.24,"$31,373,524","$1,306,695,839"
Quant,QNT,"Jan 06, 2025",$118.78,$120.61,$115.96,$116.54,"$29,088,011","$1,406,898,993"
Quant,QNT,"Jan 05, 2025",$118.15,$120.33,$115.72,$118.78,"$22,492,126","$1,433,987,946"
Quant,QNT,"Jan 04, 2025",$120.72,$120.81,$117.39,$118.15,"$22,970,314","$1,426,338,180"
Quant,QNT,"Jan 03, 2025",$113.35,$121.76,$113.31,$120.72,"$29,156,925","$1,457,473,815"
Quant,QNT,"Jan 02, 2025",$115.53,$118.92,$112.60,$113.35,"$32,336,487","$1,368,440,425"
Quant,QNT,"Jan 01, 2025",$106.22,$117.48,$104.80,$115.53,"$22,191,373","$1,394,703,952"
Quant,QNT,"Dec 31, 2024",$107.18,$110.47,$103.89,$106.22,"$22,859,053","$1,282,369,190"
Quant,QNT,"Dec 30, 2024",$113.63,$117.07,$105.90,$107.18,"$23,883,316","$1,294,015,319"
Quant,QNT,"Dec 29, 2024",$117.05,$118.71,$111.73,$113.63,"$22,143,009","$1,371,828,194"
Quant,QNT,"Dec 28, 2024",$115.43,$117.40,$110.24,$117.05,"$19,789,549","$1,413,120,526"
Quant,QNT,"Dec 27, 2024",$111.56,$118.98,$110.69,$115.43,"$23,834,324","$1,393,586,587"
Quant,QNT,"Dec 26, 2024",$119.06,$119.74,$110.14,$111.56,"$19,626,331","$1,346,777,032"
Quant,QNT,"Dec 25, 2024",$121.06,$123.83,$117.57,$119.06,"$18,787,854","$1,437,385,312"
Quant,QNT,"Dec 24, 2024",$116.65,$121.85,$115.43,$121.06,"$34,478,701","$1,461,554,346"
Quant,QNT,"Dec 23, 2024",$104.71,$117.13,$102.25,$116.65,"$36,692,261","$1,408,258,262"
Quant,QNT,"Dec 22, 2024",$107.55,$109.84,$102.56,$104.71,"$27,985,324","$1,264,188,363"
Quant,QNT,"Dec 21, 2024",$111.66,$120.16,$106.08,$107.54,"$40,251,564","$1,298,353,599"
Quant,QNT,"Dec 20, 2024",$109.69,$112.68,$95.27,$111.66,"$70,959,925","$1,348,086,354"
Quant,QNT,"Dec 19, 2024",$114.70,$120.61,$106.20,$109.69,"$75,026,057","$1,324,223,112"
Quant,QNT,"Dec 18, 2024",$127.72,$128.38,$113.89,$114.70,"$56,191,063","$1,384,712,349"
Quant,QNT,"Dec 17, 2024",$133.14,$135.25,$127.14,$127.73,"$44,312,529","$1,542,082,417"
Quant,QNT,"Dec 16, 2024",$140.30,$142.13,$132.28,$133.14,"$42,743,508","$1,607,405,377"
Quant,QNT,"Dec 15, 2024",$138.89,$141.61,$133.21,$140.30,"$32,342,057","$1,693,800,537"
Quant,QNT,"Dec 14, 2024",$142.76,$144.06,$134.73,$138.89,"$34,360,472","$1,676,741,977"
Quant,QNT,"Dec 13, 2024",$140.21,$143.06,$137.44,$142.76,"$49,136,534","$1,723,448,838"
Quant,QNT,"Dec 12, 2024",$143.36,$146.90,$136.92,$140.21,"$50,571,379","$1,692,761,685"
Quant,QNT,"Dec 11, 2024",$138.68,$153.32,$131.57,$143.36,"$64,765,864","$1,730,734,554"
Quant,QNT,"Dec 10, 2024",$137.34,$146.60,$125.55,$138.68,"$88,587,055","$1,674,293,571"
Quant,QNT,"Dec 09, 2024",$160.89,$162.13,$122.11,$137.34,"$104,956,535","$1,658,038,584"
Quant,QNT,"Dec 08, 2024",$165.33,$169.64,$159.69,$160.89,"$64,324,155","$1,942,338,314"
Quant,QNT,"Dec 07, 2024",$160.48,$171.15,$151.26,$166.16,"$126,749,861","$2,006,028,303"
Quant,QNT,"Dec 06, 2024",$140.66,$162.13,$138.32,$160.48,"$90,939,567","$1,937,457,369"
Quant,QNT,"Dec 05, 2024",$149.07,$149.28,$139.05,$141.34,"$113,285,197","$1,706,343,435"
Quant,QNT,"Dec 04, 2024",$142.88,$163.36,$141.57,$149.07,"$155,368,538","$1,799,636,192"
Quant,QNT,"Dec 03, 2024",$129.10,$148.94,$126.57,$142.88,"$214,189,851","$1,724,913,306"
Quant,QNT,"Dec 02, 2024",$110.73,$137.42,$108.80,$129.10,"$238,078,635","$1,558,567,799"
Quant,QNT,"Dec 01, 2024",$99.21,$110.85,$96.43,$110.73,"$66,005,309","$1,336,809,363"
Quant,QNT,"Nov 30, 2024",$97.91,$101.16,$94.40,$99.21,"$47,399,031","$1,197,762,494"
Quant,QNT,"Nov 29, 2024",$94.40,$98.57,$92.15,$97.91,"$40,728,075","$1,182,084,599"
Quant,QNT,"Nov 28, 2024",$96.18,$96.23,$90.78,$94.40,"$33,481,881","$1,139,685,021"
Quant,QNT,"Nov 27, 2024",$93.98,$96.60,$91.63,$96.18,"$47,222,723","$1,161,117,458"
Quant,QNT,"Nov 26, 2024",$95.93,$101.81,$90.90,$93.98,"$49,033,891","$1,134,554,923"
Quant,QNT,"Nov 25, 2024",$97.70,$103.18,$93.94,$95.93,"$51,253,443","$1,158,157,590"
Quant,QNT,"Nov 24, 2024",$99.38,$104.14,$92.43,$97.70,"$58,518,177","$1,179,453,519"
Quant,QNT,"Nov 23, 2024",$92.11,$108.47,$92.07,$99.38,"$87,777,831","$1,199,732,268"
Quant,QNT,"Nov 22, 2024",$86.59,$94.11,$83.47,$92.11,"$77,271,464","$1,112,061,587"
Quant,QNT,"Nov 21, 2024",$88.10,$89.98,$85.04,$86.59,"$41,527,908","$1,045,319,763"
Quant,QNT,"Nov 20, 2024",$91.88,$91.98,$84.15,$88.10,"$43,185,510","$1,063,662,438"
Quant,QNT,"Nov 19, 2024",$87.36,$96.20,$86.79,$91.88,"$58,124,051","$1,109,210,603"
Quant,QNT,"Nov 18, 2024",$79.54,$92.90,$79.54,$87.36,"$75,036,930","$1,054,646,968"
Quant,QNT,"Nov 17, 2024",$87.84,$87.85,$77.73,$79.53,"$62,793,448","$960,089,418"
Quant,QNT,"Nov 16, 2024",$65.91,$93.86,$65.11,$87.85,"$162,538,056","$1,060,506,987"
Quant,QNT,"Nov 15, 2024",$61.44,$66.48,$60.25,$66.25,"$29,159,762","$799,769,570"
Quant,QNT,"Nov 14, 2024",$61.91,$64.12,$59.80,$61.44,"$27,300,644","$741,726,726"
Quant,QNT,"Nov 13, 2024",$62.94,$64.02,$59.11,$61.91,"$39,996,744","$747,440,323"
Quant,QNT,"Nov 12, 2024",$70.51,$70.51,$62.14,$62.94,"$45,105,581","$759,910,200"
Quant,QNT,"Nov 11, 2024",$67.52,$70.54,$65.56,$70.51,"$32,199,860","$851,208,931"
Quant,QNT,"Nov 10, 2024",$63.74,$69.97,$63.09,$67.52,"$30,913,007","$815,130,064"
Quant,QNT,"Nov 09, 2024",$61.49,$63.87,$60.96,$63.74,"$15,375,339","$769,487,828"
Quant,QNT,"Nov 08, 2024",$62.08,$62.61,$59.90,$61.49,"$15,542,996","$742,357,858"
Quant,QNT,"Nov 07, 2024",$61.88,$63.54,$61.15,$62.08,"$16,850,354","$749,524,156"
Quant,QNT,"Nov 06, 2024",$56.93,$62.29,$56.88,$61.88,"$24,278,717","$747,100,172"
Quant,QNT,"Nov 05, 2024",$56.13,$57.83,$56.12,$56.93,"$11,723,143","$687,278,873"
Quant,QNT,"Nov 04, 2024",$56.07,$57.36,$55.17,$56.13,"$11,848,739","$677,658,949"
Quant,QNT,"Nov 03, 2024",$57.46,$57.66,$54.49,$56.07,"$11,491,953","$676,894,437"
Quant,QNT,"Nov 02, 2024",$58.12,$59.09,$56.30,$57.46,"$8,802,314","$693,713,457"
Quant,QNT,"Nov 01, 2024",$59.08,$59.69,$57.57,$58.12,"$13,598,764","$701,639,254"
Quant,QNT,"Oct 31, 2024",$61.25,$61.48,$58.70,$59.08,"$13,963,923","$713,280,909"
Quant,QNT,"Oct 30, 2024",$62.14,$62.86,$60.89,$61.25,"$12,465,225","$739,417,927"
Quant,QNT,"Oct 29, 2024",$61.13,$63.12,$60.94,$62.14,"$16,029,755","$750,144,377"
Quant,QNT,"Oct 28, 2024",$61.41,$62.77,$60.08,$61.13,"$14,359,734","$737,978,082"
Quant,QNT,"Oct 27, 2024",$61.55,$62.06,$60.93,$61.41,"$7,736,824","$741,425,140"
Quant,QNT,"Oct 26, 2024",$58.78,$61.56,$58.48,$61.55,"$11,563,735","$743,106,079"
Quant,QNT,"Oct 25, 2024",$63.75,$64.09,$58.19,$58.78,"$14,071,854","$709,581,998"
Quant,QNT,"Oct 24, 2024",$63.08,$64.35,$62.33,$63.75,"$9,790,426","$769,662,087"
Quant,QNT,"Oct 23, 2024",$64.90,$65.22,$62.16,$62.94,"$12,201,051","$759,836,751"
Quant,QNT,"Oct 22, 2024",$65.23,$66.11,$64.63,$64.90,"$10,806,735","$783,502,879"
Quant,QNT,"Oct 21, 2024",$67.20,$68.01,$65.00,$65.23,"$11,730,463","$787,495,528"
Quant,QNT,"Oct 20, 2024",$65.65,$67.21,$64.53,$67.20,"$10,728,414","$811,341,368"
Quant,QNT,"Oct 19, 2024",$66.35,$66.85,$64.89,$65.65,"$8,061,170","$792,554,226"
Quant,QNT,"Oct 18, 2024",$64.53,$66.35,$64.28,$66.35,"$8,975,258","$801,002,521"
Quant,QNT,"Oct 17, 2024",$66.09,$66.47,$64.33,$64.53,"$10,571,695","$779,059,156"
Quant,QNT,"Oct 16, 2024",$67.03,$67.14,$66.02,$66.09,"$9,889,874","$797,869,235"
Quant,QNT,"Oct 15, 2024",$67.97,$68.62,$65.78,$67.03,"$17,769,401","$809,233,200"
Quant,QNT,"Oct 14, 2024",$64.75,$68.06,$64.58,$67.97,"$14,908,076","$820,537,533"
Quant,QNT,"Oct 13, 2024",$66.49,$66.82,$64.19,$64.75,"$9,812,764","$781,696,419"
Quant,QNT,"Oct 12, 2024",$66.70,$67.75,$66.27,$66.49,"$7,915,917","$802,741,016"
Quant,QNT,"Oct 11, 2024",$65.96,$67.77,$65.76,$66.70,"$8,704,323","$805,213,032"
Quant,QNT,"Oct 10, 2024",$65.77,$66.89,$64.47,$65.96,"$9,041,348","$796,283,407"
Quant,QNT,"Oct 09, 2024",$66.61,$67.31,$65.13,$65.77,"$14,630,343","$794,061,226"
Quant,QNT,"Oct 08, 2024",$67.36,$68.37,$65.93,$66.60,"$10,522,174","$804,112,759"
Quant,QNT,"Oct 07, 2024",$69.58,$71.04,$67.22,$67.36,"$10,806,692","$813,163,496"
Quant,QNT,"Oct 06, 2024",$68.77,$69.82,$68.13,$69.58,"$8,372,597","$840,010,084"
Quant,QNT,"Oct 05, 2024",$70.48,$72.41,$68.34,$68.77,"$10,047,360","$830,272,200"
Quant,QNT,"Oct 04, 2024",$68.05,$70.50,$67.41,$70.48,"$10,086,218","$850,928,652"
Quant,QNT,"Oct 03, 2024",$67.15,$69.44,$66.86,$68.05,"$11,242,658","$821,554,645"
Quant,QNT,"Oct 02, 2024",$68.68,$70.37,$66.64,$67.15,"$12,376,008","$810,670,538"
Quant,QNT,"Oct 01, 2024",$73.00,$74.48,$68.07,$68.68,"$17,122,286","$829,117,581"
Quant,QNT,"Sep 30, 2024",$76.05,$76.17,$72.51,$73.00,"$11,655,572","$881,290,617"
Quant,QNT,"Sep 29, 2024",$77.10,$77.80,$74.92,$76.05,"$10,877,720","$918,174,999"
Quant,QNT,"Sep 28, 2024",$78.58,$79.53,$76.30,$77.10,"$8,735,586","$930,764,263"
Quant,QNT,"Sep 27, 2024",$79.28,$80.79,$77.98,$78.58,"$13,483,277","$948,673,517"
Quant,QNT,"Sep 26, 2024",$78.02,$80.67,$77.31,$79.28,"$11,193,460","$957,180,938"
Quant,QNT,"Sep 25, 2024",$77.63,$80.14,$76.92,$78.02,"$10,944,687","$941,964,511"
Quant,QNT,"Sep 24, 2024",$78.11,$78.67,$76.33,$77.63,"$11,598,547","$937,232,783"
Quant,QNT,"Sep 23, 2024",$73.94,$79.03,$72.83,$78.11,"$14,173,642","$943,026,009"
Quant,QNT,"Sep 22, 2024",$75.19,$75.19,$72.54,$73.94,"$9,131,233","$892,602,853"
Quant,QNT,"Sep 21, 2024",$76.85,$77.40,$74.03,$75.19,"$8,864,560","$907,789,988"
