Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Tezos,XTZ,"Feb 18, 2025",$0.8905,$0.8951,$0.8267,$0.8529,"$32,364,453","$879,239,859"
Tezos,XTZ,"Feb 17, 2025",$0.8974,$0.9218,$0.8776,$0.8905,"$25,861,758","$917,770,689"
Tezos,XTZ,"Feb 16, 2025",$0.8861,$0.9071,$0.8732,$0.8975,"$29,587,685","$924,809,605"
Tezos,XTZ,"Feb 15, 2025",$0.9144,$0.9253,$0.8781,$0.8861,"$28,446,947","$913,050,478"
Tezos,XTZ,"Feb 14, 2025",$0.8992,$0.9287,$0.8899,$0.9144,"$30,330,406","$941,888,870"
Tezos,XTZ,"Feb 13, 2025",$0.918,$0.9232,$0.8757,$0.8992,"$26,564,080","$926,157,208"
Tezos,XTZ,"Feb 12, 2025",$0.864,$0.9223,$0.8484,$0.918,"$34,838,466","$945,461,207"
Tezos,XTZ,"Feb 11, 2025",$0.8906,$0.9269,$0.8568,$0.864,"$37,332,663","$889,637,186"
Tezos,XTZ,"Feb 10, 2025",$0.8809,$0.8991,$0.8538,$0.8906,"$32,988,759","$916,881,495"
Tezos,XTZ,"Feb 09, 2025",$0.8774,$0.9211,$0.8472,$0.8809,"$31,953,352","$906,787,653"
Tezos,XTZ,"Feb 08, 2025",$0.838,$0.8786,$0.828,$0.8774,"$26,840,027","$902,921,086"
Tezos,XTZ,"Feb 07, 2025",$0.8322,$0.8795,$0.8133,$0.838,"$41,974,423","$862,341,584"
Tezos,XTZ,"Feb 06, 2025",$0.8645,$0.8837,$0.8245,$0.8322,"$38,087,972","$856,100,687"
Tezos,XTZ,"Feb 05, 2025",$0.8809,$0.9115,$0.8564,$0.8645,"$38,049,933","$889,309,857"
Tezos,XTZ,"Feb 04, 2025",$0.9385,$0.9483,$0.8428,$0.8809,"$62,298,277","$906,086,973"
Tezos,XTZ,"Feb 03, 2025",$0.8894,$0.9496,$0.7285,$0.9385,"$133,154,147","$964,973,245"
Tezos,XTZ,"Feb 02, 2025",$1.0091,$1.0253,$0.8563,$0.8894,"$68,476,081","$914,403,038"
Tezos,XTZ,"Feb 01, 2025",$1.0934,$1.1026,$1.0016,$1.0091,"$29,587,833","$1,037,443,213"
