Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
XDC Network,XDC,"Feb 17, 2025",$0.09817,$0.09925,$0.09371,$0.0943,"$34,750,527","$1,408,138,442"
XDC Network,XDC,"Feb 16, 2025",$0.09963,$0.1004,$0.09713,$0.09817,"$18,617,681","$1,465,957,040"
XDC Network,XDC,"Feb 15, 2025",$0.09908,$0.1035,$0.09746,$0.09964,"$26,615,960","$1,487,718,231"
XDC Network,XDC,"Feb 14, 2025",$0.09438,$0.09995,$0.09248,$0.09908,"$29,745,936","$1,479,508,136"
XDC Network,XDC,"Feb 13, 2025",$0.0935,$0.09659,$0.09191,$0.09438,"$44,763,198","$1,409,438,397"
XDC Network,XDC,"Feb 12, 2025",$0.09045,$0.09457,$0.08956,$0.09351,"$41,054,998","$1,396,291,712"
XDC Network,XDC,"Feb 11, 2025",$0.08892,$0.09746,$0.08847,$0.09044,"$87,109,096","$1,350,611,303"
XDC Network,XDC,"Feb 10, 2025",$0.08941,$0.09249,$0.08526,$0.08888,"$74,799,507","$1,327,768,189"
XDC Network,XDC,"Feb 09, 2025",$0.08863,$0.09378,$0.08842,$0.08941,"$27,324,403","$1,335,224,768"
XDC Network,XDC,"Feb 08, 2025",$0.0921,$0.0945,$0.08714,$0.08863,"$39,470,271","$1,323,558,509"
XDC Network,XDC,"Feb 07, 2025",$0.08782,$0.09384,$0.08691,$0.0921,"$45,087,536","$1,375,341,264"
XDC Network,XDC,"Feb 06, 2025",$0.08957,$0.09322,$0.08494,$0.08782,"$44,930,328","$1,311,440,069"
XDC Network,XDC,"Feb 05, 2025",$0.0938,$0.101,$0.08607,$0.08957,"$60,491,951","$1,337,544,681"
XDC Network,XDC,"Feb 04, 2025",$0.1005,$0.1036,$0.09065,$0.0938,"$59,434,405","$1,400,728,474"
XDC Network,XDC,"Feb 03, 2025",$0.09491,$0.1017,$0.06399,$0.1005,"$84,141,984","$1,501,079,634"
XDC Network,XDC,"Feb 02, 2025",$0.1016,$0.1089,$0.08858,$0.09491,"$67,554,599","$1,417,339,716"
XDC Network,XDC,"Feb 01, 2025",$0.1075,$0.1077,$0.0999,$0.1016,"$49,499,831","$1,517,609,512"
XDC Network,XDC,"Jan 31, 2025",$0.1111,$0.1147,$0.1058,$0.1075,"$46,627,137","$1,605,939,548"
XDC Network,XDC,"Jan 30, 2025",$0.1077,$0.1153,$0.1074,$0.1111,"$50,151,686","$1,658,498,051"
XDC Network,XDC,"Jan 29, 2025",$0.1094,$0.1133,$0.1022,$0.1077,"$59,770,154","$1,608,272,024"
XDC Network,XDC,"Jan 28, 2025",$0.1069,$0.1215,$0.1066,$0.1094,"$69,883,339","$1,633,315,011"
XDC Network,XDC,"Jan 27, 2025",$0.1023,$0.1069,$0.09551,$0.1068,"$80,118,591","$1,596,578,207"
XDC Network,XDC,"Jan 26, 2025",$0.1107,$0.1143,$0.1023,$0.1023,"$60,617,189","$1,527,752,635"
XDC Network,XDC,"Jan 25, 2025",$0.1124,$0.1174,$0.1107,$0.1107,"$52,164,767","$1,652,753,568"
XDC Network,XDC,"Jan 24, 2025",$0.1165,$0.118,$0.1104,$0.1124,"$65,629,214","$1,678,329,060"
XDC Network,XDC,"Jan 23, 2025",$0.1293,$0.1321,$0.1126,$0.1165,"$74,227,904","$1,740,039,551"
XDC Network,XDC,"Jan 22, 2025",$0.1159,$0.1292,$0.1104,$0.1292,"$58,391,859","$1,930,753,308"
XDC Network,XDC,"Jan 21, 2025",$0.1213,$0.1237,$0.1123,$0.1159,"$67,656,212","$1,730,076,830"
XDC Network,XDC,"Jan 20, 2025",$0.1251,$0.1352,$0.1184,$0.1213,"$89,147,079","$1,810,700,072"
XDC Network,XDC,"Jan 19, 2025",$0.1357,$0.1422,$0.125,$0.1251,"$88,466,285","$1,868,851,148"
XDC Network,XDC,"Jan 18, 2025",$0.1418,$0.146,$0.1252,$0.1357,"$103,356,563","$2,025,730,788"
XDC Network,XDC,"Jan 17, 2025",$0.1391,$0.1482,$0.1333,$0.1418,"$104,721,487","$2,117,710,638"
XDC Network,XDC,"Jan 16, 2025",$0.1354,$0.1559,$0.1285,$0.1391,"$147,667,839","$2,077,618,280"
XDC Network,XDC,"Jan 15, 2025",$0.1104,$0.1379,$0.1093,$0.1354,"$146,126,743","$2,022,641,634"
XDC Network,XDC,"Jan 14, 2025",$0.1005,$0.1109,$0.09717,$0.1104,"$62,389,443","$1,648,179,789"
XDC Network,XDC,"Jan 13, 2025",$0.1005,$0.1024,$0.09139,$0.1005,"$58,806,982","$1,501,209,635"
XDC Network,XDC,"Jan 12, 2025",$0.1012,$0.1017,$0.09977,$0.1005,"$40,654,455","$1,501,311,158"
XDC Network,XDC,"Jan 11, 2025",$0.09525,$0.1027,$0.09514,$0.1012,"$54,289,566","$1,511,362,274"
XDC Network,XDC,"Jan 10, 2025",$0.08836,$0.09886,$0.08836,$0.09525,"$56,601,424","$1,422,385,424"
XDC Network,XDC,"Jan 09, 2025",$0.09499,$0.0975,$0.08794,$0.08836,"$56,700,763","$1,319,494,771"
XDC Network,XDC,"Jan 08, 2025",$0.09348,$0.09535,$0.08795,$0.09499,"$63,103,463","$1,418,489,179"
XDC Network,XDC,"Jan 07, 2025",$0.1034,$0.1041,$0.08703,$0.09348,"$78,328,558","$1,395,930,061"
XDC Network,XDC,"Jan 06, 2025",$0.09649,$0.1052,$0.09354,$0.1034,"$63,282,889","$1,544,562,204"
XDC Network,XDC,"Jan 05, 2025",$0.09242,$0.09828,$0.08783,$0.09649,"$75,622,590","$1,440,941,563"
XDC Network,XDC,"Jan 04, 2025",$0.08405,$0.09242,$0.08405,$0.09242,"$47,470,675","$1,380,093,642"
XDC Network,XDC,"Jan 03, 2025",$0.08318,$0.08538,$0.08195,$0.08405,"$36,127,464","$1,255,064,373"
XDC Network,XDC,"Jan 02, 2025",$0.08272,$0.08815,$0.08045,$0.08318,"$47,439,928","$1,242,187,241"
XDC Network,XDC,"Jan 01, 2025",$0.07033,$0.08272,$0.06993,$0.08272,"$40,221,978","$1,235,277,040"
XDC Network,XDC,"Dec 31, 2024",$0.07,$0.0751,$0.0688,$0.07033,"$37,805,779","$1,050,210,112"
XDC Network,XDC,"Dec 30, 2024",$0.07168,$0.07377,$0.06815,$0.07,"$31,273,248","$1,045,349,017"
XDC Network,XDC,"Dec 29, 2024",$0.07546,$0.07591,$0.07065,$0.07168,"$31,893,138","$1,070,445,613"
XDC Network,XDC,"Dec 28, 2024",$0.06997,$0.07546,$0.06997,$0.07546,"$29,087,612","$1,126,845,108"
XDC Network,XDC,"Dec 27, 2024",$0.07668,$0.07814,$0.06985,$0.06997,"$31,977,710","$1,044,823,837"
XDC Network,XDC,"Dec 26, 2024",$0.08294,$0.08338,$0.07598,$0.07668,"$28,294,636","$1,145,121,869"
XDC Network,XDC,"Dec 25, 2024",$0.08321,$0.08411,$0.08064,$0.08294,"$29,183,465","$1,238,466,934"
XDC Network,XDC,"Dec 24, 2024",$0.08483,$0.08777,$0.0813,$0.08321,"$38,239,545","$1,242,507,552"
XDC Network,XDC,"Dec 23, 2024",$0.07614,$0.08527,$0.07374,$0.08483,"$46,189,539","$1,266,767,214"
XDC Network,XDC,"Dec 22, 2024",$0.07467,$0.07916,$0.0714,$0.07614,"$33,484,287","$1,137,005,989"
XDC Network,XDC,"Dec 21, 2024",$0.0741,$0.08019,$0.07402,$0.07467,"$32,340,986","$1,115,076,465"
XDC Network,XDC,"Dec 20, 2024",$0.07065,$0.0741,$0.06429,$0.0741,"$39,583,400","$1,106,573,480"
XDC Network,XDC,"Dec 19, 2024",$0.072,$0.07667,$0.06804,$0.07065,"$39,418,981","$1,055,053,067"
XDC Network,XDC,"Dec 18, 2024",$0.08067,$0.08136,$0.07069,$0.072,"$34,372,342","$1,075,131,783"
XDC Network,XDC,"Dec 17, 2024",$0.08244,$0.08281,$0.07801,$0.08067,"$38,135,424","$1,204,630,800"
XDC Network,XDC,"Dec 16, 2024",$0.08372,$0.08463,$0.0782,$0.08244,"$40,640,080","$1,231,048,382"
XDC Network,XDC,"Dec 15, 2024",$0.0796,$0.08493,$0.07821,$0.08372,"$36,667,762","$1,250,240,873"
XDC Network,XDC,"Dec 14, 2024",$0.08374,$0.08424,$0.07844,$0.0796,"$31,702,495","$1,188,670,722"
XDC Network,XDC,"Dec 13, 2024",$0.08481,$0.08838,$0.08257,$0.08374,"$42,238,022","$1,250,413,942"
XDC Network,XDC,"Dec 12, 2024",$0.08808,$0.09277,$0.08411,$0.08481,"$40,464,867","$1,266,525,561"
XDC Network,XDC,"Dec 11, 2024",$0.09198,$0.1021,$0.08732,$0.08808,"$65,353,259","$1,315,305,522"
XDC Network,XDC,"Dec 10, 2024",$0.07862,$0.09287,$0.07727,$0.09198,"$64,632,078","$1,373,474,991"
XDC Network,XDC,"Dec 09, 2024",$0.09208,$0.09269,$0.07679,$0.07863,"$62,687,981","$1,174,096,675"
XDC Network,XDC,"Dec 08, 2024",$0.09552,$0.09681,$0.09108,$0.09208,"$51,287,675","$1,375,027,391"
XDC Network,XDC,"Dec 07, 2024",$0.09781,$0.1064,$0.09046,$0.09284,"$89,053,258","$1,386,423,077"
XDC Network,XDC,"Dec 06, 2024",$0.07437,$0.1016,$0.07384,$0.09781,"$117,392,593","$1,460,561,776"
XDC Network,XDC,"Dec 05, 2024",$0.07111,$0.0773,$0.06906,$0.07468,"$50,856,105","$1,115,212,303"
XDC Network,XDC,"Dec 04, 2024",$0.08194,$0.08209,$0.07031,$0.07111,"$54,054,239","$1,061,888,375"
XDC Network,XDC,"Dec 03, 2024",$0.08155,$0.08725,$0.07473,$0.08194,"$71,232,806","$1,223,645,069"
XDC Network,XDC,"Dec 02, 2024",$0.06793,$0.08155,$0.06679,$0.08155,"$99,543,662","$1,217,718,845"
XDC Network,XDC,"Dec 01, 2024",$0.06143,$0.06802,$0.05816,$0.06793,"$50,636,229","$1,014,456,423"
XDC Network,XDC,"Nov 30, 2024",$0.06191,$0.06232,$0.05726,$0.06143,"$40,046,626","$917,299,847"
XDC Network,XDC,"Nov 29, 2024",$0.05553,$0.06286,$0.05419,$0.06191,"$39,182,238","$924,542,818"
XDC Network,XDC,"Nov 28, 2024",$0.05625,$0.05659,$0.05474,$0.05553,"$25,122,754","$829,183,539"
XDC Network,XDC,"Nov 27, 2024",$0.05707,$0.05759,$0.05557,$0.05625,"$30,820,225","$839,944,387"
XDC Network,XDC,"Nov 26, 2024",$0.05482,$0.06002,$0.05154,$0.05707,"$41,728,002","$852,161,303"
XDC Network,XDC,"Nov 25, 2024",$0.05519,$0.05568,$0.05044,$0.05482,"$41,588,214","$818,649,365"
XDC Network,XDC,"Nov 24, 2024",$0.05461,$0.06337,$0.05117,$0.05519,"$53,995,621","$823,862,538"
XDC Network,XDC,"Nov 23, 2024",$0.04901,$0.06447,$0.04752,$0.05461,"$50,401,334","$815,472,227"
XDC Network,XDC,"Nov 22, 2024",$0.04186,$0.05829,$0.04186,$0.04901,"$48,558,384","$731,834,514"
XDC Network,XDC,"Nov 21, 2024",$0.04202,$0.0426,$0.04155,$0.04186,"$19,245,770","$625,090,681"
XDC Network,XDC,"Nov 20, 2024",$0.04169,$0.04203,$0.04076,$0.04202,"$17,901,298","$627,414,265"
XDC Network,XDC,"Nov 19, 2024",$0.04391,$0.04612,$0.04106,$0.04169,"$25,443,044","$622,536,216"
XDC Network,XDC,"Nov 18, 2024",$0.04197,$0.04398,$0.04082,$0.04391,"$25,028,203","$655,729,755"
