Name,Amount,Date,Audit Status,URL
Ronin Network - REKT,624000000,03/23/2022,Unaudited,https://rekt.news/ronin-rekt/
Poly Network - REKT,611000000,08/10/2021,Unaudited,https://rekt.news/polynetwork-rekt/
BNB Bridge - REKT,586000000,10/06/2022,Unaudited,https://rekt.news/bnb-bridge-rekt/
SBF - MASK OFF,477000000,11/12/22,N/A,https://rekt.news/sbf-mask-off/
Wormhole - REKT,326000000,02/02/2022,Neodyme,https://rekt.news/wormhole-rekt/
DMM Bitcoin - Rekt,304000000,05/30/2024,N/A,https://rekt.news/dmm-rekt/
WazirX - Rekt,235000000,07/18/2024,N/A,https://rekt.news/wazirx-rekt/
Gala Games - Rekt,216000000,05/20/2024,"Anchain, Certik",https://rekt.news/gala-games-rekt/
Mixin Network - REKT,200000000,09/23/2023,N/A,https://rekt.news/mixin-rekt/
Euler Finance - REKT,197000000,03/13/2023,Sherlock,https://rekt.news/euler-rekt/
BitMart - REKT,196000000,12/04/2021,N/A,https://rekt.news/bitmart-rekt/
Nomad Bridge - REKT,190000000,08/01/2022,N/A,https://rekt.news/nomad-rekt/
Beanstalk - REKT,181000000,04/17/2022,Unaudited,https://rekt.news/beanstalk-rekt/
Wintermute - REKT 2,162300000,09/20/2022,N/A,https://rekt.news/wintermute-rekt-2/
Compound - REKT,147000000,09/29/2021,Unaudited,https://rekt.news/compound-rekt/
Vulcan Forged - REKT,140000000,12/13/2021,Unaudited,https://rekt.news/vulcan-forged-rekt/
Cream Finance - REKT 2,130000000,10/27/2021,Unaudited,https://rekt.news/cream-rekt-2/
Multichain - REKT 2,126300000,07/06/2023,N/A,https://rekt.news/multichain-rekt2/
Poloniex - REKT,126000000,11/10/2023,N/A,https://rekt.news/poloniex-rekt/
BonqDAO - REKT,120000000,02/01/2023,Out of scope,https://rekt.news/bonq-rekt/
Badger - REKT,120000000,12/02/2021,Unaudited,https://rekt.news/badger-rekt/
Mango Markets - REKT,115000000,10/11/2022,Out of Scope,https://rekt.news/mango-markets-rekt/
Atomic Wallet - REKT,100000000,06/02/2023,Unaudited,https://rekt.news/atomic-wallet-rekt/
Harmony Bridge - REKT,100000000,06/23/2022,N/A,https://rekt.news/harmony-rekt/
"HECO Bridge, HTX - REKT",99100000,11/22/2023,N/A,https://rekt.news/heco-htx-rekt/
Mirror Protocol - REKT,92000000,10/08/2021,Unaudited,https://rekt.news/mirror-rekt/
Woofi - Rekt,85000000,03/05/2024,Certik,https://rekt.news/woo-rekt/
