"Cryptocurrency","Year","FileName"
999,"01/12/2019","999.txt"
"0chain","04/08/2019","0chain.txt"
"0x","21/02/2017","0x.txt"
"0xcert","09/07/2019","0xcert.txt"
"1irstcoin","01/04/2019","1irstcoin.txt"
"1World","01/10/2017","1World.txt"
"1X2 Coin","01/10/2018","1X2 Coin.txt"
"Aave","20/12/2017","Aave.txt"
"ABBC Foundation","01/03/2018","ABBC Foundation.txt"
"ABCC Token","01/04/2018","ABCC Token.txt"
"Abjcoin","09/07/2017","Abjcoin.txt"
"ABLE","18/03/2018","ABLE.txt"
"Absolute","10/06/2018","Absolute.txt"
"AceD","01/03/2018","AceD.txt"
"Achain","01/05/2014","Achain.txt"
"Acoin","03/12/2017","Acoin.txt"
"ACRE","08/08/2018","ACRE.txt"
"Acute Angle Cloud","04/06/2018","Acute Angle Cloud.txt"
"adbank","01/04/2017","adbank.txt"
"AdEx","01/06/2017","AdEx.txt"
"Aditus","01/07/2017","Aditus.txt"
"ADN","01/05/2019","ADN.txt"
"AdShares","03/06/2017","AdShares.txt"
"Adtoken","31/05/2017","Adtoken.txt"
"Adzcoin","12/07/2017","Adzcoin.txt"
"Aencoin","01/02/2018","Aencoin.txt"
"Aergo","10/07/2018","Aergo.txt"
"Aeron","01/03/2018","Aeron.txt"
"aeternity","20/01/2017","aeternity.txt"
"Afin","01/08/2018","Afin.txt"
"Agrello","10/11/2017","Agrello.txt"
"Agrocoin","01/02/2019","Agrocoin.txt"
"AgrolifeCoin","01/03/2017","AgrolifeCoin.txt"
"Agrolot","01/07/2018","Agrolot.txt"
"AI Doctor","15/02/2018","AI Doctor.txt"
"AICHAIN","01/01/2018","AICHAIN.txt"
"Aidos Kuneen","01/01/2018","Aidos Kuneen.txt"
"Aidus","01/09/2018","Aidus.txt"
"AiLink Token","01/02/2018","AiLink Token.txt"
"Airbloc","01/02/2018","Airbloc.txt"
"AirFox","21/08/2017","AirFox.txt"
"AirSwap","21/06/2017","AirSwap.txt"
"AirWire","01/05/2018","AirWire.txt"
"Aitheon","01/01/2018","Aitheon.txt"
"Akroma","01/09/2019","Akroma.txt"
"Aladdin","01/02/2018","Aladdin.txt"
"ALAX","01/08/2018","ALAX.txt"
"Alchemint","26/05/2017","Alchemint.txt"
"Algorand","01/03/2018","Algorand.txt"
"Alibabacoin","06/09/2017","Alibabacoin.txt"
"All Sports","07/02/2018","All Sports.txt"
"Almeela","10/08/2018","Almeela.txt"
"Alphacat","01/02/2018","Alphacat.txt"
"alphacoin","01/12/2018","alphacoin.txt"
"Alphacon","08/04/2018","Alphacon.txt"
"ALQO","26/11/2017","ALQO.txt"
"Altlas Protocol","30/05/2019","Altlas Protocol.txt"
"AMARK","07/08/2019","AMARK.txt"
"Ambrosus","28/10/2017","Ambrosus.txt"
"Amino Network","01/10/2018","Amino Network.txt"
"AMO Coin","01/05/2018","AMO Coin.txt"
"AmonD","01/04/2018","AmonD.txt"
"Ampleforth","20/05/2019","Ampleforth.txt"
"Anchor","19/11/2019","Anchor.txt"
"Apex","01/11/2018","Apex.txt"
"APIS","01/12/2017","APIS.txt"
"apM Coin","01/02/2020","apM Coin.txt"
"Apollo","01/02/2018","Apollo.txt"
"Apollon","07/04/2018","Apollon.txt"
"APOT","05/10/2018","APOT.txt"
"Appcoins","04/12/2017","Appcoins.txt"
"Arbidex","27/12/2017","Arbidex.txt"
"ArcBlock","25/12/2017","ArcBlock.txt"
"Ardor","01/11/2018","Ardor.txt"
"Arepacoin","01/09/2018","Arepacoin.txt"
"Arionum","01/08/2018","Arionum.txt"
"Ark.io","01/04/2019","Ark.io.txt"
"ArtByte","01/05/2014","ArtByte.txt"
"Aryacoin","25/05/2019","Aryacoin.txt"
"Asch","01/04/2017","Asch.txt"
"Asgard","23/10/2018","Asgard.txt"
"Asian Dragon","01/10/2018","Asian Dragon.txt"
"Aston","01/05/2019","Aston.txt"
"ATBCoin","07/08/2017","ATBCoin.txt"
"Atlant","29/07/2017","Atlant.txt"
"Atlantis Blue Digital Token","07/12/2017","Atlantis Blue Digital Token.txt"
"ATN","06/02/2018","ATN.txt"
"Atonomi","06/06/2018","Atonomi.txt"
"Auctus","09/05/2018","Auctus.txt"
"Augur","01/11/2019","Augur.txt"
"Aurora","21/01/2018","Aurora.txt"
"AuroraCoin","24/01/2014","AuroraCoin.txt"
"Authorship","15/08/2017","Authorship.txt"
"Aventus","01/06/2018","Aventus.txt"
"AVINOC","01/05/2018","AVINOC.txt"
"B2B","11/09/2017","B2B.txt"
"B91","12/06/2019","B91.txt"
"BaaSid","12/02/2018","BaaSid.txt"
"BABB","20/12/2017","BABB.txt"
"Banca","01/01/2018","Banca.txt"
"Band Protocol","01/05/2019","Band Protocol.txt"
"Bankcoin","21/11/2017","Bankcoin.txt"
"Bankera","01/02/2018","Bankera.txt"
"Bankex","19/10/2017","Bankex.txt"
"Banyan Network","21/03/2018","Banyan Network.txt"
"Basic Attention Token","13/03/2018","Basic Attention Token.txt"
"Bastonet","01/08/2018","Bastonet.txt"
"BawNetwork","20/07/2018","BawNetwork.txt"
"Bayan Token","17/04/2018","Bayan Token.txt"
"BBSCoin","01/01/2018","BBSCoin.txt"
"BCDiploma","20/04/2018","BCDiploma.txt"
"BEAM","19/06/2018","BEAM.txt"
"beat","05/06/2018","beat.txt"
"Beaxy Exchange","01/05/2018","Beaxy Exchange.txt"
"Bee Token","06/11/2018","Bee Token.txt"
"BeeKan","01/03/2018","BeeKan.txt"
"Beetle Coin","23/02/2018","Beetle Coin.txt"
"Bela","01/01/2014","Bela.txt"
"Beldex","01/11/2019","Beldex.txt"
"Bethereum","22/11/2018","Bethereum.txt"
"BetterBetting","05/05/2018","BetterBetting.txt"
"Bezant","23/04/2018","Bezant.txt"
"BFFDoom","12/09/2017","BFFDoom.txt"
"Bgogo token","19/09/2018","Bgogo token.txt"
"BHP Network","01/12/2018","BHP Network.txt"
"BiblePay","12/04/2018","BiblePay.txt"
"Bibox","01/10/2017","Bibox.txt"
"BidiPass","11/05/2018","BidiPass.txt"
"Bidooh","04/10/2018","Bidooh.txt"
"Bigbom","01/03/2018","Bigbom.txt"
"Bilaxy","01/04/2019","Bilaxy.txt"
"Billionaire Token","20/12/2019","Billionaire Token.txt"
"Binance","22/06/2017","Binance.txt"
