Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Bonk1,BONK,"Feb 17, 2025",$0.00001742,$0.00001759,$0.00001648,$0.00001672,"$106,845,148","$1,292,027,243"
Bonk1,BONK,"Feb 16, 2025",$0.000018,$0.00001807,$0.0000173,$0.00001742,"$67,863,384","$1,345,769,052"
Bonk1,BONK,"Feb 15, 2025",$0.00001858,$0.0000189,$0.00001781,$0.000018,"$84,895,582","$1,390,905,252"
Bonk1,BONK,"Feb 14, 2025",$0.00001752,$0.00001966,$0.0000175,$0.00001858,"$205,184,087","$1,435,370,878"
Bonk1,BONK,"Feb 13, 2025",$0.00001822,$0.0000183,$0.00001728,$0.00001752,"$90,461,686","$1,353,083,095"
Bonk1,BONK,"Feb 12, 2025",$0.00001766,$0.00001847,$0.00001682,$0.00001822,"$155,706,314","$1,406,334,596"
Bonk1,BONK,"Feb 11, 2025",$0.00001749,$0.0000191,$0.00001725,$0.00001766,"$152,611,667","$1,362,953,928"
Bonk1,BONK,"Feb 10, 2025",$0.00001729,$0.00001805,$0.00001663,$0.00001749,"$173,780,090","$1,350,037,413"
Bonk1,BONK,"Feb 09, 2025",$0.00001775,$0.00001842,$0.00001642,$0.00001729,"$112,412,913","$1,334,443,187"
Bonk1,BONK,"Feb 08, 2025",$0.00001666,$0.00001789,$0.0000166,$0.00001775,"$86,613,890","$1,369,566,211"
Bonk1,BONK,"Feb 07, 2025",$0.00001676,$0.00001815,$0.00001604,$0.00001666,"$144,801,663","$1,285,596,346"
Bonk1,BONK,"Feb 06, 2025",$0.00001759,$0.00001845,$0.00001657,$0.00001676,"$138,539,735","$1,289,994,183"
Bonk1,BONK,"Feb 05, 2025",$0.00001839,$0.0000188,$0.00001739,$0.00001759,"$137,519,818","$1,353,716,007"
Bonk1,BONK,"Feb 04, 2025",$0.00002005,$0.00002025,$0.00001769,$0.00001839,"$226,315,186","$1,415,238,180"
Bonk1,BONK,"Feb 03, 2025",$0.00001924,$0.00002072,$0.00001512,$0.00002005,"$580,562,136","$1,542,116,870"
Bonk1,BONK,"Feb 02, 2025",$0.00002203,$0.00002249,$0.00001851,$0.00001924,"$279,809,884","$1,476,214,482"
Bonk1,BONK,"Feb 01, 2025",$0.00002481,$0.00002559,$0.00002178,$0.00002203,"$175,261,746","$1,689,502,572"
Bonk1,BONK,"Jan 31, 2025",$0.0000249,$0.00002645,$0.00002448,$0.00002481,"$220,520,904","$1,902,487,805"
Bonk1,BONK,"Jan 30, 2025",$0.00002433,$0.0000264,$0.00002399,$0.0000249,"$250,223,137","$1,909,485,870"
Bonk1,BONK,"Jan 29, 2025",$0.00002303,$0.00002596,$0.00002273,$0.00002433,"$311,482,130","$1,864,691,642"
Bonk1,BONK,"Jan 28, 2025",$0.00002614,$0.00002675,$0.00002284,$0.00002303,"$200,938,281","$1,764,792,520"
Bonk1,BONK,"Jan 27, 2025",$0.00002726,$0.0000273,$0.00002439,$0.00002614,"$349,414,516","$2,002,073,202"
Bonk1,BONK,"Jan 26, 2025",$0.00002928,$0.00002958,$0.00002726,$0.00002726,"$157,344,053","$2,087,723,658"
Bonk1,BONK,"Jan 25, 2025",$0.00002968,$0.00003027,$0.00002895,$0.00002928,"$165,178,510","$2,242,442,658"
Bonk1,BONK,"Jan 24, 2025",$0.00003141,$0.00003248,$0.0000295,$0.00002968,"$292,985,747","$2,271,799,069"
Bonk1,BONK,"Jan 23, 2025",$0.00003201,$0.00003213,$0.00002997,$0.00003141,"$387,844,274","$2,402,607,390"
Bonk1,BONK,"Jan 22, 2025",$0.00003244,$0.00003377,$0.00003156,$0.00003201,"$569,718,725","$2,447,997,339"
Bonk1,BONK,"Jan 21, 2025",$0.00002986,$0.00003548,$0.00002821,$0.00003244,"$889,354,553","$2,481,284,446"
Bonk1,BONK,"Jan 20, 2025",$0.00003235,$0.0000354,$0.00002822,$0.00002986,"$1,033,927,706","$2,282,518,540"
Bonk1,BONK,"Jan 19, 2025",$0.00003365,$0.0000397,$0.00003174,$0.00003234,"$1,245,553,452","$2,472,156,361"
Bonk1,BONK,"Jan 18, 2025",$0.00003336,$0.00003599,$0.00003092,$0.00003365,"$1,051,105,093","$2,571,252,999"
Bonk1,BONK,"Jan 17, 2025",$0.00002839,$0.00003436,$0.00002838,$0.00003336,"$410,056,195","$2,549,189,208"
Bonk1,BONK,"Jan 16, 2025",$0.00002921,$0.00003006,$0.00002781,$0.00002839,"$208,460,980","$2,168,899,580"
Bonk1,BONK,"Jan 15, 2025",$0.00002728,$0.00002931,$0.00002649,$0.00002921,"$177,318,583","$2,231,240,523"
Bonk1,BONK,"Jan 14, 2025",$0.00002623,$0.00002767,$0.00002608,$0.00002728,"$129,270,006","$2,083,586,293"
Bonk1,BONK,"Jan 13, 2025",$0.00002751,$0.00002827,$0.00002459,$0.00002623,"$224,358,802","$2,002,527,268"
Bonk1,BONK,"Jan 12, 2025",$0.00002809,$0.00002819,$0.00002712,$0.00002751,"$106,614,761","$2,098,800,678"
Bonk1,BONK,"Jan 11, 2025",$0.00002765,$0.00002893,$0.00002743,$0.00002809,"$128,588,987","$2,142,725,541"
Bonk1,BONK,"Jan 10, 2025",$0.0000272,$0.00002859,$0.00002706,$0.00002765,"$200,881,999","$2,108,724,999"
Bonk1,BONK,"Jan 09, 2025",$0.00002887,$0.00002928,$0.00002687,$0.0000272,"$217,765,018","$2,074,785,956"
Bonk1,BONK,"Jan 08, 2025",$0.00003091,$0.00003112,$0.00002745,$0.00002887,"$308,423,655","$2,201,951,345"
Bonk1,BONK,"Jan 07, 2025",$0.00003521,$0.00003545,$0.00003078,$0.00003091,"$325,095,976","$2,357,103,969"
Bonk1,BONK,"Jan 06, 2025",$0.00003437,$0.00003616,$0.00003353,$0.00003521,"$308,123,137","$2,684,054,832"
Bonk1,BONK,"Jan 05, 2025",$0.00003562,$0.00003622,$0.00003358,$0.00003437,"$235,989,099","$2,620,322,997"
Bonk1,BONK,"Jan 04, 2025",$0.00003587,$0.00003644,$0.00003452,$0.00003562,"$255,793,089","$2,714,910,592"
Bonk1,BONK,"Jan 03, 2025",$0.00003176,$0.00003674,$0.00003104,$0.00003587,"$486,325,824","$2,732,990,008"
Bonk1,BONK,"Jan 02, 2025",$0.00002967,$0.00003266,$0.0000296,$0.00003176,"$388,146,789","$2,419,107,249"
Bonk1,BONK,"Jan 01, 2025",$0.00003056,$0.0000308,$0.00002898,$0.00002967,"$256,464,074","$2,254,146,659"
Bonk1,BONK,"Dec 31, 2024",$0.00003098,$0.00003207,$0.00002964,$0.00003056,"$247,746,660","$2,320,566,239"
Bonk1,BONK,"Dec 30, 2024",$0.00003082,$0.0000329,$0.00003024,$0.00003098,"$317,854,789","$2,352,034,111"
Bonk1,BONK,"Dec 29, 2024",$0.0000327,$0.0000327,$0.00003056,$0.00003082,"$156,995,953","$2,339,097,401"
Bonk1,BONK,"Dec 28, 2024",$0.00003192,$0.00003329,$0.00003122,$0.0000327,"$202,994,683","$2,481,603,389"
Bonk1,BONK,"Dec 27, 2024",$0.00003043,$0.00003402,$0.00003004,$0.00003192,"$366,531,901","$2,421,661,649"
Bonk1,BONK,"Dec 26, 2024",$0.00003285,$0.00003343,$0.00003016,$0.00003043,"$290,634,848","$2,308,458,344"
Bonk1,BONK,"Dec 25, 2024",$0.0000334,$0.00003444,$0.00003246,$0.00003285,"$288,745,955","$2,491,469,501"
Bonk1,BONK,"Dec 24, 2024",$0.00003234,$0.0000338,$0.00003111,$0.0000334,"$290,444,088","$2,533,046,443"
Bonk1,BONK,"Dec 23, 2024",$0.00003121,$0.00003291,$0.00003025,$0.00003234,"$347,866,166","$2,452,112,415"
Bonk1,BONK,"Dec 22, 2024",$0.00003002,$0.00003271,$0.00002959,$0.00003121,"$398,299,395","$2,365,967,108"
Bonk1,BONK,"Dec 21, 2024",$0.00003331,$0.00003491,$0.00002959,$0.00003002,"$511,050,673","$2,275,274,052"
Bonk1,BONK,"Dec 20, 2024",$0.00002938,$0.00003459,$0.00002494,$0.00003331,"$900,399,834","$2,524,467,308"
Bonk1,BONK,"Dec 19, 2024",$0.00003111,$0.00003136,$0.00002681,$0.00002937,"$726,619,024","$2,226,167,370"
Bonk1,BONK,"Dec 18, 2024",$0.00003583,$0.00003662,$0.00003103,$0.00003111,"$588,395,587","$2,357,433,709"
Bonk1,BONK,"Dec 17, 2024",$0.00003696,$0.00003933,$0.00003549,$0.00003583,"$544,981,810","$2,714,466,922"
Bonk1,BONK,"Dec 16, 2024",$0.00003676,$0.000038,$0.00003452,$0.00003696,"$428,616,755","$2,798,986,354"
Bonk1,BONK,"Dec 15, 2024",$0.00003642,$0.00003703,$0.00003442,$0.00003676,"$265,163,104","$2,783,316,968"
Bonk1,BONK,"Dec 14, 2024",$0.00003879,$0.00003925,$0.00003565,$0.00003642,"$255,471,573","$2,756,236,595"
Bonk1,BONK,"Dec 13, 2024",$0.00003794,$0.00004029,$0.00003706,$0.00003879,"$355,092,509","$2,935,556,790"
Bonk1,BONK,"Dec 12, 2024",$0.00003937,$0.00004078,$0.00003753,$0.00003794,"$411,110,815","$2,869,726,111"
Bonk1,BONK,"Dec 11, 2024",$0.00003588,$0.00004014,$0.00003418,$0.00003937,"$467,911,858","$2,976,927,110"
Bonk1,BONK,"Dec 10, 2024",$0.00003908,$0.00004,$0.00003273,$0.00003588,"$762,902,987","$2,711,593,991"
Bonk1,BONK,"Dec 09, 2024",$0.00004603,$0.00004635,$0.00003503,$0.00003908,"$1,090,317,622","$2,953,723,186"
Bonk1,BONK,"Dec 08, 2024",$0.00004623,$0.00004859,$0.00004466,$0.00004607,"$636,793,718","$3,481,268,570"
Bonk1,BONK,"Dec 07, 2024",$0.00004297,$0.00004851,$0.00004224,$0.00004668,"$872,436,262","$3,526,513,269"
Bonk1,BONK,"Dec 06, 2024",$0.0000427,$0.00004496,$0.00004172,$0.00004297,"$615,605,979","$3,245,754,856"
Bonk1,BONK,"Dec 05, 2024",$0.0000424,$0.00004398,$0.00004003,$0.00004245,"$794,644,083","$3,205,913,273"
Bonk1,BONK,"Dec 04, 2024",$0.00004173,$0.00004332,$0.00004039,$0.0000424,"$640,199,193","$3,201,875,563"
Bonk1,BONK,"Dec 03, 2024",$0.00004285,$0.00004382,$0.00003903,$0.00004173,"$724,114,401","$3,150,332,234"
Bonk1,BONK,"Dec 02, 2024",$0.00004609,$0.00004651,$0.00004152,$0.00004285,"$711,017,349","$3,234,215,540"
Bonk1,BONK,"Dec 01, 2024",$0.00004494,$0.00004839,$0.00004421,$0.00004609,"$730,351,861","$3,469,316,706"
Bonk1,BONK,"Nov 30, 2024",$0.00004667,$0.00004667,$0.00004479,$0.00004494,"$456,922,786","$3,381,811,777"
Bonk1,BONK,"Nov 29, 2024",$0.00004298,$0.0000481,$0.00004279,$0.00004667,"$861,899,204","$3,511,844,945"
Bonk1,BONK,"Nov 28, 2024",$0.00004384,$0.0000458,$0.00004217,$0.00004298,"$465,861,582","$3,233,273,159"
