Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Cardano,ADA,"Feb 17, 2025",$0.772,$0.8269,$0.7719,$0.808,"$1,041,802,036","$28,446,367,816"
Cardano,ADA,"Feb 16, 2025",$0.7811,$0.7868,$0.7647,$0.772,"$448,477,194","$27,175,367,980"
Cardano,ADA,"Feb 15, 2025",$0.8005,$0.8129,$0.7772,$0.7811,"$493,874,835","$27,496,038,665"
Cardano,ADA,"Feb 14, 2025",$0.8107,$0.8271,$0.7931,$0.8005,"$787,635,175","$28,179,137,651"
Cardano,ADA,"Feb 13, 2025",$0.7992,$0.8269,$0.772,$0.8107,"$840,300,501","$28,537,960,536"
Cardano,ADA,"Feb 12, 2025",$0.7794,$0.8051,$0.7528,$0.7992,"$1,231,175,669","$28,130,876,254"
Cardano,ADA,"Feb 11, 2025",$0.7107,$0.8159,$0.7107,$0.7794,"$1,813,731,044","$27,432,525,511"
Cardano,ADA,"Feb 10, 2025",$0.6828,$0.7163,$0.6656,$0.7107,"$751,114,200","$25,014,916,466"
Cardano,ADA,"Feb 09, 2025",$0.7018,$0.7126,$0.6541,$0.6827,"$679,645,670","$24,031,690,317"
Cardano,ADA,"Feb 08, 2025",$0.7071,$0.7149,$0.6848,$0.7018,"$553,879,408","$24,700,232,810"
Cardano,ADA,"Feb 07, 2025",$0.7051,$0.75,$0.6925,$0.7071,"$940,384,129","$24,885,156,861"
Cardano,ADA,"Feb 06, 2025",$0.7331,$0.7647,$0.7021,$0.7051,"$844,784,492","$24,813,682,230"
Cardano,ADA,"Feb 05, 2025",$0.7463,$0.7741,$0.7289,$0.7332,"$840,128,547","$25,804,785,327"
Cardano,ADA,"Feb 04, 2025",$0.8116,$0.8184,$0.719,$0.7463,"$1,601,678,503","$26,266,017,642"
Cardano,ADA,"Feb 03, 2025",$0.8018,$0.823,$0.5648,$0.8116,"$4,694,160,143","$28,562,841,560"
Cardano,ADA,"Feb 02, 2025",$0.8979,$0.9097,$0.7711,$0.8017,"$1,554,294,076","$28,210,404,249"
Cardano,ADA,"Feb 01, 2025",$0.9422,$0.9561,$0.8909,$0.8979,"$576,044,613","$31,594,599,335"
Cardano,ADA,"Jan 31, 2025",$0.961,$0.9819,$0.9369,$0.9422,"$700,669,655","$33,153,538,202"
Cardano,ADA,"Jan 30, 2025",$0.9411,$0.9862,$0.9387,$0.961,"$626,612,172","$33,813,831,158"
