Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Celestia,TIA,"Feb 17, 2025",$3.0349,$3.2244,$3.0058,$3.1268,"$75,369,910","$1,660,929,671"
Celestia,TIA,"Feb 16, 2025",$3.0656,$3.1055,$2.9843,$3.0350,"$47,552,080","$1,608,515,589"
Celestia,TIA,"Feb 15, 2025",$3.1841,$3.2186,$3.0213,$3.0656,"$51,884,723","$1,621,056,186"
Celestia,TIA,"Feb 14, 2025",$3.0468,$3.2951,$3.0354,$3.1841,"$73,546,236","$1,679,848,980"
Celestia,TIA,"Feb 13, 2025",$3.2228,$3.2503,$2.9483,$3.0468,"$72,747,482","$1,603,749,720"
Celestia,TIA,"Feb 12, 2025",$3.2211,$3.2985,$2.9911,$3.2228,"$114,985,768","$1,692,502,820"
Celestia,TIA,"Feb 11, 2025",$3.2352,$3.5631,$3.1971,$3.2211,"$95,146,168","$1,687,689,751"
Celestia,TIA,"Feb 10, 2025",$3.1280,$3.3153,$3.0167,$3.2352,"$82,236,756","$1,691,165,972"
Celestia,TIA,"Feb 09, 2025",$3.0331,$3.1752,$2.9328,$3.1280,"$78,936,791","$1,631,356,286"
Celestia,TIA,"Feb 08, 2025",$2.8220,$3.0423,$2.7843,$3.0331,"$62,003,937","$1,578,240,232"
Celestia,TIA,"Feb 07, 2025",$2.9184,$3.1012,$2.7290,$2.8220,"$85,664,140","$1,464,981,498"
Celestia,TIA,"Feb 06, 2025",$3.0287,$3.1290,$2.8368,$2.9177,"$119,527,674","$1,511,141,906"
Celestia,TIA,"Feb 05, 2025",$3.2594,$3.3049,$2.9908,$3.0288,"$97,467,457","$1,565,025,901"
Celestia,TIA,"Feb 04, 2025",$3.5062,$3.5076,$3.0621,$3.2594,"$169,769,618","$1,680,212,191"
Celestia,TIA,"Feb 03, 2025",$3.3035,$3.5141,$2.4880,$3.5062,"$422,186,232","$1,803,199,013"
Celestia,TIA,"Feb 02, 2025",$3.9319,$4.0205,$3.0924,$3.3035,"$194,061,344","$1,694,998,753"
Celestia,TIA,"Feb 01, 2025",$4.3385,$4.4386,$3.8842,$3.9319,"$79,090,445","$2,012,644,476"
Celestia,TIA,"Jan 31, 2025",$4.2524,$4.5341,$4.1387,$4.3387,"$96,867,661","$2,215,666,489"
Celestia,TIA,"Jan 30, 2025",$3.9178,$4.3475,$3.8690,$4.2524,"$90,232,206","$2,166,522,480"
Celestia,TIA,"Jan 29, 2025",$3.8176,$4.0821,$3.7994,$3.9176,"$93,579,134","$1,991,166,772"
Celestia,TIA,"Jan 28, 2025",$4.0462,$4.1197,$3.7621,$3.8176,"$79,293,865","$1,935,706,120"
Celestia,TIA,"Jan 27, 2025",$4.3493,$4.3501,$3.8278,$4.0462,"$189,473,463","$2,046,749,171"
Celestia,TIA,"Jan 26, 2025",$4.5401,$4.6300,$4.3491,$4.3493,"$59,483,136","$2,194,800,666"
Celestia,TIA,"Jan 25, 2025",$4.5363,$4.6602,$4.4553,$4.5399,"$65,746,581","$2,285,522,870"
Celestia,TIA,"Jan 24, 2025",$4.6361,$4.8221,$4.5091,$4.5363,"$90,255,887","$2,278,238,692"
Celestia,TIA,"Jan 23, 2025",$4.6786,$4.7403,$4.4675,$4.6363,"$121,138,282","$2,322,717,951"
Celestia,TIA,"Jan 22, 2025",$4.8902,$4.9816,$4.6688,$4.6788,"$90,067,073","$2,338,406,734"
Celestia,TIA,"Jan 21, 2025",$4.6023,$4.9899,$4.4082,$4.8902,"$141,220,954","$2,438,262,266"
Celestia,TIA,"Jan 20, 2025",$4.6487,$5.1880,$4.3706,$4.6023,"$310,277,828","$2,289,132,483"
Celestia,TIA,"Jan 19, 2025",$4.8501,$5.2655,$4.4754,$4.6487,"$307,311,417","$2,306,643,030"
Celestia,TIA,"Jan 18, 2025",$5.3675,$5.4733,$4.7618,$4.8500,"$131,756,624","$2,400,688,189"
Celestia,TIA,"Jan 17, 2025",$5.0109,$5.4639,$5.0080,$5.4114,"$173,859,435","$2,671,951,280"
Celestia,TIA,"Jan 16, 2025",$5.2374,$5.2464,$4.8907,$5.0109,"$136,299,858","$2,468,185,971"
Celestia,TIA,"Jan 15, 2025",$4.7621,$5.2576,$4.6368,$5.2372,"$173,036,380","$2,573,408,296"
Celestia,TIA,"Jan 14, 2025",$4.6145,$4.8220,$4.5730,$4.7621,"$77,117,438","$2,334,128,052"
Celestia,TIA,"Jan 13, 2025",$4.9317,$5.1020,$4.3381,$4.6144,"$171,912,934","$2,256,181,007"
