Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Cronos,CRO,"Feb 17, 2025",$0.08764,$0.09083,$0.08582,$0.08785,"$18,971,815","$2,334,229,725"
Cronos,CRO,"Feb 16, 2025",$0.08865,$0.08901,$0.08731,$0.08764,"$13,082,297","$2,328,644,643"
Cronos,CRO,"Feb 15, 2025",$0.09123,$0.09169,$0.08802,$0.08865,"$17,354,412","$2,355,673,044"
Cronos,CRO,"Feb 14, 2025",$0.09097,$0.09321,$0.09046,$0.09123,"$21,120,659","$2,424,123,031"
Cronos,CRO,"Feb 13, 2025",$0.09516,$0.09545,$0.09012,$0.09097,"$18,135,450","$2,417,327,575"
Cronos,CRO,"Feb 12, 2025",$0.09239,$0.09554,$0.08958,$0.09516,"$35,279,383","$2,528,465,348"
Cronos,CRO,"Feb 11, 2025",$0.09428,$0.09875,$0.09171,$0.09239,"$19,817,465","$2,455,024,569"
Cronos,CRO,"Feb 10, 2025",$0.09346,$0.0948,$0.09032,$0.09428,"$15,851,003","$2,505,230,930"
Cronos,CRO,"Feb 09, 2025",$0.09435,$0.09739,$0.08977,$0.09346,"$21,384,070","$2,483,498,696"
Cronos,CRO,"Feb 08, 2025",$0.09444,$0.09508,$0.09092,$0.09434,"$16,506,408","$2,507,012,085"
Cronos,CRO,"Feb 07, 2025",$0.09584,$0.1013,$0.09206,$0.09444,"$23,618,904","$2,509,479,365"
Cronos,CRO,"Feb 06, 2025",$0.1018,$0.1034,$0.0948,$0.09584,"$21,723,682","$2,546,599,474"
Cronos,CRO,"Feb 05, 2025",$0.1068,$0.1074,$0.1014,$0.1018,"$22,849,603","$2,704,416,696"
Cronos,CRO,"Feb 04, 2025",$0.1137,$0.1146,$0.103,$0.1068,"$42,056,520","$2,836,832,444"
Cronos,CRO,"Feb 03, 2025",$0.1082,$0.1153,$0.08466,$0.1137,"$99,647,550","$3,020,374,732"
Cronos,CRO,"Feb 02, 2025",$0.124,$0.1254,$0.1043,$0.1082,"$51,642,219","$2,876,083,115"
Cronos,CRO,"Feb 01, 2025",$0.1298,$0.1313,$0.1224,$0.124,"$17,364,913","$3,295,226,061"
Cronos,CRO,"Jan 31, 2025",$0.1311,$0.1337,$0.1286,$0.1298,"$20,269,486","$3,447,663,003"
Cronos,CRO,"Jan 30, 2025",$0.1288,$0.1329,$0.1283,$0.1311,"$18,707,015","$3,482,996,509"
Cronos,CRO,"Jan 29, 2025",$0.1277,$0.1313,$0.1264,$0.1288,"$24,065,288","$3,422,338,231"
Cronos,CRO,"Jan 28, 2025",$0.1325,$0.1335,$0.1256,$0.1277,"$24,892,987","$3,393,403,080"
Cronos,CRO,"Jan 27, 2025",$0.1344,$0.135,$0.1233,$0.1325,"$39,888,452","$3,520,652,417"
Cronos,CRO,"Jan 26, 2025",$0.1384,$0.141,$0.1344,$0.1344,"$18,909,214","$3,571,407,662"
Cronos,CRO,"Jan 25, 2025",$0.1383,$0.1398,$0.1367,$0.1384,"$17,366,245","$3,677,010,673"
Cronos,CRO,"Jan 24, 2025",$0.1398,$0.1452,$0.136,$0.1383,"$27,814,887","$3,675,319,473"
Cronos,CRO,"Jan 23, 2025",$0.1402,$0.1448,$0.1319,$0.1398,"$42,047,710","$3,715,639,559"
Cronos,CRO,"Jan 22, 2025",$0.1392,$0.1489,$0.1387,$0.1402,"$58,731,164","$3,725,223,386"
