Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Flare,FLR,"Feb 17, 2025",$0.02167,$0.02172,$0.02062,$0.02065,"$7,422,881","$1,219,404,820"
Flare,FLR,"Feb 16, 2025",$0.02148,$0.02173,$0.02119,$0.02167,"$5,522,748","$1,279,586,950"
Flare,FLR,"Feb 15, 2025",$0.0215,$0.02304,$0.0213,$0.02148,"$12,556,089","$1,266,004,856"
Flare,FLR,"Feb 14, 2025",$0.02153,$0.02189,$0.02093,$0.0215,"$12,763,634","$1,266,738,778"
Flare,FLR,"Feb 13, 2025",$0.02105,$0.02164,$0.02018,$0.02153,"$12,691,002","$1,267,968,300"
Flare,FLR,"Feb 12, 2025",$0.02038,$0.02124,$0.01991,$0.02105,"$10,257,430","$1,239,136,407"
Flare,FLR,"Feb 11, 2025",$0.02127,$0.02208,$0.02037,$0.02038,"$10,141,611","$1,198,934,492"
Flare,FLR,"Feb 10, 2025",$0.02115,$0.02153,$0.02081,$0.02127,"$9,309,263","$1,251,480,397"
Flare,FLR,"Feb 09, 2025",$0.02144,$0.02232,$0.02045,$0.02115,"$10,880,556","$1,243,885,029"
Flare,FLR,"Feb 08, 2025",$0.02205,$0.02253,$0.02105,$0.02144,"$13,480,297","$1,260,723,010"
Flare,FLR,"Feb 07, 2025",$0.01933,$0.02392,$0.01919,$0.02205,"$37,580,057","$1,296,082,420"
Flare,FLR,"Feb 06, 2025",$0.01999,$0.02037,$0.0191,$0.01933,"$11,354,647","$1,135,752,503"
Flare,FLR,"Feb 05, 2025",$0.02106,$0.02113,$0.01966,$0.01999,"$12,454,887","$1,176,654,823"
Flare,FLR,"Feb 04, 2025",$0.02247,$0.02298,$0.02038,$0.02107,"$22,563,815","$1,212,974,998"
Flare,FLR,"Feb 03, 2025",$0.02104,$0.02295,$0.01737,$0.02247,"$34,810,294","$1,284,013,279"
Flare,FLR,"Feb 02, 2025",$0.02366,$0.02422,$0.01988,$0.02104,"$19,098,135","$1,203,454,493"
Flare,FLR,"Feb 01, 2025",$0.02525,$0.02544,$0.02358,$0.02366,"$12,063,953","$1,353,102,772"
Flare,FLR,"Jan 31, 2025",$0.02693,$0.02758,$0.02514,$0.02525,"$18,909,824","$1,443,515,217"
Flare,FLR,"Jan 30, 2025",$0.02382,$0.02857,$0.02371,$0.02694,"$38,989,042","$1,539,738,967"
