Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Jito,JTO,"Feb 18, 2025",$2.7176,$2.7336,$2.5001,$2.6356,"$59,441,097","$778,544,410"
Jito,JTO,"Feb 17, 2025",$3.0558,$3.1024,$2.7160,$2.7176,"$66,688,968","$801,730,036"
Jito,JTO,"Feb 16, 2025",$3.1525,$3.2033,$3.0309,$3.0559,"$32,955,157","$900,373,398"
Jito,JTO,"Feb 15, 2025",$3.2100,$3.2439,$3.1124,$3.1525,"$41,075,950","$927,675,400"
Jito,JTO,"Feb 14, 2025",$3.0267,$3.5112,$3.0252,$3.2101,"$116,812,893","$943,417,419"
Jito,JTO,"Feb 13, 2025",$2.9994,$3.1040,$2.9310,$3.0267,"$56,161,575","$888,412,707"
Jito,JTO,"Feb 12, 2025",$2.6240,$3.0082,$2.5975,$2.9995,"$67,114,398","$879,314,424"
Jito,JTO,"Feb 11, 2025",$2.5561,$2.6892,$2.5531,$2.6240,"$41,673,395","$768,248,701"
Jito,JTO,"Feb 10, 2025",$2.4821,$2.6496,$2.4376,$2.5561,"$40,022,945","$747,415,216"
Jito,JTO,"Feb 09, 2025",$2.5330,$2.6131,$2.3722,$2.4821,"$38,032,877","$724,867,078"
Jito,JTO,"Feb 08, 2025",$2.4723,$2.5488,$2.4301,$2.5330,"$34,345,713","$738,775,118"
Jito,JTO,"Feb 07, 2025",$2.4970,$2.6715,$2.4154,$2.4723,"$54,735,092","$720,152,152"
Jito,JTO,"Feb 06, 2025",$2.6143,$2.9421,$2.4564,$2.4970,"$115,043,131","$726,415,467"
Jito,JTO,"Feb 05, 2025",$2.9461,$2.9461,$2.5808,$2.6148,"$71,605,765","$759,577,080"
Jito,JTO,"Feb 04, 2025",$3.1111,$3.2957,$2.8551,$2.9461,"$118,604,902","$854,893,923"
Jito,JTO,"Feb 03, 2025",$2.8632,$3.1446,$2.3766,$3.1111,"$139,202,572","$901,624,156"
Jito,JTO,"Feb 02, 2025",$3.0088,$3.1275,$2.7457,$2.8632,"$78,180,586","$828,702,923"
Jito,JTO,"Feb 01, 2025",$3.3897,$3.4153,$2.9967,$3.0088,"$50,880,909","$869,731,701"
Jito,JTO,"Jan 31, 2025",$3.3677,$3.5426,$3.3200,$3.3897,"$74,805,934","$978,578,257"
