Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Movement,MOVE,"Feb 18, 2025",$0.5487,$0.5508,$0.4924,$0.5142,"$79,734,350","$1,234,002,211"
Movement,MOVE,"Feb 17, 2025",$0.5481,$0.5635,$0.5326,$0.5487,"$73,546,607","$1,316,903,121"
Movement,MOVE,"Feb 16, 2025",$0.5578,$0.5638,$0.5395,$0.5481,"$57,620,951","$1,315,554,116"
Movement,MOVE,"Feb 15, 2025",$0.5818,$0.6044,$0.5501,$0.5578,"$108,355,018","$1,338,757,505"
Movement,MOVE,"Feb 14, 2025",$0.5491,$0.6143,$0.5442,$0.5818,"$178,310,496","$1,396,223,046"
Movement,MOVE,"Feb 13, 2025",$0.562,$0.5744,$0.5295,$0.5491,"$107,237,084","$1,317,921,967"
Movement,MOVE,"Feb 12, 2025",$0.5402,$0.5702,$0.5198,$0.562,"$124,991,534","$1,348,738,148"
Movement,MOVE,"Feb 11, 2025",$0.5528,$0.5797,$0.5331,$0.5402,"$117,318,230","$1,296,392,934"
Movement,MOVE,"Feb 10, 2025",$0.5298,$0.5639,$0.4962,$0.5528,"$159,676,325","$1,326,636,504"
Movement,MOVE,"Feb 09, 2025",$0.5648,$0.5856,$0.5096,$0.5298,"$137,078,569","$1,271,563,125"
Movement,MOVE,"Feb 08, 2025",$0.5521,$0.575,$0.5116,$0.5648,"$163,841,468","$1,327,195,335"
Movement,MOVE,"Feb 07, 2025",$0.6156,$0.6344,$0.542,$0.5521,"$207,500,497","$1,297,466,671"
Movement,MOVE,"Feb 06, 2025",$0.5934,$0.6314,$0.5736,$0.6156,"$133,360,461","$1,446,543,004"
Movement,MOVE,"Feb 05, 2025",$0.6143,$0.644,$0.588,$0.5934,"$111,038,142","$1,394,456,985"
Movement,MOVE,"Feb 04, 2025",$0.6701,$0.6785,$0.5981,$0.6143,"$159,592,654","$1,443,644,114"
Movement,MOVE,"Feb 03, 2025",$0.6202,$0.6791,$0.5384,$0.6701,"$298,012,283","$1,541,225,569"
Movement,MOVE,"Feb 02, 2025",$0.6812,$0.7048,$0.6025,$0.6202,"$151,178,339","$1,426,492,594"
Movement,MOVE,"Feb 01, 2025",$0.7609,$0.7679,$0.6762,$0.6812,"$91,611,834","$1,566,675,033"
Movement,MOVE,"Jan 31, 2025",$0.7913,$0.8035,$0.7514,$0.7609,"$147,896,550","$1,750,148,179"
Movement,MOVE,"Jan 30, 2025",$0.7959,$0.8484,$0.7912,$0.7913,"$236,588,048","$1,819,864,170"
