Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
MultiversX-egld,EGLD,"Feb 18, 2025",$22.52,$22.63,$20.87,$21.53,"$18,934,490","$600,477,328"
MultiversX-egld,EGLD,"Feb 17, 2025",$22.42,$23.31,$22.08,$22.52,"$19,257,115","$628,112,794"
MultiversX-egld,EGLD,"Feb 16, 2025",$22.52,$22.84,$22.28,$22.41,"$13,382,186","$624,987,156"
MultiversX-egld,EGLD,"Feb 15, 2025",$23.30,$23.51,$22.24,$22.52,"$14,301,917","$628,037,725"
MultiversX-egld,EGLD,"Feb 14, 2025",$23.08,$24.05,$22.90,$23.30,"$21,195,403","$649,557,591"
MultiversX-egld,EGLD,"Feb 13, 2025",$23.81,$24.09,$22.77,$23.08,"$20,096,376","$643,187,126"
MultiversX-egld,EGLD,"Feb 12, 2025",$22.82,$24.04,$22.02,$23.81,"$27,559,157","$663,313,473"
MultiversX-egld,EGLD,"Feb 11, 2025",$22.50,$23.83,$22.40,$22.82,"$24,915,993","$635,631,928"
MultiversX-egld,EGLD,"Feb 10, 2025",$22.36,$22.91,$21.46,$22.50,"$24,139,175","$626,682,390"
MultiversX-egld,EGLD,"Feb 09, 2025",$21.95,$23.06,$21.04,$22.36,"$24,714,986","$622,703,382"
MultiversX-egld,EGLD,"Feb 08, 2025",$21.36,$22.04,$20.91,$21.95,"$17,726,868","$611,219,840"
MultiversX-egld,EGLD,"Feb 07, 2025",$21.05,$22.79,$20.70,$21.36,"$27,077,308","$594,790,817"
MultiversX-egld,EGLD,"Feb 06, 2025",$21.88,$22.32,$20.76,$21.05,"$28,829,188","$586,104,831"
MultiversX-egld,EGLD,"Feb 05, 2025",$22.88,$23.04,$21.59,$21.88,"$26,202,961","$608,970,987"
MultiversX-egld,EGLD,"Feb 04, 2025",$24.66,$24.89,$22.07,$22.88,"$53,684,142","$636,750,328"
MultiversX-egld,EGLD,"Feb 03, 2025",$23.96,$24.74,$18.40,$24.66,"$160,157,651","$686,307,145"
MultiversX-egld,EGLD,"Feb 02, 2025",$27.18,$27.60,$22.99,$23.96,"$72,976,587","$666,746,145"
MultiversX-egld,EGLD,"Feb 01, 2025",$29.68,$30.21,$27.02,$27.18,"$27,704,735","$756,418,536"
MultiversX-egld,EGLD,"Jan 31, 2025",$30.27,$31.14,$29.55,$29.68,"$26,249,559","$825,702,890"
MultiversX-egld,EGLD,"Jan 30, 2025",$28.08,$30.39,$27.98,$30.27,"$32,559,753","$841,851,274"
MultiversX-egld,EGLD,"Jan 29, 2025",$27.24,$28.77,$27.08,$28.08,"$30,137,130","$780,930,731"
MultiversX-egld,EGLD,"Jan 28, 2025",$28.76,$29.01,$26.88,$27.24,"$22,661,092","$757,512,211"
