Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
OFFICIAL TRUMP,TRUMP,"Feb 17, 2025",$18.77,$19.25,$16.95,$17.19,"$1,619,957,996","$3,437,731,457"
OFFICIAL TRUMP,TRUMP,"Feb 16, 2025",$18.67,$19.44,$18.36,$18.77,"$2,131,579,266","$3,753,159,212"
OFFICIAL TRUMP,TRUMP,"Feb 15, 2025",$21.49,$22.35,$18.15,$18.67,"$3,669,482,332","$3,733,880,267"
OFFICIAL TRUMP,TRUMP,"Feb 14, 2025",$16.28,$24.31,$15.87,$21.49,"$6,234,746,281","$4,297,233,929"
OFFICIAL TRUMP,TRUMP,"Feb 13, 2025",$15.44,$17.52,$15.33,$16.28,"$2,268,118,410","$3,256,848,182"
OFFICIAL TRUMP,TRUMP,"Feb 12, 2025",$15.34,$15.53,$14.65,$15.44,"$871,319,046","$3,088,138,122"
OFFICIAL TRUMP,TRUMP,"Feb 11, 2025",$15.89,$16.74,$15.25,$15.34,"$905,289,209","$3,067,980,951"
OFFICIAL TRUMP,TRUMP,"Feb 10, 2025",$15.91,$16.47,$14.79,$15.89,"$1,367,573,432","$3,178,836,744"
OFFICIAL TRUMP,TRUMP,"Feb 09, 2025",$17.27,$17.86,$15.37,$15.91,"$1,239,266,372","$3,182,009,883"
OFFICIAL TRUMP,TRUMP,"Feb 08, 2025",$16.60,$17.42,$16.24,$17.27,"$1,053,008,244","$3,454,531,403"
OFFICIAL TRUMP,TRUMP,"Feb 07, 2025",$17.12,$18.17,$16.22,$16.60,"$1,517,779,558","$3,319,013,322"
OFFICIAL TRUMP,TRUMP,"Feb 06, 2025",$18.14,$19.47,$16.90,$17.12,"$1,988,768,490","$3,423,672,978"
OFFICIAL TRUMP,TRUMP,"Feb 05, 2025",$17.21,$20.47,$17.21,$18.14,"$2,376,505,777","$3,627,964,980"
OFFICIAL TRUMP,TRUMP,"Feb 04, 2025",$19.67,$19.76,$16.41,$17.21,"$2,330,451,060","$3,441,402,897"
OFFICIAL TRUMP,TRUMP,"Feb 03, 2025",$20.86,$21.03,$16.83,$19.67,"$4,205,175,488","$3,933,143,933"
OFFICIAL TRUMP,TRUMP,"Feb 02, 2025",$19.74,$22.44,$19.44,$20.86,"$3,686,686,063","$4,171,530,258"
OFFICIAL TRUMP,TRUMP,"Feb 01, 2025",$24.11,$24.95,$18.75,$19.74,"$2,956,274,869","$3,947,347,715"
OFFICIAL TRUMP,TRUMP,"Jan 31, 2025",$26.08,$26.53,$23.83,$24.11,"$2,020,181,958","$4,822,638,135"
OFFICIAL TRUMP,TRUMP,"Jan 30, 2025",$27.21,$28.23,$26.02,$26.08,"$1,977,881,388","$5,215,507,665"
OFFICIAL TRUMP,TRUMP,"Jan 29, 2025",$27.34,$28.62,$26.50,$27.21,"$2,380,272,680","$5,441,115,278"
OFFICIAL TRUMP,TRUMP,"Jan 28, 2025",$28.05,$30.35,$26.41,$27.34,"$3,397,085,279","$5,467,617,873"
OFFICIAL TRUMP,TRUMP,"Jan 27, 2025",$27.36,$28.09,$24.97,$28.05,"$3,658,442,098","$5,609,712,775"
OFFICIAL TRUMP,TRUMP,"Jan 26, 2025",$28.89,$32.23,$27.29,$27.35,"$3,739,725,392","$5,470,278,650"
OFFICIAL TRUMP,TRUMP,"Jan 25, 2025",$30.08,$30.58,$25.91,$28.89,"$5,001,313,513","$5,777,173,368"
OFFICIAL TRUMP,TRUMP,"Jan 24, 2025",$34.71,$35.31,$29.29,$30.08,"$3,946,021,466","$6,016,260,085"
OFFICIAL TRUMP,TRUMP,"Jan 23, 2025",$36.89,$39.24,$34.37,$34.71,"$5,999,701,750","$6,941,877,255"
OFFICIAL TRUMP,TRUMP,"Jan 22, 2025",$44.00,$44.19,$36.44,$36.91,"$9,611,133,491","$7,378,421,169"
OFFICIAL TRUMP,TRUMP,"Jan 21, 2025",$36.96,$48.17,$31.01,$44.00,"$23,362,555,259","$8,800,689,539"
OFFICIAL TRUMP,TRUMP,"Jan 20, 2025",$45.47,$63.51,$35.18,$36.96,"$30,104,419,664","$7,392,095,971"
OFFICIAL TRUMP,TRUMP,"Jan 19, 2025",$28.72,$75.35,$24.51,$45.50,"$39,063,698,885","$9,100,600,207"
