Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Stellar,XLM,"Feb 17, 2025",$0.3426,$0.3485,$0.3318,$0.3337,"$221,323,545","$10,216,244,793"
Stellar,XLM,"Feb 16, 2025",$0.349,$0.3518,$0.3408,$0.3426,"$166,849,495","$10,488,236,855"
Stellar,XLM,"Feb 15, 2025",$0.3509,$0.3655,$0.346,$0.349,"$266,924,488","$10,684,565,055"
Stellar,XLM,"Feb 14, 2025",$0.3376,$0.3612,$0.334,$0.3509,"$419,637,884","$10,743,279,576"
Stellar,XLM,"Feb 13, 2025",$0.333,$0.3421,$0.3234,$0.3376,"$279,921,101","$10,331,443,397"
Stellar,XLM,"Feb 12, 2025",$0.3184,$0.3362,$0.3099,$0.333,"$339,839,205","$10,196,478,981"
Stellar,XLM,"Feb 11, 2025",$0.3129,$0.3386,$0.3127,$0.3184,"$422,347,676","$9,741,108,416"
Stellar,XLM,"Feb 10, 2025",$0.3146,$0.322,$0.3038,$0.3129,"$313,937,333","$9,570,806,840"
Stellar,XLM,"Feb 09, 2025",$0.332,$0.3381,$0.3038,$0.3146,"$285,771,798","$9,623,649,789"
Stellar,XLM,"Feb 08, 2025",$0.327,$0.3343,$0.3213,$0.332,"$199,082,689","$10,156,070,490"
Stellar,XLM,"Feb 07, 2025",$0.3185,$0.3438,$0.3172,$0.327,"$383,334,258","$10,002,374,329"
Stellar,XLM,"Feb 06, 2025",$0.3273,$0.3406,$0.3146,$0.3185,"$316,043,946","$9,739,373,201"
Stellar,XLM,"Feb 05, 2025",$0.3416,$0.3486,$0.3235,$0.3273,"$287,981,790","$10,007,962,585"
Stellar,XLM,"Feb 04, 2025",$0.3704,$0.3745,$0.334,$0.3416,"$539,781,017","$10,444,903,268"
Stellar,XLM,"Feb 03, 2025",$0.354,$0.3723,$0.2771,$0.3704,"$1,721,235,850","$11,323,508,918"
Stellar,XLM,"Feb 02, 2025",$0.3933,$0.4009,$0.339,$0.354,"$650,185,465","$10,822,583,862"
Stellar,XLM,"Feb 01, 2025",$0.4141,$0.42,$0.3895,$0.3933,"$268,987,849","$12,025,823,376"
Stellar,XLM,"Jan 31, 2025",$0.43,$0.43,$0.4077,$0.4141,"$333,601,270","$12,661,081,068"
Stellar,XLM,"Jan 30, 2025",$0.3927,$0.4433,$0.3898,$0.43,"$577,243,744","$13,134,441,229"
Stellar,XLM,"Jan 29, 2025",$0.3937,$0.405,$0.383,$0.3927,"$330,777,425","$11,993,870,876"
Stellar,XLM,"Jan 28, 2025",$0.4071,$0.4202,$0.3906,$0.3937,"$385,573,356","$12,016,888,269"
Stellar,XLM,"Jan 27, 2025",$0.4068,$0.409,$0.3668,$0.4071,"$711,184,897","$12,421,809,703"
Stellar,XLM,"Jan 26, 2025",$0.4171,$0.4261,$0.4068,$0.4068,"$274,650,764","$12,414,791,223"
Stellar,XLM,"Jan 25, 2025",$0.4309,$0.4366,$0.4164,$0.417,"$299,909,973","$12,728,193,103"
Stellar,XLM,"Jan 24, 2025",$0.4318,$0.4477,$0.4205,$0.4309,"$416,442,185","$13,151,651,382"
Stellar,XLM,"Jan 23, 2025",$0.428,$0.4364,$0.4127,$0.4318,"$472,588,384","$13,167,884,878"
Stellar,XLM,"Jan 22, 2025",$0.4417,$0.4449,$0.4269,$0.428,"$455,978,898","$13,049,508,174"
Stellar,XLM,"Jan 21, 2025",$0.4465,$0.4539,$0.4286,$0.4417,"$587,061,217","$13,465,062,115"
Stellar,XLM,"Jan 20, 2025",$0.4327,$0.4768,$0.4245,$0.4465,"$1,389,850,389","$13,600,681,872"
Stellar,XLM,"Jan 19, 2025",$0.491,$0.4934,$0.4233,$0.4329,"$1,178,973,781","$13,181,494,604"
Stellar,XLM,"Jan 18, 2025",$0.4884,$0.4911,$0.4527,$0.491,"$928,394,243","$14,954,677,446"
Stellar,XLM,"Jan 17, 2025",$0.4823,$0.4984,$0.4756,$0.4884,"$1,014,111,040","$14,878,112,442"
Stellar,XLM,"Jan 16, 2025",$0.4893,$0.5137,$0.4652,$0.4823,"$1,967,692,227","$14,684,755,064"
Stellar,XLM,"Jan 15, 2025",$0.4301,$0.4929,$0.4271,$0.4893,"$2,154,147,036","$14,891,626,402"
Stellar,XLM,"Jan 14, 2025",$0.4196,$0.4358,$0.4158,$0.4301,"$545,833,592","$13,079,610,555"
Stellar,XLM,"Jan 13, 2025",$0.4226,$0.4376,$0.395,$0.4196,"$791,022,314","$12,757,509,376"
Stellar,XLM,"Jan 12, 2025",$0.4459,$0.4459,$0.4198,$0.4226,"$450,324,276","$12,845,800,246"
Stellar,XLM,"Jan 11, 2025",$0.4148,$0.4579,$0.4039,$0.4459,"$739,624,026","$13,554,431,594"
Stellar,XLM,"Jan 10, 2025",$0.3915,$0.4243,$0.3884,$0.4148,"$651,336,244","$12,608,225,251"
Stellar,XLM,"Jan 09, 2025",$0.4258,$0.4278,$0.3879,$0.3915,"$642,813,493","$11,891,628,493"
Stellar,XLM,"Jan 08, 2025",$0.418,$0.4382,$0.392,$0.4258,"$1,115,698,912","$12,930,420,195"
Stellar,XLM,"Jan 07, 2025",$0.4458,$0.4675,$0.4159,$0.418,"$1,038,903,089","$12,695,772,641"
Stellar,XLM,"Jan 06, 2025",$0.4407,$0.4627,$0.4334,$0.4458,"$657,697,613","$13,537,175,217"
Stellar,XLM,"Jan 05, 2025",$0.4507,$0.454,$0.4332,$0.4407,"$554,743,055","$13,373,293,405"
Stellar,XLM,"Jan 04, 2025",$0.4484,$0.4842,$0.4455,$0.4507,"$1,156,225,297","$13,677,730,593"
Stellar,XLM,"Jan 03, 2025",$0.4329,$0.459,$0.431,$0.4484,"$1,270,182,532","$13,602,534,457"
Stellar,XLM,"Jan 02, 2025",$0.4238,$0.4576,$0.4144,$0.4329,"$1,742,890,194","$13,129,438,479"
Stellar,XLM,"Jan 01, 2025",$0.3317,$0.4353,$0.3317,$0.4238,"$1,812,934,891","$12,831,954,032"
Stellar,XLM,"Dec 31, 2024",$0.3317,$0.3445,$0.3239,$0.3317,"$325,128,946","$10,042,634,085"
Stellar,XLM,"Dec 30, 2024",$0.3379,$0.3469,$0.321,$0.3317,"$336,984,914","$10,044,936,780"
Stellar,XLM,"Dec 29, 2024",$0.3557,$0.3557,$0.3351,$0.3379,"$175,702,921","$10,229,867,793"
Stellar,XLM,"Dec 28, 2024",$0.3493,$0.358,$0.3447,$0.3557,"$195,555,327","$10,767,807,895"
