Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Sui,SUI,"Feb 17, 2025",$3.2698,$3.3506,$3.1546,$3.2152,"$757,316,823","$9,934,118,924"
Sui,SUI,"Feb 16, 2025",$3.4198,$3.4436,$3.2649,$3.2697,"$560,886,438","$10,102,576,378"
Sui,SUI,"Feb 15, 2025",$3.5597,$3.5947,$3.3788,$3.4197,"$565,769,350","$10,566,052,417"
Sui,SUI,"Feb 14, 2025",$3.4664,$3.7225,$3.4381,$3.5597,"$1,029,381,394","$10,998,339,206"
Sui,SUI,"Feb 13, 2025",$3.5875,$3.6484,$3.4246,$3.4664,"$1,086,453,252","$10,710,188,454"
Sui,SUI,"Feb 12, 2025",$3.3215,$3.6513,$3.1184,$3.5871,"$1,688,451,164","$11,084,406,107"
Sui,SUI,"Feb 11, 2025",$3.2116,$3.5715,$3.2079,$3.3212,"$1,473,444,160","$10,261,657,515"
Sui,SUI,"Feb 10, 2025",$2.9996,$3.2956,$2.9100,$3.2116,"$1,380,669,215","$9,923,010,571"
Sui,SUI,"Feb 09, 2025",$3.0702,$3.1757,$2.8804,$2.9996,"$918,526,300","$9,267,992,212"
Sui,SUI,"Feb 08, 2025",$3.0053,$3.0823,$2.8975,$3.0704,"$833,624,132","$9,485,993,054"
Sui,SUI,"Feb 07, 2025",$3.1375,$3.3732,$2.9150,$3.0053,"$1,484,551,197","$9,285,393,677"
Sui,SUI,"Feb 06, 2025",$3.3323,$3.5012,$3.1206,$3.1375,"$1,369,504,343","$9,693,957,616"
Sui,SUI,"Feb 05, 2025",$3.6032,$3.7053,$3.3151,$3.3323,"$1,308,366,691","$10,295,784,749"
Sui,SUI,"Feb 04, 2025",$3.6513,$3.8790,$3.2836,$3.6032,"$2,350,244,634","$11,132,760,914"
Sui,SUI,"Feb 03, 2025",$3.3024,$3.7874,$2.5387,$3.6513,"$4,536,784,983","$11,281,541,544"
Sui,SUI,"Feb 02, 2025",$3.7436,$3.8550,$3.1523,$3.3024,"$1,678,505,173","$10,203,362,323"
Sui,SUI,"Feb 01, 2025",$4.0828,$4.1147,$3.7319,$3.7436,"$745,057,400","$11,566,668,543"
Sui,SUI,"Jan 31, 2025",$4.1232,$4.2414,$4.0203,$4.0828,"$1,183,694,683","$12,287,400,482"
Sui,SUI,"Jan 30, 2025",$3.6948,$4.2045,$3.6757,$4.1232,"$1,491,974,707","$12,409,178,186"
Sui,SUI,"Jan 29, 2025",$3.6514,$3.8831,$3.6113,$3.6947,"$1,110,810,824","$11,119,634,929"
Sui,SUI,"Jan 28, 2025",$3.9630,$4.0031,$3.6167,$3.6514,"$969,453,124","$10,989,067,753"
Sui,SUI,"Jan 27, 2025",$3.8745,$4.0051,$3.5042,$3.9630,"$2,230,929,112","$11,926,999,543"
Sui,SUI,"Jan 26, 2025",$4.1324,$4.2147,$3.8740,$3.8745,"$765,746,703","$11,660,643,649"
Sui,SUI,"Jan 25, 2025",$4.1953,$4.2501,$4.1081,$4.1324,"$713,241,791","$12,436,839,015"
Sui,SUI,"Jan 24, 2025",$4.3107,$4.4775,$4.1730,$4.1947,"$1,100,852,153","$12,626,125,226"
Sui,SUI,"Jan 23, 2025",$4.4657,$4.4680,$4.1735,$4.3108,"$1,251,624,026","$12,973,127,026"
Sui,SUI,"Jan 22, 2025",$4.6628,$4.6964,$4.4601,$4.4656,"$866,248,958","$13,439,835,195"
Sui,SUI,"Jan 21, 2025",$4.4068,$4.7901,$4.2467,$4.6628,"$1,693,408,643","$14,033,036,932"
Sui,SUI,"Jan 20, 2025",$4.4979,$4.8241,$4.3421,$4.4070,"$2,826,581,856","$13,262,484,339"
Sui,SUI,"Jan 19, 2025",$5.0061,$5.0111,$4.4283,$4.4986,"$2,715,915,580","$13,536,727,785"
Sui,SUI,"Jan 18, 2025",$4.8541,$5.1184,$4.6192,$5.0066,"$1,989,736,817","$15,066,273,198"
Sui,SUI,"Jan 17, 2025",$4.7544,$4.9591,$4.7183,$4.8793,"$1,771,166,953","$14,684,715,458"
Sui,SUI,"Jan 16, 2025",$4.8404,$5.0351,$4.5865,$4.7544,"$1,729,931,415","$14,308,660,008"
Sui,SUI,"Jan 15, 2025",$4.5847,$4.8865,$4.4390,$4.8403,"$1,813,852,909","$14,567,597,409"
Sui,SUI,"Jan 14, 2025",$4.7525,$4.7529,$4.5457,$4.5847,"$1,379,274,398","$13,798,044,818"
Sui,SUI,"Jan 13, 2025",$4.7345,$4.8469,$4.2958,$4.7526,"$2,373,891,350","$14,303,113,734"
Sui,SUI,"Jan 12, 2025",$4.9670,$4.9767,$4.6977,$4.7345,"$867,881,180","$14,248,836,567"
Sui,SUI,"Jan 11, 2025",$5.1232,$5.1338,$4.9088,$4.9671,"$1,020,999,019","$14,948,577,175"
Sui,SUI,"Jan 10, 2025",$4.7458,$5.2381,$4.7403,$5.1232,"$2,634,583,108","$15,418,696,256"
Sui,SUI,"Jan 09, 2025",$4.9014,$4.9014,$4.5044,$4.7458,"$2,004,719,365","$14,282,724,454"
Sui,SUI,"Jan 08, 2025",$4.7883,$4.9060,$4.4209,$4.9014,"$2,309,277,756","$14,750,985,904"
Sui,SUI,"Jan 07, 2025",$5.0827,$5.1678,$4.7576,$4.7884,"$1,649,895,817","$14,411,121,544"
Sui,SUI,"Jan 06, 2025",$5.2397,$5.3519,$5.0306,$5.0827,"$1,504,007,512","$15,296,718,173"
Sui,SUI,"Jan 05, 2025",$5.2974,$5.3131,$5.1279,$5.2397,"$1,301,513,431","$15,769,236,666"
Sui,SUI,"Jan 04, 2025",$4.9576,$5.3462,$4.8444,$5.2974,"$2,545,804,985","$15,942,819,394"
Sui,SUI,"Jan 03, 2025",$4.3476,$4.9766,$4.2831,$4.9576,"$1,583,212,602","$14,920,232,421"
Sui,SUI,"Jan 02, 2025",$4.2750,$4.4544,$4.2569,$4.3477,"$935,695,521","$13,084,698,176"
Sui,SUI,"Jan 01, 2025",$4.1169,$4.3052,$4.0469,$4.2750,"$725,360,427","$12,865,861,240"
Sui,SUI,"Dec 31, 2024",$4.1759,$4.3215,$4.0499,$4.1169,"$1,058,469,208","$12,052,787,102"
Sui,SUI,"Dec 30, 2024",$4.0990,$4.3551,$3.9628,$4.1758,"$1,389,656,168","$12,225,575,374"
Sui,SUI,"Dec 29, 2024",$4.2090,$4.2619,$4.0507,$4.0991,"$692,497,358","$12,000,832,296"
Sui,SUI,"Dec 28, 2024",$4.0769,$4.2449,$3.9775,$4.2087,"$976,214,885","$12,322,486,414"
Sui,SUI,"Dec 27, 2024",$4.1945,$4.4053,$4.0581,$4.0769,"$1,293,185,676","$11,935,823,162"
Sui,SUI,"Dec 26, 2024",$4.5036,$4.5201,$4.1532,$4.2291,"$1,293,615,133","$12,381,252,967"
Sui,SUI,"Dec 25, 2024",$4.6078,$4.6338,$4.4619,$4.5034,"$1,139,410,804","$13,184,927,084"
Sui,SUI,"Dec 24, 2024",$4.7114,$4.7431,$4.4655,$4.6076,"$1,782,474,370","$13,490,026,693"
Sui,SUI,"Dec 23, 2024",$4.3137,$4.7336,$4.1149,$4.7114,"$2,328,842,319","$13,793,397,670"
Sui,SUI,"Dec 22, 2024",$4.3573,$4.5830,$4.1902,$4.3137,"$2,184,647,143","$12,628,996,148"
Sui,SUI,"Dec 21, 2024",$4.5720,$4.8967,$4.2496,$4.3573,"$2,871,118,909","$12,756,736,509"
Sui,SUI,"Dec 20, 2024",$4.0869,$4.5798,$3.5009,$4.5706,"$4,243,738,339","$13,385,252,857"
Sui,SUI,"Dec 19, 2024",$4.3366,$4.5745,$3.9660,$4.0869,"$3,031,892,147","$11,965,144,040"
Sui,SUI,"Dec 18, 2024",$4.6387,$4.7400,$4.3183,$4.3366,"$2,191,450,991","$12,696,206,252"
Sui,SUI,"Dec 17, 2024",$4.6259,$4.8601,$4.5734,$4.6389,"$1,526,378,747","$13,581,193,165"
Sui,SUI,"Dec 16, 2024",$4.7890,$4.9309,$4.6072,$4.6258,"$1,925,337,786","$13,542,935,437"
Sui,SUI,"Dec 15, 2024",$4.4590,$4.8270,$4.3612,$4.7886,"$1,524,585,472","$14,020,473,076"
Sui,SUI,"Dec 14, 2024",$4.7561,$4.8364,$4.3628,$4.4590,"$1,311,921,635","$13,054,314,773"
Sui,SUI,"Dec 13, 2024",$4.6235,$4.8899,$4.5492,$4.7559,"$2,101,513,361","$13,924,099,818"
Sui,SUI,"Dec 12, 2024",$4.3740,$4.8634,$4.3671,$4.6234,"$3,560,307,621","$13,535,858,475"
Sui,SUI,"Dec 11, 2024",$3.7199,$4.3900,$3.5865,$4.3740,"$2,225,094,002","$12,805,624,415"
Sui,SUI,"Dec 10, 2024",$3.8417,$3.8806,$3.4778,$3.7198,"$2,484,765,968","$10,890,639,745"
Sui,SUI,"Dec 09, 2024",$4.2446,$4.2651,$3.4921,$3.8416,"$2,683,580,296","$11,246,839,056"
Sui,SUI,"Dec 08, 2024",$4.3201,$4.3935,$4.1289,$4.2140,"$1,109,717,414","$12,337,130,962"
Sui,SUI,"Dec 07, 2024",$4.2204,$4.4374,$4.1649,$4.2577,"$1,530,219,199","$12,465,095,166"
Sui,SUI,"Dec 06, 2024",$4.2188,$4.4655,$4.0933,$4.2204,"$2,685,942,498","$12,355,961,369"
Sui,SUI,"Dec 05, 2024",$3.6799,$4.4264,$3.5463,$4.2399,"$4,420,924,988","$12,411,886,293"
Sui,SUI,"Dec 04, 2024",$3.7028,$3.7730,$3.5489,$3.6799,"$1,807,131,208","$10,773,404,336"
Sui,SUI,"Dec 03, 2024",$3.3901,$3.8319,$3.3285,$3.7030,"$3,391,080,407","$10,840,467,696"
Sui,SUI,"Dec 02, 2024",$3.4720,$3.4829,$3.1854,$3.3900,"$1,284,362,713","$9,924,737,727"
Sui,SUI,"Dec 01, 2024",$3.4830,$3.5279,$3.3408,$3.4720,"$882,987,142","$10,164,876,989"
Sui,SUI,"Nov 30, 2024",$3.4857,$3.5299,$3.4184,$3.4830,"$842,574,764","$9,911,724,067"
Sui,SUI,"Nov 29, 2024",$3.4463,$3.5492,$3.3625,$3.4857,"$1,125,396,328","$9,919,491,492"
Sui,SUI,"Nov 28, 2024",$3.4380,$3.6501,$3.4016,$3.4463,"$1,311,485,045","$9,807,201,805"
Sui,SUI,"Nov 27, 2024",$3.4757,$3.5020,$3.2809,$3.4380,"$1,330,512,285","$9,783,810,627"
Sui,SUI,"Nov 26, 2024",$3.1938,$3.5212,$2.9857,$3.4756,"$2,286,181,594","$9,890,812,324"
Sui,SUI,"Nov 25, 2024",$3.3907,$3.4802,$3.1143,$3.1938,"$1,645,349,483","$9,088,664,974"
Sui,SUI,"Nov 24, 2024",$3.4385,$3.5678,$3.1928,$3.3907,"$1,603,861,375","$9,645,301,364"
Sui,SUI,"Nov 23, 2024",$3.5661,$3.6556,$3.3602,$3.4385,"$1,666,967,494","$9,785,185,109"
Sui,SUI,"Nov 22, 2024",$3.6349,$3.6515,$3.4084,$3.5660,"$1,467,639,421","$10,148,037,812"
Sui,SUI,"Nov 21, 2024",$3.5290,$3.6755,$3.3444,$3.6348,"$1,864,497,419","$10,343,834,197"
Sui,SUI,"Nov 20, 2024",$3.7328,$3.8389,$3.4363,$3.5289,"$1,589,565,695","$10,042,498,838"
Sui,SUI,"Nov 19, 2024",$3.7029,$3.8407,$3.6167,$3.7328,"$1,285,026,301","$10,622,756,923"
Sui,SUI,"Nov 18, 2024",$3.7930,$3.8974,$3.6130,$3.7029,"$1,521,198,112","$10,537,552,001"
Sui,SUI,"Nov 17, 2024",$3.7628,$3.9272,$3.5920,$3.7933,"$1,972,931,401","$10,794,848,485"
Sui,SUI,"Nov 16, 2024",$3.6107,$3.9183,$3.5936,$3.7625,"$2,021,106,010","$10,707,924,541"
Sui,SUI,"Nov 15, 2024",$3.3479,$3.6602,$3.1132,$3.6573,"$1,982,879,463","$10,407,835,442"
Sui,SUI,"Nov 14, 2024",$3.3029,$3.5116,$3.2612,$3.3478,"$2,305,980,784","$9,524,709,136"
Sui,SUI,"Nov 13, 2024",$3.2240,$3.4260,$2.8713,$3.3029,"$2,984,887,230","$9,399,282,741"
Sui,SUI,"Nov 12, 2024",$3.2659,$3.3057,$2.8596,$3.2240,"$2,843,663,537","$9,174,782,925"
Sui,SUI,"Nov 11, 2024",$3.0364,$3.2999,$3.0332,$3.2659,"$3,267,602,180","$9,293,857,571"
Sui,SUI,"Nov 10, 2024",$2.7671,$3.1356,$2.7056,$3.0367,"$3,095,207,886","$8,640,739,365"
Sui,SUI,"Nov 09, 2024",$2.2898,$2.8052,$2.2331,$2.7664,"$1,499,015,821","$7,874,359,193"
Sui,SUI,"Nov 08, 2024",$2.3176,$2.3688,$2.2104,$2.2898,"$904,125,907","$6,516,202,815"
Sui,SUI,"Nov 07, 2024",$2.3055,$2.3785,$2.2145,$2.3175,"$1,054,489,773","$6,595,290,291"
Sui,SUI,"Nov 06, 2024",$2.0081,$2.3390,$2.0058,$2.3056,"$2,008,489,554","$6,561,006,677"
Sui,SUI,"Nov 05, 2024",$1.8500,$2.0566,$1.8448,$2.0081,"$801,418,062","$5,714,687,809"
Sui,SUI,"Nov 04, 2024",$1.9498,$1.9571,$1.7967,$1.8500,"$631,042,553","$5,264,698,538"
Sui,SUI,"Nov 03, 2024",$1.9090,$1.9561,$1.7873,$1.9498,"$642,078,820","$5,548,538,607"
Sui,SUI,"Nov 02, 2024",$1.9899,$2.0206,$1.8726,$1.9090,"$432,628,625","$5,432,609,744"
Sui,SUI,"Nov 01, 2024",$1.9707,$2.0957,$1.9182,$1.9899,"$914,623,154","$5,662,730,396"
Sui,SUI,"Oct 31, 2024",$2.0852,$2.0883,$1.9420,$1.9707,"$719,221,128","$5,446,592,317"
Sui,SUI,"Oct 30, 2024",$2.0716,$2.1221,$1.9855,$2.0853,"$924,341,339","$5,763,292,296"
Sui,SUI,"Oct 29, 2024",$1.7759,$2.0892,$1.7676,$2.0714,"$1,379,806,891","$5,725,466,305"
Sui,SUI,"Oct 28, 2024",$1.7530,$1.7810,$1.6118,$1.7758,"$785,376,599","$4,908,276,347"
Sui,SUI,"Oct 27, 2024",$1.7947,$1.8228,$1.7256,$1.7530,"$411,820,466","$4,845,110,066"
Sui,SUI,"Oct 26, 2024",$1.7470,$1.8394,$1.7009,$1.7947,"$563,876,017","$4,960,333,060"
Sui,SUI,"Oct 25, 2024",$1.9348,$1.9391,$1.6807,$1.7470,"$699,376,540","$4,828,558,618"
Sui,SUI,"Oct 24, 2024",$1.9775,$2.0457,$1.9279,$1.9348,"$587,384,661","$5,347,460,142"
Sui,SUI,"Oct 23, 2024",$1.9345,$1.9904,$1.8677,$1.9660,"$655,651,204","$5,433,668,341"
Sui,SUI,"Oct 22, 2024",$2.0144,$2.0279,$1.8817,$1.9345,"$677,071,296","$5,346,666,774"
Sui,SUI,"Oct 21, 2024",$2.1276,$2.1715,$2.0017,$2.0140,"$652,647,175","$5,567,585,300"
Sui,SUI,"Oct 20, 2024",$2.0635,$2.1474,$2.0464,$2.1275,"$572,459,382","$5,880,331,963"
Sui,SUI,"Oct 19, 2024",$2.1291,$2.1291,$2.0476,$2.0635,"$395,642,808","$5,703,261,469"
Sui,SUI,"Oct 18, 2024",$2.0232,$2.1487,$2.0142,$2.1291,"$635,601,005","$5,884,366,330"
Sui,SUI,"Oct 17, 2024",$2.0861,$2.1588,$2.0062,$2.0232,"$702,190,543","$5,591,921,272"
Sui,SUI,"Oct 16, 2024",$2.0554,$2.1489,$1.9816,$2.0859,"$910,098,444","$5,765,038,593"
Sui,SUI,"Oct 15, 2024",$2.2487,$2.2648,$1.9921,$2.0554,"$1,451,894,059","$5,680,761,230"
Sui,SUI,"Oct 14, 2024",$2.3417,$2.3439,$2.2169,$2.2487,"$1,079,566,979","$6,215,140,664"
Sui,SUI,"Oct 13, 2024",$2.2430,$2.3587,$2.1327,$2.3416,"$1,067,719,075","$6,471,893,841"
Sui,SUI,"Oct 12, 2024",$2.0523,$2.2844,$2.0064,$2.2430,"$1,112,021,010","$6,199,332,572"
Sui,SUI,"Oct 11, 2024",$1.8344,$2.0770,$1.7965,$2.0523,"$963,975,114","$5,672,141,580"
Sui,SUI,"Oct 10, 2024",$1.8748,$1.8990,$1.7523,$1.8342,"$804,190,033","$5,070,297,153"
Sui,SUI,"Oct 09, 2024",$1.9871,$1.9912,$1.8479,$1.8748,"$866,068,512","$5,181,674,175"
Sui,SUI,"Oct 08, 2024",$2.0165,$2.1291,$1.9379,$1.9871,"$1,181,075,973","$5,491,977,360"
Sui,SUI,"Oct 07, 2024",$1.8415,$2.1569,$1.8393,$2.0165,"$1,449,955,654","$5,573,350,652"
Sui,SUI,"Oct 06, 2024",$1.7555,$1.8632,$1.7123,$1.8415,"$599,611,638","$5,089,601,067"
Sui,SUI,"Oct 05, 2024",$1.7698,$1.7852,$1.6954,$1.7555,"$487,165,362","$4,851,892,613"
Sui,SUI,"Oct 04, 2024",$1.6669,$1.8167,$1.6303,$1.7698,"$1,091,720,504","$4,891,564,750"
Sui,SUI,"Oct 03, 2024",$1.8563,$1.9910,$1.6162,$1.6669,"$1,575,256,177","$4,607,172,759"
Sui,SUI,"Oct 02, 2024",$1.7611,$1.9259,$1.7424,$1.8552,"$1,209,227,297","$5,127,377,761"
Sui,SUI,"Oct 01, 2024",$1.7781,$1.9276,$1.6926,$1.7611,"$1,375,230,583","$4,867,389,577"
Sui,SUI,"Sep 30, 2024",$1.7597,$1.8337,$1.7045,$1.7781,"$705,275,222","$4,765,356,149"
Sui,SUI,"Sep 29, 2024",$1.6874,$1.8444,$1.6308,$1.7597,"$773,791,081","$4,715,966,856"
Sui,SUI,"Sep 28, 2024",$1.6586,$1.6914,$1.6113,$1.6874,"$358,472,002","$4,522,129,341"
Sui,SUI,"Sep 27, 2024",$1.6451,$1.7313,$1.6239,$1.6586,"$604,458,207","$4,445,025,447"
Sui,SUI,"Sep 26, 2024",$1.6994,$1.7515,$1.6113,$1.6451,"$788,227,773","$4,408,914,926"
Sui,SUI,"Sep 25, 2024",$1.7446,$1.7715,$1.6725,$1.6994,"$676,839,074","$4,554,255,671"
Sui,SUI,"Sep 24, 2024",$1.5345,$1.7898,$1.5028,$1.7446,"$984,276,874","$4,675,467,739"
Sui,SUI,"Sep 23, 2024",$1.5872,$1.6445,$1.5112,$1.5345,"$692,952,452","$4,112,395,676"
Sui,SUI,"Sep 22, 2024",$1.4862,$1.6261,$1.4261,$1.5872,"$801,891,140","$4,253,625,384"
Sui,SUI,"Sep 21, 2024",$1.4686,$1.5091,$1.4365,$1.4862,"$460,566,182","$3,982,854,877"
Sui,SUI,"Sep 20, 2024",$1.3824,$1.5706,$1.3535,$1.4686,"$973,019,025","$3,935,661,844"
Sui,SUI,"Sep 19, 2024",$1.3091,$1.4052,$1.3091,$1.3824,"$762,114,258","$3,704,813,115"
Sui,SUI,"Sep 18, 2024",$1.1704,$1.3091,$1.1466,$1.3091,"$780,268,510","$3,508,259,082"
Sui,SUI,"Sep 17, 2024",$1.0426,$1.1873,$1.0209,$1.1704,"$609,238,013","$3,136,558,127"
