Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Virtual Protocol,VIRTUAL,"Feb 18, 2025",$1.1521,$1.1611,$0.956,$1.0025,"$134,255,187","$650,078,516"
Virtual Protocol,VIRTUAL,"Feb 17, 2025",$1.2537,$1.2685,$1.1319,$1.1521,"$110,506,396","$746,676,328"
Virtual Protocol,VIRTUAL,"Feb 16, 2025",$1.2988,$1.3206,$1.2487,$1.2537,"$92,598,017","$812,480,545"
Virtual Protocol,VIRTUAL,"Feb 15, 2025",$1.4053,$1.4060,$1.2878,$1.2988,"$100,612,016","$841,734,318"
Virtual Protocol,VIRTUAL,"Feb 14, 2025",$1.2809,$1.4738,$1.2713,$1.4053,"$189,488,668","$910,667,334"
Virtual Protocol,VIRTUAL,"Feb 13, 2025",$1.3820,$1.4214,$1.2630,$1.2809,"$148,400,002","$830,014,887"
Virtual Protocol,VIRTUAL,"Feb 12, 2025",$1.3209,$1.3868,$1.1978,$1.3821,"$239,893,043","$895,617,612"
Virtual Protocol,VIRTUAL,"Feb 11, 2025",$1.1894,$1.4422,$1.1894,$1.3209,"$290,907,802","$855,922,673"
Virtual Protocol,VIRTUAL,"Feb 10, 2025",$1.1290,$1.2610,$1.0896,$1.1894,"$147,657,940","$770,722,949"
Virtual Protocol,VIRTUAL,"Feb 09, 2025",$1.2494,$1.2754,$1.0881,$1.1290,"$108,682,828","$731,560,254"
Virtual Protocol,VIRTUAL,"Feb 08, 2025",$1.1420,$1.2582,$1.1398,$1.2494,"$115,718,200","$809,476,975"
Virtual Protocol,VIRTUAL,"Feb 07, 2025",$1.1563,$1.3588,$1.1179,$1.1418,"$180,157,813","$739,774,435"
Virtual Protocol,VIRTUAL,"Feb 06, 2025",$1.2944,$1.3459,$1.1182,$1.1563,"$200,168,313","$748,631,137"
Virtual Protocol,VIRTUAL,"Feb 05, 2025",$1.4364,$1.5258,$1.2862,$1.2946,"$159,528,194","$838,159,892"
Virtual Protocol,VIRTUAL,"Feb 04, 2025",$1.5874,$1.6184,$1.4054,$1.4364,"$172,870,236","$927,743,645"
Virtual Protocol,VIRTUAL,"Feb 03, 2025",$1.4368,$1.5908,$1.1353,$1.5874,"$335,123,143","$1,025,255,330"
Virtual Protocol,VIRTUAL,"Feb 02, 2025",$1.6011,$1.6735,$1.3857,$1.4368,"$256,056,287","$927,924,090"
Virtual Protocol,VIRTUAL,"Feb 01, 2025",$1.9660,$2.0749,$1.5909,$1.6011,"$324,010,393","$1,034,029,979"
Virtual Protocol,VIRTUAL,"Jan 31, 2025",$2.0176,$2.4452,$1.9599,$1.9660,"$739,973,614","$1,269,718,143"
Virtual Protocol,VIRTUAL,"Jan 30, 2025",$1.9381,$2.1262,$1.8940,$2.0176,"$152,883,377","$1,303,001,154"
Virtual Protocol,VIRTUAL,"Jan 29, 2025",$1.8651,$2.1021,$1.8651,$1.9381,"$153,031,149","$1,251,644,894"
