Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Bitcoin Cash,BCH,"Feb 17, 2025",$326.47,$336.38,$317.99,$323.64,"$271,156,083","$6,417,995,115"
Bitcoin Cash,BCH,"Feb 16, 2025",$332.81,$334.73,$326.36,$326.47,"$188,181,161","$6,473,984,338"
Bitcoin Cash,BCH,"Feb 15, 2025",$341.63,$345.61,$331.45,$332.81,"$194,011,933","$6,599,582,728"
Bitcoin Cash,BCH,"Feb 14, 2025",$335.35,$350.43,$334.87,$341.63,"$246,694,060","$6,774,283,698"
Bitcoin Cash,BCH,"Feb 13, 2025",$343.06,$345.32,$328.35,$335.35,"$258,121,099","$6,649,583,098"
Bitcoin Cash,BCH,"Feb 12, 2025",$331.40,$346.41,$323.61,$343.05,"$280,974,652","$6,802,385,868"
Bitcoin Cash,BCH,"Feb 11, 2025",$329.03,$343.88,$326.26,$331.40,"$233,949,040","$6,570,976,779"
Bitcoin Cash,BCH,"Feb 10, 2025",$324.88,$334.15,$316.89,$329.03,"$239,642,715","$6,523,895,184"
Bitcoin Cash,BCH,"Feb 09, 2025",$323.50,$328.88,$313.36,$324.89,"$215,414,667","$6,441,518,162"
Bitcoin Cash,BCH,"Feb 08, 2025",$318.46,$324.29,$315.69,$323.51,"$188,643,537","$6,414,014,224"
Bitcoin Cash,BCH,"Feb 07, 2025",$315.98,$334.97,$309.42,$318.46,"$276,800,126","$6,313,800,951"
Bitcoin Cash,BCH,"Feb 06, 2025",$327.99,$334.92,$314.78,$315.98,"$254,750,213","$6,264,627,464"
Bitcoin Cash,BCH,"Feb 05, 2025",$330.68,$337.99,$323.86,$327.99,"$261,078,049","$6,502,581,412"
Bitcoin Cash,BCH,"Feb 04, 2025",$353.21,$355.34,$322.07,$330.68,"$359,848,862","$6,555,639,321"
Bitcoin Cash,BCH,"Feb 03, 2025",$359.78,$360.32,$289.74,$353.21,"$875,556,667","$7,002,226,266"
Bitcoin Cash,BCH,"Feb 02, 2025",$404.39,$410.11,$347.91,$359.78,"$514,459,348","$7,132,316,069"
Bitcoin Cash,BCH,"Feb 01, 2025",$424.24,$430.91,$401.12,$404.39,"$279,447,559","$8,016,551,393"
Bitcoin Cash,BCH,"Jan 31, 2025",$434.85,$444.54,$420.58,$424.24,"$291,331,116","$8,409,903,250"
Bitcoin Cash,BCH,"Jan 30, 2025",$414.93,$438.83,$413.34,$434.87,"$273,589,657","$8,620,429,858"
Bitcoin Cash,BCH,"Jan 29, 2025",$410.59,$420.96,$405.21,$414.93,"$261,734,295","$8,224,993,514"
Bitcoin Cash,BCH,"Jan 28, 2025",$426.98,$430.62,$407.45,$410.59,"$239,574,617","$8,138,717,823"
Bitcoin Cash,BCH,"Jan 27, 2025",$425.60,$428.26,$398.05,$426.98,"$419,819,358","$8,463,356,339"
Bitcoin Cash,BCH,"Jan 26, 2025",$445.29,$447.67,$425.56,$425.60,"$221,197,470","$8,435,781,264"
Bitcoin Cash,BCH,"Jan 25, 2025",$431.72,$453.87,$431.28,$445.28,"$279,385,877","$8,825,925,535"
Bitcoin Cash,BCH,"Jan 24, 2025",$437.44,$442.03,$426.93,$431.72,"$274,041,524","$8,556,836,015"
Bitcoin Cash,BCH,"Jan 23, 2025",$434.75,$446.42,$425.86,$437.46,"$333,292,464","$8,669,699,691"
Bitcoin Cash,BCH,"Jan 22, 2025",$446.29,$450.63,$434.52,$434.77,"$243,291,373","$8,616,423,130"
Bitcoin Cash,BCH,"Jan 21, 2025",$431.22,$453.64,$420.64,$446.29,"$321,862,327","$8,844,928,980"
Bitcoin Cash,BCH,"Jan 20, 2025",$426.29,$472.09,$417.64,$431.22,"$634,836,087","$8,546,068,067"
Bitcoin Cash,BCH,"Jan 19, 2025",$466.14,$470.20,$422.79,$426.28,"$605,577,025","$8,448,277,713"
Bitcoin Cash,BCH,"Jan 18, 2025",$489.72,$494.12,$459.28,$466.13,"$544,203,117","$9,237,709,733"
Bitcoin Cash,BCH,"Jan 17, 2025",$461.88,$499.62,$461.72,$489.72,"$583,682,548","$9,704,893,991"
Bitcoin Cash,BCH,"Jan 16, 2025",$461.02,$470.82,$448.31,$461.89,"$427,794,865","$9,152,883,303"
Bitcoin Cash,BCH,"Jan 15, 2025",$438.07,$462.87,$431.25,$461.02,"$313,541,748","$9,135,606,184"
Bitcoin Cash,BCH,"Jan 14, 2025",$428.08,$440.43,$426.48,$438.08,"$245,246,168","$8,680,794,107"
