Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Chainlink,LINK,"Feb 17, 2025",$18.71,$19.77,$18.50,$19.10,"$501,421,048","$12,187,628,678"
Chainlink,LINK,"Feb 16, 2025",$18.98,$19.23,$18.62,$18.71,"$271,286,026","$11,935,756,001"
Chainlink,LINK,"Feb 15, 2025",$19.41,$19.63,$18.77,$18.98,"$279,323,677","$12,113,173,757"
Chainlink,LINK,"Feb 14, 2025",$18.56,$19.81,$18.48,$19.41,"$444,394,414","$12,387,978,500"
Chainlink,LINK,"Feb 13, 2025",$19.18,$19.31,$18.24,$18.56,"$371,819,159","$11,842,075,597"
Chainlink,LINK,"Feb 12, 2025",$18.64,$19.45,$17.81,$19.18,"$613,343,794","$12,239,408,055"
Chainlink,LINK,"Feb 11, 2025",$18.77,$19.76,$18.31,$18.64,"$495,570,806","$11,895,653,038"
Chainlink,LINK,"Feb 10, 2025",$18.30,$19.09,$17.72,$18.77,"$427,544,711","$11,974,854,094"
Chainlink,LINK,"Feb 09, 2025",$18.46,$18.97,$17.49,$18.31,"$402,859,007","$11,680,317,280"
Chainlink,LINK,"Feb 08, 2025",$18.39,$18.58,$17.93,$18.46,"$311,371,217","$11,782,074,272"
Chainlink,LINK,"Feb 07, 2025",$18.59,$19.79,$17.84,$18.39,"$604,860,660","$11,732,698,522"
Chainlink,LINK,"Feb 06, 2025",$19.20,$19.89,$18.49,$18.59,"$523,730,063","$11,865,127,429"
Chainlink,LINK,"Feb 05, 2025",$20.06,$20.25,$19.03,$19.20,"$624,337,905","$12,254,163,139"
Chainlink,LINK,"Feb 04, 2025",$21.64,$21.69,$19.37,$20.06,"$1,048,262,867","$12,802,340,771"
Chainlink,LINK,"Feb 03, 2025",$20.43,$21.98,$16.35,$21.64,"$2,756,991,354","$13,810,663,987"
Chainlink,LINK,"Feb 02, 2025",$23.05,$23.29,$19.60,$20.43,"$1,251,773,899","$13,035,328,112"
Chainlink,LINK,"Feb 01, 2025",$25.15,$25.92,$22.84,$23.05,"$634,426,010","$14,707,016,597"
Chainlink,LINK,"Jan 31, 2025",$24.47,$26.26,$24.18,$25.15,"$778,500,220","$16,047,154,036"
Chainlink,LINK,"Jan 30, 2025",$23.62,$25.16,$23.47,$24.47,"$592,604,517","$15,616,736,692"
Chainlink,LINK,"Jan 29, 2025",$22.62,$24.42,$22.38,$23.62,"$742,845,725","$15,073,750,985"
Chainlink,LINK,"Jan 28, 2025",$24.15,$24.62,$22.42,$22.62,"$620,292,730","$14,431,139,937"
Chainlink,LINK,"Jan 27, 2025",$24.91,$25.08,$22.24,$24.15,"$1,167,837,939","$15,409,495,578"
Chainlink,LINK,"Jan 26, 2025",$24.92,$26.36,$24.90,$24.91,"$559,922,551","$15,896,182,275"
Chainlink,LINK,"Jan 25, 2025",$25.19,$25.39,$24.75,$24.92,"$432,619,000","$15,904,590,177"
Chainlink,LINK,"Jan 24, 2025",$25.65,$26.38,$24.97,$25.19,"$753,379,589","$16,073,526,640"
Chainlink,LINK,"Jan 23, 2025",$25.29,$26.09,$24.03,$25.66,"$1,122,706,692","$16,368,070,042"
Chainlink,LINK,"Jan 22, 2025",$26.60,$27.01,$25.23,$25.29,"$682,045,028","$16,138,025,102"
Chainlink,LINK,"Jan 21, 2025",$25.07,$27.03,$23.72,$26.59,"$1,503,292,294","$16,970,538,401"
Chainlink,LINK,"Jan 20, 2025",$24.25,$26.79,$23.48,$25.07,"$2,772,617,759","$15,996,448,927"
Chainlink,LINK,"Jan 19, 2025",$24.11,$26.56,$22.27,$24.25,"$2,207,793,074","$15,473,382,464"
Chainlink,LINK,"Jan 18, 2025",$25.11,$25.61,$23.41,$24.11,"$985,292,868","$15,386,442,064"
Chainlink,LINK,"Jan 17, 2025",$23.01,$25.20,$23.00,$25.11,"$830,368,719","$16,024,448,755"
Chainlink,LINK,"Jan 16, 2025",$22.11,$23.71,$21.34,$23.01,"$985,313,277","$14,679,824,310"
Chainlink,LINK,"Jan 15, 2025",$20.31,$22.13,$20.12,$22.11,"$771,864,744","$14,111,032,854"
Chainlink,LINK,"Jan 14, 2025",$19.36,$20.47,$19.28,$20.31,"$471,632,306","$12,959,836,618"
Chainlink,LINK,"Jan 13, 2025",$19.84,$20.38,$17.95,$19.36,"$883,044,871","$12,354,446,382"
Chainlink,LINK,"Jan 12, 2025",$20.19,$20.30,$19.61,$19.84,"$364,944,821","$12,658,205,581"
Chainlink,LINK,"Jan 11, 2025",$20.27,$20.67,$19.85,$20.19,"$382,790,796","$12,884,900,834"
Chainlink,LINK,"Jan 10, 2025",$19.65,$20.50,$19.59,$20.27,"$680,376,562","$12,932,066,925"
Chainlink,LINK,"Jan 09, 2025",$20.46,$20.70,$19.21,$19.65,"$722,680,069","$12,535,952,314"
Chainlink,LINK,"Jan 08, 2025",$21.39,$21.68,$19.71,$20.46,"$897,360,357","$13,052,447,673"
Chainlink,LINK,"Jan 07, 2025",$23.82,$23.83,$21.26,$21.39,"$982,938,164","$13,652,006,372"
Chainlink,LINK,"Jan 06, 2025",$23.63,$24.72,$23.06,$23.82,"$947,119,470","$15,199,772,784"
Chainlink,LINK,"Jan 05, 2025",$23.61,$23.77,$22.90,$23.64,"$503,863,576","$15,081,390,376"
Chainlink,LINK,"Jan 04, 2025",$23.40,$23.98,$22.91,$23.61,"$605,411,727","$15,067,317,039"
Chainlink,LINK,"Jan 03, 2025",$22.04,$23.86,$21.69,$23.40,"$902,211,829","$14,930,549,275"
Chainlink,LINK,"Jan 02, 2025",$21.67,$22.83,$21.67,$22.04,"$893,194,042","$14,064,002,247"
Chainlink,LINK,"Jan 01, 2025",$20.00,$21.77,$19.71,$21.67,"$670,017,230","$13,830,679,513"
Chainlink,LINK,"Dec 31, 2024",$20.58,$21.07,$19.86,$20.00,"$597,468,330","$12,762,742,365"
Chainlink,LINK,"Dec 30, 2024",$20.94,$21.73,$20.10,$20.58,"$728,410,628","$13,134,076,836"
Chainlink,LINK,"Dec 29, 2024",$21.97,$21.97,$20.78,$20.94,"$456,858,346","$13,360,856,981"
Chainlink,LINK,"Dec 28, 2024",$21.53,$22.28,$21.06,$21.97,"$729,747,342","$14,016,559,103"
Chainlink,LINK,"Dec 27, 2024",$22.65,$23.62,$21.40,$21.53,"$829,602,107","$13,737,660,784"
Chainlink,LINK,"Dec 26, 2024",$24.43,$24.64,$22.46,$22.65,"$756,276,597","$14,454,364,589"
Chainlink,LINK,"Dec 25, 2024",$25.44,$25.53,$24.21,$24.43,"$815,332,957","$15,589,284,907"
Chainlink,LINK,"Dec 24, 2024",$24.48,$25.93,$23.59,$25.44,"$1,325,641,262","$16,232,938,653"
Chainlink,LINK,"Dec 23, 2024",$22.05,$24.89,$21.55,$24.48,"$1,418,414,647","$15,620,090,064"
Chainlink,LINK,"Dec 22, 2024",$22.13,$22.69,$21.38,$22.05,"$760,283,071","$14,068,673,488"
Chainlink,LINK,"Dec 21, 2024",$23.36,$24.89,$21.85,$22.13,"$1,290,476,904","$14,118,707,590"
Chainlink,LINK,"Dec 20, 2024",$22.89,$23.64,$20.06,$23.36,"$2,000,689,009","$14,908,937,395"
Chainlink,LINK,"Dec 19, 2024",$24.89,$25.55,$21.84,$22.89,"$2,183,321,673","$14,349,952,737"
Chainlink,LINK,"Dec 18, 2024",$27.82,$28.28,$24.80,$24.89,"$1,830,073,362","$15,603,105,912"
Chainlink,LINK,"Dec 17, 2024",$28.74,$28.98,$27.46,$27.82,"$1,448,603,677","$17,442,000,575"
Chainlink,LINK,"Dec 16, 2024",$29.22,$30.72,$28.45,$28.74,"$2,177,945,359","$18,018,290,043"
Chainlink,LINK,"Dec 15, 2024",$29.11,$29.74,$28.06,$29.22,"$1,417,091,998","$18,319,380,398"
Chainlink,LINK,"Dec 14, 2024",$29.02,$30.69,$28.80,$29.11,"$2,225,370,019","$18,248,930,215"
Chainlink,LINK,"Dec 13, 2024",$29.28,$30.81,$27.63,$29.02,"$2,694,601,058","$18,193,781,626"
Chainlink,LINK,"Dec 12, 2024",$24.09,$29.37,$23.96,$29.29,"$3,621,233,210","$18,357,268,796"
Chainlink,LINK,"Dec 11, 2024",$22.22,$24.30,$21.22,$24.09,"$1,251,318,584","$15,102,744,595"
Chainlink,LINK,"Dec 10, 2024",$22.35,$23.73,$20.38,$22.22,"$2,284,650,070","$13,926,382,783"
Chainlink,LINK,"Dec 09, 2024",$26.14,$27.26,$20.42,$22.35,"$3,032,910,891","$14,007,732,141"
Chainlink,LINK,"Dec 08, 2024",$24.99,$27.37,$24.73,$26.14,"$1,667,077,604","$16,388,643,020"
Chainlink,LINK,"Dec 07, 2024",$25.81,$26.77,$24.50,$24.80,"$1,206,894,646","$15,546,171,826"
Chainlink,LINK,"Dec 06, 2024",$23.17,$25.92,$22.89,$25.81,"$1,464,133,424","$16,179,656,164"
Chainlink,LINK,"Dec 05, 2024",$24.11,$24.73,$23.05,$23.40,"$1,655,548,492","$14,671,022,703"
Chainlink,LINK,"Dec 04, 2024",$24.22,$26.32,$23.69,$24.11,"$2,233,316,427","$15,110,436,334"
Chainlink,LINK,"Dec 03, 2024",$25.09,$26.11,$22.99,$24.22,"$3,344,542,573","$15,181,254,326"
Chainlink,LINK,"Dec 02, 2024",$18.89,$26.50,$18.66,$25.09,"$8,935,516,000","$15,728,692,079"
Chainlink,LINK,"Dec 01, 2024",$19.02,$19.08,$18.48,$18.89,"$638,179,234","$11,840,965,290"
Chainlink,LINK,"Nov 30, 2024",$18.29,$19.40,$17.98,$19.02,"$726,534,738","$11,924,219,857"
Chainlink,LINK,"Nov 29, 2024",$17.96,$18.38,$17.56,$18.29,"$522,913,952","$11,464,961,306"
Chainlink,LINK,"Nov 28, 2024",$18.70,$18.70,$17.53,$17.96,"$627,681,116","$11,258,820,965"
Chainlink,LINK,"Nov 27, 2024",$17.34,$18.97,$17.02,$18.70,"$946,737,979","$11,720,031,731"
Chainlink,LINK,"Nov 26, 2024",$17.39,$17.80,$16.26,$17.34,"$879,962,495","$10,868,856,228"
Chainlink,LINK,"Nov 25, 2024",$17.94,$19.00,$17.19,$17.39,"$1,289,484,781","$10,898,947,805"
Chainlink,LINK,"Nov 24, 2024",$17.39,$18.29,$16.25,$17.94,"$1,141,728,333","$11,249,848,155"
Chainlink,LINK,"Nov 23, 2024",$16.53,$18.25,$16.35,$17.39,"$1,521,291,265","$10,898,043,103"
Chainlink,LINK,"Nov 22, 2024",$14.91,$16.55,$14.76,$16.53,"$1,153,932,720","$10,362,977,819"
Chainlink,LINK,"Nov 21, 2024",$14.25,$15.36,$13.88,$14.91,"$781,024,436","$9,345,270,867"
