Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Ethereum,ETH,"Feb 17, 2025","$2,663.23","$2,848.78","$2,640.18","$2,743.20","$24,170,425,078","$330,685,856,664"
Ethereum,ETH,"Feb 16, 2025","$2,693.56","$2,724.10","$2,655.30","$2,663.32","$10,593,602,117","$321,059,394,508"
Ethereum,ETH,"Feb 15, 2025","$2,726.07","$2,738.68","$2,668.53","$2,693.56","$10,803,019,357","$324,709,649,979"
Ethereum,ETH,"Feb 14, 2025","$2,675.94","$2,790.02","$2,666.27","$2,726.09","$17,732,289,901","$328,622,196,511"
Ethereum,ETH,"Feb 13, 2025","$2,737.03","$2,756.44","$2,615.67","$2,675.90","$19,481,004,625","$322,572,193,660"
Ethereum,ETH,"Feb 12, 2025","$2,602.83","$2,794.87","$2,551.17","$2,736.90","$26,919,387,954","$329,929,838,677"
Ethereum,ETH,"Feb 11, 2025","$2,661.32","$2,724.90","$2,565.40","$2,602.78","$21,156,550,492","$313,746,757,409"
Ethereum,ETH,"Feb 10, 2025","$2,628.65","$2,692.81","$2,564.02","$2,661.17","$19,414,208,113","$320,790,228,234"
Ethereum,ETH,"Feb 09, 2025","$2,632.58","$2,695.22","$2,530.44","$2,628.72","$17,517,088,276","$316,846,464,962"
Ethereum,ETH,"Feb 08, 2025","$2,623.00","$2,665.48","$2,591.78","$2,632.31","$17,059,263,074","$317,313,322,583"
Ethereum,ETH,"Feb 07, 2025","$2,688.90","$2,798.03","$2,564.97","$2,622.21","$29,526,663,418","$316,152,808,964"
Ethereum,ETH,"Feb 06, 2025","$2,787.66","$2,857.14","$2,662.45","$2,688.40","$29,500,645,692","$324,089,046,457"
Ethereum,ETH,"Feb 05, 2025","$2,735.23","$2,824.40","$2,701.10","$2,787.78","$31,960,764,447","$335,986,076,952"
Ethereum,ETH,"Feb 04, 2025","$2,883.82","$2,888.25","$2,636.17","$2,735.05","$48,795,275,985","$329,660,191,677"
Ethereum,ETH,"Feb 03, 2025","$2,868.08","$2,919.48","$2,159.28","$2,884.57","$92,453,553,253","$347,599,890,746"
Ethereum,ETH,"Feb 02, 2025","$3,118.61","$3,161.89","$2,755.47","$2,868.69","$42,060,930,305","$345,669,689,994"
Ethereum,ETH,"Feb 01, 2025","$3,298.82","$3,329.66","$3,103.92","$3,118.33","$19,917,507,079","$375,857,159,373"
Ethereum,ETH,"Jan 31, 2025","$3,247.87","$3,437.57","$3,214.94","$3,298.27","$30,128,115,902","$397,569,451,844"
Ethereum,ETH,"Jan 30, 2025","$3,113.29","$3,282.99","$3,093.12","$3,247.78","$19,958,405,782","$391,410,452,939"
Ethereum,ETH,"Jan 29, 2025","$3,076.38","$3,177.98","$3,055.18","$3,113.00","$22,727,786,058","$375,160,006,592"
Ethereum,ETH,"Jan 28, 2025","$3,179.09","$3,222.74","$3,040.09","$3,077.11","$20,718,206,194","$370,740,830,465"
Ethereum,ETH,"Jan 27, 2025","$3,235.86","$3,250.40","$3,024.09","$3,178.92","$39,412,486,482","$383,113,389,154"
Ethereum,ETH,"Jan 26, 2025","$3,317.29","$3,359.31","$3,233.92","$3,236.13","$14,471,528,757","$389,947,457,707"
Ethereum,ETH,"Jan 25, 2025","$3,309.71","$3,349.30","$3,270.27","$3,317.27","$13,744,316,078","$399,754,944,022"
Ethereum,ETH,"Jan 24, 2025","$3,334.81","$3,424.90","$3,277.32","$3,309.55","$25,578,325,671","$398,836,213,929"
Ethereum,ETH,"Jan 23, 2025","$3,240.48","$3,346.73","$3,184.07","$3,334.71","$32,419,520,084","$402,178,405,888"
Ethereum,ETH,"Jan 22, 2025","$3,327.24","$3,364.75","$3,223.39","$3,240.22","$22,171,220,981","$390,482,951,805"
Ethereum,ETH,"Jan 21, 2025","$3,278.44","$3,365.78","$3,202.49","$3,327.41","$32,804,001,146","$400,934,387,859"
Ethereum,ETH,"Jan 20, 2025","$3,208.93","$3,444.28","$3,147.52","$3,278.04","$52,383,187,336","$395,057,207,035"
Ethereum,ETH,"Jan 19, 2025","$3,305.40","$3,444.21","$3,127.62","$3,208.96","$57,242,875,399","$386,687,337,500"
Ethereum,ETH,"Jan 18, 2025","$3,473.56","$3,493.06","$3,228.33","$3,305.79","$32,420,094,038","$398,307,983,549"
Ethereum,ETH,"Jan 17, 2025","$3,308.19","$3,525.54","$3,307.31","$3,474.11","$28,200,207,229","$418,566,494,049"
Ethereum,ETH,"Jan 16, 2025","$3,450.31","$3,458.18","$3,265.68","$3,308.35","$26,395,516,475","$398,632,884,532"
Ethereum,ETH,"Jan 15, 2025","$3,223.68","$3,473.10","$3,186.14","$3,450.54","$25,991,614,661","$415,750,919,856"
Ethereum,ETH,"Jan 14, 2025","$3,135.67","$3,254.75","$3,126.81","$3,223.68","$22,847,737,224","$388,437,673,736"
Ethereum,ETH,"Jan 13, 2025","$3,266.10","$3,335.19","$2,920.59","$3,135.50","$39,911,742,769","$377,826,468,145"
Ethereum,ETH,"Jan 12, 2025","$3,282.15","$3,298.02","$3,224.51","$3,265.95","$11,647,743,556","$393,534,082,007"
Ethereum,ETH,"Jan 11, 2025","$3,267.52","$3,317.65","$3,219.70","$3,282.22","$11,772,144,561","$395,461,602,230"
Ethereum,ETH,"Jan 10, 2025","$3,219.50","$3,320.50","$3,196.11","$3,267.49","$26,503,845,190","$393,692,820,977"
Ethereum,ETH,"Jan 09, 2025","$3,326.36","$3,355.86","$3,159.38","$3,219.43","$28,815,726,276","$387,883,732,075"
Ethereum,ETH,"Jan 08, 2025","$3,381.62","$3,413.68","$3,209.21","$3,326.33","$34,337,730,882","$400,750,347,873"
Ethereum,ETH,"Jan 07, 2025","$3,688.34","$3,701.11","$3,358.09","$3,381.58","$32,235,312,545","$407,400,616,612"
Ethereum,ETH,"Jan 06, 2025","$3,634.11","$3,743.94","$3,611.21","$3,688.61","$23,973,574,043","$444,346,734,921"
Ethereum,ETH,"Jan 05, 2025","$3,657.74","$3,673.81","$3,594.62","$3,634.10","$12,830,306,908","$437,816,515,326"
Ethereum,ETH,"Jan 04, 2025","$3,605.20","$3,669.20","$3,574.33","$3,657.71","$16,060,610,759","$440,664,193,246"
Ethereum,ETH,"Jan 03, 2025","$3,451.68","$3,627.06","$3,421.83","$3,605.01","$21,877,299,255","$434,338,537,850"
Ethereum,ETH,"Jan 02, 2025","$3,353.41","$3,493.45","$3,348.35","$3,451.39","$22,243,574,698","$415,841,970,320"
Ethereum,ETH,"Jan 01, 2025","$3,332.41","$3,366.53","$3,310.26","$3,353.50","$14,195,410,493","$404,000,591,707"
Ethereum,ETH,"Dec 31, 2024","$3,356.39","$3,444.40","$3,311.41","$3,332.53","$20,845,452,085","$401,463,938,534"
Ethereum,ETH,"Dec 30, 2024","$3,349.59","$3,428.53","$3,298.80","$3,356.39","$26,981,583,962","$404,347,423,139"
Ethereum,ETH,"Dec 29, 2024","$3,397.86","$3,406.65","$3,321.66","$3,349.51","$13,440,907,792","$403,520,330,664"
Ethereum,ETH,"Dec 28, 2024","$3,328.77","$3,419.92","$3,318.03","$3,397.90","$14,305,648,523","$409,328,700,067"
Ethereum,ETH,"Dec 27, 2024","$3,331.05","$3,436.71","$3,302.58","$3,328.92","$24,091,627,403","$400,999,129,472"
Ethereum,ETH,"Dec 26, 2024","$3,493.30","$3,512.60","$3,302.31","$3,331.23","$22,247,726,776","$401,267,700,708"
Ethereum,ETH,"Dec 25, 2024","$3,491.96","$3,542.83","$3,440.10","$3,493.24","$17,651,873,225","$420,805,325,622"
Ethereum,ETH,"Dec 24, 2024","$3,415.74","$3,535.86","$3,355.61","$3,492.05","$23,083,678,195","$420,636,637,648"
