Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Flow,FLOW,"Feb 18, 2025",$0.5201,$0.5224,$0.4859,$0.4999,"$34,565,437","$781,730,104"
Flow,FLOW,"Feb 17, 2025",$0.515,$0.5336,$0.5085,$0.5201,"$30,680,815","$813,234,427"
Flow,FLOW,"Feb 16, 2025",$0.5159,$0.529,$0.5103,$0.515,"$24,737,567","$805,332,805"
Flow,FLOW,"Feb 15, 2025",$0.5299,$0.5339,$0.514,$0.5159,"$22,038,265","$806,671,142"
Flow,FLOW,"Feb 14, 2025",$0.5228,$0.5412,$0.5211,$0.5299,"$31,119,117","$828,645,568"
Flow,FLOW,"Feb 13, 2025",$0.5343,$0.5395,$0.5119,$0.5227,"$32,339,736","$817,438,130"
Flow,FLOW,"Feb 12, 2025",$0.5095,$0.5384,$0.4921,$0.5343,"$42,567,189","$835,455,281"
Flow,FLOW,"Feb 11, 2025",$0.5103,$0.5345,$0.503,$0.5095,"$32,500,596","$795,914,473"
Flow,FLOW,"Feb 10, 2025",$0.497,$0.5155,$0.4828,$0.5103,"$34,087,834","$797,240,596"
Flow,FLOW,"Feb 09, 2025",$0.5021,$0.5144,$0.4787,$0.497,"$29,224,386","$776,474,329"
Flow,FLOW,"Feb 08, 2025",$0.4767,$0.5041,$0.4725,$0.5021,"$31,033,982","$784,359,490"
Flow,FLOW,"Feb 07, 2025",$0.4699,$0.5019,$0.4656,$0.4767,"$32,586,277","$744,781,412"
Flow,FLOW,"Feb 06, 2025",$0.4874,$0.4996,$0.4667,$0.4699,"$35,635,516","$734,116,339"
Flow,FLOW,"Feb 05, 2025",$0.4954,$0.5098,$0.4826,$0.4874,"$33,110,630","$761,460,097"
Flow,FLOW,"Feb 04, 2025",$0.5346,$0.5424,$0.479,$0.4954,"$61,377,700","$773,265,439"
Flow,FLOW,"Feb 03, 2025",$0.5183,$0.5399,$0.4101,$0.5346,"$132,967,746","$834,324,551"
Flow,FLOW,"Feb 02, 2025",$0.601,$0.6109,$0.4988,$0.5183,"$66,026,522","$809,004,955"
Flow,FLOW,"Feb 01, 2025",$0.6483,$0.6592,$0.5959,$0.601,"$33,910,573","$938,026,431"
Flow,FLOW,"Jan 31, 2025",$0.6434,$0.6717,$0.6321,$0.6483,"$31,298,813","$1,011,889,462"
Flow,FLOW,"Jan 30, 2025",$0.6197,$0.6548,$0.6152,$0.6434,"$28,894,487","$1,004,129,814"
Flow,FLOW,"Jan 29, 2025",$0.6055,$0.6387,$0.6026,$0.6197,"$37,297,952","$967,233,440"
Flow,FLOW,"Jan 28, 2025",$0.6405,$0.6493,$0.6003,$0.6055,"$31,462,030","$944,199,386"
Flow,FLOW,"Jan 27, 2025",$0.6631,$0.6649,$0.6044,$0.6405,"$56,530,795","$998,770,838"
Flow,FLOW,"Jan 26, 2025",$0.6842,$0.6951,$0.6632,$0.6632,"$24,477,023","$1,034,080,010"
Flow,FLOW,"Jan 25, 2025",$0.6729,$0.6896,$0.6663,$0.6842,"$24,344,170","$1,066,829,679"
Flow,FLOW,"Jan 24, 2025",$0.6905,$0.7079,$0.6667,$0.6729,"$37,522,271","$1,049,270,014"
Flow,FLOW,"Jan 23, 2025",$0.6898,$0.7064,$0.6682,$0.6906,"$46,748,006","$1,076,773,506"
Flow,FLOW,"Jan 22, 2025",$0.7196,$0.724,$0.6889,$0.6898,"$36,947,741","$1,075,683,251"
Flow,FLOW,"Jan 21, 2025",$0.7038,$0.7345,$0.6739,$0.7196,"$59,860,492","$1,121,095,636"
Flow,FLOW,"Jan 20, 2025",$0.6839,$0.7543,$0.6637,$0.7038,"$112,991,568","$1,096,451,603"
Flow,FLOW,"Jan 19, 2025",$0.7487,$0.7666,$0.6778,$0.6839,"$88,272,133","$1,065,489,491"
Flow,FLOW,"Jan 18, 2025",$0.8106,$0.8131,$0.733,$0.7487,"$56,709,144","$1,166,296,164"
Flow,FLOW,"Jan 17, 2025",$0.7606,$0.8154,$0.7601,$0.8106,"$54,277,965","$1,262,787,118"
Flow,FLOW,"Jan 16, 2025",$0.7815,$0.7839,$0.7514,$0.7606,"$49,381,272","$1,184,843,577"
Flow,FLOW,"Jan 15, 2025",$0.7315,$0.7835,$0.7141,$0.7815,"$51,002,619","$1,217,525,331"
Flow,FLOW,"Jan 14, 2025",$0.7011,$0.7344,$0.6948,$0.7315,"$36,194,438","$1,138,432,027"
Flow,FLOW,"Jan 13, 2025",$0.7257,$0.7424,$0.6575,$0.7011,"$69,456,094","$1,091,222,335"
Flow,FLOW,"Jan 12, 2025",$0.746,$0.7554,$0.715,$0.7257,"$62,473,982","$1,129,412,292"
Flow,FLOW,"Jan 11, 2025",$0.7504,$0.7599,$0.7314,$0.746,"$59,720,622","$1,161,113,119"
Flow,FLOW,"Jan 10, 2025",$0.7273,$0.7564,$0.7108,$0.7504,"$81,147,687","$1,167,948,367"
Flow,FLOW,"Jan 09, 2025",$0.7278,$0.7551,$0.7125,$0.7273,"$112,225,043","$1,131,988,195"
Flow,FLOW,"Jan 08, 2025",$0.7507,$0.7613,$0.6944,$0.7278,"$102,404,981","$1,132,671,292"
Flow,FLOW,"Jan 07, 2025",$0.8377,$0.8383,$0.7491,$0.7507,"$100,501,942","$1,167,236,852"
Flow,FLOW,"Jan 06, 2025",$0.8059,$0.8505,$0.7965,$0.8377,"$90,928,795","$1,302,612,497"
Flow,FLOW,"Jan 05, 2025",$0.793,$0.8096,$0.7803,$0.8059,"$70,103,545","$1,253,141,641"
Flow,FLOW,"Jan 04, 2025",$0.7903,$0.8056,$0.7827,$0.793,"$65,043,590","$1,233,000,971"
Flow,FLOW,"Jan 03, 2025",$0.7426,$0.7956,$0.7326,$0.7903,"$64,161,526","$1,228,875,592"
Flow,FLOW,"Jan 02, 2025",$0.7266,$0.7517,$0.7266,$0.7424,"$66,868,352","$1,154,367,039"
Flow,FLOW,"Jan 01, 2025",$0.6951,$0.731,$0.68,$0.7266,"$55,543,233","$1,129,865,006"
Flow,FLOW,"Dec 31, 2024",$0.7106,$0.7219,$0.6853,$0.6951,"$49,079,666","$1,079,798,904"
Flow,FLOW,"Dec 30, 2024",$0.7062,$0.7428,$0.6829,$0.7106,"$82,081,695","$1,103,910,081"
Flow,FLOW,"Dec 29, 2024",$0.7428,$0.7494,$0.6975,$0.7062,"$70,506,193","$1,096,993,646"
Flow,FLOW,"Dec 28, 2024",$0.7205,$0.7468,$0.7165,$0.7428,"$57,798,221","$1,153,932,737"
Flow,FLOW,"Dec 27, 2024",$0.706,$0.7465,$0.6996,$0.7205,"$68,741,951","$1,119,214,706"
Flow,FLOW,"Dec 26, 2024",$0.765,$0.7712,$0.6981,$0.706,"$79,577,727","$1,096,827,511"
Flow,FLOW,"Dec 25, 2024",$0.7978,$0.7989,$0.7588,$0.765,"$70,215,411","$1,188,396,088"
Flow,FLOW,"Dec 24, 2024",$0.7724,$0.8094,$0.7513,$0.7978,"$83,229,910","$1,238,259,456"
Flow,FLOW,"Dec 23, 2024",$0.7208,$0.7822,$0.699,$0.7724,"$98,417,065","$1,198,730,340"
Flow,FLOW,"Dec 22, 2024",$0.704,$0.7459,$0.6908,$0.7208,"$92,934,856","$1,118,751,974"
Flow,FLOW,"Dec 21, 2024",$0.7439,$0.7869,$0.6977,$0.704,"$97,426,639","$1,092,628,623"
Flow,FLOW,"Dec 20, 2024",$0.723,$0.7527,$0.6299,$0.7439,"$140,498,813","$1,154,536,840"
Flow,FLOW,"Dec 19, 2024",$0.7883,$0.8077,$0.7039,$0.723,"$117,652,453","$1,122,046,280"
Flow,FLOW,"Dec 18, 2024",$0.8713,$0.8812,$0.7871,$0.7883,"$103,772,963","$1,223,419,734"
Flow,FLOW,"Dec 17, 2024",$0.921,$0.9222,$0.8658,$0.8715,"$92,499,258","$1,351,271,841"
Flow,FLOW,"Dec 16, 2024",$0.9578,$0.9757,$0.8998,$0.921,"$110,847,637","$1,428,126,178"
Flow,FLOW,"Dec 15, 2024",$0.9325,$0.9679,$0.903,$0.9578,"$84,219,335","$1,485,089,204"
Flow,FLOW,"Dec 14, 2024",$0.9889,$1.0056,$0.9125,$0.9325,"$87,230,340","$1,445,894,520"
Flow,FLOW,"Dec 13, 2024",$0.9919,$1.0012,$0.961,$0.9889,"$103,026,788","$1,533,379,779"
Flow,FLOW,"Dec 12, 2024",$0.9761,$1.0419,$0.9694,$0.9919,"$132,150,137","$1,538,059,302"
