Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
GateToken,GT,"Feb 17, 2025",$23.21,$23.36,$23.00,$23.10,"$10,025,659","$2,049,949,661"
GateToken,GT,"Feb 16, 2025",$23.57,$23.79,$23.01,$23.21,"$10,437,642","$2,060,028,962"
GateToken,GT,"Feb 15, 2025",$23.79,$23.81,$23.21,$23.56,"$8,836,755","$2,091,408,478"
GateToken,GT,"Feb 14, 2025",$22.95,$23.88,$22.78,$23.79,"$18,379,826","$2,111,534,788"
GateToken,GT,"Feb 13, 2025",$22.45,$23.46,$22.26,$22.95,"$20,154,370","$2,036,943,165"
GateToken,GT,"Feb 12, 2025",$21.88,$22.65,$21.02,$22.45,"$23,154,420","$1,992,191,073"
GateToken,GT,"Feb 11, 2025",$21.58,$22.89,$21.57,$21.88,"$18,141,174","$1,942,238,363"
GateToken,GT,"Feb 10, 2025",$21.16,$21.76,$21.12,$21.58,"$10,811,502","$1,915,603,783"
GateToken,GT,"Feb 09, 2025",$21.18,$22.05,$21.00,$21.16,"$13,609,347","$1,878,209,790"
GateToken,GT,"Feb 08, 2025",$20.77,$21.25,$20.55,$21.18,"$11,588,260","$1,879,919,348"
GateToken,GT,"Feb 07, 2025",$20.42,$21.54,$20.35,$20.77,"$15,683,006","$1,842,946,948"
GateToken,GT,"Feb 06, 2025",$20.97,$21.81,$20.21,$20.42,"$16,078,357","$1,812,413,844"
GateToken,GT,"Feb 05, 2025",$20.91,$21.25,$20.55,$20.97,"$17,299,409","$1,861,232,588"
GateToken,GT,"Feb 04, 2025",$21.80,$21.93,$20.41,$20.91,"$28,397,096","$1,856,034,214"
GateToken,GT,"Feb 03, 2025",$21.26,$22.25,$17.51,$21.80,"$85,598,955","$1,935,108,408"
GateToken,GT,"Feb 02, 2025",$22.66,$22.98,$20.18,$21.26,"$48,513,585","$1,886,580,281"
GateToken,GT,"Feb 01, 2025",$23.95,$24.06,$22.35,$22.66,"$19,427,075","$2,011,298,137"
GateToken,GT,"Jan 31, 2025",$24.10,$24.44,$23.42,$23.95,"$20,015,509","$2,125,257,560"
GateToken,GT,"Jan 30, 2025",$24.31,$24.99,$23.00,$24.10,"$27,176,842","$2,138,587,752"
GateToken,GT,"Jan 29, 2025",$23.06,$24.95,$23.06,$24.30,"$25,509,582","$2,157,370,131"
GateToken,GT,"Jan 28, 2025",$24.72,$25.64,$22.61,$23.06,"$29,800,026","$2,046,835,516"
GateToken,GT,"Jan 27, 2025",$24.80,$25.06,$20.88,$24.72,"$81,814,244","$2,192,621,982"
GateToken,GT,"Jan 26, 2025",$25.38,$25.91,$24.74,$24.80,"$25,725,017","$2,200,961,001"
GateToken,GT,"Jan 25, 2025",$25.20,$25.95,$24.19,$25.38,"$55,473,214","$2,252,100,939"
GateToken,GT,"Jan 24, 2025",$22.53,$25.40,$22.52,$25.20,"$48,966,371","$2,236,188,460"
GateToken,GT,"Jan 23, 2025",$21.91,$23.41,$21.90,$22.53,"$37,660,022","$1,999,784,025"
GateToken,GT,"Jan 22, 2025",$21.93,$23.33,$21.71,$21.92,"$27,575,130","$1,944,615,597"
GateToken,GT,"Jan 21, 2025",$20.86,$22.19,$20.69,$21.93,"$36,523,650","$1,946,151,669"
GateToken,GT,"Jan 20, 2025",$19.94,$21.24,$19.39,$20.86,"$46,355,063","$1,851,130,934"
GateToken,GT,"Jan 19, 2025",$20.20,$20.75,$19.37,$19.94,"$52,040,379","$1,769,054,229"
GateToken,GT,"Jan 18, 2025",$20.41,$20.98,$19.36,$20.20,"$44,773,583","$1,792,509,931"
GateToken,GT,"Jan 17, 2025",$19.31,$21.15,$19.31,$20.41,"$42,688,108","$1,811,216,436"
GateToken,GT,"Jan 16, 2025",$19.22,$19.78,$19.14,$19.31,"$19,444,509","$1,713,122,897"
GateToken,GT,"Jan 15, 2025",$18.71,$19.46,$18.52,$19.21,"$19,793,339","$1,704,935,199"
