Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Hedera,HBAR,"Feb 17, 2025",$0.2201,$0.2246,$0.2097,$0.212,"$207,789,951","$8,885,372,326"
Hedera,HBAR,"Feb 16, 2025",$0.2291,$0.23,$0.2194,$0.2201,"$165,336,294","$9,224,895,790"
Hedera,HBAR,"Feb 15, 2025",$0.2309,$0.2387,$0.2262,$0.2291,"$221,745,726","$9,568,191,898"
Hedera,HBAR,"Feb 14, 2025",$0.2256,$0.2396,$0.2237,$0.2309,"$324,032,284","$9,644,570,152"
Hedera,HBAR,"Feb 13, 2025",$0.2345,$0.2366,$0.2185,$0.2257,"$252,627,972","$8,637,617,994"
Hedera,HBAR,"Feb 12, 2025",$0.2288,$0.2375,$0.2153,$0.2345,"$372,582,201","$8,975,521,856"
Hedera,HBAR,"Feb 11, 2025",$0.2319,$0.2485,$0.2268,$0.2288,"$325,563,529","$8,755,421,406"
Hedera,HBAR,"Feb 10, 2025",$0.2296,$0.2437,$0.2241,$0.2319,"$275,409,489","$8,874,387,445"
Hedera,HBAR,"Feb 09, 2025",$0.2345,$0.2429,$0.2199,$0.2296,"$222,541,565","$8,785,261,991"
Hedera,HBAR,"Feb 08, 2025",$0.2328,$0.2359,$0.2264,$0.2345,"$208,839,209","$8,973,726,246"
Hedera,HBAR,"Feb 07, 2025",$0.2288,$0.2475,$0.2268,$0.2328,"$358,158,163","$8,910,485,613"
Hedera,HBAR,"Feb 06, 2025",$0.2387,$0.249,$0.2272,$0.2288,"$371,587,445","$8,756,808,511"
Hedera,HBAR,"Feb 05, 2025",$0.2509,$0.2581,$0.2369,$0.2387,"$363,550,499","$9,134,121,459"
Hedera,HBAR,"Feb 04, 2025",$0.2751,$0.2782,$0.2435,$0.2509,"$686,591,407","$9,601,376,540"
Hedera,HBAR,"Feb 03, 2025",$0.2533,$0.2819,$0.1899,$0.2751,"$1,574,124,522","$10,529,282,241"
Hedera,HBAR,"Feb 02, 2025",$0.2855,$0.2939,$0.2408,$0.2533,"$684,440,558","$9,693,821,512"
Hedera,HBAR,"Feb 01, 2025",$0.3065,$0.3116,$0.2821,$0.2855,"$284,024,989","$10,926,443,464"
Hedera,HBAR,"Jan 31, 2025",$0.3162,$0.3196,$0.3025,$0.3065,"$333,356,162","$11,728,415,812"
Hedera,HBAR,"Jan 30, 2025",$0.3089,$0.3218,$0.3069,$0.3162,"$349,340,809","$12,101,666,052"
Hedera,HBAR,"Jan 29, 2025",$0.2992,$0.3174,$0.2942,$0.3089,"$431,603,067","$11,819,814,074"
Hedera,HBAR,"Jan 28, 2025",$0.3143,$0.3222,$0.2954,$0.2992,"$456,556,870","$11,448,925,436"
Hedera,HBAR,"Jan 27, 2025",$0.3234,$0.3263,$0.2931,$0.3143,"$733,600,329","$12,029,312,703"
Hedera,HBAR,"Jan 26, 2025",$0.332,$0.3531,$0.3234,$0.3234,"$552,545,992","$12,376,077,897"
Hedera,HBAR,"Jan 25, 2025",$0.3272,$0.3381,$0.3264,$0.332,"$359,180,593","$12,704,964,609"
Hedera,HBAR,"Jan 24, 2025",$0.3272,$0.3506,$0.3147,$0.3272,"$612,898,232","$12,521,946,993"
Hedera,HBAR,"Jan 23, 2025",$0.3252,$0.3341,$0.3125,$0.3272,"$625,608,640","$12,520,720,120"
Hedera,HBAR,"Jan 22, 2025",$0.3372,$0.3379,$0.3211,$0.3252,"$470,709,562","$12,443,551,540"
Hedera,HBAR,"Jan 21, 2025",$0.3411,$0.3475,$0.3263,$0.3372,"$778,916,584","$12,902,264,226"
Hedera,HBAR,"Jan 20, 2025",$0.3261,$0.3725,$0.3203,$0.3411,"$1,444,386,720","$13,052,199,423"
Hedera,HBAR,"Jan 19, 2025",$0.3551,$0.369,$0.3195,$0.3262,"$1,267,206,517","$12,479,638,116"
