Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Maker,MKR,"Feb 18, 2025","$1,046.34","$1,135.39","$1,042.43","$1,115.21","$132,531,171","$932,662,075"
Maker,MKR,"Feb 17, 2025",$990.29,"$1,057.86",$980.84,"$1,046.34","$127,098,324","$874,402,638"
Maker,MKR,"Feb 16, 2025","$1,002.53","$1,022.41",$986.96,$990.29,"$120,314,072","$827,685,783"
Maker,MKR,"Feb 15, 2025","$1,001.41","$1,012.72",$980.94,"$1,002.53","$117,213,992","$838,012,689"
Maker,MKR,"Feb 14, 2025",$989.60,"$1,021.00",$985.01,"$1,001.41","$112,764,922","$836,933,093"
Maker,MKR,"Feb 13, 2025","$1,015.81","$1,015.92",$981.71,$989.60,"$100,521,439","$827,040,030"
Maker,MKR,"Feb 12, 2025",$953.84,"$1,033.66",$947.31,"$1,015.81","$104,109,884","$848,991,071"
Maker,MKR,"Feb 11, 2025",$976.62,$997.55,$943.81,$953.84,"$106,926,069","$797,401,446"
Maker,MKR,"Feb 10, 2025",$904.24,$985.21,$888.51,$976.62,"$110,257,632","$816,282,395"
Maker,MKR,"Feb 09, 2025",$935.52,$935.52,$879.52,$904.24,"$102,511,332","$796,391,618"
Maker,MKR,"Feb 08, 2025",$925.87,$956.62,$913.78,$935.52,"$95,931,258","$823,894,548"
Maker,MKR,"Feb 07, 2025",$900.24,$940.29,$893.85,$925.87,"$89,598,920","$815,147,958"
Maker,MKR,"Feb 06, 2025",$916.32,$936.57,$881.81,$900.24,"$84,793,693","$792,763,675"
Maker,MKR,"Feb 05, 2025",$915.76,$943.45,$905.09,$916.32,"$75,015,951","$806,841,846"
Maker,MKR,"Feb 04, 2025",$990.75,$993.34,$901.85,$915.77,"$90,687,101","$806,463,920"
Maker,MKR,"Feb 03, 2025","$1,019.96","$1,022.34",$837.03,$990.75,"$555,683,797","$872,583,979"
Maker,MKR,"Feb 02, 2025","$1,081.71","$1,101.36",$990.30,"$1,019.97","$100,131,449","$904,060,169"
Maker,MKR,"Feb 01, 2025","$1,149.25","$1,156.56","$1,074.52","$1,081.78","$74,252,136","$959,642,212"
Maker,MKR,"Jan 31, 2025","$1,075.03","$1,193.76","$1,074.81","$1,149.31","$82,902,518","$1,019,694,369"
