Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
Ondo finance,ONDO,"Feb 17, 2025",$1.2767,$1.2934,$1.2061,$1.2331,"$212,864,830","$3,895,505,299"
Ondo finance,ONDO,"Feb 16, 2025",$1.2768,$1.2990,$1.2598,$1.2767,"$128,915,734","$4,033,320,436"
Ondo finance,ONDO,"Feb 15, 2025",$1.3272,$1.3308,$1.2575,$1.2768,"$234,540,778","$4,033,500,851"
Ondo finance,ONDO,"Feb 14, 2025",$1.3301,$1.3608,$1.3142,$1.3272,"$304,060,207","$4,192,865,599"
Ondo finance,ONDO,"Feb 13, 2025",$1.3974,$1.3976,$1.3171,$1.3301,"$309,622,720","$4,201,886,478"
Ondo finance,ONDO,"Feb 12, 2025",$1.3297,$1.4143,$1.3005,$1.3974,"$358,063,227","$4,414,433,264"
Ondo finance,ONDO,"Feb 11, 2025",$1.3291,$1.4268,$1.3289,$1.3297,"$485,226,838","$4,200,694,578"
Ondo finance,ONDO,"Feb 10, 2025",$1.3271,$1.3707,$1.2931,$1.3291,"$288,567,693","$4,198,616,989"
Ondo finance,ONDO,"Feb 09, 2025",$1.3507,$1.3853,$1.2940,$1.3271,"$310,381,917","$4,192,469,325"
Ondo finance,ONDO,"Feb 08, 2025",$1.4054,$1.4244,$1.3149,$1.3507,"$333,580,404","$4,266,908,013"
Ondo finance,ONDO,"Feb 07, 2025",$1.3576,$1.4819,$1.3389,$1.4054,"$647,800,262","$4,439,688,273"
Ondo finance,ONDO,"Feb 06, 2025",$1.3085,$1.4209,$1.2863,$1.3576,"$678,602,837","$4,288,762,398"
Ondo finance,ONDO,"Feb 05, 2025",$1.3591,$1.4662,$1.2897,$1.3085,"$579,796,472","$4,133,637,587"
Ondo finance,ONDO,"Feb 04, 2025",$1.4064,$1.4995,$1.2933,$1.3590,"$732,042,616","$4,293,359,905"
Ondo finance,ONDO,"Feb 03, 2025",$1.2416,$1.4400,$0.9609,$1.4064,"$1,287,469,087","$4,442,844,368"
Ondo finance,ONDO,"Feb 02, 2025",$1.3433,$1.3869,$1.1857,$1.2416,"$546,461,494","$3,922,285,143"
Ondo finance,ONDO,"Feb 01, 2025",$1.4864,$1.4944,$1.3283,$1.3433,"$301,077,033","$4,243,488,059"
Ondo finance,ONDO,"Jan 31, 2025",$1.5658,$1.5889,$1.4692,$1.4864,"$353,418,551","$4,695,672,953"
Ondo finance,ONDO,"Jan 30, 2025",$1.4612,$1.6375,$1.4424,$1.5658,"$469,570,946","$4,946,657,256"
Ondo finance,ONDO,"Jan 29, 2025",$1.3358,$1.5394,$1.3203,$1.4611,"$510,239,610","$4,616,056,723"
Ondo finance,ONDO,"Jan 28, 2025",$1.3293,$1.4399,$1.3049,$1.3358,"$409,946,647","$4,220,051,925"
Ondo finance,ONDO,"Jan 27, 2025",$1.3714,$1.3877,$1.2633,$1.3293,"$453,140,724","$4,199,547,602"
Ondo finance,ONDO,"Jan 26, 2025",$1.4339,$1.4945,$1.3714,$1.3714,"$347,531,099","$4,332,302,374"
Ondo finance,ONDO,"Jan 25, 2025",$1.3985,$1.4919,$1.3696,$1.4339,"$403,564,064","$4,529,855,937"
Ondo finance,ONDO,"Jan 24, 2025",$1.3507,$1.5265,$1.3033,$1.3984,"$506,351,208","$4,417,621,925"
Ondo finance,ONDO,"Jan 23, 2025",$1.2881,$1.4017,$1.2516,$1.3507,"$438,141,765","$4,266,928,057"
Ondo finance,ONDO,"Jan 22, 2025",$1.3595,$1.3673,$1.2830,$1.2881,"$310,540,714","$4,069,089,764"
Ondo finance,ONDO,"Jan 21, 2025",$1.2941,$1.4204,$1.2477,$1.3595,"$369,153,226","$4,294,657,758"
Ondo finance,ONDO,"Jan 20, 2025",$1.3641,$1.4857,$1.2784,$1.2941,"$719,520,137","$4,088,077,141"
Ondo finance,ONDO,"Jan 19, 2025",$1.3005,$1.5463,$1.2812,$1.3641,"$889,735,065","$4,309,274,066"
Ondo finance,ONDO,"Jan 18, 2025",$1.3119,$1.4833,$1.1813,$1.3007,"$806,412,508","$4,108,471,703"
Ondo finance,ONDO,"Jan 17, 2025",$1.2163,$1.3134,$1.2138,$1.3115,"$288,257,037","$1,820,509,701"
Ondo finance,ONDO,"Jan 16, 2025",$1.2898,$1.2981,$1.1971,$1.2164,"$225,931,083","$1,690,407,873"
Ondo finance,ONDO,"Jan 15, 2025",$1.1932,$1.2960,$1.1369,$1.2898,"$202,399,277","$1,792,579,240"
Ondo finance,ONDO,"Jan 14, 2025",$1.2207,$1.2209,$1.1734,$1.1932,"$186,240,090","$1,658,217,456"
Ondo finance,ONDO,"Jan 13, 2025",$1.2095,$1.2429,$1.0958,$1.2206,"$313,390,340","$1,696,393,946"
Ondo finance,ONDO,"Jan 12, 2025",$1.2733,$1.2733,$1.1969,$1.2095,"$87,708,988","$1,680,878,466"
Ondo finance,ONDO,"Jan 11, 2025",$1.2702,$1.3134,$1.2391,$1.2733,"$98,421,946","$1,769,514,256"
Ondo finance,ONDO,"Jan 10, 2025",$1.2102,$1.3496,$1.2091,$1.2700,"$214,489,637","$1,765,315,615"
Ondo finance,ONDO,"Jan 09, 2025",$1.3145,$1.3167,$1.1978,$1.2102,"$175,009,826","$1,681,869,791"
Ondo finance,ONDO,"Jan 08, 2025",$1.3707,$1.3844,$1.1889,$1.3145,"$282,324,744","$1,826,845,756"
Ondo finance,ONDO,"Jan 07, 2025",$1.5230,$1.5424,$1.3586,$1.3707,"$196,454,713","$1,904,904,368"
Ondo finance,ONDO,"Jan 06, 2025",$1.5460,$1.5949,$1.4949,$1.5230,"$198,066,306","$2,116,651,331"
Ondo finance,ONDO,"Jan 05, 2025",$1.5788,$1.5793,$1.5126,$1.5460,"$115,610,680","$2,148,545,992"
Ondo finance,ONDO,"Jan 04, 2025",$1.5996,$1.6399,$1.5649,$1.5788,"$175,546,040","$2,194,210,777"
Ondo finance,ONDO,"Jan 03, 2025",$1.4462,$1.6162,$1.4205,$1.5996,"$234,017,497","$2,223,055,088"
Ondo finance,ONDO,"Jan 02, 2025",$1.4597,$1.5246,$1.4226,$1.4462,"$214,304,459","$2,009,845,581"
Ondo finance,ONDO,"Jan 01, 2025",$1.3448,$1.4718,$1.3118,$1.4597,"$148,942,688","$2,028,654,133"
Ondo finance,ONDO,"Dec 31, 2024",$1.3674,$1.4265,$1.3140,$1.3448,"$169,915,524","$1,869,012,739"
Ondo finance,ONDO,"Dec 30, 2024",$1.3902,$1.4298,$1.3215,$1.3674,"$199,714,300","$1,900,368,310"
Ondo finance,ONDO,"Dec 29, 2024",$1.4980,$1.4981,$1.3821,$1.3903,"$121,135,196","$1,932,197,710"
Ondo finance,ONDO,"Dec 28, 2024",$1.4335,$1.5366,$1.3590,$1.4980,"$270,469,377","$2,081,885,196"
Ondo finance,ONDO,"Dec 27, 2024",$1.4510,$1.5305,$1.4235,$1.4334,"$210,358,165","$1,992,272,265"
Ondo finance,ONDO,"Dec 26, 2024",$1.6113,$1.6244,$1.4381,$1.4510,"$283,638,042","$2,016,595,874"
Ondo finance,ONDO,"Dec 25, 2024",$1.7154,$1.7154,$1.6016,$1.6113,"$167,906,014","$2,239,363,198"
Ondo finance,ONDO,"Dec 24, 2024",$1.6740,$1.7337,$1.6043,$1.7154,"$259,490,934","$2,383,969,212"
Ondo finance,ONDO,"Dec 23, 2024",$1.6149,$1.7307,$1.5385,$1.6740,"$319,688,842","$2,326,425,023"
Ondo finance,ONDO,"Dec 22, 2024",$1.6775,$1.7147,$1.5791,$1.6149,"$267,624,047","$2,244,296,798"
Ondo finance,ONDO,"Dec 21, 2024",$1.7991,$1.9130,$1.6442,$1.6775,"$417,209,573","$2,331,388,658"
Ondo finance,ONDO,"Dec 20, 2024",$1.7529,$1.8283,$1.4790,$1.7991,"$601,354,545","$2,500,355,379"
Ondo finance,ONDO,"Dec 19, 2024",$1.8127,$1.9329,$1.6791,$1.7529,"$574,313,383","$2,436,129,334"
Ondo finance,ONDO,"Dec 18, 2024",$1.9323,$2.0190,$1.8099,$1.8127,"$465,742,729","$2,519,155,382"
Ondo finance,ONDO,"Dec 17, 2024",$2.0179,$2.0471,$1.8897,$1.9323,"$343,193,972","$2,685,439,521"
Ondo finance,ONDO,"Dec 16, 2024",$2.0383,$2.1413,$1.9821,$2.0179,"$512,160,080","$2,804,403,007"
Ondo finance,ONDO,"Dec 15, 2024",$1.8888,$2.0749,$1.7779,$2.0383,"$386,482,073","$2,832,811,391"
Ondo finance,ONDO,"Dec 14, 2024",$1.9669,$2.0026,$1.8026,$1.8888,"$318,272,545","$2,625,028,841"
Ondo finance,ONDO,"Dec 13, 2024",$1.7556,$1.9842,$1.7534,$1.9669,"$506,247,477","$2,733,490,945"
Ondo finance,ONDO,"Dec 12, 2024",$1.7819,$1.9266,$1.7355,$1.7556,"$439,482,295","$2,439,827,184"
Ondo finance,ONDO,"Dec 11, 2024",$1.7403,$1.8324,$1.6139,$1.7819,"$511,882,784","$2,476,415,096"
Ondo finance,ONDO,"Dec 10, 2024",$1.5275,$1.7409,$1.4025,$1.7401,"$726,286,365","$2,418,537,347"
Ondo finance,ONDO,"Dec 09, 2024",$1.6903,$1.6907,$1.3837,$1.5275,"$466,815,371","$2,122,814,839"
Ondo finance,ONDO,"Dec 08, 2024",$1.6779,$1.7453,$1.6489,$1.6838,"$211,524,008","$2,340,066,170"
Ondo finance,ONDO,"Dec 07, 2024",$1.7681,$1.7802,$1.6663,$1.6814,"$199,731,877","$2,336,784,103"
Ondo finance,ONDO,"Dec 06, 2024",$1.6775,$1.7806,$1.6163,$1.7681,"$377,897,620","$2,457,193,309"
Ondo finance,ONDO,"Dec 05, 2024",$1.7358,$1.8336,$1.6566,$1.6917,"$798,531,432","$2,350,997,014"
Ondo finance,ONDO,"Dec 04, 2024",$1.6487,$1.9340,$1.6392,$1.7358,"$952,730,226","$2,412,361,281"
Ondo finance,ONDO,"Dec 03, 2024",$1.4840,$1.8041,$1.4172,$1.6487,"$1,197,299,392","$2,291,289,642"
Ondo finance,ONDO,"Dec 02, 2024",$1.2742,$1.4840,$1.1545,$1.4840,"$395,566,662","$2,062,364,567"
Ondo finance,ONDO,"Dec 01, 2024",$1.2307,$1.2989,$1.2257,$1.2742,"$200,584,656","$1,770,829,336"
