Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
SPX6900,SPX,"Feb 18, 2025",$0.6832,$0.6869,$0.5689,$0.6138,"$29,892,016","$571,418,355"
SPX6900,SPX,"Feb 17, 2025",$0.6907,$0.729,$0.6629,$0.6832,"$24,428,166","$636,091,292"
SPX6900,SPX,"Feb 16, 2025",$0.7582,$0.7633,$0.6872,$0.6906,"$16,671,566","$642,980,188"
SPX6900,SPX,"Feb 15, 2025",$0.8106,$0.8107,$0.7457,$0.7582,"$15,268,393","$705,837,265"
SPX6900,SPX,"Feb 14, 2025",$0.7383,$0.8645,$0.7335,$0.8106,"$38,343,643","$754,631,091"
SPX6900,SPX,"Feb 13, 2025",$0.7727,$0.7848,$0.6975,$0.7383,"$25,750,964","$687,379,863"
SPX6900,SPX,"Feb 12, 2025",$0.7193,$0.7972,$0.6486,$0.7727,"$47,245,967","$719,354,834"
SPX6900,SPX,"Feb 11, 2025",$0.6633,$0.8067,$0.6632,$0.7193,"$41,939,965","$669,683,191"
SPX6900,SPX,"Feb 10, 2025",$0.6205,$0.6956,$0.6098,$0.6633,"$32,474,928","$617,497,450"
SPX6900,SPX,"Feb 09, 2025",$0.6575,$0.6811,$0.5779,$0.6205,"$28,639,585","$577,650,560"
SPX6900,SPX,"Feb 08, 2025",$0.5945,$0.676,$0.592,$0.6575,"$26,544,604","$612,119,007"
SPX6900,SPX,"Feb 07, 2025",$0.6246,$0.6972,$0.5709,$0.5945,"$42,111,319","$553,434,453"
SPX6900,SPX,"Feb 06, 2025",$0.6652,$0.7236,$0.5544,$0.6245,"$71,019,049","$581,447,184"
SPX6900,SPX,"Feb 05, 2025",$0.813,$0.8318,$0.6652,$0.6652,"$48,883,049","$619,322,374"
SPX6900,SPX,"Feb 04, 2025",$0.8959,$0.8986,$0.7736,$0.813,"$59,569,983","$756,871,635"
SPX6900,SPX,"Feb 03, 2025",$0.864,$0.9556,$0.6674,$0.8959,"$147,238,459","$834,075,220"
SPX6900,SPX,"Feb 02, 2025",$1.0581,$1.0762,$0.8029,$0.864,"$97,229,922","$804,364,141"
SPX6900,SPX,"Feb 01, 2025",$1.1994,$1.2042,$1.0414,$1.0581,"$44,339,262","$985,041,546"
SPX6900,SPX,"Jan 31, 2025",$1.2944,$1.3484,$1.1970,$1.1994,"$42,095,769","$1,116,625,988"
SPX6900,SPX,"Jan 30, 2025",$1.1455,$1.3785,$1.1361,$1.2944,"$51,257,638","$1,205,056,915"
SPX6900,SPX,"Jan 29, 2025",$1.0335,$1.2174,$1.0324,$1.1455,"$51,494,043","$1,066,476,145"
SPX6900,SPX,"Jan 28, 2025",$1.1415,$1.1603,$1.0092,$1.0334,"$42,416,348","$962,133,421"
SPX6900,SPX,"Jan 27, 2025",$1.1535,$1.1612,$0.9799,$1.1415,"$70,947,169","$1,062,713,751"
SPX6900,SPX,"Jan 26, 2025",$1.2084,$1.2435,$1.1527,$1.1536,"$30,544,497","$1,073,991,384"
SPX6900,SPX,"Jan 25, 2025",$1.2064,$1.2670,$1.1735,$1.2084,"$40,176,619","$1,125,037,421"
SPX6900,SPX,"Jan 24, 2025",$1.3708,$1.4037,$1.2032,$1.2064,"$63,222,312","$1,123,144,334"
SPX6900,SPX,"Jan 23, 2025",$1.3507,$1.3779,$1.2534,$1.3708,"$72,224,213","$1,276,191,681"
SPX6900,SPX,"Jan 22, 2025",$1.4168,$1.5420,$1.3490,$1.3507,"$59,474,907","$1,257,476,792"
SPX6900,SPX,"Jan 21, 2025",$1.4636,$1.5852,$1.2364,$1.4168,"$97,107,518","$1,319,046,008"
SPX6900,SPX,"Jan 20, 2025",$1.4553,$1.6426,$1.3479,$1.4635,"$146,246,947","$1,362,562,880"
SPX6900,SPX,"Jan 19, 2025",$1.4435,$1.7673,$1.2602,$1.4553,"$169,175,611","$1,354,901,947"
SPX6900,SPX,"Jan 18, 2025",$1.5356,$1.5417,$1.3189,$1.4435,"$118,430,948","$1,343,844,796"
SPX6900,SPX,"Jan 17, 2025",$1.0171,$1.5456,$1.0086,$1.5356,"$122,837,321","$1,429,651,194"
