Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
TRON,TRX,"Feb 17, 2025",$0.2427,$0.2475,$0.2385,$0.2387,"$678,288,240","$20,551,882,907"
TRON,TRX,"Feb 16, 2025",$0.2374,$0.2439,$0.2357,$0.2427,"$424,129,963","$20,892,499,772"
TRON,TRX,"Feb 15, 2025",$0.2315,$0.238,$0.2306,$0.2374,"$383,260,863","$20,441,818,215"
TRON,TRX,"Feb 14, 2025",$0.234,$0.2366,$0.2304,$0.2315,"$532,393,077","$19,929,805,397"
TRON,TRX,"Feb 13, 2025",$0.2433,$0.2441,$0.234,$0.234,"$555,198,219","$20,149,015,228"
TRON,TRX,"Feb 12, 2025",$0.2411,$0.2454,$0.2361,$0.2433,"$678,163,355","$20,950,410,699"
TRON,TRX,"Feb 11, 2025",$0.2461,$0.249,$0.2405,$0.2411,"$557,162,951","$20,757,104,692"
TRON,TRX,"Feb 10, 2025",$0.2325,$0.2468,$0.2282,$0.2461,"$706,661,670","$21,194,545,310"
TRON,TRX,"Feb 09, 2025",$0.2316,$0.2376,$0.231,$0.2325,"$458,204,329","$20,023,757,380"
TRON,TRX,"Feb 08, 2025",$0.23,$0.2341,$0.2288,$0.2316,"$450,468,575","$19,946,558,110"
TRON,TRX,"Feb 07, 2025",$0.2316,$0.2346,$0.2277,$0.23,"$673,936,117","$19,803,835,484"
TRON,TRX,"Feb 06, 2025",$0.2226,$0.2326,$0.2217,$0.2316,"$800,435,519","$19,943,654,124"
TRON,TRX,"Feb 05, 2025",$0.2245,$0.2272,$0.2218,$0.2226,"$632,802,203","$19,166,627,120"
TRON,TRX,"Feb 04, 2025",$0.2289,$0.2296,$0.2162,$0.2245,"$1,283,611,168","$19,333,127,878"
TRON,TRX,"Feb 03, 2025",$0.2251,$0.2302,$0.2041,$0.2289,"$1,920,497,123","$19,715,606,399"
TRON,TRX,"Feb 02, 2025",$0.2444,$0.2462,$0.2228,$0.2251,"$1,254,717,586","$19,386,224,057"
TRON,TRX,"Feb 01, 2025",$0.2537,$0.2564,$0.2441,$0.2444,"$597,036,302","$21,049,778,614"
