Coin Name,Coin Symbol,Date,Open,High,Low,Close,Volume,Market Cap
XRP,XRP,"Feb 17, 2025",$2.7281,$2.7614,$2.6135,$2.6583,"$4,782,836,287","$153,697,055,091"
XRP,XRP,"Feb 16, 2025",$2.7616,$2.8023,$2.7002,$2.7278,"$3,431,117,272","$157,733,057,291"
XRP,XRP,"Feb 15, 2025",$2.7401,$2.8273,$2.7219,$2.7616,"$4,633,704,309","$159,669,777,582"
XRP,XRP,"Feb 14, 2025",$2.5625,$2.8283,$2.5353,$2.7402,"$8,841,598,608","$158,428,702,298"
XRP,XRP,"Feb 13, 2025",$2.4728,$2.5961,$2.4247,$2.5625,"$5,041,669,574","$148,160,965,500"
XRP,XRP,"Feb 12, 2025",$2.4142,$2.4906,$2.3494,$2.4728,"$5,462,469,809","$142,837,682,597"
XRP,XRP,"Feb 11, 2025",$2.4227,$2.5254,$2.3764,$2.4142,"$5,368,991,525","$139,451,439,187"
XRP,XRP,"Feb 10, 2025",$2.3969,$2.4694,$2.3302,$2.4227,"$4,740,495,321","$139,944,112,806"
XRP,XRP,"Feb 09, 2025",$2.4243,$2.5044,$2.3182,$2.3969,"$4,806,376,236","$138,451,940,325"
XRP,XRP,"Feb 08, 2025",$2.3936,$2.4339,$2.3557,$2.4244,"$3,995,500,228","$140,036,627,254"
XRP,XRP,"Feb 07, 2025",$2.3269,$2.5339,$2.2840,$2.3936,"$9,288,664,505","$138,261,858,198"
XRP,XRP,"Feb 06, 2025",$2.3823,$2.4647,$2.2923,$2.3269,"$7,292,152,784","$134,407,432,699"
XRP,XRP,"Feb 05, 2025",$2.5354,$2.5672,$2.3566,$2.3823,"$7,724,989,243","$137,465,149,601"
XRP,XRP,"Feb 04, 2025",$2.7013,$2.7766,$2.4355,$2.5354,"$14,154,535,566","$146,300,274,741"
XRP,XRP,"Feb 03, 2025",$2.5798,$2.7799,$1.9486,$2.7012,"$36,745,099,581","$155,875,584,977"
XRP,XRP,"Feb 02, 2025",$2.8845,$2.9529,$2.4869,$2.5798,"$15,654,662,798","$148,863,820,212"
XRP,XRP,"Feb 01, 2025",$3.0354,$3.0685,$2.8381,$2.8845,"$4,886,927,800","$166,444,283,426"
XRP,XRP,"Jan 31, 2025",$3.1310,$3.1311,$3.0065,$3.0354,"$4,520,254,155","$175,153,821,625"
XRP,XRP,"Jan 30, 2025",$3.0684,$3.1513,$3.0533,$3.1311,"$4,868,674,752","$180,672,981,607"
XRP,XRP,"Jan 29, 2025",$3.0611,$3.1274,$2.9768,$3.0683,"$6,882,287,654","$176,866,396,456"
XRP,XRP,"Jan 28, 2025",$3.0532,$3.2091,$3.0114,$3.0611,"$9,497,347,683","$176,445,413,355"
XRP,XRP,"Jan 27, 2025",$3.0263,$3.0537,$2.7085,$3.0532,"$15,974,106,216","$176,007,898,510"
XRP,XRP,"Jan 26, 2025",$3.1097,$3.1411,$3.0234,$3.0262,"$3,480,601,702","$174,435,420,851"
XRP,XRP,"Jan 25, 2025",$3.1034,$3.1417,$3.0827,$3.1097,"$3,304,586,596","$179,246,975,252"
XRP,XRP,"Jan 24, 2025",$3.1199,$3.2008,$3.0572,$3.1035,"$6,847,580,394","$178,888,518,107"
XRP,XRP,"Jan 23, 2025",$3.1711,$3.1780,$3.0408,$3.1199,"$8,450,732,276","$179,590,097,657"
XRP,XRP,"Jan 22, 2025",$3.1694,$3.2742,$3.1457,$3.1711,"$8,091,948,884","$182,540,079,363"
XRP,XRP,"Jan 21, 2025",$3.0998,$3.2346,$3.0221,$3.1694,"$10,358,506,190","$182,445,585,786"
XRP,XRP,"Jan 20, 2025",$2.9544,$3.3472,$2.9291,$3.0998,"$21,508,103,946","$178,440,161,683"
XRP,XRP,"Jan 19, 2025",$3.2740,$3.2853,$2.9045,$2.9547,"$14,986,676,962","$170,065,662,495"
XRP,XRP,"Jan 18, 2025",$3.2987,$3.2987,$3.0727,$3.2740,"$11,851,170,238","$188,465,002,184"
XRP,XRP,"Jan 17, 2025",$3.2453,$3.3430,$3.1816,$3.2986,"$13,511,699,686","$189,885,961,094"
XRP,XRP,"Jan 16, 2025",$3.1554,$3.3881,$2.9380,$3.2455,"$26,379,764,731","$186,815,065,080"
XRP,XRP,"Jan 15, 2025",$2.6692,$3.1775,$2.6557,$3.1551,"$22,195,175,230","$181,413,267,520"
XRP,XRP,"Jan 14, 2025",$2.5229,$2.6874,$2.5162,$2.6691,"$8,454,377,085","$153,458,727,147"
